Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cheryl Burbidge,Alxys Chamberlain,Chris d'Entremont,Scott Spidle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"West Nova/Nova-Ouest"," 23","East Kingston--Auburn",26,36,68,7,0,137,350
12011,"West Nova/Nova-Ouest"," 24","North Kingston",14,44,44,5,1,108,284
12011,"West Nova/Nova-Ouest"," 25","Kingston",19,50,70,5,3,147,411
12011,"West Nova/Nova-Ouest"," 26","Kingston",32,63,76,17,0,188,626
12011,"West Nova/Nova-Ouest"," 27","Kingston",29,61,67,5,0,162,456
12011,"West Nova/Nova-Ouest"," 28","Kingston",22,42,57,5,0,126,382
12011,"West Nova/Nova-Ouest"," 29","Kingston",23,34,35,11,0,103,360
12011,"West Nova/Nova-Ouest"," 30","Auburn",15,59,63,8,2,147,428
12011,"West Nova/Nova-Ouest"," 31","Millville--South Greenwood",32,52,67,19,1,171,443
12011,"West Nova/Nova-Ouest"," 32","Greenwood",35,27,41,10,1,114,502
12011,"West Nova/Nova-Ouest"," 33","Margaretsville",36,64,85,27,1,213,444
12011,"West Nova/Nova-Ouest"," 34","Kingston",18,26,43,5,0,92,341
12011,"West Nova/Nova-Ouest"," 35","Kingston--Greenwood",24,34,40,15,0,113,359
12011,"West Nova/Nova-Ouest"," 36","Greenwood",22,30,41,4,0,97,420
12011,"West Nova/Nova-Ouest"," 37","Melvern Square",41,60,108,27,1,237,444
12011,"West Nova/Nova-Ouest"," 38","Wilmot",20,38,65,12,1,136,346
12011,"West Nova/Nova-Ouest"," 39","Wilmot",27,76,86,19,1,209,454
12011,"West Nova/Nova-Ouest"," 40","Greenwood",15,27,42,3,0,87,312
12011,"West Nova/Nova-Ouest"," 41","Morristown",13,55,70,12,0,150,326
12011,"West Nova/Nova-Ouest"," 42","Morristown",34,54,69,23,0,180,356
12011,"West Nova/Nova-Ouest"," 43","Greenwood",48,14,71,10,1,144,563
12011,"West Nova/Nova-Ouest"," 44","Greenwood",27,53,49,9,1,139,401
12011,"West Nova/Nova-Ouest"," 45","Greenwood",28,56,68,6,1,159,492
12011,"West Nova/Nova-Ouest"," 46","South Greenwood--Tremont",30,57,80,9,0,176,491
12011,"West Nova/Nova-Ouest"," 47","Port George",43,62,65,8,0,178,381
12011,"West Nova/Nova-Ouest"," 48","Wilmot",27,31,47,10,1,116,401
12011,"West Nova/Nova-Ouest"," 49","Wilmot",24,52,52,1,0,129,451
12011,"West Nova/Nova-Ouest"," 50","Middleton",16,56,36,3,0,111,369
12011,"West Nova/Nova-Ouest"," 51","Middleton",25,48,33,11,0,117,355
12011,"West Nova/Nova-Ouest"," 52","Middleton",29,38,27,5,0,99,398
12011,"West Nova/Nova-Ouest"," 53","Brooklyn",22,48,46,5,0,121,320
12011,"West Nova/Nova-Ouest"," 54","Middleton",25,33,28,12,0,98,396
12011,"West Nova/Nova-Ouest"," 55","Meadowvale",48,64,90,11,0,213,441
12011,"West Nova/Nova-Ouest"," 56","Torbrook",27,45,94,16,0,182,408
12011,"West Nova/Nova-Ouest"," 57","East Dalhousie",21,56,45,8,1,131,203
12011,"West Nova/Nova-Ouest"," 58","Port Lorne",22,28,26,4,0,80,195
12011,"West Nova/Nova-Ouest"," 59","Hampton",30,56,46,4,0,136,279
12011,"West Nova/Nova-Ouest"," 60","Lawrencetown",36,40,58,10,2,146,403
12011,"West Nova/Nova-Ouest"," 61","South Williamston",28,33,45,8,0,114,310
12011,"West Nova/Nova-Ouest"," 62","West Lawrencetown",24,44,35,9,1,113,290
12011,"West Nova/Nova-Ouest"," 63","Central Clarence",25,38,42,8,0,113,380
12011,"West Nova/Nova-Ouest"," 64","Clarence West",25,44,27,10,0,106,305
12011,"West Nova/Nova-Ouest"," 65","Bridgetown",12,65,39,5,2,123,388
12011,"West Nova/Nova-Ouest"," 66","Carleton Corner",18,51,20,13,1,103,279
12011,"West Nova/Nova-Ouest"," 67","Meadowvale",19,34,36,7,0,96,343
12011,"West Nova/Nova-Ouest"," 68","Nictaux",38,77,78,8,0,201,455
12011,"West Nova/Nova-Ouest"," 69","Nictaux Falls",31,60,83,29,0,203,472
12011,"West Nova/Nova-Ouest"," 70","Nictaux West",36,79,80,10,2,207,479
12011,"West Nova/Nova-Ouest"," 71","Albany",14,16,26,9,0,65,195
12011,"West Nova/Nova-Ouest"," 72","Bridgetown",37,61,40,10,1,149,387
12011,"West Nova/Nova-Ouest"," 73","Upper Granville",33,56,50,9,2,150,436
12011,"West Nova/Nova-Ouest"," 74","Carleton Corner",17,46,28,13,2,106,255
12011,"West Nova/Nova-Ouest"," 75","Springfield",22,63,73,20,0,178,356
12011,"West Nova/Nova-Ouest"," 76","Young Cove",9,48,41,6,1,105,256
12011,"West Nova/Nova-Ouest"," 77","Round Hill",35,50,53,14,0,152,339
12011,"West Nova/Nova-Ouest"," 78","Mochelle",19,55,51,4,2,131,364
12011,"West Nova/Nova-Ouest"," 79","Hillsburn",29,59,88,14,3,193,377
12011,"West Nova/Nova-Ouest"," 80","West Dalhousie",10,26,14,9,0,59,123
12011,"West Nova/Nova-Ouest"," 81","Granville Ferry",52,80,65,17,0,214,470
12011,"West Nova/Nova-Ouest"," 82","Belleisle",28,59,32,13,0,132,311
12011,"West Nova/Nova-Ouest"," 83","Annapolis Royal",36,75,31,9,0,151,560
12011,"West Nova/Nova-Ouest"," 84","Lequille",23,38,37,11,0,109,262
12011,"West Nova/Nova-Ouest"," 85","Upper Clements",28,50,40,6,0,124,288
12011,"West Nova/Nova-Ouest"," 86","Clementsport",17,37,31,6,0,91,240
12011,"West Nova/Nova-Ouest"," 87","Port Wade",34,87,51,17,1,190,384
12011,"West Nova/Nova-Ouest"," 88","Annapolis, Subd. A",27,51,43,11,0,132,412
12011,"West Nova/Nova-Ouest"," 89","Deep Brook",34,51,53,8,2,148,360
12011,"West Nova/Nova-Ouest"," 90","Bear River East",34,50,72,23,1,180,407
12011,"West Nova/Nova-Ouest"," 91","South Milford",26,54,77,16,1,174,387
12011,"West Nova/Nova-Ouest"," 92","Mount Pleasant",17,38,78,3,0,136,429
12011,"West Nova/Nova-Ouest"," 93","Digby",20,25,55,2,1,103,318
12011,"West Nova/Nova-Ouest"," 94","Digby",14,26,31,1,0,72,255
12011,"West Nova/Nova-Ouest"," 95","Culloden",21,40,49,1,0,111,363
12011,"West Nova/Nova-Ouest"," 96","Maitland Bridge",11,25,27,2,0,65,112
12011,"West Nova/Nova-Ouest"," 97","Conway",9,16,23,4,0,52,252
12011,"West Nova/Nova-Ouest"," 98","Smiths Cove",19,62,85,14,0,180,412
12011,"West Nova/Nova-Ouest"," 99","Digby",33,37,33,9,1,113,421
12011,"West Nova/Nova-Ouest"," 100","Digby",22,39,29,10,0,100,393
12011,"West Nova/Nova-Ouest"," 101","Digby",14,29,51,5,0,99,359
12011,"West Nova/Nova-Ouest"," 102","Acaciaville",18,31,52,8,3,112,430
12011,"West Nova/Nova-Ouest"," 103","Rossway",7,17,76,4,0,104,246
12011,"West Nova/Nova-Ouest"," 104","Bear River East",23,26,73,23,0,145,328
12011,"West Nova/Nova-Ouest"," 105","Bear River",22,47,54,7,2,132,363
12011,"West Nova/Nova-Ouest"," 106","Morganville",22,29,44,17,0,112,246
12011,"West Nova/Nova-Ouest"," 107","Brighton",15,45,64,8,0,132,293
12011,"West Nova/Nova-Ouest"," 108","North Range",16,16,61,8,0,101,290
12011,"West Nova/Nova-Ouest"," 109","Plympton",14,38,101,10,4,167,423
12011,"West Nova/Nova-Ouest"," 110","Ashmore",20,41,77,18,1,157,396
12011,"West Nova/Nova-Ouest"," 111","Sandy Cove",18,26,51,4,0,99,239
12011,"West Nova/Nova-Ouest"," 112","East Ferry",10,17,60,7,3,97,236
12011,"West Nova/Nova-Ouest"," 113","Weymouth",20,28,51,17,0,116,336
12011,"West Nova/Nova-Ouest"," 114","Weymouth North",9,31,83,7,0,130,328
12011,"West Nova/Nova-Ouest"," 115","New Edinburgh",13,39,56,10,2,120,342
12011,"West Nova/Nova-Ouest"," 116","Weymouth",8,49,51,9,2,119,323
12011,"West Nova/Nova-Ouest"," 117","Belliveaus Cove",14,59,71,5,3,152,357
12011,"West Nova/Nova-Ouest"," 118","Danvers",11,26,42,11,0,90,243
12011,"West Nova/Nova-Ouest"," 119","Grosses Coques",20,52,64,4,0,140,384
12011,"West Nova/Nova-Ouest"," 120","Church Point",13,35,54,4,0,106,260
12011,"West Nova/Nova-Ouest"," 121","Tiverton",15,31,57,10,1,114,180
12011,"West Nova/Nova-Ouest"," 122","Concession",9,45,75,7,0,136,343
12011,"West Nova/Nova-Ouest"," 123","Little Brook",13,42,68,0,0,123,352
12011,"West Nova/Nova-Ouest"," 124","Havelock",13,34,74,18,2,141,260
12011,"West Nova/Nova-Ouest"," 125","Corberrie",10,19,51,5,0,85,220
12011,"West Nova/Nova-Ouest"," 126","Comeauville",13,40,62,2,6,123,304
12011,"West Nova/Nova-Ouest"," 127","Kemptville",8,44,73,9,2,136,238
12011,"West Nova/Nova-Ouest"," 128","Freeport",20,29,67,8,1,125,241
12011,"West Nova/Nova-Ouest"," 129","Saulnierville",9,30,60,4,1,104,266
12011,"West Nova/Nova-Ouest"," 130","Saulnierville",4,23,58,3,0,88,201
12011,"West Nova/Nova-Ouest"," 131","Saulnierville Station",12,49,130,7,0,198,440
12011,"West Nova/Nova-Ouest"," 132","Lower Saulnierville",15,51,107,2,6,181,397
12011,"West Nova/Nova-Ouest"," 133","Meteghan River",1,23,44,3,0,71,216
12011,"West Nova/Nova-Ouest"," 134","Meteghan Centre",14,31,75,2,0,122,325
12011,"West Nova/Nova-Ouest"," 135","Meteghan",6,30,65,5,1,107,283
12011,"West Nova/Nova-Ouest"," 136","St. Martin",9,39,84,5,2,139,371
12011,"West Nova/Nova-Ouest"," 137","Meteghan",11,32,86,6,2,137,346
12011,"West Nova/Nova-Ouest"," 138","Westport",8,14,79,5,0,106,178
12011,"West Nova/Nova-Ouest"," 139","Carleton",23,48,102,11,1,185,395
12011,"West Nova/Nova-Ouest"," 140","St. Alphonse",9,57,79,6,0,151,314
12011,"West Nova/Nova-Ouest"," 141","Cape St. Marys",14,44,75,5,2,140,243
12011,"West Nova/Nova-Ouest"," 142","Hectanooga",5,61,65,6,3,140,299
12011,"West Nova/Nova-Ouest"," 143","Salmon River",15,65,95,5,4,184,324
12011,"West Nova/Nova-Ouest"," 144","Quinan",10,40,118,5,0,173,290
12011,"West Nova/Nova-Ouest"," 145","Brazil Lake",20,27,81,6,2,136,313
12011,"West Nova/Nova-Ouest"," 146","Pleasant Valley",13,50,86,4,0,153,349
12011,"West Nova/Nova-Ouest"," 147","Brenton",18,45,83,9,2,157,302
12011,"West Nova/Nova-Ouest"," 148","Raynardton",21,72,180,7,0,280,494
12011,"West Nova/Nova-Ouest"," 149","Port Maitland",28,60,106,12,0,206,383
12011,"West Nova/Nova-Ouest"," 150","Brenton",7,34,103,5,2,151,309
12011,"West Nova/Nova-Ouest"," 151","South Ohio",27,46,117,6,0,196,371
12011,"West Nova/Nova-Ouest"," 152","Sandford",18,34,73,8,1,134,380
12011,"West Nova/Nova-Ouest"," 153","Belleville",9,25,106,5,0,145,394
12011,"West Nova/Nova-Ouest"," 154","Ste. Anne du Ruisseau",12,37,111,1,1,162,313
12011,"West Nova/Nova-Ouest"," 155","Wellington",16,44,86,9,0,155,416
12011,"West Nova/Nova-Ouest"," 156","Greenville",17,39,75,15,3,149,363
12011,"West Nova/Nova-Ouest"," 157","Central Argyle",16,24,154,10,2,206,406
12011,"West Nova/Nova-Ouest"," 158","Hebron",23,72,109,14,2,220,510
12011,"West Nova/Nova-Ouest"," 159","North Chegoggin",15,65,114,10,2,206,453
12011,"West Nova/Nova-Ouest"," 160","Tusket",5,20,53,3,0,81,354
12011,"West Nova/Nova-Ouest"," 161","Hubbards Point",3,14,64,1,1,83,235
12011,"West Nova/Nova-Ouest"," 162","Amiraults Hill",8,39,120,6,1,174,372
12011,"West Nova/Nova-Ouest"," 163","Dayton",21,44,79,6,1,151,425
12011,"West Nova/Nova-Ouest"," 164","Pembroke",15,45,94,10,1,165,344
12011,"West Nova/Nova-Ouest"," 165","South Chegoggin",16,37,101,11,1,166,394
12011,"West Nova/Nova-Ouest"," 166","Yarmouth",23,32,55,5,0,115,332
12011,"West Nova/Nova-Ouest"," 167","Yarmouth",13,50,59,7,2,131,403
12011,"West Nova/Nova-Ouest"," 168","Yarmouth",16,60,76,3,0,155,471
12011,"West Nova/Nova-Ouest"," 169A","Yarmouth",11,62,74,7,2,156,428
12011,"West Nova/Nova-Ouest"," 169B","Mobile poll/Bureau itinérant",2,2,8,0,2,14,15
12011,"West Nova/Nova-Ouest"," 170","Brooklyn",17,51,49,2,0,119,416
12011,"West Nova/Nova-Ouest"," 171","Arcadia",8,45,91,9,1,154,290
12011,"West Nova/Nova-Ouest"," 172","Yarmouth",22,43,61,6,0,132,447
12011,"West Nova/Nova-Ouest"," 173","Yarmouth",21,44,55,10,1,131,474
12011,"West Nova/Nova-Ouest"," 174","Yarmouth",16,41,45,5,1,108,375
12011,"West Nova/Nova-Ouest"," 175","Yarmouth",26,40,43,8,0,117,426
12011,"West Nova/Nova-Ouest"," 176","Yarmouth",9,29,60,5,0,103,321
12011,"West Nova/Nova-Ouest"," 177","Yarmouth",29,37,36,16,0,118,457
12011,"West Nova/Nova-Ouest"," 178A","Yarmouth",17,45,68,10,0,140,551
12011,"West Nova/Nova-Ouest"," 178B","Mobile poll/Bureau itinérant",1,3,5,0,0,9,19
12011,"West Nova/Nova-Ouest"," 179","Yarmouth",15,42,48,5,0,110,378
12011,"West Nova/Nova-Ouest"," 180","Pubnico",4,8,59,0,1,72,282
12011,"West Nova/Nova-Ouest"," 181","East Pubnico",9,21,209,6,0,245,433
12011,"West Nova/Nova-Ouest"," 182","Sand Beach",16,47,84,11,0,158,394
12011,"West Nova/Nova-Ouest"," 183","Overton",23,34,109,15,0,181,314
12011,"West Nova/Nova-Ouest"," 184","Surettes Island",15,32,133,4,0,184,336
12011,"West Nova/Nova-Ouest"," 185","Yarmouth",16,37,22,9,0,84,308
12011,"West Nova/Nova-Ouest"," 186","Kelleys Cove",8,43,82,7,0,140,412
12011,"West Nova/Nova-Ouest"," 187","Upper West Pubnico",9,13,96,0,0,118,377
12011,"West Nova/Nova-Ouest"," 188","Middle West Pubnico",2,18,67,1,0,88,352
12011,"West Nova/Nova-Ouest"," 189","Middle West Pubnico",3,13,98,7,1,122,417
12011,"West Nova/Nova-Ouest"," 190","Lower West Pubnico",5,3,106,2,0,116,375
12011,"West Nova/Nova-Ouest"," 191","Arcadia",8,21,91,9,0,129,332
12011,"West Nova/Nova-Ouest"," 192","Pinkneys Point",9,26,114,7,2,158,286
12011,"West Nova/Nova-Ouest"," 193","Plymouth",9,42,126,4,0,181,358
12011,"West Nova/Nova-Ouest"," 194","Upper Wedgeport",19,55,187,12,1,274,279
12011,"West Nova/Nova-Ouest"," 195","Comeaus Hill",Merged with No./Fusionné avec le n°194,,,,,,229
12011,"West Nova/Nova-Ouest"," 196","Wedgeport",6,48,132,11,1,198,331
12011,"West Nova/Nova-Ouest"," 197","Lower Wedgeport",17,64,161,5,1,248,420
12011,"West Nova/Nova-Ouest"," 500","Mobile poll/Bureau itinérant",5,7,8,2,0,22,20
12011,"West Nova/Nova-Ouest"," 501","Mobile poll/Bureau itinérant",1,4,5,0,0,10,10
12011,"West Nova/Nova-Ouest"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,24
12011,"West Nova/Nova-Ouest"," 503","Mobile poll/Bureau itinérant",4,11,3,2,0,20,24
12011,"West Nova/Nova-Ouest"," 504","Mobile poll/Bureau itinérant",2,10,14,1,0,27,50
12011,"West Nova/Nova-Ouest"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,10
12011,"West Nova/Nova-Ouest"," 506","Mobile poll/Bureau itinérant",6,22,21,3,0,52,121
12011,"West Nova/Nova-Ouest"," 507","Mobile poll/Bureau itinérant",3,15,9,2,0,29,50
12011,"West Nova/Nova-Ouest"," 508","Mobile poll/Bureau itinérant",1,16,10,2,0,29,90
12011,"West Nova/Nova-Ouest"," 509","Mobile poll/Bureau itinérant",5,13,4,1,0,23,33
12011,"West Nova/Nova-Ouest"," 510","Mobile poll/Bureau itinérant",0,11,12,1,3,27,64
12011,"West Nova/Nova-Ouest"," 511","Mobile poll/Bureau itinérant",0,11,8,1,0,20,23
12011,"West Nova/Nova-Ouest"," 512","Mobile poll/Bureau itinérant",0,6,7,1,0,14,17
12011,"West Nova/Nova-Ouest"," 513","Mobile poll/Bureau itinérant",1,10,19,1,0,31,77
12011,"West Nova/Nova-Ouest"," 514","Mobile poll/Bureau itinérant",5,7,12,0,1,25,98
12011,"West Nova/Nova-Ouest"," 515","Mobile poll/Bureau itinérant",0,2,7,0,1,10,22
12011,"West Nova/Nova-Ouest"," 516","Mobile poll/Bureau itinérant",2,3,2,1,1,9,18
12011,"West Nova/Nova-Ouest"," 517","Mobile poll/Bureau itinérant",0,6,6,1,1,14,47
12011,"West Nova/Nova-Ouest"," 518","Mobile poll/Bureau itinérant",0,5,8,0,1,14,17
12011,"West Nova/Nova-Ouest"," 519","Mobile poll/Bureau itinérant",3,11,4,2,1,21,164
12011,"West Nova/Nova-Ouest"," 600","Berwick",104,374,380,49,2,909,
12011,"West Nova/Nova-Ouest"," 601","Waterville",47,211,223,10,1,492,
12011,"West Nova/Nova-Ouest"," 602","Aylesford",56,194,284,23,4,561,
12011,"West Nova/Nova-Ouest"," 603","Kingston--Greenwood",128,297,433,32,7,897,
12011,"West Nova/Nova-Ouest"," 604","Kingston",73,239,338,22,5,677,
12011,"West Nova/Nova-Ouest"," 605","Margaretsville--Wilmot",56,144,250,24,3,477,
12011,"West Nova/Nova-Ouest"," 606","Middleton",69,215,218,18,0,520,
12011,"West Nova/Nova-Ouest"," 607","Nictaux",91,188,232,28,1,540,
12011,"West Nova/Nova-Ouest"," 608","Bridgetown",100,261,263,24,2,650,
12011,"West Nova/Nova-Ouest"," 609","Annapolis Royal",142,278,235,33,7,695,
12011,"West Nova/Nova-Ouest"," 610","Cornwallis Park",74,161,210,21,0,466,
12011,"West Nova/Nova-Ouest"," 611","Digby",61,152,275,33,0,521,
12011,"West Nova/Nova-Ouest"," 612","Digby",70,199,335,26,7,637,
12011,"West Nova/Nova-Ouest"," 613","Little River",19,36,107,10,1,173,
12011,"West Nova/Nova-Ouest"," 614","Church Point",45,209,408,13,2,677,
12011,"West Nova/Nova-Ouest"," 615","Weymouth",38,153,301,14,2,508,
12011,"West Nova/Nova-Ouest"," 616","Yarmouth",24,67,192,14,0,297,
12011,"West Nova/Nova-Ouest"," 617","Meteghan",62,186,419,23,0,690,
12011,"West Nova/Nova-Ouest"," 618","Yarmouth",49,147,308,21,0,525,
12011,"West Nova/Nova-Ouest"," 619","Arcadia",56,206,374,12,4,652,
12011,"West Nova/Nova-Ouest"," 620","Yarmouth",93,449,558,27,10,1137,
12011,"West Nova/Nova-Ouest"," 621","Amiraults Hill",31,145,505,15,1,697,
12011,"West Nova/Nova-Ouest"," 622","Middle West Pubnico",17,74,902,21,2,1016,
12011,"West Nova/Nova-Ouest",,Group 1/Groupe 1, 153,128,382,46,32,741,93
12011,"West Nova/Nova-Ouest",,Group 2/Groupe 2, 121,485,702,65,40,1413,
