Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lee Aquart,Daniel Blanchard,George Chahal,Harry Dhillon,Gurinder Singh Gill,Nadeem Rana,Jag Sahota,Janna So,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Skyview/Calgary Skyview"," 91","Calgary",2,0,60,2,23,0,43,4,2,136,435
48013,"Calgary Skyview/Calgary Skyview"," 92","Calgary",2,1,71,7,33,0,49,2,1,166,398
48013,"Calgary Skyview/Calgary Skyview"," 93","Calgary",0,0,73,11,29,1,39,5,0,158,396
48013,"Calgary Skyview/Calgary Skyview"," 94","Calgary",0,0,56,5,24,0,42,0,1,128,399
48013,"Calgary Skyview/Calgary Skyview"," 95","Calgary",0,1,60,0,27,1,36,2,4,131,401
48013,"Calgary Skyview/Calgary Skyview"," 96","Calgary",0,0,71,6,18,0,40,1,1,137,391
48013,"Calgary Skyview/Calgary Skyview"," 97","Calgary",0,1,57,3,33,0,27,1,2,124,357
48013,"Calgary Skyview/Calgary Skyview"," 98","Calgary",0,0,52,8,25,0,45,0,1,131,400
48013,"Calgary Skyview/Calgary Skyview"," 99","Calgary",0,0,75,3,23,0,43,1,4,149,482
48013,"Calgary Skyview/Calgary Skyview"," 100","Calgary",0,1,101,3,26,0,36,4,0,171,471
48013,"Calgary Skyview/Calgary Skyview"," 101","Calgary",1,0,106,9,42,0,41,0,1,200,451
48013,"Calgary Skyview/Calgary Skyview"," 102","Calgary",0,0,98,6,34,0,52,2,0,192,461
48013,"Calgary Skyview/Calgary Skyview"," 103","Calgary",0,0,92,5,39,0,52,2,3,193,404
48013,"Calgary Skyview/Calgary Skyview"," 104","Calgary",2,1,34,6,32,0,59,2,1,137,441
48013,"Calgary Skyview/Calgary Skyview"," 105","Calgary",0,0,48,2,34,0,47,4,3,138,435
48013,"Calgary Skyview/Calgary Skyview"," 106","Calgary",1,1,91,3,32,0,14,0,1,143,529
48013,"Calgary Skyview/Calgary Skyview"," 107","Calgary",1,0,63,2,22,0,38,1,2,129,402
48013,"Calgary Skyview/Calgary Skyview"," 108","Calgary",0,0,79,4,28,0,27,0,1,139,429
48013,"Calgary Skyview/Calgary Skyview"," 109","Calgary",0,0,103,1,35,2,22,2,3,168,543
48013,"Calgary Skyview/Calgary Skyview"," 110","Calgary",1,3,72,3,21,1,31,0,0,132,431
48013,"Calgary Skyview/Calgary Skyview"," 111","Calgary",0,2,60,7,28,0,39,2,2,140,417
48013,"Calgary Skyview/Calgary Skyview"," 112","Calgary",1,0,87,7,26,0,62,1,1,185,511
48013,"Calgary Skyview/Calgary Skyview"," 113A","Calgary",2,0,62,3,23,0,34,1,0,125,392
48013,"Calgary Skyview/Calgary Skyview"," 113B","Calgary",1,1,65,3,30,2,18,0,0,120,387
48013,"Calgary Skyview/Calgary Skyview"," 114","Calgary",1,0,58,0,31,1,31,1,0,123,366
48013,"Calgary Skyview/Calgary Skyview"," 115","Calgary",0,0,51,5,23,0,37,2,0,118,323
48013,"Calgary Skyview/Calgary Skyview"," 116","Calgary",0,0,66,11,24,0,63,4,1,169,397
48013,"Calgary Skyview/Calgary Skyview"," 117","Calgary",0,0,48,9,26,0,59,2,2,146,379
48013,"Calgary Skyview/Calgary Skyview"," 118","Calgary",0,0,57,8,24,0,43,4,1,137,348
48013,"Calgary Skyview/Calgary Skyview"," 119","Calgary",1,0,48,8,32,0,69,0,3,161,446
48013,"Calgary Skyview/Calgary Skyview"," 120","Calgary",0,1,70,15,27,0,37,4,0,154,366
48013,"Calgary Skyview/Calgary Skyview"," 121","Calgary",0,3,92,5,29,0,69,1,0,199,498
48013,"Calgary Skyview/Calgary Skyview"," 122","Calgary",0,1,34,4,17,0,43,1,0,100,363
48013,"Calgary Skyview/Calgary Skyview"," 123","Calgary",0,0,103,3,36,0,49,1,1,193,390
48013,"Calgary Skyview/Calgary Skyview"," 124","Calgary",1,0,43,6,26,0,33,0,3,112,368
48013,"Calgary Skyview/Calgary Skyview"," 125","Calgary",0,0,43,11,16,1,29,2,6,108,357
48013,"Calgary Skyview/Calgary Skyview"," 126","Calgary",2,1,27,2,15,1,28,2,1,79,316
48013,"Calgary Skyview/Calgary Skyview"," 127","Calgary",2,1,74,6,24,1,42,1,1,152,400
48013,"Calgary Skyview/Calgary Skyview"," 128","Calgary",2,0,56,8,30,0,50,1,2,149,494
48013,"Calgary Skyview/Calgary Skyview"," 129","Calgary",0,0,66,9,39,0,47,3,4,168,504
48013,"Calgary Skyview/Calgary Skyview"," 130","Calgary",0,1,51,11,19,0,42,0,1,125,425
48013,"Calgary Skyview/Calgary Skyview"," 131","Calgary",0,0,32,11,19,0,41,3,1,107,384
48013,"Calgary Skyview/Calgary Skyview"," 132","Calgary",1,3,71,4,26,0,52,4,3,164,442
48013,"Calgary Skyview/Calgary Skyview"," 133","Calgary",2,0,41,6,33,0,32,4,1,119,397
48013,"Calgary Skyview/Calgary Skyview"," 134","Calgary",0,0,55,5,17,0,39,1,3,120,429
48013,"Calgary Skyview/Calgary Skyview"," 135","Calgary",1,0,46,12,24,0,39,1,2,125,442
48013,"Calgary Skyview/Calgary Skyview"," 136","Calgary",0,0,40,10,23,0,32,4,0,109,378
48013,"Calgary Skyview/Calgary Skyview"," 137","Calgary",1,1,41,12,28,0,60,3,1,147,455
48013,"Calgary Skyview/Calgary Skyview"," 138","Calgary",2,1,39,5,14,0,29,2,3,95,376
48013,"Calgary Skyview/Calgary Skyview"," 139","Calgary",0,1,64,6,23,0,60,2,0,156,430
48013,"Calgary Skyview/Calgary Skyview"," 140","Calgary",0,0,68,6,18,0,36,1,3,132,386
48013,"Calgary Skyview/Calgary Skyview"," 141","Calgary",1,0,23,4,32,0,37,2,5,104,326
48013,"Calgary Skyview/Calgary Skyview"," 142","Calgary",1,1,38,6,20,0,49,3,6,124,404
48013,"Calgary Skyview/Calgary Skyview"," 143","Calgary",0,0,59,8,11,0,55,0,3,136,371
48013,"Calgary Skyview/Calgary Skyview"," 144","Calgary",0,0,57,7,23,0,33,1,3,124,456
48013,"Calgary Skyview/Calgary Skyview"," 145","Calgary",0,1,58,5,32,0,67,2,3,168,434
48013,"Calgary Skyview/Calgary Skyview"," 146","Calgary",0,0,63,2,16,0,46,0,3,130,363
48013,"Calgary Skyview/Calgary Skyview"," 147","Calgary",1,0,51,7,11,0,30,1,0,101,366
48013,"Calgary Skyview/Calgary Skyview"," 148","Calgary",2,0,26,8,21,0,45,0,4,106,437
48013,"Calgary Skyview/Calgary Skyview"," 149","Calgary",0,0,72,9,15,0,31,2,8,137,466
48013,"Calgary Skyview/Calgary Skyview"," 150","Calgary",0,0,37,4,20,0,47,0,0,108,334
48013,"Calgary Skyview/Calgary Skyview"," 151","Calgary",0,1,33,4,25,2,30,0,1,96,395
48013,"Calgary Skyview/Calgary Skyview"," 152","Calgary",2,0,85,9,31,2,53,2,1,185,505
48013,"Calgary Skyview/Calgary Skyview"," 153","Calgary",0,0,44,7,12,0,31,1,0,95,356
48013,"Calgary Skyview/Calgary Skyview"," 154","Calgary",0,1,42,7,15,0,35,2,0,102,386
48013,"Calgary Skyview/Calgary Skyview"," 155","Calgary",0,1,38,2,16,0,35,1,1,94,375
48013,"Calgary Skyview/Calgary Skyview"," 156","Calgary",0,1,33,8,27,0,77,4,1,151,522
48013,"Calgary Skyview/Calgary Skyview"," 157","Calgary",1,1,53,5,29,1,64,2,2,158,505
48013,"Calgary Skyview/Calgary Skyview"," 158","Calgary",1,0,57,4,20,0,60,5,0,147,382
48013,"Calgary Skyview/Calgary Skyview"," 159","Calgary",2,0,37,5,15,0,36,3,0,98,357
48013,"Calgary Skyview/Calgary Skyview"," 160","Calgary",1,0,28,4,35,1,67,5,0,141,451
48013,"Calgary Skyview/Calgary Skyview"," 161","Calgary",0,0,37,11,22,0,55,4,1,130,411
48013,"Calgary Skyview/Calgary Skyview"," 162","Calgary",0,0,54,11,15,1,65,1,2,149,437
48013,"Calgary Skyview/Calgary Skyview"," 163","Calgary",1,0,46,1,17,1,60,0,0,126,384
48013,"Calgary Skyview/Calgary Skyview"," 164","Calgary",0,0,48,2,16,0,73,0,1,140,379
48013,"Calgary Skyview/Calgary Skyview"," 165","Calgary",1,1,55,7,41,1,57,1,2,166,396
48013,"Calgary Skyview/Calgary Skyview"," 166","Calgary",0,0,50,10,32,0,48,0,2,142,455
48013,"Calgary Skyview/Calgary Skyview"," 167","Calgary",4,0,68,6,29,1,69,1,1,179,440
48013,"Calgary Skyview/Calgary Skyview"," 168","Calgary",6,0,35,8,25,0,36,2,0,112,436
48013,"Calgary Skyview/Calgary Skyview"," 169","Calgary",1,1,55,11,20,1,58,1,0,148,392
48013,"Calgary Skyview/Calgary Skyview"," 170","Calgary",3,1,53,12,24,0,61,5,3,162,445
48013,"Calgary Skyview/Calgary Skyview"," 171","Calgary",0,1,46,4,28,2,55,3,0,139,387
48013,"Calgary Skyview/Calgary Skyview"," 172","Calgary",1,0,49,6,32,0,61,1,0,150,401
48013,"Calgary Skyview/Calgary Skyview"," 400","Calgary",0,0,61,8,16,1,159,3,0,248,347
48013,"Calgary Skyview/Calgary Skyview"," 401","Calgary",0,0,30,6,19,0,36,2,1,94,350
48013,"Calgary Skyview/Calgary Skyview"," 402","Calgary",0,0,42,9,33,0,59,3,0,146,463
48013,"Calgary Skyview/Calgary Skyview"," 500","Mobile poll/Bureau itinérant",0,1,14,1,6,0,53,0,1,76,102
48013,"Calgary Skyview/Calgary Skyview"," 501","Mobile poll/Bureau itinérant",0,0,10,0,3,0,27,1,3,44,82
48013,"Calgary Skyview/Calgary Skyview"," 502","Mobile poll/Bureau itinérant",1,1,11,7,9,1,23,0,0,53,85
48013,"Calgary Skyview/Calgary Skyview"," 503","Mobile poll/Bureau itinérant",0,1,39,2,6,2,2,2,4,58,115
48013,"Calgary Skyview/Calgary Skyview"," 504","Mobile poll/Bureau itinérant",0,0,20,3,12,1,31,1,4,72,97
48013,"Calgary Skyview/Calgary Skyview"," 505","Mobile poll/Bureau itinérant",1,1,32,3,5,0,46,2,3,93,245
48013,"Calgary Skyview/Calgary Skyview"," 600","Calgary",5,2,391,60,178,2,703,5,7,1353,
48013,"Calgary Skyview/Calgary Skyview"," 601","Calgary",2,0,304,62,166,6,623,7,2,1172,
48013,"Calgary Skyview/Calgary Skyview"," 602","Calgary",3,0,200,44,91,2,427,11,3,781,
48013,"Calgary Skyview/Calgary Skyview"," 603","Calgary",9,6,339,48,199,0,1033,10,11,1655,
48013,"Calgary Skyview/Calgary Skyview"," 604","Calgary",0,1,354,19,74,0,186,3,3,640,
48013,"Calgary Skyview/Calgary Skyview"," 605","Calgary",0,3,793,11,195,1,239,3,2,1247,
48013,"Calgary Skyview/Calgary Skyview"," 606","Calgary",1,0,656,24,181,3,381,9,27,1282,
48013,"Calgary Skyview/Calgary Skyview"," 607","Calgary",3,3,514,33,187,1,383,10,29,1163,
48013,"Calgary Skyview/Calgary Skyview"," 608","Calgary",4,2,725,23,144,5,212,6,5,1126,
48013,"Calgary Skyview/Calgary Skyview"," 609","Calgary",4,3,660,21,147,4,231,5,2,1077,
48013,"Calgary Skyview/Calgary Skyview"," 610","Calgary",3,2,498,17,92,0,155,9,4,780,
48013,"Calgary Skyview/Calgary Skyview"," 611","Calgary",3,0,379,19,75,1,258,7,6,748,
48013,"Calgary Skyview/Calgary Skyview"," 612","Calgary",0,1,285,26,82,0,271,10,0,675,
48013,"Calgary Skyview/Calgary Skyview"," 613","Calgary",2,0,295,24,77,3,313,2,4,720,
48013,"Calgary Skyview/Calgary Skyview"," 614","Calgary",5,1,188,23,75,0,304,6,2,604,
48013,"Calgary Skyview/Calgary Skyview"," 615","Calgary",6,1,306,31,70,2,381,6,10,813,
48013,"Calgary Skyview/Calgary Skyview"," 616","Calgary",4,3,317,30,125,2,363,5,0,849,
48013,"Calgary Skyview/Calgary Skyview",,Group 1/Groupe 1, 3,3,134,12,67,2,199,6,20,446,162
48013,"Calgary Skyview/Calgary Skyview",,Group 2/Groupe 2, 5,4,590,33,230,0,502,7,54,1425,
