Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,85
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 502","Mobile poll/Bureau itinérant",32,1,6,6,32,1,0,4,82,86
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 503","Mobile poll/Bureau itinérant",27,2,7,5,12,2,1,2,58,55
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°514,,,,,,,,,42
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 505","Mobile poll/Bureau itinérant",38,1,4,0,15,2,0,1,61,84
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 506","Mobile poll/Bureau itinérant",10,1,8,0,10,0,3,2,34,31
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 507","Mobile poll/Bureau itinérant",21,2,6,5,22,4,2,0,62,91
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,31
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,,76
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 510","Mobile poll/Bureau itinérant",39,1,5,2,39,0,0,4,90,121
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 511","Mobile poll/Bureau itinérant",16,0,9,1,16,3,0,1,46,154
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 512","Mobile poll/Bureau itinérant",15,1,5,3,8,0,1,2,35,69
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 513","Mobile poll/Bureau itinérant",19,0,7,2,19,0,1,0,48,67
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 514","Mobile poll/Bureau itinérant",22,1,9,2,11,1,2,4,52,46
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 515","Mobile poll/Bureau itinérant",39,0,12,0,29,0,2,0,82,197
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°515,,,,,,,,,56
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 600","Port Loring",259,0,36,6,81,1,25,4,412,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 601","Britt",90,0,22,6,34,0,9,1,162,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 602","Parry Sound",583,1,106,51,224,2,56,2,1025,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 603","Parry Sound",494,2,193,69,349,11,68,10,1196,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 604","Parry Sound",402,1,101,27,160,2,55,1,749,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 605","Burk's Falls",463,3,103,44,169,1,116,5,904,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 606","South River",634,3,197,45,245,1,122,9,1256,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 607","Kearney--Perry",215,0,46,15,77,1,55,1,410,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 608","Huntsville",422,1,89,47,164,0,54,3,780,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 609","Huntsville",583,0,197,70,226,1,74,8,1159,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 610","Huntsville",542,1,102,31,153,1,100,5,935,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 611","Huntsville",523,1,135,56,155,4,61,7,942,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 612","Bracebridge",664,0,209,80,260,2,70,1,1286,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 613","Port Carling",419,0,65,32,170,2,33,4,725,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 614","Baxter",339,2,46,15,145,0,24,2,573,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 615","Gravenhurst",403,3,93,35,197,4,62,1,798,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 616","Gravenhurst",422,1,152,62,240,1,65,0,943,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 617","Bracebridge",650,1,233,77,361,0,63,9,1394,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 618","Bracebridge",612,1,241,87,316,3,136,7,1403,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 619","Gravenhurst",341,0,127,46,163,4,57,2,740,
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 1/Groupe 1, 191,1,111,16,129,0,29,19,496,136
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 2/Groupe 2, 1675,0,516,190,747,3,158,60,3349,
