Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Afeez Ajibowu,Katelyn Cody,Chelsea Hillier,Michael Hopkins,Amanda Stark,Karen Vecchio,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 118B","Central Elgin",37,54,20,1,6,137,0,255,578
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 119A","Bayham",14,36,61,3,4,97,3,218,648
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 119B","Bayham",30,33,51,1,3,103,3,224,659
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 120A","Malahide",52,43,37,3,7,161,4,307,696
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 120B","Malahide",44,32,35,3,19,178,1,312,680
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 121","Port Stanley",95,45,14,0,17,133,1,305,914
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 122A","Southwold",50,43,30,0,12,82,0,217,558
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 122B","Southwold",52,53,15,0,6,107,0,233,539
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 123A","Port Stanley",42,28,11,0,6,109,1,197,684
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 123B","Port Stanley",75,43,13,2,4,124,0,261,716
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124A","Dutton",56,56,28,2,8,212,1,363,177
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124B","Dutton",36,31,30,1,4,157,1,260,128
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124C","Dutton",27,32,33,1,2,155,3,253,168
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124D","Dutton",47,62,40,2,16,193,0,360,140
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125A","Dunwich",Merged with No./Fusionné avec le n°124A,,,,,,,,154
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125B","Dunwich",Merged with No./Fusionné avec le n°124B,,,,,,,,129
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125C","Dutton",Merged with No./Fusionné avec le n°124C,,,,,,,,144
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125D","Dunwich",Merged with No./Fusionné avec le n°124D,,,,,,,,147
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126A","Dutton/Dunwich",Merged with No./Fusionné avec le n°124A,,,,,,,,215
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126B","Dutton/Dunwich",Merged with No./Fusionné avec le n°124B,,,,,,,,119
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126C","Dutton/Dunwich",Merged with No./Fusionné avec le n°124C,,,,,,,,185
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126D","Dutton/Dunwich",Merged with No./Fusionné avec le n°124D,,,,,,,,207
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127A","Dutton/Dunwich",Merged with No./Fusionné avec le n°124A,,,,,,,,196
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127B","Dutton/Dunwich",Merged with No./Fusionné avec le n°124B,,,,,,,,139
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127C","Dutton/Dunwich",Merged with No./Fusionné avec le n°124C,,,,,,,,129
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127D","Dutton/Dunwich",Merged with No./Fusionné avec le n°124D,,,,,,,,220
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128A","Wallacetown",Merged with No./Fusionné avec le n°124A,,,,,,,,199
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128B","Wallacetown",Merged with No./Fusionné avec le n°124B,,,,,,,,148
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128C","Wallacetown",Merged with No./Fusionné avec le n°124C,,,,,,,,103
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128D","Wallacetown",Merged with No./Fusionné avec le n°124D,,,,,,,,176
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 129A","West Lorne",47,63,44,0,10,143,0,307,805
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 129B","West Lorne",48,64,41,2,6,112,1,274,793
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 130","Eagle",49,32,27,2,4,126,3,243,614
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 131A","Rodney",72,78,48,1,10,206,4,419,976
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 131B","Rodney",74,73,75,4,9,180,6,421,985
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 400","Mobile poll/Bureau itinérant",12,4,1,0,1,24,1,43,131
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 401","Mobile poll/Bureau itinérant",30,9,2,0,2,26,1,70,182
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 501","Mobile poll/Bureau itinérant",3,1,0,0,0,9,0,13,58
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 502","Mobile poll/Bureau itinérant",8,3,2,2,0,44,3,62,92
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 503","Mobile poll/Bureau itinérant",7,4,1,1,0,10,0,23,40
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 504","Mobile poll/Bureau itinérant",6,1,0,0,0,6,0,13,4
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 505","Mobile poll/Bureau itinérant",6,1,0,2,0,10,0,19,44
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 506","Mobile poll/Bureau itinérant",6,0,4,0,0,11,0,21,51
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 507","Mobile poll/Bureau itinérant",10,0,0,1,0,12,2,25,30
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 508","Mobile poll/Bureau itinérant",5,1,0,0,0,19,0,25,96
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 600","Thorndale",171,107,88,3,24,613,2,1008,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 601","Dorchester",177,108,116,2,23,582,0,1008,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 602","London",431,191,133,4,22,866,2,1649,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 603","London",350,135,81,2,6,439,4,1017,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 604","Belmont",170,125,116,2,23,633,6,1075,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 605","Bayham",125,101,348,12,17,534,2,1139,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 606","Malahide",119,128,544,12,19,781,6,1609,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 607","Malahide",143,140,341,15,23,818,6,1486,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 608","St. Thomas--Central Elgin",326,249,177,6,25,937,9,1729,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 609","St. Thomas",317,271,189,4,47,784,2,1614,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 610","St. Thomas",212,224,121,5,38,534,5,1139,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 611","St. Thomas",297,229,160,9,40,904,6,1645,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 612","St. Thomas--Central Elgin",223,132,104,1,4,512,3,979,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 613","Port Stanley",296,169,127,3,28,723,6,1352,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 614","Shedden",84,89,84,7,12,449,2,727,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 615","Dutton",101,117,85,2,20,513,1,839,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 616","Rodney",148,107,139,9,31,454,4,892,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 617","Thames Centre",201,132,101,13,21,520,1,989,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 618","St. Thomas",227,130,111,4,18,582,2,1074,
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 1/Groupe 1, 100,100,26,0,14,149,19,408,118
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 2/Groupe 2, 545,345,155,4,46,914,62,2071,
