Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Anstey,Gudie Hutchings,Kaila Mintz,Darrell Shelley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 81","Corner Brook",28,57,26,9,1,121,396
10005,"Long Range Mountains/Long Range Mountains"," 82","Corner Brook",31,51,19,2,1,104,342
10005,"Long Range Mountains/Long Range Mountains"," 83","Gillams",68,71,29,2,0,170,436
10005,"Long Range Mountains/Long Range Mountains"," 84","Corner Brook",30,66,29,1,1,127,356
10005,"Long Range Mountains/Long Range Mountains"," 85","Corner Brook",42,59,25,8,5,139,390
10005,"Long Range Mountains/Long Range Mountains"," 86","Corner Brook",29,60,27,3,0,119,350
10005,"Long Range Mountains/Long Range Mountains"," 87","Corner Brook",10,31,24,4,0,69,250
10005,"Long Range Mountains/Long Range Mountains"," 88A","Corner Brook",28,48,21,3,0,100,259
10005,"Long Range Mountains/Long Range Mountains"," 88B","Mobile poll/Bureau itinérant",7,34,2,0,0,43,88
10005,"Long Range Mountains/Long Range Mountains"," 89A","Summerside",57,57,24,8,1,147,288
10005,"Long Range Mountains/Long Range Mountains"," 89B","Summerside",53,41,22,5,0,121,264
10005,"Long Range Mountains/Long Range Mountains"," 90","Corner Brook",25,45,19,6,0,95,325
10005,"Long Range Mountains/Long Range Mountains"," 91","Corner Brook",34,79,31,3,1,148,465
10005,"Long Range Mountains/Long Range Mountains"," 92","Corner Brook",30,59,43,3,0,135,419
10005,"Long Range Mountains/Long Range Mountains"," 93","Corner Brook",43,80,37,4,2,166,473
10005,"Long Range Mountains/Long Range Mountains"," 94","Corner Brook",22,85,35,3,1,146,498
10005,"Long Range Mountains/Long Range Mountains"," 95","Corner Brook",28,72,32,12,2,146,408
10005,"Long Range Mountains/Long Range Mountains"," 96","Meadows",87,85,31,14,1,218,348
10005,"Long Range Mountains/Long Range Mountains"," 97","Lark Harbour",72,94,22,16,1,205,450
10005,"Long Range Mountains/Long Range Mountains"," 98","Corner Brook",42,84,59,5,8,198,541
10005,"Long Range Mountains/Long Range Mountains"," 99","Corner Brook",35,55,23,3,1,117,428
10005,"Long Range Mountains/Long Range Mountains"," 100","Corner Brook",32,50,39,6,2,129,381
10005,"Long Range Mountains/Long Range Mountains"," 101","Corner Brook",46,51,15,8,1,121,400
10005,"Long Range Mountains/Long Range Mountains"," 102","Corner Brook",45,63,23,4,0,135,464
10005,"Long Range Mountains/Long Range Mountains"," 103","Corner Brook",48,51,32,10,1,142,439
10005,"Long Range Mountains/Long Range Mountains"," 104","Corner Brook",46,50,20,9,0,125,415
10005,"Long Range Mountains/Long Range Mountains"," 105","Corner Brook",44,86,35,6,0,171,380
10005,"Long Range Mountains/Long Range Mountains"," 106","Humber Arm South",119,87,35,21,3,265,664
