Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Naden Abenes,Brad Armstrong,Joyce Murray,Renate Siekmann,Devyani Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Quadra/Vancouver Quadra"," 19","Vancouver",46,55,54,3,7,1,166,535
59039,"Vancouver Quadra/Vancouver Quadra"," 20","Vancouver",32,37,65,0,9,0,143,572
59039,"Vancouver Quadra/Vancouver Quadra"," 21","Vancouver",25,40,58,1,10,1,135,495
59039,"Vancouver Quadra/Vancouver Quadra"," 22","Vancouver",49,47,68,3,14,0,181,574
59039,"Vancouver Quadra/Vancouver Quadra"," 23","Vancouver",50,34,73,3,4,1,165,512
59039,"Vancouver Quadra/Vancouver Quadra"," 24","Vancouver",33,30,64,3,16,0,146,518
59039,"Vancouver Quadra/Vancouver Quadra"," 25","Vancouver",57,33,83,1,20,0,194,576
59039,"Vancouver Quadra/Vancouver Quadra"," 26","Vancouver",63,29,73,3,9,0,177,571
59039,"Vancouver Quadra/Vancouver Quadra"," 27","Vancouver",49,67,79,5,20,0,220,669
59039,"Vancouver Quadra/Vancouver Quadra"," 28","Vancouver",48,33,84,4,18,0,187,504
59039,"Vancouver Quadra/Vancouver Quadra"," 29","Vancouver",56,39,105,1,20,0,221,553
59039,"Vancouver Quadra/Vancouver Quadra"," 30","Vancouver",52,40,84,2,12,0,190,553
59039,"Vancouver Quadra/Vancouver Quadra"," 31","Vancouver",52,24,72,0,23,1,172,513
59039,"Vancouver Quadra/Vancouver Quadra"," 32","Vancouver",29,30,52,3,14,0,128,570
59039,"Vancouver Quadra/Vancouver Quadra"," 33","Vancouver",33,29,63,4,7,2,138,527
59039,"Vancouver Quadra/Vancouver Quadra"," 34","Vancouver",33,44,59,1,7,1,145,539
59039,"Vancouver Quadra/Vancouver Quadra"," 35","Vancouver",30,27,63,2,11,0,133,419
59039,"Vancouver Quadra/Vancouver Quadra"," 36","Vancouver",35,35,58,6,20,2,156,465
59039,"Vancouver Quadra/Vancouver Quadra"," 37","Vancouver",44,28,63,6,13,0,154,423
59039,"Vancouver Quadra/Vancouver Quadra"," 38","Vancouver",38,41,77,4,23,0,183,502
59039,"Vancouver Quadra/Vancouver Quadra"," 39","Vancouver",36,27,83,8,14,0,168,517
59039,"Vancouver Quadra/Vancouver Quadra"," 40","Vancouver",55,36,61,3,19,0,174,463
59039,"Vancouver Quadra/Vancouver Quadra"," 41","Vancouver",45,28,63,8,14,1,159,438
59039,"Vancouver Quadra/Vancouver Quadra"," 42","Vancouver",55,55,101,1,11,1,224,525
59039,"Vancouver Quadra/Vancouver Quadra"," 43","Vancouver",47,33,57,10,10,1,158,506
59039,"Vancouver Quadra/Vancouver Quadra"," 44","Vancouver",47,35,79,4,13,0,178,547
59039,"Vancouver Quadra/Vancouver Quadra"," 45","Vancouver",36,49,66,6,4,1,162,511
59039,"Vancouver Quadra/Vancouver Quadra"," 46","Vancouver",26,64,88,4,22,2,206,548
59039,"Vancouver Quadra/Vancouver Quadra"," 47","Vancouver",53,52,123,3,24,0,255,560
59039,"Vancouver Quadra/Vancouver Quadra"," 48","Vancouver",34,50,66,3,15,0,168,547
59039,"Vancouver Quadra/Vancouver Quadra"," 49","Metro Vancouver A",17,27,28,5,3,1,81,337
59039,"Vancouver Quadra/Vancouver Quadra"," 50","Metro Vancouver A",Void/Supprimé,,,,,,,
59039,"Vancouver Quadra/Vancouver Quadra"," 51","Metro Vancouver A",7,32,38,1,3,0,81,364
59039,"Vancouver Quadra/Vancouver Quadra"," 52","Metro Vancouver A",35,35,75,7,6,0,158,743
59039,"Vancouver Quadra/Vancouver Quadra"," 53A","Metro Vancouver A",29,25,35,0,4,0,93,417
59039,"Vancouver Quadra/Vancouver Quadra"," 53B","Metro Vancouver A",Merged with No./Fusionné avec le n°401,,,,,,,48
59039,"Vancouver Quadra/Vancouver Quadra"," 54","Metro Vancouver A",45,51,98,2,3,0,199,727
59039,"Vancouver Quadra/Vancouver Quadra"," 55","Metro Vancouver A",111,58,110,6,14,1,300,938
59039,"Vancouver Quadra/Vancouver Quadra"," 56","Metro Vancouver A",48,24,75,2,13,0,162,425
59039,"Vancouver Quadra/Vancouver Quadra"," 57","Vancouver",46,23,77,2,14,1,163,561
59039,"Vancouver Quadra/Vancouver Quadra"," 58","Vancouver",42,41,73,0,12,1,169,586
59039,"Vancouver Quadra/Vancouver Quadra"," 59","Vancouver",50,37,67,4,19,0,177,587
59039,"Vancouver Quadra/Vancouver Quadra"," 60","Vancouver",43,53,70,2,9,2,179,459
59039,"Vancouver Quadra/Vancouver Quadra"," 61","Vancouver",52,29,53,8,16,0,158,515
59039,"Vancouver Quadra/Vancouver Quadra"," 62","Vancouver",31,57,74,2,9,0,173,539
59039,"Vancouver Quadra/Vancouver Quadra"," 63","Vancouver",44,35,75,5,16,0,175,524
59039,"Vancouver Quadra/Vancouver Quadra"," 64","Vancouver",61,38,88,9,15,0,211,559
59039,"Vancouver Quadra/Vancouver Quadra"," 65","Vancouver",38,46,86,5,7,0,182,556
59039,"Vancouver Quadra/Vancouver Quadra"," 66","Vancouver",47,50,92,3,17,0,209,622
59039,"Vancouver Quadra/Vancouver Quadra"," 67","Vancouver",40,38,65,9,16,0,168,466
59039,"Vancouver Quadra/Vancouver Quadra"," 68","Vancouver",53,29,70,10,11,0,173,440
59039,"Vancouver Quadra/Vancouver Quadra"," 69","Vancouver",45,24,54,4,23,1,151,415
59039,"Vancouver Quadra/Vancouver Quadra"," 70","Vancouver",59,27,59,1,16,0,162,476
59039,"Vancouver Quadra/Vancouver Quadra"," 71","Vancouver",43,25,64,8,13,0,153,504
59039,"Vancouver Quadra/Vancouver Quadra"," 72","Vancouver",49,26,83,4,15,1,178,518
59039,"Vancouver Quadra/Vancouver Quadra"," 73","Vancouver",52,20,53,4,12,0,141,431
59039,"Vancouver Quadra/Vancouver Quadra"," 74","Vancouver",46,29,54,5,11,0,145,440
59039,"Vancouver Quadra/Vancouver Quadra"," 75","Vancouver",42,31,57,13,12,1,156,471
59039,"Vancouver Quadra/Vancouver Quadra"," 76","Vancouver",43,28,75,0,12,0,158,485
59039,"Vancouver Quadra/Vancouver Quadra"," 77","Vancouver",56,25,69,5,19,0,174,547
59039,"Vancouver Quadra/Vancouver Quadra"," 78","Vancouver",48,29,67,5,14,1,164,563
59039,"Vancouver Quadra/Vancouver Quadra"," 79","Vancouver",76,26,53,6,11,0,172,534
59039,"Vancouver Quadra/Vancouver Quadra"," 80","Vancouver",57,30,63,4,11,1,166,500
59039,"Vancouver Quadra/Vancouver Quadra"," 81","Vancouver",44,47,67,6,7,3,174,576
59039,"Vancouver Quadra/Vancouver Quadra"," 82","Vancouver",28,41,58,5,13,1,146,543
59039,"Vancouver Quadra/Vancouver Quadra"," 83","Vancouver",44,38,79,1,12,0,174,535
59039,"Vancouver Quadra/Vancouver Quadra"," 84","Vancouver",55,40,76,1,9,0,181,535
59039,"Vancouver Quadra/Vancouver Quadra"," 85","Vancouver",43,90,103,4,19,0,259,574
59039,"Vancouver Quadra/Vancouver Quadra"," 86","Vancouver",43,49,89,1,11,3,196,500
59039,"Vancouver Quadra/Vancouver Quadra"," 87","Vancouver",30,62,116,3,4,0,215,571
59039,"Vancouver Quadra/Vancouver Quadra"," 88","Vancouver",40,28,62,3,8,0,141,467
59039,"Vancouver Quadra/Vancouver Quadra"," 89","Vancouver",29,18,57,4,15,0,123,453
59039,"Vancouver Quadra/Vancouver Quadra"," 90","Vancouver",30,23,83,3,3,0,142,516
59039,"Vancouver Quadra/Vancouver Quadra"," 91","Vancouver",22,56,56,4,10,0,148,531
59039,"Vancouver Quadra/Vancouver Quadra"," 92","Vancouver",32,59,72,1,2,0,166,583
59039,"Vancouver Quadra/Vancouver Quadra"," 93","Vancouver",26,64,74,3,11,1,179,494
59039,"Vancouver Quadra/Vancouver Quadra"," 94","Vancouver",52,60,94,5,15,0,226,600
59039,"Vancouver Quadra/Vancouver Quadra"," 95","Vancouver",27,78,81,3,6,0,195,563
59039,"Vancouver Quadra/Vancouver Quadra"," 96","Vancouver",23,44,75,4,5,0,151,544
59039,"Vancouver Quadra/Vancouver Quadra"," 97","Vancouver",28,70,99,5,11,0,213,558
59039,"Vancouver Quadra/Vancouver Quadra"," 98","Vancouver",23,75,99,3,6,0,206,539
59039,"Vancouver Quadra/Vancouver Quadra"," 99","Vancouver",34,54,99,10,16,1,214,604
59039,"Vancouver Quadra/Vancouver Quadra"," 100","Vancouver",29,58,78,4,10,0,179,583
59039,"Vancouver Quadra/Vancouver Quadra"," 101","Vancouver",37,58,79,1,9,0,184,530
59039,"Vancouver Quadra/Vancouver Quadra"," 102","Vancouver",24,66,75,3,9,0,177,564
59039,"Vancouver Quadra/Vancouver Quadra"," 103","Vancouver",18,48,77,1,13,1,158,529
59039,"Vancouver Quadra/Vancouver Quadra"," 104","Vancouver",25,64,73,2,9,0,173,595
59039,"Vancouver Quadra/Vancouver Quadra"," 105","Vancouver",28,33,64,5,12,0,142,509
59039,"Vancouver Quadra/Vancouver Quadra"," 106","Vancouver",18,49,59,4,1,0,131,573
59039,"Vancouver Quadra/Vancouver Quadra"," 107","Vancouver",18,73,59,5,14,0,169,580
59039,"Vancouver Quadra/Vancouver Quadra"," 108","Vancouver",46,75,97,4,12,4,238,646
59039,"Vancouver Quadra/Vancouver Quadra"," 109","Vancouver",36,51,74,5,13,0,179,548
59039,"Vancouver Quadra/Vancouver Quadra"," 110","Musqueam 2",27,35,55,3,9,1,130,411
59039,"Vancouver Quadra/Vancouver Quadra"," 111","Musqueam 2",31,39,38,6,2,0,116,386
59039,"Vancouver Quadra/Vancouver Quadra"," 112","Musqueam 2",86,15,33,1,7,0,142,454
59039,"Vancouver Quadra/Vancouver Quadra"," 113","Vancouver",26,86,64,5,8,0,189,530
59039,"Vancouver Quadra/Vancouver Quadra"," 114","Vancouver",22,88,79,0,10,1,200,548
59039,"Vancouver Quadra/Vancouver Quadra"," 115","Vancouver",20,107,66,1,6,1,201,579
59039,"Vancouver Quadra/Vancouver Quadra"," 116","Vancouver",27,89,74,1,5,2,198,513
59039,"Vancouver Quadra/Vancouver Quadra"," 117","Vancouver",18,66,82,2,3,1,172,527
59039,"Vancouver Quadra/Vancouver Quadra"," 118","Vancouver",21,57,70,1,3,0,152,545
59039,"Vancouver Quadra/Vancouver Quadra"," 119","Vancouver",17,59,73,2,8,0,159,585
59039,"Vancouver Quadra/Vancouver Quadra"," 120","Vancouver",30,49,75,5,12,0,171,585
59039,"Vancouver Quadra/Vancouver Quadra"," 121","Vancouver",18,54,57,4,1,1,135,609
59039,"Vancouver Quadra/Vancouver Quadra"," 122","Vancouver",32,39,72,1,7,0,151,511
59039,"Vancouver Quadra/Vancouver Quadra"," 123","Vancouver",44,53,90,4,8,1,200,578
59039,"Vancouver Quadra/Vancouver Quadra"," 124","Vancouver",24,56,48,3,6,0,137,606
59039,"Vancouver Quadra/Vancouver Quadra"," 125","Vancouver",29,48,75,1,6,0,159,571
59039,"Vancouver Quadra/Vancouver Quadra"," 126","Vancouver",24,55,54,2,2,0,137,478
59039,"Vancouver Quadra/Vancouver Quadra"," 127","Vancouver",28,37,54,5,10,0,134,573
59039,"Vancouver Quadra/Vancouver Quadra"," 128","Vancouver",23,40,60,4,9,0,136,522
59039,"Vancouver Quadra/Vancouver Quadra"," 129","Vancouver",25,44,51,10,4,0,134,560
59039,"Vancouver Quadra/Vancouver Quadra"," 130","Vancouver",24,37,52,3,10,1,127,578
59039,"Vancouver Quadra/Vancouver Quadra"," 131","Vancouver",32,36,44,6,6,0,124,467
59039,"Vancouver Quadra/Vancouver Quadra"," 132","Vancouver",20,24,41,2,6,1,94,473
59039,"Vancouver Quadra/Vancouver Quadra"," 133","Vancouver",11,29,58,2,9,0,109,515
59039,"Vancouver Quadra/Vancouver Quadra"," 134","Vancouver",40,26,60,8,9,0,143,491
59039,"Vancouver Quadra/Vancouver Quadra"," 135","Vancouver",18,70,90,1,8,3,190,510
59039,"Vancouver Quadra/Vancouver Quadra"," 136","Vancouver",16,86,78,3,12,2,197,564
59039,"Vancouver Quadra/Vancouver Quadra"," 137","Vancouver",14,96,52,2,18,0,182,532
59039,"Vancouver Quadra/Vancouver Quadra"," 138","Vancouver",40,27,49,8,2,0,126,502
59039,"Vancouver Quadra/Vancouver Quadra"," 139","Vancouver",42,40,46,2,14,0,144,581
59039,"Vancouver Quadra/Vancouver Quadra"," 140","Vancouver",17,72,48,5,9,1,152,579
59039,"Vancouver Quadra/Vancouver Quadra"," 141","Vancouver",19,55,65,0,7,0,146,588
59039,"Vancouver Quadra/Vancouver Quadra"," 142","Vancouver",16,72,100,4,6,0,198,523
59039,"Vancouver Quadra/Vancouver Quadra"," 143","Vancouver",13,74,71,3,10,2,173,533
59039,"Vancouver Quadra/Vancouver Quadra"," 144","Vancouver",18,57,79,1,3,0,158,507
59039,"Vancouver Quadra/Vancouver Quadra"," 400","Metro Vancouver A",16,13,32,2,6,0,69,77
59039,"Vancouver Quadra/Vancouver Quadra"," 401","Metro Vancouver A",5,44,56,2,4,0,111,114
59039,"Vancouver Quadra/Vancouver Quadra"," 402","Vancouver",15,22,55,0,4,5,101,142
59039,"Vancouver Quadra/Vancouver Quadra"," 403","Vancouver",8,20,22,0,1,1,52,80
59039,"Vancouver Quadra/Vancouver Quadra"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°1A,,,,,,,5
59039,"Vancouver Quadra/Vancouver Quadra"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°3,,,,,,,0
59039,"Vancouver Quadra/Vancouver Quadra"," 502","Mobile poll/Bureau itinérant",12,15,35,4,6,0,72,79
59039,"Vancouver Quadra/Vancouver Quadra"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,61
59039,"Vancouver Quadra/Vancouver Quadra"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,49
59039,"Vancouver Quadra/Vancouver Quadra"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,,41
59039,"Vancouver Quadra/Vancouver Quadra"," 506","Mobile poll/Bureau itinérant",9,17,60,0,2,0,88,132
59039,"Vancouver Quadra/Vancouver Quadra"," 600","Metro Vancouver A",107,189,210,12,27,1,546,
59039,"Vancouver Quadra/Vancouver Quadra"," 601","Vancouver",164,488,647,23,88,9,1419,
59039,"Vancouver Quadra/Vancouver Quadra"," 602","Vancouver",154,382,546,33,74,1,1190,
59039,"Vancouver Quadra/Vancouver Quadra"," 603","Vancouver",253,331,655,28,83,4,1354,
59039,"Vancouver Quadra/Vancouver Quadra"," 604","Vancouver",177,294,567,28,86,1,1153,
59039,"Vancouver Quadra/Vancouver Quadra"," 605","Vancouver",205,199,419,49,78,1,951,
59039,"Vancouver Quadra/Vancouver Quadra"," 606","Vancouver",225,286,558,34,76,3,1182,
59039,"Vancouver Quadra/Vancouver Quadra"," 607","Vancouver",237,325,583,22,79,8,1254,
59039,"Vancouver Quadra/Vancouver Quadra"," 608","Vancouver",110,267,408,20,33,0,838,
59039,"Vancouver Quadra/Vancouver Quadra"," 609","Vancouver",74,370,411,17,25,1,898,
59039,"Vancouver Quadra/Vancouver Quadra"," 610","Vancouver",134,502,605,17,57,3,1318,
59039,"Vancouver Quadra/Vancouver Quadra"," 611","Metro Vancouver A",246,294,599,25,67,7,1238,
59039,"Vancouver Quadra/Vancouver Quadra"," 612","Musqueam 2",95,405,333,6,67,4,910,
59039,"Vancouver Quadra/Vancouver Quadra"," 613","Vancouver",108,478,510,12,48,2,1158,
59039,"Vancouver Quadra/Vancouver Quadra"," 614","Vancouver",199,425,648,34,51,2,1359,
59039,"Vancouver Quadra/Vancouver Quadra"," 615","Vancouver",101,613,416,14,38,2,1184,
59039,"Vancouver Quadra/Vancouver Quadra",,Group 1/Groupe 1, 210,239,509,25,89,27,1099,891
59039,"Vancouver Quadra/Vancouver Quadra",,Group 2/Groupe 2, 848,1251,2256,51,288,139,4833,
