Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,Brock Crocker,James Cumming,Merryn Edwards,Valerie Keefe,Heather MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",38,17,108,1,0,71,1,236,502
48014,"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",48,10,79,0,3,47,0,187,397
48014,"Edmonton Centre/Edmonton-Centre"," 58","Edmonton",47,8,71,1,0,72,2,201,410
48014,"Edmonton Centre/Edmonton-Centre"," 59","Edmonton",61,6,45,0,1,53,2,168,380
48014,"Edmonton Centre/Edmonton-Centre"," 60","Edmonton",56,10,64,0,1,71,0,202,470
48014,"Edmonton Centre/Edmonton-Centre"," 61","Edmonton",49,3,59,0,0,38,0,149,371
48014,"Edmonton Centre/Edmonton-Centre"," 62","Edmonton",81,8,53,1,1,57,1,202,354
48014,"Edmonton Centre/Edmonton-Centre"," 63","Edmonton",62,7,33,0,0,39,0,141,358
48014,"Edmonton Centre/Edmonton-Centre"," 64","Edmonton",67,7,61,0,0,50,0,185,419
48014,"Edmonton Centre/Edmonton-Centre"," 65","Edmonton",70,4,45,1,0,75,0,195,448
48014,"Edmonton Centre/Edmonton-Centre"," 66","Edmonton",115,7,49,0,1,58,0,230,472
48014,"Edmonton Centre/Edmonton-Centre"," 67","Edmonton",81,9,52,1,1,59,3,206,423
48014,"Edmonton Centre/Edmonton-Centre"," 68","Edmonton",33,2,19,1,1,47,1,104,386
48014,"Edmonton Centre/Edmonton-Centre"," 69","Edmonton",61,0,44,0,1,64,0,170,474
48014,"Edmonton Centre/Edmonton-Centre"," 70","Edmonton",58,4,76,0,0,36,0,174,438
48014,"Edmonton Centre/Edmonton-Centre"," 71","Edmonton",64,3,84,0,0,39,0,190,436
48014,"Edmonton Centre/Edmonton-Centre"," 72","Edmonton",62,16,54,1,0,95,2,230,535
48014,"Edmonton Centre/Edmonton-Centre"," 73","Edmonton",65,11,42,1,1,75,0,195,653
48014,"Edmonton Centre/Edmonton-Centre"," 74","Edmonton",34,7,25,1,1,40,0,108,502
48014,"Edmonton Centre/Edmonton-Centre"," 75","Edmonton",77,11,47,0,2,70,2,209,543
48014,"Edmonton Centre/Edmonton-Centre"," 76","Edmonton",72,1,44,1,2,91,1,212,577
48014,"Edmonton Centre/Edmonton-Centre"," 77","Edmonton",40,12,30,0,3,31,0,116,543
