Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mel Arnold,Kyle Delfing,Shelley Desautels,Andrea Gunner,Ron Johnston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 59","Salmon Arm",99,19,55,9,50,2,234,574
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 60","Salmon Arm",62,18,31,8,45,0,164,535
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 61","Salmon Arm",26,4,21,6,32,1,90,375
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 62","Salmon Arm",88,26,47,14,50,0,225,575
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 63","Salmon Arm",53,16,26,9,31,0,135,463
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 64","Salmon Arm",60,19,32,16,30,2,159,433
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 65","Salmon Arm",88,13,46,12,60,1,220,549
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 66","Salmon Arm",68,7,33,7,45,0,160,472
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 67","Salmon Arm",91,18,38,21,63,0,231,561
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 68","Salmon Arm",69,15,35,14,27,1,161,406
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 69","Salmon Arm",90,22,57,18,41,1,229,554
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 70","Salmon Arm",91,13,36,14,41,0,195,455
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 71A","Salmon Arm",65,12,36,8,26,0,147,423
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 71B","Salmon Arm",64,11,46,11,33,0,165,347
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 72","Salmon Arm",82,22,41,6,49,0,200,524
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 73","Salmon Arm",89,19,40,15,37,0,200,603
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 74","Grandview Bench",86,42,41,20,25,0,214,444
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 75","Silver Creek",138,35,27,15,34,6,255,507
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 76","Yankee Flats",112,46,27,21,47,0,253,467
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 77","Mara",79,16,25,15,22,1,158,361
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 78","Ranchero",97,29,20,7,35,0,188,433
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 79","Ranchero",85,24,15,6,22,0,152,333
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 80","Deep Creek",80,30,26,9,21,0,166,498
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 81","Deep Creek",77,13,21,14,31,0,156,321
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 82","Falkland",49,15,8,6,23,0,101,365
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 83","Falkland",67,17,19,11,23,1,138,461
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 84","Falkland",70,22,13,9,25,0,139,521
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 85","Kingfisher",93,22,26,18,37,0,196,368
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 86","Grindrod",124,43,46,14,26,0,253,533
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 87","Deep Creek",71,22,26,13,38,0,170,527
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 88","Enderby",72,17,15,3,29,0,136,436
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 89","Enderby",45,12,18,8,25,0,108,455
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 90","Enderby",49,13,13,4,13,0,92,470
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 91","Enderby",66,7,19,7,22,1,122,424
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 92","Enderby",62,15,22,9,29,0,137,484
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 93","Enderby",23,12,21,10,21,0,87,363
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 94","Enderby",44,12,18,9,23,1,107,388
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 95","Enderby 2",27,8,8,9,34,0,86,366
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 96","Spallumcheen--Hullcar",81,24,25,17,21,1,169,525
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 97","Spallumcheen",74,12,16,12,11,0,125,457
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 98","Spallumcheen",71,22,16,3,21,0,133,420
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 99","Spallumcheen",55,17,2,13,19,0,106,345
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 100","Armstrong",46,21,19,8,27,2,123,400
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 101","Armstrong",68,9,11,9,16,0,113,389
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 102","Armstrong",39,9,7,8,20,2,85,372
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 103","Armstrong",34,6,17,6,20,0,83,389
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 104","Armstrong",44,10,18,13,27,1,113,451
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 105","Armstrong",54,10,22,15,38,0,139,498
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 106","Spallumcheen",64,12,17,13,21,0,127,436
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 107","Armstrong",53,10,16,16,30,1,126,377
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 108","Armstrong",71,10,22,14,26,1,144,438
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 109","Armstrong",62,15,17,12,37,2,145,499
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 110","Spallumcheen",106,8,17,10,30,1,172,542
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 111","Spallumcheen",97,13,29,7,23,0,169,643
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 112","Spallumcheen",80,21,15,11,33,1,161,557
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 113","Spallumcheen",59,17,29,11,19,0,135,448
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 114","Spallumcheen",97,17,16,12,23,0,165,547
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 115","Ashton Creek",78,20,15,15,28,1,157,304
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 116","Ashton Creek",44,10,18,17,16,0,105,207
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 117","Okanagan 1",71,9,44,14,56,0,194,504
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 118","Okanagan 1",76,6,44,5,44,0,175,556
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 119A","Okanagan (Part) 1",61,9,21,6,28,1,126,331
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 119B","Okanagan (Part) 1",68,7,44,3,48,0,170,365
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 120","Okanagan (Part) 1",38,8,15,3,41,0,105,360
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 121","Okanagan 1",Merged with No./Fusionné avec le n°119B,,,,,,,77
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 122A","Okanagan 1",113,4,48,5,55,0,225,451
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 122B","Okanagan 1",137,16,50,10,40,2,255,509
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 123","Mabel Lake",63,15,20,19,13,2,132,264
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 124","Vernon",55,21,36,5,46,0,163,439
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 125","Swan Lake 4",64,16,15,6,35,0,136,509
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 126A","Vernon",46,2,22,3,28,0,101,387
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 126B","Vernon",42,8,15,2,30,0,97,370
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 126C","Vernon",Merged with No./Fusionné avec le n°403,,,,,,,26
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 127","Vernon",63,16,36,9,48,1,173,576
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 128","Vernon",59,9,27,6,40,2,143,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 129","Vernon",28,5,13,4,34,0,84,364
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 130","Vernon",50,14,38,2,54,0,158,627
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 131","Vernon",48,17,27,14,43,0,149,465
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 132","Vernon",42,15,26,11,39,0,133,507
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 133","Vernon",37,12,27,5,37,1,119,459
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 134","Vernon",61,8,25,8,42,1,145,400
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 135","Vernon",66,9,33,15,19,4,146,393
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 136","Vernon",27,10,14,5,40,1,97,497
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 137","Vernon",40,11,25,6,39,0,121,479
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 138","Vernon",41,17,35,3,39,0,135,555
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 139","Vernon",63,19,31,13,43,0,169,451
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 140","Vernon",32,6,14,7,30,1,90,385
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 141","Vernon",43,11,27,9,35,0,125,415
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 142","Vernon",48,13,31,2,35,1,130,420
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 143","Vernon",66,16,32,15,33,0,162,472
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 144","Vernon",65,15,15,7,24,0,126,315
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 145","Vernon",75,15,21,9,31,1,152,349
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 146","Vernon",97,19,33,7,66,0,222,596
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 147","Vernon",80,10,35,9,41,0,175,367
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 148","Vernon",65,15,33,17,30,0,160,387
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 149","Vernon",71,20,24,7,32,0,154,420
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 150","Kedleston",88,22,36,21,31,0,198,472
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 151","Vernon",108,18,51,7,34,0,218,564
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 152","Vernon",113,6,55,6,39,1,220,522
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 153","Silver Star",111,30,58,26,42,0,267,634
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 154","Vernon",114,20,53,11,46,0,244,584
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 155","Kedleston",106,20,26,16,48,1,217,488
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 156","Vernon",104,18,31,14,31,0,198,452
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 157","Vernon",77,15,48,7,57,0,204,424
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 158","Vernon",103,27,54,19,44,0,247,638
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 159A","Vernon",68,5,35,4,16,0,128,351
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 159B","Vernon",53,5,21,8,12,0,99,338
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 160","Vernon",54,15,34,6,47,0,156,405
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 161","Vernon",60,10,33,4,50,2,159,488
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 162A","Vernon",24,8,22,9,34,0,97,345
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 162B","Vernon",16,9,16,7,30,0,78,316
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 163","Vernon",84,15,45,6,59,0,209,477
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 164","Vernon",62,12,30,5,48,0,157,449
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 165","Vernon",50,14,29,11,30,1,135,475
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 166","Vernon",95,5,52,10,35,0,197,491
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 167","Vernon",42,3,26,5,29,0,105,384
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 168","Vernon",51,11,22,10,28,2,124,388
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 169","Vernon",79,15,27,10,48,0,179,571
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 170","Vernon",59,15,30,3,42,4,153,520
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 171","Vernon",39,23,29,12,50,0,153,522
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 172","Vernon",59,15,40,12,49,0,175,548
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 173","Vernon",64,6,44,4,27,1,146,398
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 174","Vernon",41,15,49,7,50,0,162,542
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 175","Vernon",33,9,24,11,44,0,121,318
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 176","Vernon",57,3,35,17,57,2,171,411
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 177","Vernon",51,6,37,13,56,1,164,443
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 178","Vernon",65,17,36,10,55,0,183,504
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 179","Vernon",61,13,29,9,61,0,173,479
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 180","Vernon",47,9,40,16,51,0,163,386
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 181","Vernon",66,18,47,15,50,2,198,437
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 182","Vernon",63,24,57,21,61,1,227,517
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 183","Priest's Valley 6",30,3,22,2,31,0,88,284
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 184","Priest's Valley 6",34,5,37,1,24,2,103,282
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 185A","Vernon",83,11,40,4,26,0,164,365
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 185B","Vernon",78,8,48,8,46,0,188,387
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 186","Vernon",92,16,47,9,40,1,205,479
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 187","Vernon",63,21,53,16,58,0,211,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 188","Vernon",71,16,52,16,46,1,202,452
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 189","Vernon",80,18,35,14,63,1,211,479
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 190","Vernon",70,4,28,8,26,0,136,385
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 191","Vernon",76,12,39,7,34,1,169,429
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 192","Vernon",53,16,36,13,37,0,155,527
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 193","Vernon",94,10,41,13,45,0,203,540
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 194","Vernon",106,14,33,5,50,0,208,554
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 195A","Vernon",38,6,33,10,33,0,120,339
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 195B","Vernon",55,7,25,5,28,0,120,342
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 196","Vernon",109,17,39,14,47,0,226,533
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 197","Vernon",27,5,18,1,17,0,68,376
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 198","Vernon",26,12,32,4,16,2,92,528
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 199","Vernon",25,7,23,3,19,2,79,381
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 200","Vernon",18,12,29,7,24,1,91,348
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 201","Vernon",28,11,25,4,25,0,93,460
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 202","Vernon",38,13,16,15,34,1,117,567
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 203","Vernon",40,9,31,11,41,2,134,425
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 204","Vernon",45,5,36,9,50,0,145,443
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 205","Vernon",41,19,22,12,47,0,141,496
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 206","Vernon",31,15,20,11,30,0,107,420
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 207","Vernon",31,7,26,6,37,0,107,433
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 208","Kalamalka",53,17,32,9,44,0,155,490
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 209","Vernon",44,1,24,5,5,0,79,307
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 210A","Vernon",62,1,40,3,5,0,111,354
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 210B","Vernon",70,4,43,2,12,0,131,388
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 211","Coldstream",67,5,26,9,32,1,140,424
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 212","Coldstream",64,2,24,6,23,1,120,419
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 213","Coldstream",73,12,59,11,32,1,188,472
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 214","Coldstream",114,15,64,13,43,0,249,601
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 215","Coldstream",91,20,43,10,41,0,205,536
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 216","Coldstream",89,13,46,22,39,0,209,449
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 217","Coldstream",99,12,64,17,50,0,242,523
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 218","Coldstream",77,5,65,19,35,0,201,441
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 219","Coldstream",110,22,55,10,39,1,237,471
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 220","Coldstream",89,21,39,10,48,0,207,426
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 221","Coldstream",115,20,44,17,64,1,261,546
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 222","Coldstream",110,5,57,5,25,0,202,492
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 223","Coldstream",91,7,37,5,32,0,172,425
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 224","Coldstream",97,8,54,29,52,1,241,585
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 225","Coldstream",81,15,38,5,38,0,177,526
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 226A","Coldstream",81,22,45,18,29,0,195,459
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 226B","Coldstream",Merged with No./Fusionné avec le n°402,,,,,,,85
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 227","Coldstream",71,17,39,2,32,0,161,457
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 228","Coldstream",85,15,36,9,26,1,172,406
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 229","Trinity Valley",77,24,21,9,23,0,154,464
