Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Andrea Johnson,Brandon Kirby,Nicole O'Byrne,Shawn Oldenburg,June Patterson,Jen Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 103","Fredericton",25,19,0,15,40,1,2,0,102,388
13003,"Fredericton/Fredericton"," 104","Fredericton",74,45,0,22,15,0,0,1,157,634
13003,"Fredericton/Fredericton"," 105","Fredericton",53,38,1,24,9,0,0,1,126,444
13003,"Fredericton/Fredericton"," 106","Fredericton",31,36,2,12,35,1,1,1,119,466
13003,"Fredericton/Fredericton"," 107","Fredericton",70,43,0,21,21,0,2,1,158,637
13003,"Fredericton/Fredericton"," 108","Fredericton",83,56,0,28,44,1,2,0,214,722
13003,"Fredericton/Fredericton"," 109","Fredericton",46,21,0,24,41,0,1,0,133,412
13003,"Fredericton/Fredericton"," 110","Fredericton",71,28,0,19,11,2,0,0,131,422
13003,"Fredericton/Fredericton"," 111","Fredericton",70,42,1,34,14,0,0,0,161,440
13003,"Fredericton/Fredericton"," 112","Fredericton",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 113","Fredericton",122,64,5,44,54,4,4,3,300,821
13003,"Fredericton/Fredericton"," 114","Fredericton",58,29,0,19,22,0,2,0,130,407
13003,"Fredericton/Fredericton"," 115","Fredericton",101,49,0,19,28,0,0,1,198,478
13003,"Fredericton/Fredericton"," 116","Fredericton",63,41,0,16,25,1,1,0,147,483
13003,"Fredericton/Fredericton"," 117","Fredericton",99,30,4,14,31,0,0,1,179,471
13003,"Fredericton/Fredericton"," 118","Fredericton",48,46,2,22,25,0,1,2,146,476
13003,"Fredericton/Fredericton"," 119","Lincoln",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 120","Lincoln",53,65,1,14,46,0,3,2,184,671
13003,"Fredericton/Fredericton"," 121","Oromocto",25,44,0,17,21,1,3,1,112,440
13003,"Fredericton/Fredericton"," 122","Oromocto",26,52,1,8,24,1,2,1,115,550
13003,"Fredericton/Fredericton"," 123","Oromocto",12,102,0,6,29,1,1,6,157,696
13003,"Fredericton/Fredericton"," 124","Lincoln",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 125","Lincoln",32,40,1,16,18,1,1,0,109,340
