Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Shawn Beaulieu,Louis Berube,Rebecca Blaevoet,Elizabeth MacDonald,Nancy Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 26","Campbellton",69,29,2,5,16,13,1,135,597
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 27","Campbellton",38,26,4,4,9,16,4,101,545
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 28","Campbellton",105,36,3,9,16,14,0,183,575
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 29","Campbellton",67,28,0,5,25,17,0,142,503
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 30","Campbellton",66,35,1,1,17,17,0,137,461
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 31","Campbellton",98,42,2,7,12,5,0,166,576
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 32","Atholville",61,13,4,2,14,10,0,104,347
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 33","Atholville",20,7,0,0,4,8,1,40,191
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 34","Atholville",67,14,10,3,21,22,0,137,426
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 35","Benjamin River",40,38,2,6,15,15,0,116,372
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 36","Tide Head",49,58,4,2,19,20,0,152,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 37","Tide Head",81,50,3,5,25,15,0,179,436
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 38","Maltais",102,13,8,2,5,30,0,160,375
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 39","Maltais",90,8,13,3,1,28,0,143,337
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 40","Val-d'Amour",109,19,8,6,4,31,0,177,367
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 41","Val-d'Amour",137,17,9,4,5,21,0,193,423
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 42","Glencoe",40,37,2,3,19,13,0,114,304
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 43","Saint-Arthur",93,15,5,1,3,23,0,140,246
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 44","Saint-Arthur",77,17,6,7,6,29,4,146,298
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 45","Glen Levit",33,41,3,3,12,21,1,114,309
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 46","Balmoral",73,16,7,6,4,10,2,118,386
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 47","Balmoral",98,15,6,6,8,17,5,155,410
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 48","Balmoral",94,17,7,5,8,15,3,149,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 49","Balmoral",71,25,4,3,6,9,0,118,375
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 50","Robinsonville",38,38,1,7,15,16,0,115,239
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 51","St-Jean-Baptiste-de-Restigouche",68,6,24,1,2,5,0,106,252
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 52","Eldon",45,16,11,3,3,1,2,81,227
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 53","Kedgwick",55,14,14,6,5,7,1,102,386
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 54","Kedgwick River",51,15,23,5,8,7,1,110,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 55","Kedgwick",63,11,15,2,3,7,1,102,349
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 56","Kedgwick",63,6,12,0,0,3,3,87,364
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 57","Kedgwick",60,19,15,4,0,8,1,107,323
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 58","Saint-Quentin",51,17,27,5,7,4,1,112,361
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 59","Saint-Quentin",61,36,11,6,6,5,0,125,371
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 60","Saint-Quentin",54,29,22,5,0,1,3,114,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 61","Saint-Quentin",54,30,30,3,8,9,0,134,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 62","Saint-Quentin",56,23,17,2,3,9,1,111,346
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 63","Saint-Quentin",59,29,20,4,6,7,1,126,402
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 64","Saint-Quentin",49,26,26,1,4,6,1,113,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 65","Saint-Joseph",70,38,7,3,3,14,0,135,354
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 66","Saint-Joseph",80,18,5,6,7,19,1,136,336
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 67","Saint-Joseph",83,36,17,6,11,14,2,169,407
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 68","Saint-Joseph",55,37,4,6,6,9,3,120,357
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 69","Rivière-Verte",72,30,12,1,4,8,2,129,380
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 70","Rivière-Verte",85,60,8,0,4,5,4,166,393
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 71","Rivière-Verte",74,49,9,1,3,11,4,151,436
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 72","Sainte-Anne",81,57,22,0,8,15,2,185,389
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 73","Sainte-Anne",87,87,11,1,7,8,4,205,384
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 74","Ste-Anne-de-Madawaska",54,58,9,5,3,11,1,141,372
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 75","Sainte-Anne",59,49,7,1,4,6,1,127,378
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 76","Notre-Dame-de-Lourdes",34,32,7,4,4,10,2,93,220
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 77","Saint-Basile",58,34,9,6,2,20,1,130,415
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 78","Edmundston",76,35,4,5,5,13,2,140,451
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 79","Edmundston",67,30,5,2,7,13,2,126,432
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 80","Edmundston",52,38,3,4,8,8,0,113,451
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 81","Saint-Jacques",89,26,8,5,5,12,1,146,487
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 82","Saint-Jacques",60,44,5,2,6,10,2,129,481
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 83","Edmundston",59,38,4,1,7,8,0,117,477
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 84","Saint-Jacques",67,41,2,3,5,7,2,127,462
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 85","Edmundston",67,37,0,3,4,11,0,122,417
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 86","Edmundston",63,20,11,2,8,8,4,116,407
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 87","Edmundston",62,30,7,2,11,6,2,120,394
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 88","Edmundston",91,56,2,0,8,6,3,166,552
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 89","Edmundston",117,70,0,2,7,2,0,198,592
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 90","Edmundston",77,54,2,3,12,5,2,155,486
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 91","Edmundston",79,43,5,2,6,4,2,141,531
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 92","Edmundston",90,29,1,1,8,4,3,136,455
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 93","Edmundston",54,29,3,0,6,2,0,94,401
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 94","Edmundston",67,22,1,1,10,0,0,101,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 95","Saint-Léonard",28,39,7,1,10,22,1,108,346
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 96","Saint-Léonard",29,30,3,1,5,12,1,81,336
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 97","Saint-Léonard",37,39,6,1,3,12,2,100,313
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 98","Saint-Léonard",40,33,1,2,8,11,1,96,354
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 99","Saint-Léonard",37,55,5,6,4,11,0,118,382
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 100","Edmundston",59,40,4,6,6,5,3,123,412
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 101","Edmundston",48,45,3,2,8,9,2,117,389
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 102","Saint-Jacques",48,37,7,4,9,8,2,115,344
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 103","St. Basile 10",92,28,2,4,10,10,1,147,409
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 104","Edmundston",54,30,5,3,7,6,2,107,479
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 105","Edmundston",63,28,3,4,6,4,1,109,482
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 106","Edmundston",70,27,7,4,4,6,2,120,472
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 107","Edmundston",53,20,1,1,3,5,1,84,459
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 108","Edmundston",33,23,4,3,9,3,0,75,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 109","Edmundston",70,33,4,2,8,3,0,120,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 110","Edmundston",43,29,0,1,6,3,2,84,369
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 111","Edmundston",45,35,2,4,7,8,2,103,353
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 112","Edmundston",31,15,4,0,6,2,0,58,264
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 113","Edmundston",44,30,7,2,3,1,2,89,445
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 114","Edmundston",69,51,6,8,1,3,1,139,457
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 115","Edmundston",43,40,4,4,5,8,0,104,270
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 116","Edmundston",67,27,7,3,2,9,0,115,303
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 117","Baker Brook",57,63,2,4,6,11,1,144,291
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 118","Baker Brook",56,56,0,3,7,8,1,131,294
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 119","Saint-Hilaire",63,42,3,3,6,5,1,123,264
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 120","Saint-Hilaire",84,63,7,1,11,9,1,176,301
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 121","Lac-Baker",82,55,2,3,8,3,3,156,310
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 122","Lac-Baker",91,35,2,3,10,7,0,148,272
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 123","Clair",46,30,1,2,2,7,1,89,304
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 124","Clair",50,20,3,2,2,6,4,87,247
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 125","Clair",23,17,3,1,4,8,1,57,280
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 126","Saint-François de Madawaska",76,50,5,4,6,15,4,160,319
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 127","Saint-François de Madawaska",74,58,5,2,4,10,1,154,346
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 128","Connors",67,39,3,3,4,16,1,133,295
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,,59
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°3,,,,,,,,31
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°3,,,,,,,,23
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,,25
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°49,,,,,,,,33
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,,16
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24,,,,,,,,12
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24,,,,,,,,17
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°26,,,,,,,,20
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,,128
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°27,,,,,,,,2
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°26,,,,,,,,35
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,,18
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,,61
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34,,,,,,,,35
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°55,,,,,,,,2
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°63,,,,,,,,9
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,,14
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,,26
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°64,,,,,,,,18
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°95,,,,,,,,17
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°98,,,,,,,,35
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,,14
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73,,,,,,,,21
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°79,,,,,,,,84
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 527","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,,13
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°111,,,,,,,,87
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,44
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,56
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,32
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,21
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 533","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,4
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 534","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,85
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,43
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 536","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°84,,,,,,,,21
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 537","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°100,,,,,,,,5
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 538","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°122,,,,,,,,15
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 539","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°117,,,,,,,,39
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 540","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°118,,,,,,,,10
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 541","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°125,,,,,,,,27
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 542","Sainte-Anne",Merged with No./Fusionné avec le n°75,,,,,,,,10
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 543","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,99
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 600","Charlo",373,190,3,26,42,37,9,680,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 601","Dalhousie",636,293,17,21,109,52,10,1138,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 602","Eel River Crossing",697,161,36,23,52,60,16,1045,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 603","Campbellton",600,166,31,17,69,56,17,956,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 604","Campbellton",527,191,15,34,71,25,3,866,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 605","Atholville",479,220,19,17,72,41,8,856,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 606","Saint-Quentin",447,197,104,26,17,27,18,836,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 607","Kedgwick",485,64,65,18,14,11,11,668,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 608","Saint-Jacques",779,384,44,21,41,38,12,1319,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 609","Saint-Basile",498,273,28,14,17,26,10,866,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 610","Saint-Léonard",275,277,28,18,17,72,7,694,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 611","Edmundston",1005,455,20,30,53,22,35,1620,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 612","Edmundston",701,316,24,21,44,31,13,1150,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 613","Clair",213,161,10,9,12,5,13,423,
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 1/Groupe 1, 90,29,2,4,26,2,4,157,37
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 2/Groupe 2, 1062,434,64,33,68,60,43,1764,
