Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Jim Enos,Lisa Hepfner,Al Miles,Chelsey Taylor,Dave Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton Mountain/Hamilton Mountain"," 33","Hamilton",Merged with No./Fusionné avec le n°16,,,,,,,,416
35037,"Hamilton Mountain/Hamilton Mountain"," 34","Hamilton",58,1,46,47,15,5,0,172,400
35037,"Hamilton Mountain/Hamilton Mountain"," 35","Hamilton",Merged with No./Fusionné avec le n°32,,,,,,,,364
35037,"Hamilton Mountain/Hamilton Mountain"," 36","Hamilton",91,2,46,48,16,4,3,210,419
35037,"Hamilton Mountain/Hamilton Mountain"," 37","Hamilton",114,0,77,78,19,7,3,298,818
35037,"Hamilton Mountain/Hamilton Mountain"," 38","Hamilton",62,2,63,45,13,4,0,189,528
35037,"Hamilton Mountain/Hamilton Mountain"," 39","Hamilton",Void/Supprimé,,,,,,,,
35037,"Hamilton Mountain/Hamilton Mountain"," 40","Hamilton",158,5,106,79,30,6,5,389,463
35037,"Hamilton Mountain/Hamilton Mountain"," 41","Hamilton",73,1,69,53,18,2,1,217,440
35037,"Hamilton Mountain/Hamilton Mountain"," 42","Hamilton",97,1,42,39,18,4,0,201,465
35037,"Hamilton Mountain/Hamilton Mountain"," 43","Hamilton",61,1,76,47,11,3,0,199,465
35037,"Hamilton Mountain/Hamilton Mountain"," 44","Hamilton",95,2,105,126,12,11,2,353,417
35037,"Hamilton Mountain/Hamilton Mountain"," 45","Hamilton",Merged with No./Fusionné avec le n°44,,,,,,,,462
35037,"Hamilton Mountain/Hamilton Mountain"," 46","Hamilton",Merged with No./Fusionné avec le n°29,,,,,,,,503
35037,"Hamilton Mountain/Hamilton Mountain"," 47","Hamilton",54,0,48,34,11,3,1,151,417
35037,"Hamilton Mountain/Hamilton Mountain"," 48","Hamilton",82,1,43,37,13,6,0,182,450
35037,"Hamilton Mountain/Hamilton Mountain"," 49","Hamilton",123,0,121,75,13,15,2,349,402
35037,"Hamilton Mountain/Hamilton Mountain"," 50","Hamilton",Merged with No./Fusionné avec le n°30,,,,,,,,494
35037,"Hamilton Mountain/Hamilton Mountain"," 51","Hamilton",Merged with No./Fusionné avec le n°19,,,,,,,,448
35037,"Hamilton Mountain/Hamilton Mountain"," 52","Hamilton",Merged with No./Fusionné avec le n°20,,,,,,,,388
35037,"Hamilton Mountain/Hamilton Mountain"," 53","Hamilton",104,1,79,66,29,6,13,298,356
35037,"Hamilton Mountain/Hamilton Mountain"," 54","Hamilton",Merged with No./Fusionné avec le n°31,,,,,,,,445
35037,"Hamilton Mountain/Hamilton Mountain"," 55","Hamilton",Merged with No./Fusionné avec le n°53,,,,,,,,376
35037,"Hamilton Mountain/Hamilton Mountain"," 56","Hamilton",80,1,32,50,20,6,0,189,416
