Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patty Deitch,Lisa Harris,Ron Nowlan,Bruce Potter,Jake Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 30","Miramichi",2,56,1,8,60,1,128,450
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 31","Miramichi",6,46,4,18,67,0,141,420
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 32","Miramichi",2,81,8,10,82,0,183,497
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 33","Miramichi",8,91,9,27,96,2,233,631
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 34","Bay du Vin",7,70,7,18,120,0,222,380
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 35","Pointe-Sapin",31,140,34,14,65,6,290,403
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 36","Bellefond--Beaver Brook Station",6,93,21,19,99,0,238,416
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 37","Chatham",6,73,12,14,77,3,185,360
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 38","Miramichi",13,50,8,11,83,1,166,365
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 39","Miramichi",19,75,3,16,81,5,199,364
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 40","Miramichi",8,71,8,10,78,3,178,434
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 41","Miramichi",16,54,8,11,50,1,140,376
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 42","Miramichi",14,41,5,19,42,3,124,387
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 43","Miramichi",9,46,9,28,55,0,147,415
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 44","Napan Bay",11,83,12,10,78,0,194,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 45","Lower Napan",8,50,15,10,72,3,158,318
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 46","Glenwood",9,55,9,6,118,3,200,403
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 47","Curventon",5,50,13,18,92,4,182,403
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 48","Maple Glen",2,9,2,3,24,0,40,169
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 49","Miramichi",7,69,18,13,49,1,157,444
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 50","Miramichi",19,69,7,14,65,1,175,436
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 51","Miramichi",6,45,2,4,64,3,124,417
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 52","Miramichi",14,68,16,20,48,2,168,489
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 53","Miramichi",3,65,14,19,51,3,155,542
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 54","St. Margarets",9,50,7,17,51,0,134,217
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 55","Miramichi",2,38,6,6,56,0,108,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 56","Miramichi",2,55,9,19,53,1,139,448
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 57","Miramichi",4,41,9,11,66,1,132,459
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 58","Miramichi",4,55,5,11,48,1,124,486
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 59","Black River Bridge",4,42,13,9,122,0,190,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 60","Miramichi",6,78,6,11,112,5,218,440
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 61","Miramichi",10,63,11,13,69,2,168,340
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 62","Miramichi",15,86,11,19,63,0,194,338
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 63","Miramichi",5,25,2,7,41,0,80,351
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 64","Miramichi",4,47,7,11,50,0,119,424
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 65","Miramichi",5,38,5,20,50,1,119,426
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 66","Miramichi",4,61,3,3,46,0,117,403
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 67","Miramichi",2,52,15,20,57,0,146,423
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 68","Miramichi",1,54,10,7,60,1,133,320
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 69","Miramichi",3,43,6,11,37,0,100,332
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 70","Miramichi",5,35,5,14,59,0,118,350
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 71","Kouchibouguac",10,62,10,11,43,3,139,208
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 72","Eel Ground",11,122,9,39,23,4,208,453
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 73","Miramichi",9,93,12,18,80,2,214,395
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74","Miramichi",9,67,7,14,106,6,209,362
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 75","Miramichi",11,61,8,5,89,2,176,341
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 76","Nelson",2,37,4,9,56,0,108,243
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 77","Whitney",5,77,9,11,75,1,178,367
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 78","Whitney",2,35,8,15,68,1,129,355
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 79","Exmoor",2,33,6,3,37,0,81,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 80","Boom Road",0,35,5,1,57,0,98,301
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 81","Millerton--Derby Junction",7,28,6,9,101,0,151,324
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 82","South Esk",5,56,6,15,135,1,218,406
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 83","Williamstown",8,37,6,9,109,2,171,375
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 84","Barnaby River",7,53,12,7,74,1,154,254
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 85","East Collette",17,49,7,10,24,1,108,224
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 86","Collette",7,52,9,8,20,0,96,207
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 87","Acadieville",19,61,14,8,34,1,137,284
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 88","Acadieville",15,52,13,7,16,3,106,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 89","Rogersville",6,43,7,7,25,1,89,260
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 90","Rogersville",15,54,13,10,19,2,113,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 91","Rogersville",13,44,7,4,30,2,100,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 92","Rogersville",10,40,9,12,17,3,91,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 93","Rogersville",16,39,18,6,21,1,101,305
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 94","Warwick Settlement",0,20,7,3,30,1,61,212
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 95","Warwick Settlement",4,42,0,9,17,0,72,244
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 96","Red Bank 4",3,61,7,13,41,2,127,323
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 97","Matthews",1,45,2,7,75,0,130,341
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 98","Richibucto 15",4,29,0,20,4,0,57,331
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 99","Richibucto 15",4,45,6,31,2,0,88,505
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 100","Richibucto 15",2,27,0,20,0,1,50,218
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 101","Richibucto 15",2,57,3,27,1,0,90,493
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 102","South Branch--West Branch",8,40,7,6,43,0,104,289
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 103","Ford Bank",19,28,14,20,37,1,119,252
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 104","Bass River",7,55,12,16,54,3,147,289
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 105","Upper Derby",4,44,4,7,106,0,165,337
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 106","McKinleyville",4,31,7,10,64,0,116,263
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 107","White Rapids",0,55,2,11,110,0,178,373
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 108","Renous--Barnettville",4,26,1,4,99,0,134,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 109","Renous",8,68,7,5,90,0,178,380
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 110","Beersville",16,49,19,18,53,3,158,329
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 111","Blackville",3,19,1,6,101,1,131,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 112","Blackville",5,30,4,6,101,0,146,393
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 113","Blackville",4,14,2,6,97,1,124,376
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 114","Upper Blackville",3,33,1,5,77,1,120,317
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 115","Harcourt",6,36,22,14,35,1,114,365
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 116","Blissfield",5,17,11,3,91,2,129,395
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 117","Storeytown",3,21,8,5,87,1,125,344
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 118","Blissfield",2,28,16,6,69,2,123,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 119","Holtville",4,5,10,3,49,1,72,240
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 120","Carrolls Crossing",4,21,15,7,100,3,150,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 121","Ludlow",4,18,8,5,62,2,99,285
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 122","Bloomfield Ridge",5,16,18,16,125,1,181,534
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 123","Astle",6,27,20,13,76,2,144,427
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 124","Chipman",3,24,15,8,36,1,87,278
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 125","Chipman",12,17,14,17,47,0,107,327
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 126","Chipman",6,25,8,7,38,0,84,245
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 127","Northfield",0,17,8,16,32,0,73,268
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 128","Chipman",0,17,12,10,30,1,70,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 129","Chipman",5,15,17,13,38,0,88,303
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 130","Chipman",3,17,13,10,52,0,95,284
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 131","Minto",5,15,10,13,49,0,92,270
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 132","Northfield",6,26,10,16,48,0,106,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 133","Minto",9,18,8,6,31,1,73,256
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 134","Minto",3,19,5,4,25,0,56,274
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 135","Minto",3,17,12,9,26,1,68,262
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 136","Minto",6,22,20,12,32,0,92,266
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 137","Minto",6,28,14,10,28,2,88,280
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 138","Minto",10,22,10,15,57,0,114,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 139","Newcastle Creek",7,39,13,21,45,1,126,356
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°3,,,,,,,17
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°8,,,,,,,14
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11,,,,,,,15
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°13,,,,,,,16
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°14,,,,,,,10
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°26,,,,,,,14
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°40,,,,,,,20
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,3
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,8
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°57,,,,,,,9
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 511","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,41
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,11
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,29
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°105,,,,,,,23
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°123,,,,,,,0
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°131,,,,,,,10
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°139,,,,,,,36
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,20
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°33,,,,,,,44
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°14,,,,,,,22
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°60,,,,,,,154
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 600","Sunny Corner--Red Bank",20,235,34,33,512,5,839,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 601","Miramichi",10,156,20,23,275,1,485,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 602","Miramichi",56,570,26,93,742,10,1497,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 603","Miramichi",62,566,49,54,616,12,1359,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 604","Miramichi",20,425,45,65,617,9,1181,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 605","Alnwick",17,476,26,26,173,8,726,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 606","Neguac",23,517,33,33,148,4,758,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 607","Baie-Sainte-Anne",10,204,15,15,269,2,515,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 608","Miramichi",15,176,26,23,265,10,515,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 609","Rogersville",96,496,42,38,166,9,847,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 610","Richibucto 15--Weldford",21,72,14,49,40,2,198,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 611","Harcourt--Weldford",7,66,15,17,49,2,156,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 612","Blackville",18,164,26,15,603,6,832,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 613","Blissfield--Doaktown",6,93,17,7,317,3,443,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 614","Upper Miramichi",10,91,28,21,335,1,486,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 615","Chipman",21,179,47,43,390,6,686,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 616","Minto",30,228,61,56,317,3,695,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 1/Groupe 1, 8,115,11,37,53,11,235,67
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 2/Groupe 2, 53,747,54,64,683,30,1631,
