Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angela Brydges,Melissa Chung-Mowat,Robert Crooks,Anas Kassem,Kevin Lamoureux,Patrick Neilan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",1,38,0,15,71,1,6,132,359
46012,"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",0,25,0,16,62,3,1,107,381
46012,"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",2,29,1,9,40,6,1,88,390
46012,"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",1,55,0,12,93,1,0,162,416
46012,"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",1,21,0,8,50,1,1,82,307
46012,"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",1,33,0,8,78,5,2,127,333
46012,"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",1,46,0,15,83,4,3,152,366
46012,"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",0,40,1,21,65,5,0,132,398
46012,"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",1,25,0,4,47,1,0,78,400
46012,"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",0,26,0,27,64,4,0,121,373
46012,"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",5,33,0,15,79,3,0,135,355
46012,"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",5,81,1,29,158,8,0,282,900
46012,"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",0,33,0,14,69,1,1,118,338
46012,"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",1,44,0,21,75,3,1,145,420
46012,"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",0,45,0,12,75,6,0,138,385
46012,"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",3,15,0,12,79,4,0,113,419
46012,"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",1,27,0,25,68,1,1,123,392
46012,"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",2,33,1,25,58,3,0,122,425
46012,"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",1,13,0,10,55,2,1,82,357
46012,"Winnipeg North/Winnipeg-Nord"," 75","Winnipeg",3,54,1,17,127,2,3,207,540
46012,"Winnipeg North/Winnipeg-Nord"," 76","Winnipeg",1,37,1,19,73,9,2,142,469
46012,"Winnipeg North/Winnipeg-Nord"," 77","Winnipeg",2,48,1,19,101,3,1,175,461
46012,"Winnipeg North/Winnipeg-Nord"," 78","Winnipeg",2,50,1,15,70,3,2,143,469
46012,"Winnipeg North/Winnipeg-Nord"," 79","Winnipeg",4,34,0,8,84,8,1,139,408
46012,"Winnipeg North/Winnipeg-Nord"," 80","Winnipeg",2,30,0,7,107,8,2,156,455
46012,"Winnipeg North/Winnipeg-Nord"," 81","Winnipeg",1,52,3,20,111,5,2,194,447
46012,"Winnipeg North/Winnipeg-Nord"," 82","Winnipeg",0,19,0,9,98,7,2,135,394
46012,"Winnipeg North/Winnipeg-Nord"," 83","Winnipeg",4,60,0,19,52,10,0,145,544
46012,"Winnipeg North/Winnipeg-Nord"," 84","Winnipeg",1,64,16,0,44,6,1,132,407
46012,"Winnipeg North/Winnipeg-Nord"," 85","Winnipeg",6,45,2,30,55,6,2,146,421
46012,"Winnipeg North/Winnipeg-Nord"," 86","Winnipeg",1,45,0,22,105,3,2,178,515
46012,"Winnipeg North/Winnipeg-Nord"," 87","Winnipeg",0,51,0,28,85,5,0,169,519
46012,"Winnipeg North/Winnipeg-Nord"," 88","Winnipeg",3,35,0,41,107,11,1,198,510
46012,"Winnipeg North/Winnipeg-Nord"," 89","Winnipeg",6,67,0,22,97,7,0,199,492
46012,"Winnipeg North/Winnipeg-Nord"," 90","Winnipeg",1,45,1,32,83,11,0,173,468
46012,"Winnipeg North/Winnipeg-Nord"," 91","Winnipeg",1,54,0,30,103,11,4,203,506
46012,"Winnipeg North/Winnipeg-Nord"," 92A","Winnipeg",Merged with No./Fusionné avec le n°77,,,,,,,,49
46012,"Winnipeg North/Winnipeg-Nord"," 92B","Mobile poll/Bureau itinérant",3,12,2,7,22,3,4,53,140
46012,"Winnipeg North/Winnipeg-Nord"," 93","Winnipeg",4,58,0,48,106,14,0,230,502
46012,"Winnipeg North/Winnipeg-Nord"," 94","Winnipeg",7,61,0,28,60,8,0,164,428
46012,"Winnipeg North/Winnipeg-Nord"," 95","Winnipeg",4,62,1,28,101,2,2,200,484
46012,"Winnipeg North/Winnipeg-Nord"," 96","Winnipeg",1,21,0,19,61,8,1,111,386
46012,"Winnipeg North/Winnipeg-Nord"," 97","Winnipeg",3,31,0,15,53,9,3,114,387
46012,"Winnipeg North/Winnipeg-Nord"," 98","Winnipeg",3,33,0,17,70,7,2,132,434
46012,"Winnipeg North/Winnipeg-Nord"," 99","Winnipeg",2,42,1,13,67,8,0,133,465
46012,"Winnipeg North/Winnipeg-Nord"," 100","Winnipeg",1,29,1,24,88,5,0,148,523
46012,"Winnipeg North/Winnipeg-Nord"," 101","Winnipeg",0,43,0,19,64,12,1,139,465
46012,"Winnipeg North/Winnipeg-Nord"," 102","Winnipeg",6,62,0,27,59,22,4,180,480
46012,"Winnipeg North/Winnipeg-Nord"," 103","Winnipeg",4,53,0,9,40,9,1,116,429
46012,"Winnipeg North/Winnipeg-Nord"," 104","Winnipeg",1,30,3,13,40,13,0,100,372
46012,"Winnipeg North/Winnipeg-Nord"," 105","Winnipeg",3,44,1,20,61,8,3,140,371
46012,"Winnipeg North/Winnipeg-Nord"," 106","Winnipeg",3,35,0,21,72,3,2,136,451
46012,"Winnipeg North/Winnipeg-Nord"," 107","Winnipeg",2,36,1,13,38,7,2,99,333
46012,"Winnipeg North/Winnipeg-Nord"," 108","Winnipeg",1,24,0,4,25,8,0,62,329
46012,"Winnipeg North/Winnipeg-Nord"," 109","Winnipeg",5,67,0,17,36,14,2,141,456
46012,"Winnipeg North/Winnipeg-Nord"," 110","Winnipeg",3,72,0,12,23,6,0,116,448
46012,"Winnipeg North/Winnipeg-Nord"," 111","Winnipeg",4,66,0,27,50,14,2,163,510
46012,"Winnipeg North/Winnipeg-Nord"," 112","Winnipeg",3,49,0,11,36,12,0,111,446
46012,"Winnipeg North/Winnipeg-Nord"," 113","Winnipeg",3,33,0,15,46,14,4,115,474
46012,"Winnipeg North/Winnipeg-Nord"," 114","Winnipeg",2,81,1,36,43,12,3,178,465
46012,"Winnipeg North/Winnipeg-Nord"," 115","Winnipeg",1,78,1,29,41,7,0,157,426
46012,"Winnipeg North/Winnipeg-Nord"," 116","Winnipeg",0,86,1,48,37,8,0,180,469
46012,"Winnipeg North/Winnipeg-Nord"," 117","Winnipeg",4,70,1,11,38,6,0,130,387
46012,"Winnipeg North/Winnipeg-Nord"," 118","Winnipeg",5,67,1,31,22,10,1,137,362
46012,"Winnipeg North/Winnipeg-Nord"," 119","Winnipeg",1,50,0,27,45,3,0,126,408
46012,"Winnipeg North/Winnipeg-Nord"," 120","Winnipeg",1,34,0,16,35,10,2,98,371
46012,"Winnipeg North/Winnipeg-Nord"," 121","Winnipeg",1,39,0,12,61,6,2,121,429
46012,"Winnipeg North/Winnipeg-Nord"," 122","Winnipeg",1,38,0,15,48,4,1,107,395
46012,"Winnipeg North/Winnipeg-Nord"," 123","Winnipeg",1,38,0,6,48,2,0,95,458
46012,"Winnipeg North/Winnipeg-Nord"," 124","Winnipeg",2,25,0,11,17,2,0,57,419
46012,"Winnipeg North/Winnipeg-Nord"," 125","Winnipeg",3,45,2,7,51,4,1,113,477
46012,"Winnipeg North/Winnipeg-Nord"," 126","Winnipeg",4,32,0,5,32,5,1,79,405
46012,"Winnipeg North/Winnipeg-Nord"," 127","Winnipeg",0,59,1,13,26,4,0,103,376
46012,"Winnipeg North/Winnipeg-Nord"," 128","Winnipeg",6,51,0,14,28,16,0,115,397
46012,"Winnipeg North/Winnipeg-Nord"," 129","Winnipeg",2,40,0,17,44,11,1,115,419
46012,"Winnipeg North/Winnipeg-Nord"," 130","Winnipeg",1,34,0,16,29,8,0,88,351
46012,"Winnipeg North/Winnipeg-Nord"," 131","Winnipeg",2,32,2,10,16,7,0,69,370
46012,"Winnipeg North/Winnipeg-Nord"," 132","Winnipeg",2,29,1,7,25,6,2,72,404
46012,"Winnipeg North/Winnipeg-Nord"," 133","Winnipeg",2,27,2,11,42,3,1,88,381
46012,"Winnipeg North/Winnipeg-Nord"," 134","Winnipeg",1,20,1,6,29,8,3,68,386
46012,"Winnipeg North/Winnipeg-Nord"," 135","Winnipeg",4,28,1,8,36,3,1,81,429
46012,"Winnipeg North/Winnipeg-Nord"," 136","Winnipeg",1,29,2,11,20,1,0,64,413
46012,"Winnipeg North/Winnipeg-Nord"," 137","Winnipeg",2,30,2,8,27,10,0,79,368
46012,"Winnipeg North/Winnipeg-Nord"," 138A","Winnipeg",Merged with No./Fusionné avec le n°145,,,,,,,,176
46012,"Winnipeg North/Winnipeg-Nord"," 138B","Mobile poll/Bureau itinérant",2,21,0,33,46,6,0,108,375
46012,"Winnipeg North/Winnipeg-Nord"," 139","Winnipeg",0,26,1,9,22,8,1,67,388
46012,"Winnipeg North/Winnipeg-Nord"," 140","Winnipeg",4,41,0,4,29,3,1,82,441
46012,"Winnipeg North/Winnipeg-Nord"," 141","Winnipeg",1,18,1,17,16,2,1,56,418
46012,"Winnipeg North/Winnipeg-Nord"," 142","Winnipeg",2,26,1,8,28,3,2,70,389
46012,"Winnipeg North/Winnipeg-Nord"," 143A","Winnipeg",2,43,0,13,24,2,0,84,406
46012,"Winnipeg North/Winnipeg-Nord"," 143B","Mobile poll/Bureau itinérant",0,5,0,0,1,0,0,6,17
46012,"Winnipeg North/Winnipeg-Nord"," 144","Winnipeg",0,33,3,4,15,8,0,63,367
46012,"Winnipeg North/Winnipeg-Nord"," 145","Winnipeg",5,73,4,7,32,8,3,132,350
46012,"Winnipeg North/Winnipeg-Nord"," 146","Winnipeg",4,34,0,6,14,5,1,64,329
46012,"Winnipeg North/Winnipeg-Nord"," 147","Winnipeg",4,51,1,10,26,6,1,99,393
46012,"Winnipeg North/Winnipeg-Nord"," 400","Mobile poll/Bureau itinérant",0,8,0,5,9,0,2,24,136
46012,"Winnipeg North/Winnipeg-Nord"," 401","Winnipeg",Void/Supprimé,,,,,,,,
46012,"Winnipeg North/Winnipeg-Nord"," 402","Mobile poll/Bureau itinérant",2,18,0,9,36,7,3,75,135
46012,"Winnipeg North/Winnipeg-Nord"," 500","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,108
46012,"Winnipeg North/Winnipeg-Nord"," 501","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,0,24
46012,"Winnipeg North/Winnipeg-Nord"," 502","Mobile poll/Bureau itinérant",0,4,0,0,3,0,0,7,35
46012,"Winnipeg North/Winnipeg-Nord"," 503","Winnipeg",Merged with No./Fusionné avec le n°50,,,,,,,,52
46012,"Winnipeg North/Winnipeg-Nord"," 504","Mobile poll/Bureau itinérant",0,7,0,5,21,0,0,33,48
46012,"Winnipeg North/Winnipeg-Nord"," 505","Mobile poll/Bureau itinérant",1,9,0,10,18,2,2,42,69
46012,"Winnipeg North/Winnipeg-Nord"," 506","Mobile poll/Bureau itinérant",2,14,0,5,13,6,0,40,81
46012,"Winnipeg North/Winnipeg-Nord"," 507","Mobile poll/Bureau itinérant",0,9,1,6,10,1,0,27,68
46012,"Winnipeg North/Winnipeg-Nord"," 508","Mobile poll/Bureau itinérant",3,6,2,11,29,1,3,55,118
46012,"Winnipeg North/Winnipeg-Nord"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
