Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Baker,Maurice Cormier,Ashley Da silva,Geoffrey Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Etobicoke Centre/Etobicoke-Centre"," 21","Toronto",112,6,32,55,6,211,556
35027,"Etobicoke Centre/Etobicoke-Centre"," 22","Toronto",65,8,14,50,0,137,414
35027,"Etobicoke Centre/Etobicoke-Centre"," 23","Toronto",67,6,34,58,6,171,437
35027,"Etobicoke Centre/Etobicoke-Centre"," 24","Toronto",71,15,18,34,0,138,522
35027,"Etobicoke Centre/Etobicoke-Centre"," 25","Toronto",49,7,16,41,0,113,408
35027,"Etobicoke Centre/Etobicoke-Centre"," 26","Toronto",73,8,11,71,2,165,443
35027,"Etobicoke Centre/Etobicoke-Centre"," 27","Toronto",84,8,12,62,4,170,413
35027,"Etobicoke Centre/Etobicoke-Centre"," 28","Toronto",53,7,11,53,2,126,352
35027,"Etobicoke Centre/Etobicoke-Centre"," 29","Toronto",61,2,11,50,1,125,338
35027,"Etobicoke Centre/Etobicoke-Centre"," 30","Toronto",57,12,12,48,0,129,398
35027,"Etobicoke Centre/Etobicoke-Centre"," 31","Toronto",57,12,4,40,1,114,354
35027,"Etobicoke Centre/Etobicoke-Centre"," 32","Etobicoke",Void/Supprimé,,,,,,
35027,"Etobicoke Centre/Etobicoke-Centre"," 33","Toronto",57,18,20,38,2,135,415
35027,"Etobicoke Centre/Etobicoke-Centre"," 34","Toronto",137,5,22,54,2,220,453
35027,"Etobicoke Centre/Etobicoke-Centre"," 35","Toronto",86,6,22,90,2,206,408
35027,"Etobicoke Centre/Etobicoke-Centre"," 36","Toronto",86,11,16,64,1,178,387
35027,"Etobicoke Centre/Etobicoke-Centre"," 37","Toronto",88,12,26,85,2,213,453
35027,"Etobicoke Centre/Etobicoke-Centre"," 38","Toronto",102,6,45,19,4,176,473
35027,"Etobicoke Centre/Etobicoke-Centre"," 39","Toronto",59,17,12,39,0,127,433
35027,"Etobicoke Centre/Etobicoke-Centre"," 40","Toronto",87,13,15,64,3,182,540
35027,"Etobicoke Centre/Etobicoke-Centre"," 41","Toronto",79,23,16,49,4,171,537
35027,"Etobicoke Centre/Etobicoke-Centre"," 42","Toronto",112,16,33,114,3,278,756
35027,"Etobicoke Centre/Etobicoke-Centre"," 43","Toronto",49,8,16,56,0,129,413
35027,"Etobicoke Centre/Etobicoke-Centre"," 44","Toronto",54,4,5,49,1,113,353
35027,"Etobicoke Centre/Etobicoke-Centre"," 45","Toronto",35,11,6,34,1,87,349
35027,"Etobicoke Centre/Etobicoke-Centre"," 46","Toronto",75,2,7,77,0,161,412
35027,"Etobicoke Centre/Etobicoke-Centre"," 47","Toronto",51,7,12,41,0,111,326
35027,"Etobicoke Centre/Etobicoke-Centre"," 48","Toronto",69,6,7,32,0,114,423
35027,"Etobicoke Centre/Etobicoke-Centre"," 49","Toronto",84,4,19,69,2,178,566
35027,"Etobicoke Centre/Etobicoke-Centre"," 50","Toronto",80,3,23,48,3,157,475
35027,"Etobicoke Centre/Etobicoke-Centre"," 51","Toronto",52,9,19,61,2,143,435
35027,"Etobicoke Centre/Etobicoke-Centre"," 52","Toronto",112,5,20,27,1,165,409
35027,"Etobicoke Centre/Etobicoke-Centre"," 53","Toronto",73,4,20,44,0,141,449
35027,"Etobicoke Centre/Etobicoke-Centre"," 54","Toronto",90,13,26,71,1,201,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 55","Toronto",49,5,15,28,1,98,219
35027,"Etobicoke Centre/Etobicoke-Centre"," 56","Toronto",48,4,9,52,3,116,353
35027,"Etobicoke Centre/Etobicoke-Centre"," 57","Toronto",100,11,34,75,1,221,601
35027,"Etobicoke Centre/Etobicoke-Centre"," 58","Toronto",39,9,15,53,2,118,486
35027,"Etobicoke Centre/Etobicoke-Centre"," 59","Toronto",59,8,3,60,3,133,444
35027,"Etobicoke Centre/Etobicoke-Centre"," 60","Toronto",59,4,17,67,0,147,418
35027,"Etobicoke Centre/Etobicoke-Centre"," 61","Toronto",46,2,13,75,0,136,383
35027,"Etobicoke Centre/Etobicoke-Centre"," 62","Toronto",50,3,3,61,0,117,410
35027,"Etobicoke Centre/Etobicoke-Centre"," 63","Toronto",36,2,1,51,2,92,378
35027,"Etobicoke Centre/Etobicoke-Centre"," 64","Toronto",69,6,10,39,1,125,546
35027,"Etobicoke Centre/Etobicoke-Centre"," 65","Toronto",48,0,2,67,1,118,399
35027,"Etobicoke Centre/Etobicoke-Centre"," 66","Toronto",42,6,5,82,1,136,371
35027,"Etobicoke Centre/Etobicoke-Centre"," 67","Toronto",52,7,5,90,0,154,460
35027,"Etobicoke Centre/Etobicoke-Centre"," 68","Toronto",66,6,18,58,0,148,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 69","Toronto",63,8,16,70,0,157,490
35027,"Etobicoke Centre/Etobicoke-Centre"," 70","Toronto",57,6,21,51,0,135,398
35027,"Etobicoke Centre/Etobicoke-Centre"," 71","Toronto",51,7,12,65,1,136,380
35027,"Etobicoke Centre/Etobicoke-Centre"," 72","Toronto",53,4,12,91,1,161,419
35027,"Etobicoke Centre/Etobicoke-Centre"," 73","Toronto",49,5,5,69,1,129,392
35027,"Etobicoke Centre/Etobicoke-Centre"," 74","Toronto",59,7,12,65,0,143,456
35027,"Etobicoke Centre/Etobicoke-Centre"," 75","Toronto",54,12,7,80,2,155,402
35027,"Etobicoke Centre/Etobicoke-Centre"," 76","Toronto",92,12,31,64,4,203,694
35027,"Etobicoke Centre/Etobicoke-Centre"," 77","Toronto",71,5,15,67,0,158,360
35027,"Etobicoke Centre/Etobicoke-Centre"," 78","Toronto",79,3,20,73,3,178,469
35027,"Etobicoke Centre/Etobicoke-Centre"," 79","Toronto",80,19,24,86,0,209,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 80","Toronto",75,11,17,71,5,179,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 81","Toronto",66,5,24,46,4,145,432
35027,"Etobicoke Centre/Etobicoke-Centre"," 82","Toronto",54,7,10,40,2,113,360
35027,"Etobicoke Centre/Etobicoke-Centre"," 83","Toronto",68,4,7,52,0,131,424
35027,"Etobicoke Centre/Etobicoke-Centre"," 84","Toronto",78,7,15,69,0,169,464
35027,"Etobicoke Centre/Etobicoke-Centre"," 85","Toronto",88,11,30,75,0,204,405
35027,"Etobicoke Centre/Etobicoke-Centre"," 86","Toronto",89,10,19,96,0,214,566
35027,"Etobicoke Centre/Etobicoke-Centre"," 87","Toronto",101,17,20,83,0,221,445
35027,"Etobicoke Centre/Etobicoke-Centre"," 88","Toronto",61,4,15,68,0,148,412
35027,"Etobicoke Centre/Etobicoke-Centre"," 89","Toronto",42,5,25,25,1,98,276
35027,"Etobicoke Centre/Etobicoke-Centre"," 90","Toronto",56,5,5,79,0,145,439
35027,"Etobicoke Centre/Etobicoke-Centre"," 91","Toronto",57,13,22,63,4,159,440
35027,"Etobicoke Centre/Etobicoke-Centre"," 92","Toronto",72,8,20,50,1,151,437
35027,"Etobicoke Centre/Etobicoke-Centre"," 93","Toronto",46,5,14,70,1,136,427
35027,"Etobicoke Centre/Etobicoke-Centre"," 94","Toronto",65,1,17,39,2,124,378
35027,"Etobicoke Centre/Etobicoke-Centre"," 95","Toronto",62,7,20,68,1,158,425
35027,"Etobicoke Centre/Etobicoke-Centre"," 96","Toronto",124,20,37,81,2,264,522
35027,"Etobicoke Centre/Etobicoke-Centre"," 97","Toronto",90,15,18,63,0,186,380
35027,"Etobicoke Centre/Etobicoke-Centre"," 98","Toronto",105,67,17,17,0,206,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 99","Toronto",129,16,26,55,1,227,487
35027,"Etobicoke Centre/Etobicoke-Centre"," 100","Toronto",110,10,21,77,0,218,391
35027,"Etobicoke Centre/Etobicoke-Centre"," 101","Toronto",68,10,8,74,0,160,382
35027,"Etobicoke Centre/Etobicoke-Centre"," 102","Toronto",56,4,14,76,1,151,439
35027,"Etobicoke Centre/Etobicoke-Centre"," 103","Toronto",83,8,8,100,1,200,370
35027,"Etobicoke Centre/Etobicoke-Centre"," 104","Toronto",97,5,10,78,0,190,428
35027,"Etobicoke Centre/Etobicoke-Centre"," 105","Toronto",52,5,18,87,2,164,409
35027,"Etobicoke Centre/Etobicoke-Centre"," 106","Toronto",79,4,14,85,1,183,393
35027,"Etobicoke Centre/Etobicoke-Centre"," 107","Toronto",70,14,23,65,5,177,489
35027,"Etobicoke Centre/Etobicoke-Centre"," 108","Toronto",106,24,26,54,0,210,504
35027,"Etobicoke Centre/Etobicoke-Centre"," 109","Toronto",75,9,28,72,2,186,535
35027,"Etobicoke Centre/Etobicoke-Centre"," 110","Toronto",70,11,32,66,1,180,512
35027,"Etobicoke Centre/Etobicoke-Centre"," 111","Toronto",88,12,20,74,0,194,450
35027,"Etobicoke Centre/Etobicoke-Centre"," 112","Toronto",80,8,30,61,0,179,440
35027,"Etobicoke Centre/Etobicoke-Centre"," 113","Toronto",122,10,28,105,1,266,538
35027,"Etobicoke Centre/Etobicoke-Centre"," 114","Toronto",76,11,33,78,0,198,493
35027,"Etobicoke Centre/Etobicoke-Centre"," 115","Toronto",79,13,25,66,2,185,445
35027,"Etobicoke Centre/Etobicoke-Centre"," 116","Toronto",67,16,21,62,0,166,428
35027,"Etobicoke Centre/Etobicoke-Centre"," 117","Toronto",84,8,19,67,0,178,472
35027,"Etobicoke Centre/Etobicoke-Centre"," 118","Toronto",57,13,18,82,0,170,460
35027,"Etobicoke Centre/Etobicoke-Centre"," 119","Toronto",67,13,22,47,0,149,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 120","Toronto",74,10,13,68,1,166,440
35027,"Etobicoke Centre/Etobicoke-Centre"," 121","Toronto",45,6,12,62,0,125,382
35027,"Etobicoke Centre/Etobicoke-Centre"," 122","Toronto",59,4,17,69,0,149,441
35027,"Etobicoke Centre/Etobicoke-Centre"," 123","Toronto",83,11,14,47,1,156,449
35027,"Etobicoke Centre/Etobicoke-Centre"," 124","Toronto",64,6,10,83,0,163,385
35027,"Etobicoke Centre/Etobicoke-Centre"," 125","Toronto",91,4,22,9,2,128,355
35027,"Etobicoke Centre/Etobicoke-Centre"," 126","Toronto",86,10,18,28,2,144,405
35027,"Etobicoke Centre/Etobicoke-Centre"," 127","Toronto",46,9,24,35,1,115,351
35027,"Etobicoke Centre/Etobicoke-Centre"," 128","Toronto",67,10,11,83,0,171,432
35027,"Etobicoke Centre/Etobicoke-Centre"," 129","Toronto",65,5,15,46,3,134,390
35027,"Etobicoke Centre/Etobicoke-Centre"," 130","Toronto",71,10,16,64,0,161,428
35027,"Etobicoke Centre/Etobicoke-Centre"," 131","Toronto",74,4,18,57,1,154,447
35027,"Etobicoke Centre/Etobicoke-Centre"," 132","Toronto",43,12,21,53,0,129,380
35027,"Etobicoke Centre/Etobicoke-Centre"," 133","Toronto",81,10,26,43,0,160,578
35027,"Etobicoke Centre/Etobicoke-Centre"," 134","Toronto",116,12,43,74,1,246,626
35027,"Etobicoke Centre/Etobicoke-Centre"," 135","Toronto",81,6,16,57,1,161,412
35027,"Etobicoke Centre/Etobicoke-Centre"," 136","Toronto",74,11,23,65,1,174,432
35027,"Etobicoke Centre/Etobicoke-Centre"," 137","Toronto",98,3,22,50,2,175,530
35027,"Etobicoke Centre/Etobicoke-Centre"," 138","Toronto",69,8,15,64,1,157,444
35027,"Etobicoke Centre/Etobicoke-Centre"," 139","Toronto",63,11,14,61,6,155,445
35027,"Etobicoke Centre/Etobicoke-Centre"," 140","Toronto",63,11,14,52,2,142,390
35027,"Etobicoke Centre/Etobicoke-Centre"," 141","Toronto",53,2,13,45,1,114,399
35027,"Etobicoke Centre/Etobicoke-Centre"," 142","Toronto",74,3,18,75,2,172,480
35027,"Etobicoke Centre/Etobicoke-Centre"," 143","Toronto",67,8,6,56,2,139,391
35027,"Etobicoke Centre/Etobicoke-Centre"," 144","Toronto",68,6,16,26,1,117,393
35027,"Etobicoke Centre/Etobicoke-Centre"," 145","Toronto",73,9,8,52,0,142,338
35027,"Etobicoke Centre/Etobicoke-Centre"," 146","Toronto",64,9,19,60,1,153,449
35027,"Etobicoke Centre/Etobicoke-Centre"," 147","Toronto",63,11,15,43,0,132,357
35027,"Etobicoke Centre/Etobicoke-Centre"," 148","Toronto",57,9,17,56,2,141,399
35027,"Etobicoke Centre/Etobicoke-Centre"," 149","Toronto",58,12,27,46,1,144,405
35027,"Etobicoke Centre/Etobicoke-Centre"," 150","Toronto",82,18,21,61,1,183,503
35027,"Etobicoke Centre/Etobicoke-Centre"," 151","Toronto",58,4,16,56,1,135,460
35027,"Etobicoke Centre/Etobicoke-Centre"," 152","Toronto",29,12,21,40,0,102,294
35027,"Etobicoke Centre/Etobicoke-Centre"," 153","Toronto",51,6,22,32,2,113,338
35027,"Etobicoke Centre/Etobicoke-Centre"," 154","Toronto",26,7,13,40,1,87,317
35027,"Etobicoke Centre/Etobicoke-Centre"," 155","Toronto",53,9,13,60,0,135,412
35027,"Etobicoke Centre/Etobicoke-Centre"," 156","Toronto",77,10,29,50,0,166,511
35027,"Etobicoke Centre/Etobicoke-Centre"," 157","Toronto",94,9,11,69,0,183,479
35027,"Etobicoke Centre/Etobicoke-Centre"," 158","Toronto",43,6,13,38,1,101,367
35027,"Etobicoke Centre/Etobicoke-Centre"," 159","Toronto",59,3,17,19,3,101,421
35027,"Etobicoke Centre/Etobicoke-Centre"," 160","Toronto",45,8,16,7,2,78,280
35027,"Etobicoke Centre/Etobicoke-Centre"," 161","Toronto",51,5,24,14,1,95,334
35027,"Etobicoke Centre/Etobicoke-Centre"," 162","Toronto",76,23,21,65,2,187,503
35027,"Etobicoke Centre/Etobicoke-Centre"," 163","Toronto",66,6,33,56,2,163,369
35027,"Etobicoke Centre/Etobicoke-Centre"," 164","Toronto",60,12,33,54,0,159,428
35027,"Etobicoke Centre/Etobicoke-Centre"," 165","Toronto",133,16,24,79,3,255,398
35027,"Etobicoke Centre/Etobicoke-Centre"," 166","Toronto",145,14,20,60,1,240,392
35027,"Etobicoke Centre/Etobicoke-Centre"," 167","Toronto",78,7,11,58,1,155,392
35027,"Etobicoke Centre/Etobicoke-Centre"," 168","Toronto",89,7,24,77,0,197,505
35027,"Etobicoke Centre/Etobicoke-Centre"," 169","Toronto",82,18,27,72,3,202,524
35027,"Etobicoke Centre/Etobicoke-Centre"," 170","Toronto",78,5,25,93,0,201,489
35027,"Etobicoke Centre/Etobicoke-Centre"," 171","Toronto",93,15,19,74,0,201,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 172","Toronto",71,16,25,49,4,165,531
35027,"Etobicoke Centre/Etobicoke-Centre"," 173","Toronto",117,14,27,82,0,240,540
35027,"Etobicoke Centre/Etobicoke-Centre"," 174","Toronto",54,17,24,79,2,176,469
35027,"Etobicoke Centre/Etobicoke-Centre"," 175","Toronto",96,5,25,113,0,239,566
35027,"Etobicoke Centre/Etobicoke-Centre"," 176","Toronto",80,6,15,88,0,189,454
35027,"Etobicoke Centre/Etobicoke-Centre"," 177","Toronto",90,12,17,66,0,185,456
35027,"Etobicoke Centre/Etobicoke-Centre"," 400","Toronto",120,2,7,4,1,134,285
35027,"Etobicoke Centre/Etobicoke-Centre"," 401","Toronto",71,7,10,30,6,124,163
35027,"Etobicoke Centre/Etobicoke-Centre"," 402","Toronto",130,15,34,84,3,266,489
35027,"Etobicoke Centre/Etobicoke-Centre"," 403","Toronto",77,12,15,58,2,164,261
35027,"Etobicoke Centre/Etobicoke-Centre"," 404","Toronto",87,6,5,57,2,157,249
35027,"Etobicoke Centre/Etobicoke-Centre"," 405","Toronto",96,19,39,39,3,196,419
35027,"Etobicoke Centre/Etobicoke-Centre"," 406","Toronto",72,3,7,38,3,123,209
35027,"Etobicoke Centre/Etobicoke-Centre"," 407","Toronto",158,15,35,75,5,288,438
35027,"Etobicoke Centre/Etobicoke-Centre"," 408","Toronto",Merged with No./Fusionné avec le n°41,,,,,,68
35027,"Etobicoke Centre/Etobicoke-Centre"," 409","Toronto",98,23,26,44,3,194,329
35027,"Etobicoke Centre/Etobicoke-Centre"," 410","Toronto",20,8,4,26,1,59,106
35027,"Etobicoke Centre/Etobicoke-Centre"," 411","Toronto",60,12,20,47,1,140,226
35027,"Etobicoke Centre/Etobicoke-Centre"," 412","Toronto",Merged with No./Fusionné avec le n°42,,,,,,157
35027,"Etobicoke Centre/Etobicoke-Centre"," 413","Toronto",108,10,15,65,4,202,316
35027,"Etobicoke Centre/Etobicoke-Centre"," 414","Toronto",Merged with No./Fusionné avec le n°52,,,,,,250
35027,"Etobicoke Centre/Etobicoke-Centre"," 415","Toronto",80,2,14,42,7,145,194
35027,"Etobicoke Centre/Etobicoke-Centre"," 416","Toronto",Merged with No./Fusionné avec le n°54,,,,,,189
35027,"Etobicoke Centre/Etobicoke-Centre"," 417","Toronto",129,8,36,63,2,238,438
35027,"Etobicoke Centre/Etobicoke-Centre"," 418","Toronto",121,11,35,75,2,244,372
35027,"Etobicoke Centre/Etobicoke-Centre"," 419","Toronto",113,14,51,56,1,235,400
35027,"Etobicoke Centre/Etobicoke-Centre"," 420","Toronto",Merged with No./Fusionné avec le n°70,,,,,,128
35027,"Etobicoke Centre/Etobicoke-Centre"," 421","Toronto",72,10,16,84,1,183,274
35027,"Etobicoke Centre/Etobicoke-Centre"," 422","Toronto",99,25,23,71,0,218,392
35027,"Etobicoke Centre/Etobicoke-Centre"," 423","Toronto",138,10,29,58,0,235,401
35027,"Etobicoke Centre/Etobicoke-Centre"," 424","Toronto",140,19,27,55,0,241,488
35027,"Etobicoke Centre/Etobicoke-Centre"," 425","Toronto",168,12,25,76,5,286,497
35027,"Etobicoke Centre/Etobicoke-Centre"," 426","Toronto",126,26,39,91,4,286,489
35027,"Etobicoke Centre/Etobicoke-Centre"," 427","Toronto",169,35,24,83,5,316,485
35027,"Etobicoke Centre/Etobicoke-Centre"," 428","Toronto",125,18,24,71,1,239,485
35027,"Etobicoke Centre/Etobicoke-Centre"," 429","Toronto",138,22,41,77,1,279,479
35027,"Etobicoke Centre/Etobicoke-Centre"," 430","Toronto",130,20,36,77,3,266,490
35027,"Etobicoke Centre/Etobicoke-Centre"," 431","Toronto",71,12,30,54,1,168,360
35027,"Etobicoke Centre/Etobicoke-Centre"," 432","Toronto",67,8,19,72,5,171,304
35027,"Etobicoke Centre/Etobicoke-Centre"," 433","Toronto",96,15,37,70,1,219,358
35027,"Etobicoke Centre/Etobicoke-Centre"," 434","Toronto",65,4,16,44,1,130,263
35027,"Etobicoke Centre/Etobicoke-Centre"," 435","Toronto",75,14,22,53,0,164,364
35027,"Etobicoke Centre/Etobicoke-Centre"," 436","Toronto",89,6,15,73,4,187,359
35027,"Etobicoke Centre/Etobicoke-Centre"," 437","Toronto",108,25,30,55,2,220,399
35027,"Etobicoke Centre/Etobicoke-Centre"," 438","Toronto",124,15,46,58,0,243,429
35027,"Etobicoke Centre/Etobicoke-Centre"," 439","Toronto",14,18,20,65,1,118,226
35027,"Etobicoke Centre/Etobicoke-Centre"," 440","Toronto",38,19,18,42,1,118,196
35027,"Etobicoke Centre/Etobicoke-Centre"," 441","Toronto",73,5,4,16,2,100,145
35027,"Etobicoke Centre/Etobicoke-Centre"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°127,,,,,,105
35027,"Etobicoke Centre/Etobicoke-Centre"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°427,,,,,,99
35027,"Etobicoke Centre/Etobicoke-Centre"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°429,,,,,,81
35027,"Etobicoke Centre/Etobicoke-Centre"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°174,,,,,,67
35027,"Etobicoke Centre/Etobicoke-Centre"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,18
35027,"Etobicoke Centre/Etobicoke-Centre"," 600","Toronto",470,57,72,308,5,912,
35027,"Etobicoke Centre/Etobicoke-Centre"," 601","Toronto",340,56,63,241,3,703,
35027,"Etobicoke Centre/Etobicoke-Centre"," 602","Toronto",842,79,119,667,22,1729,
35027,"Etobicoke Centre/Etobicoke-Centre"," 603","Toronto",579,84,124,301,11,1099,
35027,"Etobicoke Centre/Etobicoke-Centre"," 604","Toronto",595,71,103,385,6,1160,
35027,"Etobicoke Centre/Etobicoke-Centre"," 605","Toronto",579,43,73,443,4,1142,
35027,"Etobicoke Centre/Etobicoke-Centre"," 606","Toronto",492,718,46,84,11,1351,
35027,"Etobicoke Centre/Etobicoke-Centre"," 607","Toronto",432,34,56,488,8,1018,
35027,"Etobicoke Centre/Etobicoke-Centre"," 608","Toronto",692,50,92,664,5,1503,
35027,"Etobicoke Centre/Etobicoke-Centre"," 609","Toronto",449,48,84,364,11,956,
35027,"Etobicoke Centre/Etobicoke-Centre"," 610","Toronto",306,46,39,214,3,608,
35027,"Etobicoke Centre/Etobicoke-Centre"," 611","Toronto",688,71,123,497,18,1397,
35027,"Etobicoke Centre/Etobicoke-Centre"," 612","Toronto",475,64,79,279,3,900,
35027,"Etobicoke Centre/Etobicoke-Centre"," 613","Toronto",501,52,56,302,5,916,
35027,"Etobicoke Centre/Etobicoke-Centre"," 614","Toronto",408,34,48,325,3,818,
35027,"Etobicoke Centre/Etobicoke-Centre"," 615","Toronto",485,58,115,241,10,909,
35027,"Etobicoke Centre/Etobicoke-Centre"," 616","Toronto",638,79,120,604,13,1454,
35027,"Etobicoke Centre/Etobicoke-Centre",,Group 1/Groupe 1, 309,21,86,206,30,652,307
35027,"Etobicoke Centre/Etobicoke-Centre",,Group 2/Groupe 2, 2090,198,265,969,91,3613,
