Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Buckley Belanger,Nasser Dean Chalifoux,Harmonie King,Stephen King,Dezirae Reddekopp,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12A","La Loche",59,0,15,3,1,2,2,82,556
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12B","La Loche",45,0,10,0,1,0,0,56,406
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13","La Loche",29,0,7,2,0,7,1,46,235
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14","La Loche--Garson Lake",30,0,9,1,2,0,0,42,328
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Bear Creek",21,0,1,0,0,0,0,22,22
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Michel Village",12,0,2,0,0,1,0,15,15
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Buffalo Narrows",28,0,10,1,5,2,0,46,251
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Buffalo Narrows",28,1,14,3,4,9,1,60,279
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Buffalo Narrows",58,1,14,0,6,15,0,94,329
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Dillon",51,0,14,2,0,2,0,69,604
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","St. George's Hill",7,0,7,2,0,0,0,16,37
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22","Brabant Lake",6,0,1,0,0,4,0,11,28
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23","Patuanak",42,0,35,2,0,2,0,81,437
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Southend 200",80,2,37,2,5,14,0,140,609
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25A","Île-à-la-Crosse",250,1,10,0,2,3,0,266,69
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25B","Île-à-la-Crosse",Merged with No./Fusionné avec le n°26B,,,,,,,,98
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26A","Île-à-la-Crosse",Merged with No./Fusionné avec le n°25A,,,,,,,,85
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26B","Île-à-la-Crosse",177,1,14,1,6,10,0,209,54
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27A","Île-à-la-Crosse",Merged with No./Fusionné avec le n°25A,,,,,,,,413
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27B","Île-à-la-Crosse",Merged with No./Fusionné avec le n°26B,,,,,,,,317
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","Cole Bay",38,0,8,4,2,11,0,63,118
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","Grandmother's Bay 219",27,1,23,1,1,3,2,58,187
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30A","Beauval",43,0,22,15,4,8,0,92,270
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30B","Beauval",Merged with No./Fusionné avec le n°31B,,,,,,,,253
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31A","Beauval",Merged with No./Fusionné avec le n°30A,,,,,,,,65
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31B","Beauval",49,0,17,7,0,6,0,79,69
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32A","Pinehouse",42,1,19,9,2,5,1,79,338
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32B","Pinehouse",63,0,8,6,2,3,1,83,372
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33A","Canoe Narrows",33,1,19,0,0,0,1,54,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33B","Canoe Narrows",82,3,45,6,0,5,0,141,436
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Morin Lake 217",26,1,13,1,3,1,0,45,205
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35A","Sandy Bay",36,0,21,1,0,6,0,64,144
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35B","Sandy Bay",Merged with No./Fusionné avec le n°36B,,,,,,,,151
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36A","Sandy Bay",Merged with No./Fusionné avec le n°35A,,,,,,,,228
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36B","Sandy Bay",43,1,25,1,2,10,2,84,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37A","Stanley Mission",66,1,40,0,1,4,1,113,220
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37B","Stanley Mission",54,0,54,0,0,4,2,114,187
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37C","Stanley Mission",Merged with No./Fusionné avec le n°38C,,,,,,,,260
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38A","Stanley 157",Merged with No./Fusionné avec le n°37A,,,,,,,,141
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38B","Stanley 157",Merged with No./Fusionné avec le n°37B,,,,,,,,133
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38C","Stanley 157",80,2,59,1,2,7,0,151,177
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","Sucker River 156C",39,1,19,1,3,5,0,68,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","La Ronge",49,3,41,4,5,59,0,161,128
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","La Ronge",Merged with No./Fusionné avec le n°40,,,,,,,,537
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42","La Ronge",30,2,56,3,0,38,0,129,652
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43","La Ronge",17,1,12,1,3,14,0,48,350
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","La Ronge",23,0,25,2,1,36,1,88,393
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","Air Ronge--Kitsakie 156B",20,0,24,0,1,5,2,52,347
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Lac la Ronge 156",15,4,12,1,1,15,0,48,418
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47A","Northern Pine",4,0,15,1,14,151,0,185,165
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47B","Northern Pine",Merged with No./Fusionné avec le n°48B,,,,,,,,140
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47C","Northern Pine",Merged with No./Fusionné avec le n°54C,,,,,,,,191
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48A","Pierceland",Merged with No./Fusionné avec le n°47A,,,,,,,,182
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48B","Pierceland",2,0,17,1,18,132,2,172,250
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48C","Pierceland",Merged with No./Fusionné avec le n°54C,,,,,,,,213
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49","Air Ronge",37,2,43,0,5,43,0,130,609
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","Air Ronge",37,1,40,1,12,37,0,128,220
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Air Ronge",Merged with No./Fusionné avec le n°50,,,,,,,,203
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Lac la Ronge 156",40,0,54,1,1,7,0,103,498
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53","Lac la Ronge 156",45,0,50,2,0,1,0,98,535
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54A","Big Island Lake Cree Territory",Merged with No./Fusionné avec le n°47A,,,,,,,,91
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54B","Big Island Lake Cree Territory",Merged with No./Fusionné avec le n°48B,,,,,,,,96
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54C","Big Island Lake Cree Territory",2,1,14,2,17,138,0,174,122
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55","Waterhen Lake",55,2,67,0,3,11,1,139,355
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Goodsoil",6,0,8,0,3,80,0,97,336
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Peerless",1,0,4,0,8,79,0,92,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58A","Pelican Narrows",43,0,31,3,0,5,1,83,416
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58B","Pelican Narrows",Merged with No./Fusionné avec le n°59B,,,,,,,,448
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59A","Pelican Narrows 184B",Merged with No./Fusionné avec le n°58A,,,,,,,,203
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59B","Pelican Narrows 184B",72,1,39,0,0,6,1,119,205
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60A","Pelican Narrows 184B",Merged with No./Fusionné avec le n°58A,,,,,,,,61
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60B","Pelican Narrows 184B",Merged with No./Fusionné avec le n°59B,,,,,,,,66
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Dorintosh--Greig Lake",24,3,13,5,7,122,2,176,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Doré Lake",5,1,2,0,6,25,0,39,44
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Mudie Lake",15,0,29,0,1,5,2,52,275
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Rapid View",5,2,13,3,25,163,1,212,357
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Green Lake",47,1,35,5,0,23,0,111,367
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66","Loon Lake",2,1,3,0,2,60,0,68,119
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67","Loon Lake",4,0,4,4,3,44,0,59,342
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Whelan",Merged with No./Fusionné avec le n°66,,,,,,,,96
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69A","Flying Dust First Nation 105 (Meadow Lake 105)",27,0,31,2,3,39,2,104,337
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69B","Flying Dust First Nation 105 (Meadow Lake 105)",20,0,29,0,2,51,0,102,361
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70A","Makwa Lake 129",17,0,28,3,5,8,0,61,311
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70B","Makwa Lake 129",19,0,33,2,10,10,2,76,284
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Weyakwin",20,0,21,1,4,24,1,71,130
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72","Meadow Lake",22,1,27,3,6,83,0,142,537
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73","Meadow Lake",16,1,23,2,6,60,0,108,421
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74","Meadow Lake",22,1,19,2,5,63,1,113,443
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Meadow Lake",16,1,39,1,8,80,0,145,418
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76","Meadow Lake",13,2,15,4,9,79,0,122,358
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Makwa",7,0,8,2,6,99,1,123,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Creighton",17,3,37,2,9,85,0,153,207
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Creighton",9,0,28,0,5,84,0,126,404
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Creighton",Merged with No./Fusionné avec le n°78,,,,,,,,244
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81","Creighton",10,2,24,0,3,100,0,139,476
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Barthel",3,0,3,1,4,39,0,50,106
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83","Four Corners",6,1,18,1,13,117,0,156,458
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Meadow Lake",13,0,18,0,7,40,1,79,325
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85","Meadow Lake",16,0,24,1,13,69,0,123,521
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86","Meadow Lake",19,1,25,2,10,55,0,112,399
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87A","Meadow Lake",12,0,16,0,3,66,1,98,216
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87B","Meadow Lake",Merged with No./Fusionné avec le n°88B,,,,,,,,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88A","Meadow Lake No. 588",Merged with No./Fusionné avec le n°87A,,,,,,,,55
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88B","Meadow Lake No. 588",10,1,15,0,3,55,0,84,41
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89","Meadow Lake No. 588",15,1,19,2,14,136,0,187,441
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Little Bear Lake",0,0,5,0,3,43,0,51,93
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91","Deschambault Lake",91,2,32,3,14,4,0,146,610
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 92","Denare Beach",19,1,19,0,7,62,1,109,376
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 93","Denare Beach",15,1,22,1,11,67,1,118,279
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94","Big River No. 555",12,1,15,0,24,178,0,230,358
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95","Big River",25,6,26,6,33,253,1,350,269
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96","Big River",Merged with No./Fusionné avec le n°95,,,,,,,,328
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 97","Big River No. 555",8,3,12,1,24,123,0,171,287
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98","Montreal Lake",69,0,17,0,0,0,1,87,75
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 99","Montreal Lake",Merged with No./Fusionné avec le n°98,,,,,,,,613
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100","Chitek Lake ",12,0,9,0,2,71,0,94,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 101","Waskesiu Lake",24,3,11,0,5,60,0,103,170
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102A","Leoville",4,0,4,2,6,66,2,84,50
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102B","Leoville",Merged with No./Fusionné avec le n°103B,,,,,,,,79
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103A","Leoville",Merged with No./Fusionné avec le n°102A,,,,,,,,223
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103B","Leoville",10,1,5,1,4,114,2,137,262
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104","Chitek Lake 191",76,1,32,0,3,6,1,119,319
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 105","Ranger",3,1,11,0,6,33,1,55,87
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 106","Sturgeon Landing",11,0,1,0,0,0,0,12,48
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107A","Big River 118",45,0,25,1,11,2,0,84,275
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107B","Big River 118",50,0,25,1,8,4,0,88,306
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108A","Lakeland",28,1,16,0,9,77,0,131,137
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108B","Lakeland",Merged with No./Fusionné avec le n°109B,,,,,,,,137
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108C","Lakeland",Merged with No./Fusionné avec le n°110C,,,,,,,,176
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109A","Christopher Lake",Merged with No./Fusionné avec le n°108A,,,,,,,,206
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109B","Christopher Lake",13,3,15,0,6,84,0,121,194
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109C","Christopher Lake",Merged with No./Fusionné avec le n°110C,,,,,,,,185
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110A","Christopher Lake",Merged with No./Fusionné avec le n°108A,,,,,,,,71
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110B","Christopher Lake",Merged with No./Fusionné avec le n°109B,,,,,,,,66
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110C","Christopher Lake",23,2,17,0,4,92,0,138,76
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111A","Candle Lake",23,0,25,0,5,156,0,209,125
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111B","Candle Lake",Merged with No./Fusionné avec le n°112B,,,,,,,,136
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112A","Candle Lake",Merged with No./Fusionné avec le n°111A,,,,,,,,207
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112B","Candle Lake",9,2,24,0,2,190,0,227,228
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 113","Debden",8,0,11,1,12,125,0,157,435
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 114","Debden",19,1,9,1,6,71,0,107,425
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 115","Witchekan Lake 117",36,2,48,0,3,2,0,91,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116","Victoire",Merged with No./Fusionné avec le n°114,,,,,,,,150
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117","Laventure",4,4,13,1,14,131,0,167,368
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 118","Spiritwood",8,1,7,0,3,60,0,79,241
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 119","Spiritwood",3,0,4,0,3,59,0,69,299
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120","Spiritwood",7,0,6,2,4,44,1,64,162
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121","Ahtahkakoop 104",76,1,23,0,1,9,0,110,645
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Deer Ridge",10,6,10,0,8,126,0,160,244
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Little Red River 106C",48,2,24,0,2,3,1,80,259
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124A","Shell Lake",12,8,19,2,11,114,2,168,146
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124B","Shell Lake",Merged with No./Fusionné avec le n°125B,,,,,,,,96
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125A","Shell Lake",Merged with No./Fusionné avec le n°124A,,,,,,,,264
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125B","Shell Lake",10,3,16,2,19,105,1,156,267
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Candle Lake",3,0,1,0,4,24,0,32,105
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127","Love",11,3,12,0,22,138,0,186,358
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Canwood",9,1,14,1,11,160,0,196,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129","Canwood",5,2,11,1,11,168,0,198,321
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130A","Sturgeon Lake 101",32,0,26,0,1,1,0,60,414
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130B","Sturgeon Lake 101",25,0,15,0,0,3,0,43,372
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131A","Cumberland House",221,1,50,0,6,12,2,292,329
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131B","Cumberland House",Merged with No./Fusionné avec le n°132B,,,,,,,,322
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132A","Cumberland 20",Merged with No./Fusionné avec le n°131A,,,,,,,,37
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132B","Cumberland House",20,0,1,0,0,2,0,23,85
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133A","Cumberland House",Merged with No./Fusionné avec le n°131A,,,,,,,,60
