Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Hardy,Lawrence MacAulay,Michael MacLean,Fred MacLeod,Wayne Phelan,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 48","Kinross",3,50,7,2,70,18,0,150,320
11001,"Cardigan/Cardigan"," 49","Beach Point",11,70,8,3,47,19,0,158,308
11001,"Cardigan/Cardigan"," 50","Murray Harbour--Gladstone",17,69,5,3,55,19,0,168,311
11001,"Cardigan/Cardigan"," 51","Cherry Valley",5,75,11,1,68,10,1,171,304
11001,"Cardigan/Cardigan"," 52","Stratford",6,77,9,1,43,34,0,170,470
11001,"Cardigan/Cardigan"," 53","Stratford",1,102,7,2,48,24,1,185,410
11001,"Cardigan/Cardigan"," 54","Stratford",3,170,14,4,92,32,0,315,586
11001,"Cardigan/Cardigan"," 55","Stratford",2,114,5,0,59,17,0,197,418
11001,"Cardigan/Cardigan"," 56","Stratford",4,88,16,0,78,27,4,217,484
11001,"Cardigan/Cardigan"," 57","Stratford",2,108,12,0,79,35,0,236,588
11001,"Cardigan/Cardigan"," 58","Stratford",7,112,18,0,56,38,0,231,635
11001,"Cardigan/Cardigan"," 59","Stratford",5,78,16,0,30,32,0,161,430
11001,"Cardigan/Cardigan"," 60","Stratford",3,117,21,3,66,24,2,236,522
11001,"Cardigan/Cardigan"," 61","Stratford",4,52,10,0,22,22,0,110,352
11001,"Cardigan/Cardigan"," 62","Stratford",7,102,14,0,66,38,3,230,563
11001,"Cardigan/Cardigan"," 63","Stratford",8,109,9,1,50,32,3,212,435
11001,"Cardigan/Cardigan"," 64","Stratford",2,155,22,0,94,46,0,319,662
11001,"Cardigan/Cardigan"," 65","Stratford",2,112,14,2,93,32,0,255,504
11001,"Cardigan/Cardigan"," 66","Hazelbrook",14,65,3,0,44,22,0,148,359
11001,"Cardigan/Cardigan"," 67","Pownal",8,91,16,1,79,18,1,214,426
11001,"Cardigan/Cardigan"," 68","Alexandra",6,63,9,1,63,22,2,166,324
11001,"Cardigan/Cardigan"," 69","Iona",4,66,9,6,61,19,1,166,274
11001,"Cardigan/Cardigan"," 70","Murray River",5,88,6,0,66,10,1,176,366
11001,"Cardigan/Cardigan"," 71","Lewes",4,38,3,2,45,6,2,100,327
11001,"Cardigan/Cardigan"," 72","Abney",19,81,11,6,71,12,3,203,425
11001,"Cardigan/Cardigan"," 73","Mount Buchanan",3,129,10,4,56,31,3,236,418
11001,"Cardigan/Cardigan"," 74","Wood Islands",7,59,18,0,38,14,0,136,365
11001,"Cardigan/Cardigan"," 75","Flat River",10,70,8,7,55,20,2,172,400
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",1,14,0,0,4,0,0,19,51
11001,"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",0,9,1,0,1,2,1,14,23
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",0,11,0,0,1,0,0,12,48
11001,"Cardigan/Cardigan"," 503","Mobile poll/Bureau itinérant",2,17,1,0,15,0,3,38,62
11001,"Cardigan/Cardigan"," 504","Mobile poll/Bureau itinérant",2,2,0,1,9,0,0,14,18
11001,"Cardigan/Cardigan"," 505","Mobile poll/Bureau itinérant",0,29,0,0,7,3,0,39,103
11001,"Cardigan/Cardigan"," 506","Mobile poll/Bureau itinérant",0,36,3,0,18,2,1,60,79
11001,"Cardigan/Cardigan"," 507","Mobile poll/Bureau itinérant",0,8,0,0,7,1,0,16,24
11001,"Cardigan/Cardigan"," 508","Mobile poll/Bureau itinérant",0,11,0,0,1,0,0,12,16
11001,"Cardigan/Cardigan"," 600","Souris",31,539,29,7,304,57,13,980,
11001,"Cardigan/Cardigan"," 601","Mount Stewart",25,510,27,4,272,67,0,905,
11001,"Cardigan/Cardigan"," 602","Central Kings--Three Rivers",25,381,29,11,236,36,9,727,
11001,"Cardigan/Cardigan"," 603","Montague",25,316,18,4,180,45,9,597,
11001,"Cardigan/Cardigan"," 604","Vernon River, Part 1",20,366,25,3,263,52,12,741,
11001,"Cardigan/Cardigan"," 605","Stratford",12,389,43,7,214,65,3,733,
11001,"Cardigan/Cardigan"," 606","Stratford",9,633,53,1,286,99,17,1098,
11001,"Cardigan/Cardigan"," 607","Stratford",10,491,42,4,274,75,8,904,
11001,"Cardigan/Cardigan"," 608","Wood Islands",25,313,22,9,200,49,7,625,
11001,"Cardigan/Cardigan",,Group 1/Groupe 1, 3,95,12,0,53,29,5,197,58
11001,"Cardigan/Cardigan",,Group 2/Groupe 2, 18,345,35,3,227,73,9,710,
