Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reuben Anthony DeBoer,Nathaniel Erskine-Smith,Philip Fernandez,Jennifer Moxon,Radu Rautescu,Lisa Robinson,Alejandra Ruiz Vargas,Karen Lee Wilde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 121","Toronto",12,136,0,0,11,43,48,5,2,257,366
35007,"Beaches--East York/Beaches--East York"," 122","Toronto",6,90,0,0,1,20,28,1,1,147,446
35007,"Beaches--East York/Beaches--East York"," 123","Toronto",4,101,0,1,7,33,59,0,0,205,504
35007,"Beaches--East York/Beaches--East York"," 124","Toronto",16,129,0,1,7,39,55,0,0,247,441
35007,"Beaches--East York/Beaches--East York"," 125","Toronto",Merged with No./Fusionné avec le n°124,,,,,,,,,,324
35007,"Beaches--East York/Beaches--East York"," 126","Toronto",7,53,0,0,5,20,53,0,0,138,448
35007,"Beaches--East York/Beaches--East York"," 127","Toronto",6,94,0,1,5,28,41,0,1,176,513
35007,"Beaches--East York/Beaches--East York"," 128","Toronto",8,108,0,0,11,29,52,0,0,208,521
35007,"Beaches--East York/Beaches--East York"," 129","Toronto",6,118,0,0,13,26,77,0,2,242,385
35007,"Beaches--East York/Beaches--East York"," 130","Toronto",10,70,0,0,4,8,43,1,1,137,428
35007,"Beaches--East York/Beaches--East York"," 131","Toronto",7,100,0,1,6,34,49,1,0,198,602
35007,"Beaches--East York/Beaches--East York"," 132","Toronto",Merged with No./Fusionné avec le n°129,,,,,,,,,,318
35007,"Beaches--East York/Beaches--East York"," 133","Toronto",7,100,0,1,0,23,31,0,0,162,562
35007,"Beaches--East York/Beaches--East York"," 134","Toronto",3,75,0,0,5,20,44,1,0,148,456
35007,"Beaches--East York/Beaches--East York"," 135","Toronto",3,93,3,0,9,13,48,1,1,171,546
35007,"Beaches--East York/Beaches--East York"," 136","Toronto",4,68,0,0,5,33,27,1,2,140,607
35007,"Beaches--East York/Beaches--East York"," 137","Toronto",15,218,1,0,14,36,96,1,0,381,488
35007,"Beaches--East York/Beaches--East York"," 138","Toronto",Merged with No./Fusionné avec le n°137,,,,,,,,,,306
35007,"Beaches--East York/Beaches--East York"," 139","Toronto",8,155,0,1,8,44,58,3,0,277,532
35007,"Beaches--East York/Beaches--East York"," 140","Toronto",Merged with No./Fusionné avec le n°144,,,,,,,,,,384
35007,"Beaches--East York/Beaches--East York"," 141","Toronto",Merged with No./Fusionné avec le n°143,,,,,,,,,,345
35007,"Beaches--East York/Beaches--East York"," 142","Toronto",4,116,0,1,7,24,46,1,4,203,508
35007,"Beaches--East York/Beaches--East York"," 143","Toronto",11,164,1,3,15,25,77,1,3,300,408
35007,"Beaches--East York/Beaches--East York"," 144","Toronto",6,112,0,0,12,41,81,1,1,254,402
35007,"Beaches--East York/Beaches--East York"," 145","Toronto",5,111,0,0,10,21,59,0,0,206,534
35007,"Beaches--East York/Beaches--East York"," 146","Toronto",9,124,0,0,1,37,63,0,0,234,515
35007,"Beaches--East York/Beaches--East York"," 147","Toronto",8,91,0,0,7,24,57,0,0,187,468
35007,"Beaches--East York/Beaches--East York"," 148","Toronto",Merged with No./Fusionné avec le n°149,,,,,,,,,,400
35007,"Beaches--East York/Beaches--East York"," 149","Toronto",18,136,0,0,9,36,63,3,2,267,421
35007,"Beaches--East York/Beaches--East York"," 150","Toronto",8,139,1,0,13,41,57,1,1,261,418
35007,"Beaches--East York/Beaches--East York"," 151","Toronto",Merged with No./Fusionné avec le n°150,,,,,,,,,,324
35007,"Beaches--East York/Beaches--East York"," 152","Toronto",8,102,0,0,8,40,46,0,0,204,528
35007,"Beaches--East York/Beaches--East York"," 153","Toronto",5,111,0,0,5,28,45,0,0,194,511
35007,"Beaches--East York/Beaches--East York"," 154","Toronto",8,82,0,0,3,20,35,1,0,149,352
35007,"Beaches--East York/Beaches--East York"," 155","Toronto",6,86,0,2,5,33,34,0,1,167,459
35007,"Beaches--East York/Beaches--East York"," 156","Toronto",5,124,0,0,5,31,55,2,1,223,521
