Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°172,,,,,,,,,,,,58
24016,"Brome--Missisquoi/Brome--Missisquoi"," 533","Mobile poll/Bureau itinérant",2,0,0,0,1,1,3,0,0,18,1,26,42
24016,"Brome--Missisquoi/Brome--Missisquoi"," 534","Sutton",Merged with No./Fusionné avec le n°184,,,,,,,,,,,,3
24016,"Brome--Missisquoi/Brome--Missisquoi"," 535","Potton",Merged with No./Fusionné avec le n°167,,,,,,,,,,,,13
24016,"Brome--Missisquoi/Brome--Missisquoi"," 536","Mobile poll/Bureau itinérant",32,1,1,0,17,0,4,4,1,68,10,138,178
24016,"Brome--Missisquoi/Brome--Missisquoi"," 537","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°114,,,,,,,,,,,,5
24016,"Brome--Missisquoi/Brome--Missisquoi"," 538","Magog",Merged with No./Fusionné avec le n°57,,,,,,,,,,,,6
24016,"Brome--Missisquoi/Brome--Missisquoi"," 539","Mobile poll/Bureau itinérant",16,2,1,0,18,0,3,4,0,74,6,124,206
24016,"Brome--Missisquoi/Brome--Missisquoi"," 540","Bureau itinérant/Mobile poll",Merged with No./Fusionné avec le n°139,,,,,,,,,,,,17
24016,"Brome--Missisquoi/Brome--Missisquoi"," 600","Plage-Desranleau--Gloria Village",118,5,3,1,50,0,12,5,9,99,8,310,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 601","Venise-en-Québec",244,4,3,3,92,1,16,11,17,191,10,592,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 602","Venise-en-Québec",167,10,1,0,75,1,14,7,7,144,1,427,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 603","Bedford",177,9,4,2,146,0,33,8,12,245,4,640,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 604","Bedford",136,11,1,0,88,1,28,4,7,120,7,403,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 605","Farnham",346,4,4,0,128,4,27,11,17,267,11,819,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 606","Farnham",393,25,6,0,159,2,37,16,17,264,26,945,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 607","Dunham",378,17,6,0,167,1,66,7,17,364,11,1034,
