Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 91","Garden Lots--Heckmans Island",53,88,43,3,1,188,422
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 92","Blue Rock",19,51,48,7,0,125,232
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 93","New Germany",14,16,36,7,1,74,353
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 94","Simpsons Corner",21,16,36,2,2,77,377
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 95","Stanley Section--Watford",17,22,46,4,3,92,342
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 96","Upper Northfield",24,50,87,3,1,165,414
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 97","Blockhouse--Farmville",32,35,49,7,3,126,321
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 98","Fauxburg",47,30,54,4,2,137,354
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 99","Maitland",28,23,43,5,1,100,287
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 100","Maitland",45,73,100,10,0,228,445
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 101","Lower Northfield",27,43,63,5,1,139,298
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 102","West Northfield--Cookville",16,26,39,5,0,86,275
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 103","Lunenburg",29,62,46,1,0,138,384
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 104","Lunenburg",34,48,38,2,1,123,411
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 105","Centre",38,76,53,7,1,175,412
