Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Rejeanne Caron,Jamie Cumming,Devlin Hinchey,Sara Mirwaldt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 53","Winnipeg",Merged with No./Fusionné avec le n°143,,,,,,,252
46005,"Elmwood--Transcona/Elmwood--Transcona"," 54","Winnipeg",65,23,13,1,17,0,119,417
46005,"Elmwood--Transcona/Elmwood--Transcona"," 55","Winnipeg",42,30,12,4,20,0,108,314
46005,"Elmwood--Transcona/Elmwood--Transcona"," 56","Winnipeg",68,25,8,3,28,3,135,424
46005,"Elmwood--Transcona/Elmwood--Transcona"," 57","Winnipeg",70,34,18,2,27,2,153,471
46005,"Elmwood--Transcona/Elmwood--Transcona"," 58","Winnipeg",55,29,6,1,21,0,112,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 59","Winnipeg",82,44,10,3,14,4,157,432
46005,"Elmwood--Transcona/Elmwood--Transcona"," 60","Winnipeg",82,40,9,3,37,3,174,457
46005,"Elmwood--Transcona/Elmwood--Transcona"," 61","Winnipeg",Merged with No./Fusionné avec le n°60,,,,,,,291
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62","Winnipeg",89,57,9,2,22,1,180,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 63","Winnipeg",58,34,5,2,26,1,126,330
46005,"Elmwood--Transcona/Elmwood--Transcona"," 64","Winnipeg",85,39,6,2,18,0,150,445
46005,"Elmwood--Transcona/Elmwood--Transcona"," 65","Winnipeg",56,26,9,1,32,1,125,407
46005,"Elmwood--Transcona/Elmwood--Transcona"," 66","Winnipeg",48,42,17,2,37,0,146,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 67","Winnipeg",18,12,5,1,11,0,47,196
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68A","Winnipeg",67,25,6,2,15,0,115,383
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68B","Winnipeg",61,35,3,1,18,0,118,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 69","Winnipeg",96,52,13,3,17,1,182,470
46005,"Elmwood--Transcona/Elmwood--Transcona"," 70","Winnipeg",86,33,3,1,25,1,149,383
46005,"Elmwood--Transcona/Elmwood--Transcona"," 71","Winnipeg",84,38,12,1,28,1,164,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 72","Winnipeg",120,69,14,4,36,6,249,364
46005,"Elmwood--Transcona/Elmwood--Transcona"," 73","Winnipeg",Merged with No./Fusionné avec le n°72,,,,,,,265
46005,"Elmwood--Transcona/Elmwood--Transcona"," 74","Winnipeg",75,31,5,1,22,0,134,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 75","Winnipeg",58,35,5,0,25,2,125,412
46005,"Elmwood--Transcona/Elmwood--Transcona"," 76","Winnipeg",84,32,11,4,23,1,155,493
46005,"Elmwood--Transcona/Elmwood--Transcona"," 77","Winnipeg",92,41,10,2,25,1,171,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 78","Winnipeg",61,20,13,3,30,1,128,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 79","Winnipeg",56,20,9,0,12,1,98,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 80","Winnipeg",Merged with No./Fusionné avec le n°78,,,,,,,309
46005,"Elmwood--Transcona/Elmwood--Transcona"," 81","Winnipeg",28,16,5,3,6,0,58,340
46005,"Elmwood--Transcona/Elmwood--Transcona"," 82","Winnipeg",50,14,11,4,21,0,100,342
46005,"Elmwood--Transcona/Elmwood--Transcona"," 83","Winnipeg",85,50,13,6,24,1,179,431
46005,"Elmwood--Transcona/Elmwood--Transcona"," 84","Winnipeg",85,41,12,7,15,0,160,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 85","Winnipeg",66,33,15,1,18,0,133,377
46005,"Elmwood--Transcona/Elmwood--Transcona"," 86","Winnipeg",39,11,9,3,27,3,92,399
46005,"Elmwood--Transcona/Elmwood--Transcona"," 87","Winnipeg",35,19,6,1,8,0,69,275
46005,"Elmwood--Transcona/Elmwood--Transcona"," 88","Winnipeg",25,15,1,1,11,0,53,249
46005,"Elmwood--Transcona/Elmwood--Transcona"," 89","Winnipeg",102,50,7,4,42,3,208,513
46005,"Elmwood--Transcona/Elmwood--Transcona"," 90","Winnipeg",75,37,6,0,24,0,142,364
46005,"Elmwood--Transcona/Elmwood--Transcona"," 91A","Winnipeg",62,50,1,1,22,0,136,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 91B","Winnipeg",35,22,0,1,17,0,75,114
46005,"Elmwood--Transcona/Elmwood--Transcona"," 92","Winnipeg",79,43,10,1,35,2,170,482
46005,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",72,28,9,3,9,1,122,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",76,54,12,0,13,2,157,432
46005,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",67,61,12,3,24,0,167,427
46005,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",73,36,6,2,23,1,141,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",84,42,11,1,14,3,155,449
46005,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",48,37,7,1,11,1,105,362
46005,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",49,37,2,0,18,0,106,282
46005,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",64,53,10,1,12,0,140,396
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101","Winnipeg",83,42,11,4,14,1,155,395
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102","Winnipeg",86,33,10,3,17,0,149,472
46005,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",93,43,9,3,27,3,178,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104","Winnipeg",106,46,8,0,32,0,192,549
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105","Winnipeg",70,43,6,5,20,0,144,444
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106","Winnipeg",77,38,13,3,24,2,157,528
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107","Winnipeg",145,68,26,7,44,0,290,438
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108","Winnipeg",Merged with No./Fusionné avec le n°107,,,,,,,418
46005,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",63,17,13,3,17,1,114,379
46005,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",49,20,6,4,29,2,110,395
46005,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",36,25,11,1,11,0,84,303
46005,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",58,33,7,3,18,1,120,401
46005,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",91,35,12,7,51,0,196,504
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114","Winnipeg",45,15,10,0,28,0,98,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",94,62,9,1,21,1,188,473
46005,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",73,50,17,5,16,0,161,417
46005,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",53,36,11,4,10,1,115,363
46005,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",92,54,23,2,16,0,187,471
46005,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",63,33,7,0,11,0,114,348
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120","Winnipeg",Void/Supprimé,,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121A","Winnipeg",69,41,8,1,43,1,163,497
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121B","Winnipeg",81,54,15,0,51,0,201,515
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122A","Winnipeg",60,39,9,3,40,0,151,431
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122B","Winnipeg",77,44,2,0,38,0,161,411
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123A","Winnipeg",75,41,8,3,46,0,173,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123B","Winnipeg",65,43,10,3,64,3,188,458
46005,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",75,56,12,0,24,0,167,562
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125","Winnipeg",71,68,18,6,27,0,190,508
46005,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",64,46,14,0,25,0,149,393
46005,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",68,36,14,0,12,0,130,407
46005,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",87,41,10,2,18,0,158,422
46005,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",77,51,10,5,24,0,167,455
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130","Winnipeg",76,65,14,1,21,2,179,555
46005,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",127,81,6,0,42,1,257,674
46005,"Elmwood--Transcona/Elmwood--Transcona"," 132","Winnipeg",69,37,14,0,20,1,141,421
46005,"Elmwood--Transcona/Elmwood--Transcona"," 133","Winnipeg",101,86,20,0,59,2,268,437
46005,"Elmwood--Transcona/Elmwood--Transcona"," 134","Winnipeg",103,63,13,2,34,0,215,536
46005,"Elmwood--Transcona/Elmwood--Transcona"," 135","Winnipeg",Merged with No./Fusionné avec le n°133,,,,,,,317
46005,"Elmwood--Transcona/Elmwood--Transcona"," 136","Winnipeg",Merged with No./Fusionné avec le n°137,,,,,,,299
46005,"Elmwood--Transcona/Elmwood--Transcona"," 137","Winnipeg",128,77,9,4,37,3,258,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 138","Winnipeg",50,52,8,0,23,2,135,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 139","Winnipeg",59,25,9,5,26,1,125,395
46005,"Elmwood--Transcona/Elmwood--Transcona"," 140","Winnipeg",49,39,6,2,7,0,103,460
46005,"Elmwood--Transcona/Elmwood--Transcona"," 141","Winnipeg",59,30,8,4,12,1,114,332
46005,"Elmwood--Transcona/Elmwood--Transcona"," 142","Winnipeg",85,50,13,5,16,2,171,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 143","Winnipeg",97,75,9,2,25,1,209,353
46005,"Elmwood--Transcona/Elmwood--Transcona"," 144","Winnipeg",74,36,3,1,15,0,129,338
46005,"Elmwood--Transcona/Elmwood--Transcona"," 145","Winnipeg",69,34,10,3,13,0,129,401
46005,"Elmwood--Transcona/Elmwood--Transcona"," 146","Winnipeg",83,32,18,4,12,1,150,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 147","Winnipeg",67,33,16,3,29,1,149,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 148","Winnipeg",168,91,26,6,31,0,322,519
46005,"Elmwood--Transcona/Elmwood--Transcona"," 149","Winnipeg",Merged with No./Fusionné avec le n°148,,,,,,,442
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150","Winnipeg",87,38,11,6,19,2,163,348
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151A","Winnipeg",101,34,10,3,34,0,182,427
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151B","Winnipeg",81,42,10,4,31,0,168,481
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151C","Winnipeg",91,52,7,5,51,1,207,497
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152","Winnipeg",77,49,9,6,19,0,160,424
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153","Winnipeg",46,51,6,4,16,0,123,391
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154","Winnipeg",64,34,10,2,26,0,136,406
46005,"Elmwood--Transcona/Elmwood--Transcona"," 155","Winnipeg",96,44,18,4,24,1,187,488
46005,"Elmwood--Transcona/Elmwood--Transcona"," 156","Winnipeg",69,45,9,5,18,1,147,433
46005,"Elmwood--Transcona/Elmwood--Transcona"," 157","Winnipeg",95,51,10,7,30,1,194,532
46005,"Elmwood--Transcona/Elmwood--Transcona"," 158","Winnipeg",136,63,13,6,45,2,265,634
46005,"Elmwood--Transcona/Elmwood--Transcona"," 159","Winnipeg",104,66,6,1,30,1,208,563
46005,"Elmwood--Transcona/Elmwood--Transcona"," 160","Winnipeg",88,68,12,5,46,1,220,524
46005,"Elmwood--Transcona/Elmwood--Transcona"," 161","Winnipeg",104,67,5,1,46,0,223,659
46005,"Elmwood--Transcona/Elmwood--Transcona"," 162","Winnipeg",47,70,13,5,10,0,145,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 400","Winnipeg",Void/Supprimé,,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 401","Winnipeg",Void/Supprimé,,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 402","Winnipeg",Void/Supprimé,,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 403","Winnipeg",66,60,4,1,35,0,166,227
46005,"Elmwood--Transcona/Elmwood--Transcona"," 404","Winnipeg",43,25,6,1,20,2,97,161
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500","Mobile poll/Bureau itinérant",24,12,4,2,8,2,52,134
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501","Mobile poll/Bureau itinérant",24,5,4,1,13,0,47,88
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502","Mobile poll/Bureau itinérant",23,16,1,2,15,1,58,101
46005,"Elmwood--Transcona/Elmwood--Transcona"," 503","Mobile poll/Bureau itinérant",5,4,0,0,4,0,13,44
46005,"Elmwood--Transcona/Elmwood--Transcona"," 504","Mobile poll/Bureau itinérant",20,12,2,3,5,0,42,55
46005,"Elmwood--Transcona/Elmwood--Transcona"," 505","Mobile poll/Bureau itinérant",23,22,0,0,7,5,57,85
46005,"Elmwood--Transcona/Elmwood--Transcona"," 506","Mobile poll/Bureau itinérant",29,14,0,0,7,0,50,94
46005,"Elmwood--Transcona/Elmwood--Transcona"," 507","Winnipeg",Merged with No./Fusionné avec le n°150,,,,,,,38
46005,"Elmwood--Transcona/Elmwood--Transcona"," 508","Mobile poll/Bureau itinérant",32,10,2,0,7,1,52,71
46005,"Elmwood--Transcona/Elmwood--Transcona"," 509","Mobile poll/Bureau itinérant",21,4,0,1,7,1,34,74
46005,"Elmwood--Transcona/Elmwood--Transcona"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 511","Mobile poll/Bureau itinérant",28,6,1,0,14,1,50,69
46005,"Elmwood--Transcona/Elmwood--Transcona"," 512","Mobile poll/Bureau itinérant",14,4,1,1,11,0,31,65
46005,"Elmwood--Transcona/Elmwood--Transcona"," 513","Mobile poll/Bureau itinérant",48,55,4,1,31,1,140,96
46005,"Elmwood--Transcona/Elmwood--Transcona"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,94
46005,"Elmwood--Transcona/Elmwood--Transcona"," 515","Mobile poll/Bureau itinérant",35,29,0,1,25,1,91,130
46005,"Elmwood--Transcona/Elmwood--Transcona"," 516","Mobile poll/Bureau itinérant",9,22,2,0,15,0,48,95
46005,"Elmwood--Transcona/Elmwood--Transcona"," 517","Mobile poll/Bureau itinérant",14,24,1,0,8,1,48,71
46005,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",526,387,50,18,134,1,1116,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",714,335,62,18,156,1,1286,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",402,143,46,10,87,5,693,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",300,115,54,5,67,10,551,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",551,264,74,6,139,9,1043,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",454,266,61,9,118,10,918,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",562,370,59,16,166,7,1180,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",873,610,129,20,261,5,1898,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 608","Winnipeg",677,414,60,14,149,10,1324,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 609","Winnipeg",630,328,64,10,124,1,1157,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 610","Winnipeg",788,482,69,18,163,8,1528,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 611","Winnipeg",550,416,106,21,178,4,1275,
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 1/Groupe 1, 133,69,12,6,51,28,299,116
46005,"Elmwood--Transcona/Elmwood--Transcona",,Group 2/Groupe 2, 1069,463,36,23,238,61,1890,
