Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anjali Appadurai,Kailin Che,Damian Jewett,Taleeb Noormohamed,Imtiaz Popat,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 68","Vancouver",32,41,2,48,5,0,128,423
59036,"Vancouver Granville/Vancouver Granville"," 69","Vancouver",24,65,1,55,4,2,151,418
59036,"Vancouver Granville/Vancouver Granville"," 70","Vancouver",74,40,2,38,3,1,158,432
59036,"Vancouver Granville/Vancouver Granville"," 71","Vancouver",10,69,1,44,2,0,126,429
59036,"Vancouver Granville/Vancouver Granville"," 72","Vancouver",61,40,7,36,5,0,149,410
59036,"Vancouver Granville/Vancouver Granville"," 73","Vancouver",19,41,1,35,0,0,96,433
59036,"Vancouver Granville/Vancouver Granville"," 74","Vancouver",37,47,7,41,3,0,135,405
59036,"Vancouver Granville/Vancouver Granville"," 75","Vancouver",29,58,1,43,0,0,131,399
59036,"Vancouver Granville/Vancouver Granville"," 76","Vancouver",26,60,2,39,5,1,133,403
59036,"Vancouver Granville/Vancouver Granville"," 77","Vancouver",17,53,1,52,9,0,132,429
59036,"Vancouver Granville/Vancouver Granville"," 78","Vancouver",45,11,2,40,6,0,104,394
59036,"Vancouver Granville/Vancouver Granville"," 79","Vancouver",86,20,5,47,6,0,164,419
59036,"Vancouver Granville/Vancouver Granville"," 80","Vancouver",72,24,6,40,6,1,149,403
59036,"Vancouver Granville/Vancouver Granville"," 81","Vancouver",59,18,1,45,4,0,127,351
59036,"Vancouver Granville/Vancouver Granville"," 82","Vancouver",70,37,5,74,8,2,196,483
59036,"Vancouver Granville/Vancouver Granville"," 83","Vancouver",78,34,4,56,4,0,176,412
59036,"Vancouver Granville/Vancouver Granville"," 84","Vancouver",72,46,0,58,3,0,179,488
59036,"Vancouver Granville/Vancouver Granville"," 85","Vancouver",91,52,7,53,5,1,209,469
59036,"Vancouver Granville/Vancouver Granville"," 86","Vancouver",97,28,5,60,7,0,197,476
59036,"Vancouver Granville/Vancouver Granville"," 87","Vancouver",91,32,7,37,9,1,177,442
59036,"Vancouver Granville/Vancouver Granville"," 88","Vancouver",51,20,0,29,9,0,109,345
59036,"Vancouver Granville/Vancouver Granville"," 89","Vancouver",64,43,1,61,5,3,177,457
59036,"Vancouver Granville/Vancouver Granville"," 90","Vancouver",75,51,5,60,7,1,199,464
59036,"Vancouver Granville/Vancouver Granville"," 91","Vancouver",55,32,2,56,4,1,150,462
59036,"Vancouver Granville/Vancouver Granville"," 92","Vancouver",37,50,4,57,4,0,152,455
59036,"Vancouver Granville/Vancouver Granville"," 93","Vancouver",37,27,3,39,6,0,112,341
59036,"Vancouver Granville/Vancouver Granville"," 94","Vancouver",51,25,1,51,5,0,133,345
59036,"Vancouver Granville/Vancouver Granville"," 95","Vancouver",88,27,10,32,8,2,167,430
59036,"Vancouver Granville/Vancouver Granville"," 96","Vancouver",74,26,6,40,6,0,152,443
59036,"Vancouver Granville/Vancouver Granville"," 97","Vancouver",59,32,3,36,5,2,137,408
59036,"Vancouver Granville/Vancouver Granville"," 98","Vancouver",23,30,1,48,2,1,105,566
59036,"Vancouver Granville/Vancouver Granville"," 99","Vancouver",26,35,3,50,9,0,123,527
59036,"Vancouver Granville/Vancouver Granville"," 100","Vancouver",32,37,2,54,10,1,136,480
59036,"Vancouver Granville/Vancouver Granville"," 101","Vancouver",12,65,1,34,0,0,112,465
59036,"Vancouver Granville/Vancouver Granville"," 102","Vancouver",50,37,5,57,4,0,153,562
59036,"Vancouver Granville/Vancouver Granville"," 103","Vancouver",21,45,5,50,3,0,124,458
59036,"Vancouver Granville/Vancouver Granville"," 104","Vancouver",18,43,1,23,1,1,87,382
59036,"Vancouver Granville/Vancouver Granville"," 105","Vancouver",26,28,3,40,4,2,103,442
59036,"Vancouver Granville/Vancouver Granville"," 106","Vancouver",24,58,3,36,2,0,123,431
59036,"Vancouver Granville/Vancouver Granville"," 107","Vancouver",14,39,1,40,2,0,96,444
59036,"Vancouver Granville/Vancouver Granville"," 108","Vancouver",45,42,3,50,3,1,144,487
59036,"Vancouver Granville/Vancouver Granville"," 109","Vancouver",15,48,1,30,3,0,97,461
59036,"Vancouver Granville/Vancouver Granville"," 110","Vancouver",22,33,4,39,4,1,103,386
59036,"Vancouver Granville/Vancouver Granville"," 111A","Vancouver",32,31,1,44,4,0,112,425
59036,"Vancouver Granville/Vancouver Granville"," 111B","Vancouver",48,45,7,55,2,1,158,554
59036,"Vancouver Granville/Vancouver Granville"," 112","Vancouver",33,42,1,27,1,0,104,401
59036,"Vancouver Granville/Vancouver Granville"," 113","Vancouver",Void/Supprimé,,,,,,,
59036,"Vancouver Granville/Vancouver Granville"," 114","Vancouver",27,42,7,44,2,0,122,461
59036,"Vancouver Granville/Vancouver Granville"," 115","Vancouver",33,48,7,52,5,1,146,557
59036,"Vancouver Granville/Vancouver Granville"," 116","Vancouver",29,32,2,37,3,0,103,463
59036,"Vancouver Granville/Vancouver Granville"," 117","Vancouver",39,42,4,51,2,0,138,512
59036,"Vancouver Granville/Vancouver Granville"," 118","Vancouver",24,23,2,27,7,0,83,261
59036,"Vancouver Granville/Vancouver Granville"," 119","Vancouver",60,37,0,55,6,0,158,468
59036,"Vancouver Granville/Vancouver Granville"," 120","Vancouver",94,47,4,78,13,2,238,539
59036,"Vancouver Granville/Vancouver Granville"," 121","Vancouver",31,21,4,38,2,1,97,366
59036,"Vancouver Granville/Vancouver Granville"," 122","Vancouver",78,27,1,47,8,1,162,383
59036,"Vancouver Granville/Vancouver Granville"," 123","Vancouver",48,48,3,75,8,1,183,485
59036,"Vancouver Granville/Vancouver Granville"," 124","Vancouver",116,40,7,80,6,0,249,553
59036,"Vancouver Granville/Vancouver Granville"," 125","Vancouver",73,54,5,78,7,1,218,439
59036,"Vancouver Granville/Vancouver Granville"," 126","Vancouver",84,50,2,67,3,0,206,603
59036,"Vancouver Granville/Vancouver Granville"," 127","Vancouver",69,30,4,56,3,0,162,523
59036,"Vancouver Granville/Vancouver Granville"," 128","Vancouver",11,45,6,42,4,0,108,490
59036,"Vancouver Granville/Vancouver Granville"," 129","Vancouver",9,40,3,29,2,0,83,456
59036,"Vancouver Granville/Vancouver Granville"," 130","Vancouver",17,52,0,49,2,0,120,462
59036,"Vancouver Granville/Vancouver Granville"," 131","Vancouver",18,45,1,53,4,0,121,483
59036,"Vancouver Granville/Vancouver Granville"," 132","Vancouver",15,37,1,51,2,0,106,405
59036,"Vancouver Granville/Vancouver Granville"," 133","Vancouver",10,49,1,33,1,2,96,329
59036,"Vancouver Granville/Vancouver Granville"," 134","Vancouver",13,48,2,44,0,2,109,463
59036,"Vancouver Granville/Vancouver Granville"," 135","Vancouver",22,42,0,55,0,0,119,441
59036,"Vancouver Granville/Vancouver Granville"," 136","Vancouver",24,30,4,38,0,0,96,464
59036,"Vancouver Granville/Vancouver Granville"," 137","Vancouver",8,36,1,32,1,0,78,388
59036,"Vancouver Granville/Vancouver Granville"," 138","Vancouver",19,50,4,41,1,1,116,521
59036,"Vancouver Granville/Vancouver Granville"," 139","Vancouver",23,53,0,36,0,0,112,506
59036,"Vancouver Granville/Vancouver Granville"," 140","Vancouver",27,55,3,53,5,1,144,515
59036,"Vancouver Granville/Vancouver Granville"," 141","Vancouver",20,49,2,39,3,2,115,398
59036,"Vancouver Granville/Vancouver Granville"," 142","Vancouver",40,75,7,61,5,1,189,547
59036,"Vancouver Granville/Vancouver Granville"," 143","Vancouver",23,29,4,56,1,2,115,359
59036,"Vancouver Granville/Vancouver Granville"," 144","Vancouver",18,41,1,44,3,1,108,462
59036,"Vancouver Granville/Vancouver Granville"," 145","Vancouver",33,50,5,59,3,0,150,513
59036,"Vancouver Granville/Vancouver Granville"," 146","Vancouver",37,46,7,46,2,2,140,516
59036,"Vancouver Granville/Vancouver Granville"," 147","Vancouver",34,36,3,43,3,0,119,463
59036,"Vancouver Granville/Vancouver Granville"," 148","Vancouver",16,50,4,41,1,0,112,468
59036,"Vancouver Granville/Vancouver Granville"," 149","Vancouver",24,43,1,58,1,1,128,475
59036,"Vancouver Granville/Vancouver Granville"," 150","Vancouver",31,52,2,62,2,3,152,556
59036,"Vancouver Granville/Vancouver Granville"," 151","Vancouver",18,42,2,34,0,1,97,457
59036,"Vancouver Granville/Vancouver Granville"," 152","Vancouver",38,34,5,45,7,1,130,427
59036,"Vancouver Granville/Vancouver Granville"," 153","Vancouver",38,42,2,59,9,3,153,412
59036,"Vancouver Granville/Vancouver Granville"," 154","Vancouver",36,30,8,33,2,1,110,429
59036,"Vancouver Granville/Vancouver Granville"," 155","Vancouver",58,55,3,53,12,1,182,592
59036,"Vancouver Granville/Vancouver Granville"," 156","Vancouver",50,21,11,43,6,1,132,365
59036,"Vancouver Granville/Vancouver Granville"," 157","Vancouver",58,23,9,37,5,0,132,425
59036,"Vancouver Granville/Vancouver Granville"," 158","Vancouver",18,33,0,44,5,1,101,385
59036,"Vancouver Granville/Vancouver Granville"," 159","Vancouver",29,79,4,71,4,0,187,581
59036,"Vancouver Granville/Vancouver Granville"," 160","Vancouver",24,73,3,59,5,1,165,591
59036,"Vancouver Granville/Vancouver Granville"," 161","Vancouver",41,32,3,38,1,1,116,386
59036,"Vancouver Granville/Vancouver Granville"," 162","Vancouver",27,41,1,50,4,1,124,410
59036,"Vancouver Granville/Vancouver Granville"," 163","Vancouver ",Void/Supprimé,,,,,,,
59036,"Vancouver Granville/Vancouver Granville"," 164","Vancouver",21,74,3,41,2,0,141,508
59036,"Vancouver Granville/Vancouver Granville"," 165","Vancouver",28,33,2,34,3,0,100,416
59036,"Vancouver Granville/Vancouver Granville"," 166","Vancouver",65,71,6,74,2,1,219,649
59036,"Vancouver Granville/Vancouver Granville"," 167","Vancouver",36,41,3,53,5,0,138,421
59036,"Vancouver Granville/Vancouver Granville"," 168","Vancouver",35,20,9,45,5,0,114,437
59036,"Vancouver Granville/Vancouver Granville"," 169","Vancouver",64,33,6,45,5,0,153,462
59036,"Vancouver Granville/Vancouver Granville"," 170","Vancouver",80,23,5,41,5,0,154,484
59036,"Vancouver Granville/Vancouver Granville"," 171","Vancouver",57,22,5,39,4,0,127,468
59036,"Vancouver Granville/Vancouver Granville"," 172","Vancouver",39,21,4,36,7,1,108,422
59036,"Vancouver Granville/Vancouver Granville"," 173","Vancouver",36,18,5,39,9,3,110,529
59036,"Vancouver Granville/Vancouver Granville"," 174","Vancouver",23,38,6,59,4,1,131,488
59036,"Vancouver Granville/Vancouver Granville"," 175","Vancouver",19,57,4,52,2,1,135,399
59036,"Vancouver Granville/Vancouver Granville"," 176","Vancouver",16,55,2,55,3,0,131,471
59036,"Vancouver Granville/Vancouver Granville"," 177","Vancouver",35,33,1,42,3,2,116,479
59036,"Vancouver Granville/Vancouver Granville"," 178","Vancouver",37,40,5,41,2,0,125,478
59036,"Vancouver Granville/Vancouver Granville"," 179","Vancouver",39,15,2,39,1,0,96,396
59036,"Vancouver Granville/Vancouver Granville"," 180","Vancouver",47,24,5,22,5,1,104,385
59036,"Vancouver Granville/Vancouver Granville"," 181","Vancouver",52,39,8,41,4,2,146,471
59036,"Vancouver Granville/Vancouver Granville"," 182","Vancouver",69,15,11,47,1,0,143,465
59036,"Vancouver Granville/Vancouver Granville"," 183","Vancouver",30,37,5,31,3,0,106,348
59036,"Vancouver Granville/Vancouver Granville"," 500","Vancouver ",Merged with No./Fusionné avec le n°11,,,,,,,56
59036,"Vancouver Granville/Vancouver Granville"," 501","Vancouver ",Merged with No./Fusionné avec le n°24,,,,,,,48
59036,"Vancouver Granville/Vancouver Granville"," 502","Vancouver ",Merged with No./Fusionné avec le n°26,,,,,,,55
59036,"Vancouver Granville/Vancouver Granville"," 503","Vancouver ",Merged with No./Fusionné avec le n°50,,,,,,,53
59036,"Vancouver Granville/Vancouver Granville"," 504","Vancouver ",Merged with No./Fusionné avec le n°57,,,,,,,56
59036,"Vancouver Granville/Vancouver Granville"," 505","Vancouver ",Merged with No./Fusionné avec le n°108,,,,,,,20
59036,"Vancouver Granville/Vancouver Granville"," 506","Vancouver ",Merged with No./Fusionné avec le n°110,,,,,,,64
59036,"Vancouver Granville/Vancouver Granville"," 507","Vancouver ",Merged with No./Fusionné avec le n°110,,,,,,,49
59036,"Vancouver Granville/Vancouver Granville"," 508A","Vancouver",Merged with No./Fusionné avec le n°111A,,,,,,,7
59036,"Vancouver Granville/Vancouver Granville"," 508B","Vancouver",Merged with No./Fusionné avec le n°111B,,,,,,,8
59036,"Vancouver Granville/Vancouver Granville"," 509","Vancouver ",Merged with No./Fusionné avec le n°112,,,,,,,36
59036,"Vancouver Granville/Vancouver Granville"," 510","Vancouver ",Merged with No./Fusionné avec le n°112,,,,,,,72
59036,"Vancouver Granville/Vancouver Granville"," 511","Vancouver ",Merged with No./Fusionné avec le n°160,,,,,,,50
59036,"Vancouver Granville/Vancouver Granville"," 512","Vancouver ",Merged with No./Fusionné avec le n°160,,,,,,,73
59036,"Vancouver Granville/Vancouver Granville"," 513","Vancouver ",Merged with No./Fusionné avec le n°161,,,,,,,26
59036,"Vancouver Granville/Vancouver Granville"," 514","Vancouver ",Merged with No./Fusionné avec le n°152,,,,,,,9
59036,"Vancouver Granville/Vancouver Granville"," 515","Vancouver ",Merged with No./Fusionné avec le n°152,,,,,,,7
59036,"Vancouver Granville/Vancouver Granville"," 516","Vancouver ",Merged with No./Fusionné avec le n°181,,,,,,,51
59036,"Vancouver Granville/Vancouver Granville"," 600","Vancouver",459,270,49,428,41,4,1251,
59036,"Vancouver Granville/Vancouver Granville"," 601","Vancouver",341,232,24,408,33,1,1039,
59036,"Vancouver Granville/Vancouver Granville"," 602","Vancouver",338,151,12,243,17,2,763,
59036,"Vancouver Granville/Vancouver Granville"," 603","Vancouver",452,227,23,372,38,5,1117,
59036,"Vancouver Granville/Vancouver Granville"," 604","Vancouver",484,292,26,456,32,2,1292,
59036,"Vancouver Granville/Vancouver Granville"," 605","Vancouver",584,253,44,516,48,8,1453,
59036,"Vancouver Granville/Vancouver Granville"," 606","Vancouver",511,231,25,431,47,3,1248,
59036,"Vancouver Granville/Vancouver Granville"," 607","Vancouver",174,559,19,312,21,3,1088,
59036,"Vancouver Granville/Vancouver Granville"," 608","Vancouver",188,124,6,146,11,3,478,
59036,"Vancouver Granville/Vancouver Granville"," 609","Vancouver",296,313,19,303,14,4,949,
59036,"Vancouver Granville/Vancouver Granville"," 610","Vancouver",87,275,9,223,11,2,607,
59036,"Vancouver Granville/Vancouver Granville"," 611","Vancouver",141,295,15,236,13,0,700,
59036,"Vancouver Granville/Vancouver Granville"," 612","Vancouver",137,448,25,418,15,3,1046,
59036,"Vancouver Granville/Vancouver Granville"," 613","Vancouver",154,314,18,282,17,4,789,
59036,"Vancouver Granville/Vancouver Granville"," 614","Vancouver",213,147,28,218,23,7,636,
59036,"Vancouver Granville/Vancouver Granville"," 615","Vancouver",365,293,46,397,37,1,1139,
59036,"Vancouver Granville/Vancouver Granville"," 616","Vancouver",217,202,26,275,22,1,743,
59036,"Vancouver Granville/Vancouver Granville"," 617","Vancouver",215,186,14,160,13,2,590,
59036,"Vancouver Granville/Vancouver Granville"," 618","Vancouver",71,259,8,140,13,1,492,
59036,"Vancouver Granville/Vancouver Granville"," 619","Vancouver",137,226,11,194,12,0,580,
59036,"Vancouver Granville/Vancouver Granville",,Group 1/Groupe 1, 359,217,25,278,22,24,925,755
59036,"Vancouver Granville/Vancouver Granville",,Group 2/Groupe 2, 1854,1440,72,2058,100,152,5676,
