Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Parm Bains,Kenny Chiu,Françoise Raunet,Jennifer Singh,Jack Trovato,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 39","Richmond",43,43,3,0,14,2,105,360
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 40","Richmond",49,36,1,9,31,1,127,448
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 41","Richmond",48,24,3,5,22,0,102,312
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 42","Richmond",42,24,2,0,13,0,81,363
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 43","Richmond",41,27,1,3,20,2,94,345
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 44","Richmond",55,23,0,2,17,1,98,446
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 45","Richmond",66,37,3,1,12,0,119,620
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 46","Richmond",44,21,0,2,14,2,83,313
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 47","Richmond",38,46,2,2,12,0,100,548
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 48","Richmond",60,61,6,2,35,1,165,509
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 49","Richmond",33,36,1,1,15,0,86,390
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 50","Richmond",79,67,8,5,19,0,178,548
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 51","Richmond",56,61,4,0,23,0,144,578
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 52","Richmond",75,59,3,0,20,1,158,657
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 53","Richmond",36,35,4,2,14,1,92,647
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 54","Richmond",24,12,0,2,15,0,53,276
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 55","Richmond",52,53,5,2,21,2,135,856
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 56","Richmond",54,39,3,2,27,1,126,622
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 57","Richmond",50,36,1,2,20,0,109,562
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 58","Richmond",43,31,4,5,30,0,113,453
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 59","Richmond",61,50,3,2,19,1,136,554
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 60","Richmond",50,37,2,2,20,1,112,388
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 61","Richmond",52,57,3,5,35,1,153,481
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 62","Richmond",93,64,1,3,26,0,187,616
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 63","Richmond",41,38,1,2,21,0,103,374
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 64","Richmond",55,40,1,2,25,4,127,443
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 65","Richmond",69,48,2,1,29,0,149,513
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 66","Richmond",63,36,3,6,22,1,131,507
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 67","Richmond",35,46,4,1,21,0,107,435
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 68","Richmond",53,39,0,0,26,1,119,420
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 69","Richmond",103,51,2,1,34,2,193,664
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 70","Richmond",39,35,3,1,13,3,94,345
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 71","Richmond",47,34,2,2,20,0,105,404
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 72","Richmond",25,18,1,3,19,2,68,332
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 73","Richmond",38,25,3,1,11,0,78,328
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 74","Richmond",35,24,2,1,11,0,73,297
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 75","Richmond",55,30,1,2,14,0,102,340
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 76","Richmond",86,47,1,4,22,1,161,523
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 77","Richmond",63,42,4,2,28,2,141,444
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 78","Richmond",47,52,0,3,13,2,117,470
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 79","Richmond",79,59,1,7,22,1,169,458
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 80","Richmond",41,39,0,2,17,0,99,410
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 81","Richmond",55,33,1,1,12,1,103,413
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 82","Richmond",29,43,1,3,12,0,88,420
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 83","Richmond",59,30,2,1,13,2,107,391
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 84","Richmond",53,33,0,5,14,3,108,397
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 85","Richmond",59,40,1,5,18,2,125,381
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 86","Richmond",32,26,0,1,8,1,68,375
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 87","Richmond",48,41,3,3,18,2,115,434
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 88","Richmond",58,58,7,4,30,2,159,382
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 89","Richmond",85,70,7,5,54,1,222,526
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 90","Richmond",84,35,6,1,36,0,162,359
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 91","Richmond",61,38,9,10,54,0,172,392
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 92","Richmond",91,46,6,4,48,0,195,410
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 93","Richmond",69,68,8,1,44,0,190,429
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 94","Richmond",118,49,8,5,64,0,244,521
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 95","Richmond",39,39,6,2,14,1,101,404
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 96","Richmond",65,61,3,6,33,3,171,480
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 97","Richmond",62,36,1,2,15,1,117,419
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 98","Richmond",61,25,2,0,23,3,114,405
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 99","Richmond",67,71,2,4,26,0,170,602
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 100","Richmond",59,34,5,3,36,1,138,435
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 101","Richmond",49,25,3,2,36,0,115,402
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 102","Richmond",50,51,3,4,13,0,121,426
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 103","Richmond",40,32,3,1,24,1,101,444
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 104","Richmond",80,45,7,6,56,0,194,525
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 105","Richmond",45,30,4,4,45,1,129,368
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 106","Richmond",77,32,6,1,43,1,160,400
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 107","Richmond",71,42,7,7,37,0,164,381
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 108","Richmond",63,40,3,2,19,0,127,277
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 109","Richmond",82,73,4,2,37,0,198,561
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 110","Richmond",63,34,3,6,28,0,134,407
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 111","Richmond",47,32,4,1,16,0,100,307
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 112","Richmond",61,73,10,9,31,0,184,420
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 113","Richmond",58,44,7,4,53,1,167,398
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 114","Richmond",107,82,3,5,54,0,251,498
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 115","Richmond",115,85,2,13,54,3,272,521
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 116","Richmond",106,79,3,6,46,0,240,459
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 117","Richmond",81,53,8,12,47,3,204,496
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 118","Richmond",77,58,5,6,47,0,193,365
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 119","Richmond",106,98,10,4,49,3,270,611
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 120","Richmond",99,64,5,7,70,1,246,500
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 121","Richmond",87,23,2,5,22,3,142,342
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 122","Richmond",61,40,0,10,26,0,137,427
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 123","Richmond",48,29,2,0,43,0,122,434
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 124","Richmond",56,40,2,3,29,2,132,381
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 125","Richmond",55,33,1,2,30,1,122,370
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 126","Richmond",55,42,3,5,12,1,118,419
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 127","Richmond",75,36,5,8,32,0,156,371
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 128","Richmond",75,27,3,2,26,1,134,407
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 129","Richmond",37,31,4,3,29,0,104,362
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 130","Richmond",59,42,8,2,24,1,136,375
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 131","Richmond",92,55,1,1,28,1,178,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 132","Richmond",48,38,1,0,16,0,103,293
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 133","Richmond",54,56,5,2,43,1,161,444
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 134","Richmond",88,75,6,2,54,2,227,615
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 135","Richmond",45,23,5,4,52,1,130,369
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 136","Richmond",57,36,5,2,48,0,148,376
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 137","Richmond",76,34,8,3,43,0,164,497
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 138","Richmond",97,85,4,3,51,0,240,649
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 139","Richmond",82,80,6,5,30,1,204,461
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 140","Richmond",78,71,4,0,36,0,189,434
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 141","Richmond",39,44,3,2,14,0,102,262
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 142","Richmond",80,69,0,2,37,3,191,458
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 143","Richmond",77,62,1,3,48,1,192,461
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 144","Richmond",71,57,6,4,29,0,167,426
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 145","Richmond",66,39,1,5,28,1,140,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 146","Richmond",79,35,3,2,28,1,148,368
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 147","Richmond",43,34,4,7,25,0,113,386
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 148","Richmond",78,44,10,5,41,0,178,468
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 149","Richmond",61,53,4,4,26,1,149,354
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 150","Richmond",88,46,5,1,38,0,178,460
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 151","Richmond",87,55,6,6,46,0,200,634
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 152","Richmond",75,44,3,5,22,3,152,453
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 153","Richmond",45,51,2,5,39,0,142,479
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 154","Richmond",81,58,6,8,44,2,199,469
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 155","Richmond",57,37,2,4,46,3,149,321
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 156","Richmond",68,47,6,2,32,5,160,332
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 157","Richmond",81,41,5,1,29,2,159,376
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 158","Richmond",63,57,2,2,36,2,162,462
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 159","Richmond",46,37,2,2,18,0,105,522
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 160","Richmond",36,32,4,4,22,1,99,431
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 161","Richmond",35,33,4,2,25,0,99,446
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 162","Richmond",73,39,2,5,36,0,155,483
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 163","Richmond",72,37,1,10,33,3,156,513
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 164","Richmond",57,44,2,13,45,0,161,560
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 165","Richmond",76,44,4,5,19,2,150,455
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 166","Richmond",69,59,4,7,30,1,170,429
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 500","Mobile poll/Bureau itinérant",6,6,1,0,2,1,16,23
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 502","Mobile poll/Bureau itinérant",13,8,2,1,9,0,33,43
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 503","Mobile poll/Bureau itinérant",24,10,0,1,1,0,36,55
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 504","Mobile poll/Bureau itinérant",38,39,1,1,12,3,94,143
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 505","Mobile poll/Bureau itinérant",2,0,1,1,4,0,8,31
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 506","Mobile poll/Bureau itinérant",14,15,1,0,4,2,36,40
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 600","Richmond",387,396,25,41,211,0,1060,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 601","Richmond",476,544,34,33,293,6,1386,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 602","Richmond",327,345,21,44,140,1,878,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 603","Richmond",292,314,18,17,147,4,792,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 604","Richmond",435,390,22,29,146,8,1030,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 605","Richmond",497,502,27,29,195,3,1253,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 606","Richmond",408,422,13,23,126,9,1001,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 607","Richmond",355,333,28,31,143,1,891,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 608","Richmond",442,333,18,10,135,5,943,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 609","Richmond",400,265,17,30,163,1,876,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 610","Richmond",397,264,15,19,143,4,842,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 611","Richmond",490,461,12,30,163,13,1169,
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 612","Richmond",153,172,9,12,80,1,427,
59031,"Steveston--Richmond East/Steveston--Richmond-Est",,Group 1/Groupe 1, 175,166,9,5,99,20,474,298
59031,"Steveston--Richmond East/Steveston--Richmond-Est",,Group 2/Groupe 2, 1083,969,54,29,630,115,2880,
