Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Bruce Griffin,Jay Sobel,Natalie Telfer,Sabrina Zuniga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 449","Toronto",Merged with No./Fusionné avec le n°448,,,,,,,300
35020,"Don Valley North/Don Valley-Nord"," 500","Mobile poll/Bureau itinérant",15,3,0,0,7,0,25,35
35020,"Don Valley North/Don Valley-Nord"," 501","Mobile poll/Bureau itinérant",11,2,0,0,6,0,19,106
35020,"Don Valley North/Don Valley-Nord"," 502","Mobile poll/Bureau itinérant",23,3,0,1,10,0,37,82
35020,"Don Valley North/Don Valley-Nord"," 600","Toronto",449,53,16,17,419,3,957,
35020,"Don Valley North/Don Valley-Nord"," 601","Toronto",501,78,28,14,296,15,932,
35020,"Don Valley North/Don Valley-Nord"," 602","Toronto",274,37,14,8,144,4,481,
35020,"Don Valley North/Don Valley-Nord"," 603","Toronto",822,125,37,16,433,5,1438,
35020,"Don Valley North/Don Valley-Nord"," 604","Toronto",599,72,24,16,325,6,1042,
35020,"Don Valley North/Don Valley-Nord"," 605","Toronto",450,53,25,15,332,5,880,
35020,"Don Valley North/Don Valley-Nord"," 606","Toronto",432,70,28,15,205,10,760,
35020,"Don Valley North/Don Valley-Nord"," 607","Toronto",714,95,22,13,298,4,1146,
35020,"Don Valley North/Don Valley-Nord"," 608","Toronto",676,109,70,19,323,20,1217,
35020,"Don Valley North/Don Valley-Nord"," 609","Toronto",777,112,44,23,469,5,1430,
35020,"Don Valley North/Don Valley-Nord"," 610","Toronto",761,114,46,16,365,17,1319,
35020,"Don Valley North/Don Valley-Nord"," 611","Toronto",611,130,45,26,224,4,1040,
35020,"Don Valley North/Don Valley-Nord"," 612","Toronto",328,63,9,9,213,1,623,
35020,"Don Valley North/Don Valley-Nord"," 613","Toronto",467,74,23,13,285,3,865,
35020,"Don Valley North/Don Valley-Nord",,Group 1/Groupe 1, 232,77,12,10,124,17,472,399
35020,"Don Valley North/Don Valley-Nord",,Group 2/Groupe 2, 1177,190,18,28,579,64,2056,
