Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Sheraz Khan,Christina Love,David Moore,Fazal Shah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 127","Toronto",165,2,32,6,27,0,232,416
35096,"Scarborough North/Scarborough-Nord"," 128","Toronto",132,2,23,7,46,6,216,431
35096,"Scarborough North/Scarborough-Nord"," 129","Toronto",Merged with No./Fusionné avec le n°128,,,,,,,406
35096,"Scarborough North/Scarborough-Nord"," 130","Toronto",122,4,33,4,67,3,233,474
35096,"Scarborough North/Scarborough-Nord"," 131","Toronto",Merged with No./Fusionné avec le n°130,,,,,,,455
35096,"Scarborough North/Scarborough-Nord"," 132","Toronto",102,4,25,4,50,5,190,473
35096,"Scarborough North/Scarborough-Nord"," 133","Toronto",Merged with No./Fusionné avec le n°134,,,,,,,436
35096,"Scarborough North/Scarborough-Nord"," 134","Toronto",146,3,28,10,53,3,243,460
35096,"Scarborough North/Scarborough-Nord"," 135","Toronto",Merged with No./Fusionné avec le n°137,,,,,,,353
35096,"Scarborough North/Scarborough-Nord"," 136","Toronto",94,3,18,3,47,1,166,349
35096,"Scarborough North/Scarborough-Nord"," 137","Toronto",121,3,24,7,36,1,192,454
35096,"Scarborough North/Scarborough-Nord"," 138","Toronto",Merged with No./Fusionné avec le n°136,,,,,,,341
35096,"Scarborough North/Scarborough-Nord"," 400","Toronto",106,6,13,2,46,1,174,359
35096,"Scarborough North/Scarborough-Nord"," 401","Toronto",86,0,22,4,28,2,142,348
35096,"Scarborough North/Scarborough-Nord"," 402","Toronto",115,3,15,7,36,4,180,385
35096,"Scarborough North/Scarborough-Nord"," 403","Toronto",161,4,21,5,44,1,236,485
35096,"Scarborough North/Scarborough-Nord"," 404","Toronto",148,2,18,3,53,2,226,453
35096,"Scarborough North/Scarborough-Nord"," 405","Toronto",196,5,17,3,34,0,255,468
35096,"Scarborough North/Scarborough-Nord"," 406","Toronto",137,3,16,4,43,4,207,477
35096,"Scarborough North/Scarborough-Nord"," 407","Toronto",118,3,24,5,58,0,208,425
35096,"Scarborough North/Scarborough-Nord"," 408","Toronto",167,3,32,8,30,1,241,408
35096,"Scarborough North/Scarborough-Nord"," 409","Toronto",130,2,39,12,16,0,199,347
35096,"Scarborough North/Scarborough-Nord"," 410","Toronto",116,2,17,2,34,0,171,332
35096,"Scarborough North/Scarborough-Nord"," 411","Toronto",138,3,13,6,52,2,214,473
35096,"Scarborough North/Scarborough-Nord"," 412","Toronto",152,4,31,8,34,0,229,385
35096,"Scarborough North/Scarborough-Nord"," 413","Toronto",190,5,22,15,52,2,286,526
35096,"Scarborough North/Scarborough-Nord"," 500","Mobile poll/Bureau itinérant",10,1,1,0,7,1,20,60
35096,"Scarborough North/Scarborough-Nord"," 501","Mobile poll/Bureau itinérant",67,2,4,1,19,1,94,147
35096,"Scarborough North/Scarborough-Nord"," 502","Mobile poll/Bureau itinérant",98,3,4,2,22,1,130,200
35096,"Scarborough North/Scarborough-Nord"," 503","Mobile poll/Bureau itinérant",73,0,5,0,16,0,94,166
35096,"Scarborough North/Scarborough-Nord"," 504","Mobile poll/Bureau itinérant",22,1,8,2,7,3,43,111
35096,"Scarborough North/Scarborough-Nord"," 505","Mobile poll/Bureau itinérant",41,3,4,3,14,1,66,199
35096,"Scarborough North/Scarborough-Nord"," 600","Toronto",410,2,58,9,103,1,583,
35096,"Scarborough North/Scarborough-Nord"," 601","Toronto",848,11,120,22,213,13,1227,
35096,"Scarborough North/Scarborough-Nord"," 602","Toronto",734,8,77,19,232,8,1078,
35096,"Scarborough North/Scarborough-Nord"," 603","Toronto",594,9,82,18,191,9,903,
35096,"Scarborough North/Scarborough-Nord"," 604","Toronto",584,7,69,18,162,8,848,
35096,"Scarborough North/Scarborough-Nord"," 605","Toronto",636,9,63,19,188,4,919,
35096,"Scarborough North/Scarborough-Nord"," 606","Toronto",594,6,72,9,100,9,790,
35096,"Scarborough North/Scarborough-Nord"," 607","Toronto",724,14,108,18,127,9,1000,
35096,"Scarborough North/Scarborough-Nord"," 608","Toronto",803,7,125,41,198,31,1205,
35096,"Scarborough North/Scarborough-Nord"," 609","Toronto",471,7,52,17,107,4,658,
35096,"Scarborough North/Scarborough-Nord"," 610","Toronto",625,7,80,21,238,9,980,
35096,"Scarborough North/Scarborough-Nord"," 611","Toronto",688,14,88,29,202,11,1032,
35096,"Scarborough North/Scarborough-Nord"," 612","Toronto",528,8,84,21,135,5,781,
35096,"Scarborough North/Scarborough-Nord",,Group 1/Groupe 1, 171,2,42,11,52,15,293,208
35096,"Scarborough North/Scarborough-Nord",,Group 2/Groupe 2, 1137,10,186,29,306,41,1709,
