Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 131","Dorval",29,60,9,8,22,5,2,135,463
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 132","Dorval",38,102,17,14,17,8,2,198,529
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 133A","Montréal",29,186,82,5,5,2,7,316,375
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 133B","Montréal",Merged with No./Fusionné avec le n°181,,,,,,,,5
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 134","Montréal",26,54,40,4,26,4,4,158,368
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 135","Montréal",14,62,45,10,36,3,0,170,383
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 136","Montréal",20,65,35,9,29,2,0,160,402
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 137","Montréal",12,61,40,1,29,6,0,149,396
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 138A","Montréal",14,76,34,3,4,2,12,145,198
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 138B","Montréal",12,56,46,0,0,2,8,124,151
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 139","Montréal",20,110,16,2,32,3,3,186,448
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 140","Montréal",12,118,15,3,16,9,3,176,420
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 141","Montréal",18,123,15,1,21,8,3,189,474
