Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pascal Bapfou Vozang Siewe,Micheline Boucher Granger,Pierre Duval,Yvelie Kernizan,Naomie Mathieu Chauvette,Monique Pauzé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 118","Repentigny",10,0,9,39,8,55,4,125,332
24060,"Repentigny/Repentigny"," 119","Repentigny",3,0,5,31,12,56,3,110,321
24060,"Repentigny/Repentigny"," 120","Repentigny",10,1,10,33,10,55,3,122,388
24060,"Repentigny/Repentigny"," 121","Repentigny",11,0,3,47,9,74,3,147,381
24060,"Repentigny/Repentigny"," 122","Repentigny",12,0,0,72,14,51,3,152,401
24060,"Repentigny/Repentigny"," 123","Repentigny",9,1,5,56,19,88,3,181,450
24060,"Repentigny/Repentigny"," 124","Repentigny",11,1,12,51,10,101,3,189,449
24060,"Repentigny/Repentigny"," 125","Repentigny",13,1,8,30,6,51,2,111,287
24060,"Repentigny/Repentigny"," 126","Repentigny",18,0,2,27,10,61,5,123,291
24060,"Repentigny/Repentigny"," 127","Repentigny",6,0,7,37,12,69,3,134,286
24060,"Repentigny/Repentigny"," 128","Repentigny",19,3,9,84,15,127,7,264,494
24060,"Repentigny/Repentigny"," 129","Repentigny",10,3,2,27,15,47,2,106,295
24060,"Repentigny/Repentigny"," 130","Repentigny",9,0,5,34,16,62,5,131,275
24060,"Repentigny/Repentigny"," 131","Repentigny",11,1,4,19,11,54,2,102,255
24060,"Repentigny/Repentigny"," 132","Repentigny",9,0,6,45,13,63,8,144,384
24060,"Repentigny/Repentigny"," 133","Repentigny",12,3,6,58,16,85,12,192,383
24060,"Repentigny/Repentigny"," 134","Repentigny",15,1,4,51,7,68,0,146,371
24060,"Repentigny/Repentigny"," 135","Repentigny",19,1,2,63,18,88,2,193,433
24060,"Repentigny/Repentigny"," 136","Repentigny",21,3,7,34,11,86,9,171,381
24060,"Repentigny/Repentigny"," 137","Repentigny",13,3,7,52,25,106,4,210,398
24060,"Repentigny/Repentigny"," 138","Repentigny",14,3,7,42,21,70,4,161,494
24060,"Repentigny/Repentigny"," 139","Repentigny",12,3,3,36,10,79,8,151,372
24060,"Repentigny/Repentigny"," 140","Repentigny",10,0,3,39,22,86,4,164,381
24060,"Repentigny/Repentigny"," 141","Repentigny",15,1,4,42,18,58,9,147,415
24060,"Repentigny/Repentigny"," 142","Repentigny",7,1,3,38,15,71,4,139,387
24060,"Repentigny/Repentigny"," 143","Repentigny",9,1,5,40,17,49,5,126,380
24060,"Repentigny/Repentigny"," 144","Repentigny",16,3,2,37,12,63,0,133,392
24060,"Repentigny/Repentigny"," 145","Repentigny",9,2,7,56,17,67,3,161,376
24060,"Repentigny/Repentigny"," 146","Repentigny",17,4,6,31,22,81,5,166,452
24060,"Repentigny/Repentigny"," 147","Repentigny",4,2,3,25,4,52,3,93,325
24060,"Repentigny/Repentigny"," 148","Repentigny",6,1,4,21,7,48,2,89,316
24060,"Repentigny/Repentigny"," 149","Repentigny",11,1,3,31,13,98,0,157,347
24060,"Repentigny/Repentigny"," 150","Repentigny",7,3,4,27,12,69,11,133,419
24060,"Repentigny/Repentigny"," 151","Repentigny",10,4,5,28,8,51,9,115,397
24060,"Repentigny/Repentigny"," 152","Repentigny",12,0,6,47,12,94,4,175,400
24060,"Repentigny/Repentigny"," 153","Repentigny",7,2,3,42,14,84,3,155,425
24060,"Repentigny/Repentigny"," 154","Repentigny",15,2,2,45,20,99,4,187,471
24060,"Repentigny/Repentigny"," 155","Repentigny",13,0,6,42,24,119,8,212,442
24060,"Repentigny/Repentigny"," 156A","Repentigny",9,1,8,49,12,55,4,138,284
24060,"Repentigny/Repentigny"," 156B","Mobile poll/Bureau itinérant",3,0,4,23,3,35,2,70,103
24060,"Repentigny/Repentigny"," 157","Repentigny",14,1,8,54,23,124,6,230,486
24060,"Repentigny/Repentigny"," 158","Repentigny",20,0,10,37,12,82,5,166,445
24060,"Repentigny/Repentigny"," 159","Repentigny",7,3,8,49,19,84,5,175,428
24060,"Repentigny/Repentigny"," 160","Repentigny",22,4,8,58,21,85,11,209,497
24060,"Repentigny/Repentigny"," 161","Repentigny",10,1,3,47,12,103,8,184,444
24060,"Repentigny/Repentigny"," 162","Repentigny",15,1,2,38,11,74,4,145,428
24060,"Repentigny/Repentigny"," 163","Repentigny",17,0,5,31,10,134,1,198,424
24060,"Repentigny/Repentigny"," 164","Repentigny",14,1,10,36,20,83,4,168,487
24060,"Repentigny/Repentigny"," 165","Repentigny",8,1,5,57,17,76,1,165,416
24060,"Repentigny/Repentigny"," 166","Repentigny",13,0,3,48,11,108,4,187,391
24060,"Repentigny/Repentigny"," 167","Repentigny",17,0,5,45,27,75,5,174,352
24060,"Repentigny/Repentigny"," 168","Repentigny",13,1,6,53,17,91,8,189,424
24060,"Repentigny/Repentigny"," 169","Repentigny",26,0,7,68,11,55,3,170,363
24060,"Repentigny/Repentigny"," 170","Repentigny",8,1,3,28,22,68,6,136,306
24060,"Repentigny/Repentigny"," 171","Repentigny",9,0,5,42,4,83,4,147,365
24060,"Repentigny/Repentigny"," 172","Repentigny",9,2,3,38,13,76,4,145,329
24060,"Repentigny/Repentigny"," 173","Repentigny",11,2,2,30,18,90,3,156,429
24060,"Repentigny/Repentigny"," 174A","Repentigny",8,1,6,23,10,47,1,96,364
24060,"Repentigny/Repentigny"," 174B","Repentigny",6,1,3,31,9,48,3,101,383
24060,"Repentigny/Repentigny"," 175","Charlemagne",21,1,5,44,17,95,10,193,403
24060,"Repentigny/Repentigny"," 176","Charlemagne",20,3,8,41,13,97,6,188,465
24060,"Repentigny/Repentigny"," 177","Repentigny",12,3,9,39,12,70,4,149,378
24060,"Repentigny/Repentigny"," 178","Repentigny",9,4,6,53,13,72,3,160,474
24060,"Repentigny/Repentigny"," 179","Repentigny",12,1,10,50,15,79,6,173,392
24060,"Repentigny/Repentigny"," 180","Repentigny",22,1,10,71,15,95,6,220,436
24060,"Repentigny/Repentigny"," 181","Repentigny",11,1,5,60,10,68,3,158,394
24060,"Repentigny/Repentigny"," 182","Repentigny",17,0,6,47,15,90,4,179,440
24060,"Repentigny/Repentigny"," 183","Repentigny",15,1,5,47,8,70,0,146,353
24060,"Repentigny/Repentigny"," 184","Repentigny",17,3,8,53,15,89,4,189,425
24060,"Repentigny/Repentigny"," 185","Repentigny",14,1,9,34,24,110,6,198,375
24060,"Repentigny/Repentigny"," 186","Repentigny",11,2,13,57,12,72,5,172,344
24060,"Repentigny/Repentigny"," 187","Repentigny",10,1,7,51,14,84,6,173,331
24060,"Repentigny/Repentigny"," 188A","Repentigny",8,1,1,20,13,51,1,95,300
24060,"Repentigny/Repentigny"," 188B","Repentigny",9,2,1,36,14,58,1,121,357
24060,"Repentigny/Repentigny"," 189","Repentigny",10,3,6,51,15,75,4,164,411
24060,"Repentigny/Repentigny"," 190","Repentigny",20,3,9,44,28,91,6,201,453
24060,"Repentigny/Repentigny"," 191","Repentigny",17,0,10,71,5,102,11,216,523
24060,"Repentigny/Repentigny"," 192","Repentigny",16,0,5,32,5,43,1,102,260
24060,"Repentigny/Repentigny"," 193","Repentigny",8,2,6,55,18,73,7,169,448
24060,"Repentigny/Repentigny"," 194","Repentigny",4,2,2,14,2,79,0,103,303
24060,"Repentigny/Repentigny"," 195","Repentigny",17,2,4,39,16,65,4,147,351
24060,"Repentigny/Repentigny"," 196","Repentigny",6,3,3,45,17,65,4,143,353
24060,"Repentigny/Repentigny"," 197","Repentigny",14,2,6,48,19,79,6,174,452
24060,"Repentigny/Repentigny"," 198","Repentigny",9,1,1,18,13,59,7,108,358
24060,"Repentigny/Repentigny"," 199","Repentigny",15,3,7,40,23,82,0,170,427
24060,"Repentigny/Repentigny"," 200","Repentigny",11,2,6,39,9,92,3,162,391
24060,"Repentigny/Repentigny"," 201","Repentigny",15,1,5,28,16,92,3,160,335
24060,"Repentigny/Repentigny"," 202","Repentigny",5,2,10,42,15,88,2,164,350
24060,"Repentigny/Repentigny"," 203","Repentigny",19,3,7,47,15,84,0,175,347
24060,"Repentigny/Repentigny"," 204","Repentigny",11,1,8,40,21,109,8,198,389
24060,"Repentigny/Repentigny"," 205","Charlemagne",14,3,5,57,8,90,8,185,436
24060,"Repentigny/Repentigny"," 206","Charlemagne",16,1,5,49,4,77,4,156,491
24060,"Repentigny/Repentigny"," 207","Charlemagne",14,7,8,45,20,114,8,216,502
24060,"Repentigny/Repentigny"," 208","Charlemagne",15,2,8,30,17,77,4,153,379
24060,"Repentigny/Repentigny"," 209","Charlemagne",11,2,5,37,9,54,3,121,434
24060,"Repentigny/Repentigny"," 210","Charlemagne",21,1,7,25,24,71,15,164,394
24060,"Repentigny/Repentigny"," 211","Charlemagne",7,1,7,38,18,59,9,139,419
24060,"Repentigny/Repentigny"," 212","Charlemagne",28,2,13,45,21,99,5,213,619
24060,"Repentigny/Repentigny"," 213","Charlemagne",9,1,6,34,8,52,4,114,344
24060,"Repentigny/Repentigny"," 214","Charlemagne",11,2,8,25,6,59,1,112,406
24060,"Repentigny/Repentigny"," 215","Repentigny",29,4,6,47,17,118,3,224,420
24060,"Repentigny/Repentigny"," 216","Repentigny",22,1,7,65,25,143,9,272,481
24060,"Repentigny/Repentigny"," 217","Repentigny",15,2,7,55,19,109,7,214,444
24060,"Repentigny/Repentigny"," 218","Repentigny",10,0,3,50,3,58,4,128,393
24060,"Repentigny/Repentigny"," 219","Repentigny",13,1,1,53,22,98,3,191,416
24060,"Repentigny/Repentigny"," 220","Repentigny",9,3,6,35,10,74,10,147,338
24060,"Repentigny/Repentigny"," 221","Repentigny",24,2,9,50,15,85,5,190,484
24060,"Repentigny/Repentigny"," 222","Repentigny",11,1,7,33,16,80,4,152,414
24060,"Repentigny/Repentigny"," 400","Repentigny",8,1,6,55,2,47,2,121,145
24060,"Repentigny/Repentigny"," 401","Repentigny",17,4,14,87,6,114,17,259,326
24060,"Repentigny/Repentigny"," 402","Repentigny",29,2,17,147,2,141,15,353,497
24060,"Repentigny/Repentigny"," 500","Mobile poll/Bureau itinérant",0,1,2,8,2,10,4,27,44
24060,"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",0,0,4,8,0,3,2,17,42
24060,"Repentigny/Repentigny"," 502","Mobile poll/Bureau itinérant",3,0,1,4,0,12,0,20,28
24060,"Repentigny/Repentigny"," 503","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,61
24060,"Repentigny/Repentigny"," 504","Mobile poll/Bureau itinérant",3,0,1,10,0,15,3,32,56
24060,"Repentigny/Repentigny"," 505","Mobile poll/Bureau itinérant",2,0,0,11,1,6,1,21,27
24060,"Repentigny/Repentigny"," 506","Mobile poll/Bureau itinérant",5,6,6,31,0,36,7,91,107
24060,"Repentigny/Repentigny"," 507","Mobile poll/Bureau itinérant",1,0,0,8,4,9,1,23,59
24060,"Repentigny/Repentigny"," 508","Mobile poll/Bureau itinérant",0,0,0,1,0,3,0,4,13
24060,"Repentigny/Repentigny"," 509","Mobile poll/Bureau itinérant",1,0,3,6,0,2,0,12,16
24060,"Repentigny/Repentigny"," 510","Mobile poll/Bureau itinérant",4,1,3,15,0,13,2,38,52
24060,"Repentigny/Repentigny"," 511","Mobile poll/Bureau itinérant",4,3,1,28,0,29,4,69,96
24060,"Repentigny/Repentigny"," 512","Mobile poll/Bureau itinérant",8,2,6,38,1,22,2,79,111
24060,"Repentigny/Repentigny"," 513","Mobile poll/Bureau itinérant",1,3,5,19,1,16,1,46,85
24060,"Repentigny/Repentigny"," 514","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,121
24060,"Repentigny/Repentigny"," 515","Mobile poll/Bureau itinérant",0,0,2,6,0,12,0,20,27
24060,"Repentigny/Repentigny"," 516","Mobile poll/Bureau itinérant",2,1,0,2,0,1,0,6,15
24060,"Repentigny/Repentigny"," 517","Mobile poll/Bureau itinérant",Results combined with no. 518/Résultats combinés au n° 518,,,,,,,,17
24060,"Repentigny/Repentigny"," 518","Mobile poll/Bureau itinérant",5,2,5,7,0,9,3,31,26
24060,"Repentigny/Repentigny"," 600","L'Assomption",65,8,22,126,32,383,16,652,
24060,"Repentigny/Repentigny"," 601","L'Assomption",71,8,17,148,40,392,15,691,
24060,"Repentigny/Repentigny"," 602","Saint-Sulpice",63,4,26,113,35,401,12,654,
24060,"Repentigny/Repentigny"," 603","L'Assomption",92,5,16,223,47,667,16,1066,
24060,"Repentigny/Repentigny"," 604","L'Assomption",116,16,52,274,53,501,31,1043,
24060,"Repentigny/Repentigny"," 605","Repentigny",52,4,21,110,28,303,7,525,
24060,"Repentigny/Repentigny"," 606","Repentigny",86,1,31,257,48,555,6,984,
24060,"Repentigny/Repentigny"," 607","Repentigny",102,3,23,280,40,636,24,1108,
24060,"Repentigny/Repentigny"," 608","Repentigny",113,5,21,250,36,421,11,857,
24060,"Repentigny/Repentigny"," 609","Repentigny",88,10,30,259,45,610,24,1066,
24060,"Repentigny/Repentigny"," 610","Repentigny",41,1,10,116,17,255,4,444,
24060,"Repentigny/Repentigny"," 611","Repentigny",93,3,27,260,39,448,11,881,
24060,"Repentigny/Repentigny"," 612","Repentigny",69,5,24,202,47,457,23,827,
24060,"Repentigny/Repentigny"," 613","Repentigny",66,7,21,227,39,560,15,935,
24060,"Repentigny/Repentigny"," 614","Repentigny",89,10,33,232,74,573,22,1033,
24060,"Repentigny/Repentigny"," 615","Repentigny",96,7,30,233,45,536,32,979,
24060,"Repentigny/Repentigny"," 616","Repentigny",82,6,25,223,29,570,11,946,
24060,"Repentigny/Repentigny"," 617","Repentigny",74,7,25,170,29,425,13,743,
24060,"Repentigny/Repentigny"," 618","Repentigny",78,8,31,252,56,555,16,996,
24060,"Repentigny/Repentigny"," 619","Repentigny",121,8,32,273,22,577,19,1052,
24060,"Repentigny/Repentigny"," 620","Repentigny",97,3,23,266,46,578,16,1029,
24060,"Repentigny/Repentigny"," 621","Charlemagne",129,18,47,280,51,830,49,1404,
24060,"Repentigny/Repentigny",,Group 1/Groupe 1, 26,2,3,52,31,107,13,234,51
24060,"Repentigny/Repentigny",,Group 2/Groupe 2, 82,4,25,306,55,675,83,1230,
