Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Uzair Baig,René De Vries,Helena Jaczek,Muhammad Ahsin Sahi,Ben Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 60","Whitchurch-Stouffville",5,8,134,27,82,2,258,473
35054,"Markham--Stouffville/Markham--Stouffville"," 61","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°60,,,,,,,398
35054,"Markham--Stouffville/Markham--Stouffville"," 62","Whitchurch-Stouffville",11,5,184,45,123,0,368,457
35054,"Markham--Stouffville/Markham--Stouffville"," 63","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°62,,,,,,,537
35054,"Markham--Stouffville/Markham--Stouffville"," 64","Whitchurch-Stouffville",10,11,205,37,154,1,418,552
35054,"Markham--Stouffville/Markham--Stouffville"," 65","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°64,,,,,,,590
35054,"Markham--Stouffville/Markham--Stouffville"," 66","Whitchurch-Stouffville",8,17,110,19,116,6,276,399
35054,"Markham--Stouffville/Markham--Stouffville"," 67","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°66,,,,,,,390
35054,"Markham--Stouffville/Markham--Stouffville"," 68","Whitchurch-Stouffville",8,10,184,39,137,0,378,500
35054,"Markham--Stouffville/Markham--Stouffville"," 69","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°68,,,,,,,664
35054,"Markham--Stouffville/Markham--Stouffville"," 70","Whitchurch-Stouffville",4,10,159,19,94,6,292,404
35054,"Markham--Stouffville/Markham--Stouffville"," 71","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°70,,,,,,,391
35054,"Markham--Stouffville/Markham--Stouffville"," 72","Whitchurch-Stouffville",8,8,144,26,111,6,303,386
35054,"Markham--Stouffville/Markham--Stouffville"," 73","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°72,,,,,,,376
35054,"Markham--Stouffville/Markham--Stouffville"," 74","Whitchurch-Stouffville",2,6,95,26,68,0,197,618
35054,"Markham--Stouffville/Markham--Stouffville"," 75","Whitchurch-Stouffville",4,21,146,26,174,3,374,627
35054,"Markham--Stouffville/Markham--Stouffville"," 76","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°75,,,,,,,494
35054,"Markham--Stouffville/Markham--Stouffville"," 77","Markham",1,4,72,12,62,2,153,548
35054,"Markham--Stouffville/Markham--Stouffville"," 78","Markham",0,3,90,12,45,2,152,587
35054,"Markham--Stouffville/Markham--Stouffville"," 79","Markham",4,3,187,18,108,1,321,386
35054,"Markham--Stouffville/Markham--Stouffville"," 80","Markham",Merged with No./Fusionné avec le n°79,,,,,,,524
35054,"Markham--Stouffville/Markham--Stouffville"," 81","Markham",0,6,94,18,53,0,171,552
35054,"Markham--Stouffville/Markham--Stouffville"," 82","Markham",8,14,137,31,71,1,262,436
35054,"Markham--Stouffville/Markham--Stouffville"," 83","Markham",Merged with No./Fusionné avec le n°82,,,,,,,407
35054,"Markham--Stouffville/Markham--Stouffville"," 84","Markham",2,11,204,40,83,4,344,372
35054,"Markham--Stouffville/Markham--Stouffville"," 85","Markham",Merged with No./Fusionné avec le n°84,,,,,,,618
35054,"Markham--Stouffville/Markham--Stouffville"," 86","Markham",2,3,106,18,52,0,181,490
35054,"Markham--Stouffville/Markham--Stouffville"," 87","Markham",7,8,164,46,115,2,342,469
35054,"Markham--Stouffville/Markham--Stouffville"," 88","Markham",Merged with No./Fusionné avec le n°87,,,,,,,455
35054,"Markham--Stouffville/Markham--Stouffville"," 89","Markham",2,4,76,12,42,0,136,448
35054,"Markham--Stouffville/Markham--Stouffville"," 90","Markham",4,5,127,28,77,1,242,698
35054,"Markham--Stouffville/Markham--Stouffville"," 91","Markham",3,4,73,10,50,3,143,456
35054,"Markham--Stouffville/Markham--Stouffville"," 92","Markham",4,7,120,28,61,3,223,402
35054,"Markham--Stouffville/Markham--Stouffville"," 93","Markham",Merged with No./Fusionné avec le n°92,,,,,,,410
35054,"Markham--Stouffville/Markham--Stouffville"," 94","Markham",3,5,177,25,70,3,283,917
35054,"Markham--Stouffville/Markham--Stouffville"," 95","Markham",1,9,63,16,43,2,134,464
35054,"Markham--Stouffville/Markham--Stouffville"," 96","Markham",0,3,112,15,74,1,205,653
35054,"Markham--Stouffville/Markham--Stouffville"," 97","Markham",3,9,157,31,75,2,277,387
35054,"Markham--Stouffville/Markham--Stouffville"," 98","Markham",Merged with No./Fusionné avec le n°97,,,,,,,399
35054,"Markham--Stouffville/Markham--Stouffville"," 99","Markham",5,7,128,29,65,3,237,403
35054,"Markham--Stouffville/Markham--Stouffville"," 100","Markham",Merged with No./Fusionné avec le n°99,,,,,,,401
35054,"Markham--Stouffville/Markham--Stouffville"," 101","Markham",7,6,120,26,49,0,208,345
35054,"Markham--Stouffville/Markham--Stouffville"," 102","Markham",Merged with No./Fusionné avec le n°101,,,,,,,386
35054,"Markham--Stouffville/Markham--Stouffville"," 103","Markham",6,5,113,24,57,3,208,498
35054,"Markham--Stouffville/Markham--Stouffville"," 104","Markham",1,4,170,34,76,1,286,373
35054,"Markham--Stouffville/Markham--Stouffville"," 105","Markham",Merged with No./Fusionné avec le n°104,,,,,,,405
35054,"Markham--Stouffville/Markham--Stouffville"," 106","Markham",1,4,63,16,51,2,137,492
35054,"Markham--Stouffville/Markham--Stouffville"," 107","Markham",4,5,101,13,31,5,159,609
35054,"Markham--Stouffville/Markham--Stouffville"," 108","Markham",1,2,113,29,43,4,192,597
35054,"Markham--Stouffville/Markham--Stouffville"," 109","Markham",1,5,92,21,43,1,163,476
35054,"Markham--Stouffville/Markham--Stouffville"," 110","Markham",5,8,112,18,27,2,172,523
35054,"Markham--Stouffville/Markham--Stouffville"," 111","Markham",1,3,100,7,48,1,160,323
35054,"Markham--Stouffville/Markham--Stouffville"," 112","Markham",4,3,159,6,87,5,264,369
35054,"Markham--Stouffville/Markham--Stouffville"," 113","Markham",Merged with No./Fusionné avec le n°112,,,,,,,289
35054,"Markham--Stouffville/Markham--Stouffville"," 114","Markham",3,10,77,12,74,1,177,532
35054,"Markham--Stouffville/Markham--Stouffville"," 115","Markham",6,5,173,25,85,3,297,562
35054,"Markham--Stouffville/Markham--Stouffville"," 116","Markham",Merged with No./Fusionné avec le n°115,,,,,,,379
35054,"Markham--Stouffville/Markham--Stouffville"," 117","Markham",6,5,121,9,79,2,222,350
35054,"Markham--Stouffville/Markham--Stouffville"," 118","Markham",Merged with No./Fusionné avec le n°117,,,,,,,356
35054,"Markham--Stouffville/Markham--Stouffville"," 119","Markham",5,1,77,16,15,0,114,347
35054,"Markham--Stouffville/Markham--Stouffville"," 120","Markham",4,4,102,23,33,2,168,432
35054,"Markham--Stouffville/Markham--Stouffville"," 121","Markham",2,3,123,23,62,1,214,266
35054,"Markham--Stouffville/Markham--Stouffville"," 122","Markham",Merged with No./Fusionné avec le n°121,,,,,,,405
35054,"Markham--Stouffville/Markham--Stouffville"," 123","Markham",4,1,104,22,82,1,214,318
35054,"Markham--Stouffville/Markham--Stouffville"," 124","Markham",Merged with No./Fusionné avec le n°123,,,,,,,340
35054,"Markham--Stouffville/Markham--Stouffville"," 125","Markham",3,8,116,23,110,1,261,445
35054,"Markham--Stouffville/Markham--Stouffville"," 126","Markham",Merged with No./Fusionné avec le n°125,,,,,,,314
35054,"Markham--Stouffville/Markham--Stouffville"," 127","Markham",6,11,176,37,75,3,308,422
35054,"Markham--Stouffville/Markham--Stouffville"," 128","Markham",Merged with No./Fusionné avec le n°127,,,,,,,419
35054,"Markham--Stouffville/Markham--Stouffville"," 129","Markham",5,1,166,31,80,1,284,408
35054,"Markham--Stouffville/Markham--Stouffville"," 130","Markham",Merged with No./Fusionné avec le n°129,,,,,,,425
35054,"Markham--Stouffville/Markham--Stouffville"," 131","Markham",0,6,201,42,118,3,370,459
35054,"Markham--Stouffville/Markham--Stouffville"," 132","Markham",Merged with No./Fusionné avec le n°131,,,,,,,645
35054,"Markham--Stouffville/Markham--Stouffville"," 133","Markham",9,8,181,37,92,3,330,445
35054,"Markham--Stouffville/Markham--Stouffville"," 134","Markham",Merged with No./Fusionné avec le n°133,,,,,,,448
35054,"Markham--Stouffville/Markham--Stouffville"," 135","Markham",7,7,193,33,104,6,350,606
35054,"Markham--Stouffville/Markham--Stouffville"," 136","Markham",Merged with No./Fusionné avec le n°135,,,,,,,529
35054,"Markham--Stouffville/Markham--Stouffville"," 137","Markham",4,18,137,40,90,5,294,219
35054,"Markham--Stouffville/Markham--Stouffville"," 138","Markham",Merged with No./Fusionné avec le n°137,,,,,,,782
35054,"Markham--Stouffville/Markham--Stouffville"," 139","Markham",8,9,171,23,67,4,282,444
35054,"Markham--Stouffville/Markham--Stouffville"," 140","Markham",Void/Supprimé,,,,,,,
35054,"Markham--Stouffville/Markham--Stouffville"," 141","Markham",Merged with No./Fusionné avec le n°139,,,,,,,419
35054,"Markham--Stouffville/Markham--Stouffville"," 142","Markham",5,2,63,14,65,0,149,488
35054,"Markham--Stouffville/Markham--Stouffville"," 143","Markham",2,1,46,13,36,0,98,337
35054,"Markham--Stouffville/Markham--Stouffville"," 144","Markham",3,7,124,31,106,2,273,456
35054,"Markham--Stouffville/Markham--Stouffville"," 145","Markham",Merged with No./Fusionné avec le n°144,,,,,,,306
35054,"Markham--Stouffville/Markham--Stouffville"," 146","Markham",3,11,109,20,66,0,209,295
35054,"Markham--Stouffville/Markham--Stouffville"," 147","Markham",Merged with No./Fusionné avec le n°146,,,,,,,338
35054,"Markham--Stouffville/Markham--Stouffville"," 148","Markham",16,15,129,25,97,0,282,357
35054,"Markham--Stouffville/Markham--Stouffville"," 149","Markham",Merged with No./Fusionné avec le n°148,,,,,,,414
35054,"Markham--Stouffville/Markham--Stouffville"," 150","Markham",8,9,142,33,99,1,292,435
35054,"Markham--Stouffville/Markham--Stouffville"," 151","Markham",Merged with No./Fusionné avec le n°150,,,,,,,482
35054,"Markham--Stouffville/Markham--Stouffville"," 152","Markham",3,14,144,46,125,6,338,464
35054,"Markham--Stouffville/Markham--Stouffville"," 153","Markham",Merged with No./Fusionné avec le n°152,,,,,,,474
35054,"Markham--Stouffville/Markham--Stouffville"," 154","Markham",3,6,84,11,58,0,162,390
35054,"Markham--Stouffville/Markham--Stouffville"," 155","Markham",4,9,142,33,83,2,273,344
35054,"Markham--Stouffville/Markham--Stouffville"," 156","Markham",Merged with No./Fusionné avec le n°155,,,,,,,525
35054,"Markham--Stouffville/Markham--Stouffville"," 157","Markham",2,7,149,21,96,3,278,455
35054,"Markham--Stouffville/Markham--Stouffville"," 158","Markham",Merged with No./Fusionné avec le n°157,,,,,,,461
35054,"Markham--Stouffville/Markham--Stouffville"," 159","Markham",1,6,107,24,102,0,240,370
35054,"Markham--Stouffville/Markham--Stouffville"," 160","Markham",Merged with No./Fusionné avec le n°159,,,,,,,397
35054,"Markham--Stouffville/Markham--Stouffville"," 161","Markham",9,17,128,30,96,4,284,436
35054,"Markham--Stouffville/Markham--Stouffville"," 162","Markham",Merged with No./Fusionné avec le n°161,,,,,,,526
35054,"Markham--Stouffville/Markham--Stouffville"," 163","Markham",2,4,109,21,63,2,201,395
35054,"Markham--Stouffville/Markham--Stouffville"," 164","Markham",Merged with No./Fusionné avec le n°163,,,,,,,364
35054,"Markham--Stouffville/Markham--Stouffville"," 165","Markham",4,10,104,25,77,0,220,233
35054,"Markham--Stouffville/Markham--Stouffville"," 166","Markham",Merged with No./Fusionné avec le n°165,,,,,,,572
35054,"Markham--Stouffville/Markham--Stouffville"," 167","Markham",7,0,77,12,45,2,143,500
35054,"Markham--Stouffville/Markham--Stouffville"," 168","Markham",4,5,85,18,60,1,173,568
35054,"Markham--Stouffville/Markham--Stouffville"," 169","Markham",2,8,98,20,86,1,215,340
35054,"Markham--Stouffville/Markham--Stouffville"," 170","Markham",Merged with No./Fusionné avec le n°169,,,,,,,479
35054,"Markham--Stouffville/Markham--Stouffville"," 171","Markham",5,2,97,28,54,2,188,491
35054,"Markham--Stouffville/Markham--Stouffville"," 172","Markham",2,6,48,19,47,2,124,475
35054,"Markham--Stouffville/Markham--Stouffville"," 173","Markham",3,4,101,23,35,0,166,492
35054,"Markham--Stouffville/Markham--Stouffville"," 174","Markham",1,8,87,10,51,0,157,478
35054,"Markham--Stouffville/Markham--Stouffville"," 175","Markham",2,4,72,15,48,3,144,468
35054,"Markham--Stouffville/Markham--Stouffville"," 176","Markham",1,5,54,13,37,0,110,363
35054,"Markham--Stouffville/Markham--Stouffville"," 177","Markham",7,3,76,12,55,1,154,472
35054,"Markham--Stouffville/Markham--Stouffville"," 178","Markham",6,6,63,8,38,0,121,434
35054,"Markham--Stouffville/Markham--Stouffville"," 179","Markham",3,4,77,12,31,1,128,431
35054,"Markham--Stouffville/Markham--Stouffville"," 180","Markham",5,3,77,24,52,2,163,482
35054,"Markham--Stouffville/Markham--Stouffville"," 181","Markham",8,10,189,9,79,2,297,536
35054,"Markham--Stouffville/Markham--Stouffville"," 182","Markham",Merged with No./Fusionné avec le n°181,,,,,,,314
35054,"Markham--Stouffville/Markham--Stouffville"," 183","Markham",11,8,101,22,92,5,239,403
35054,"Markham--Stouffville/Markham--Stouffville"," 184","Markham",Merged with No./Fusionné avec le n°183,,,,,,,406
35054,"Markham--Stouffville/Markham--Stouffville"," 185","Markham",8,15,134,31,74,4,266,390
35054,"Markham--Stouffville/Markham--Stouffville"," 186","Markham",3,3,186,27,60,1,280,273
35054,"Markham--Stouffville/Markham--Stouffville"," 187","Markham",Merged with No./Fusionné avec le n°186,,,,,,,516
35054,"Markham--Stouffville/Markham--Stouffville"," 188","Markham",0,4,87,13,47,0,151,518
35054,"Markham--Stouffville/Markham--Stouffville"," 189","Markham",4,6,124,33,63,1,231,496
35054,"Markham--Stouffville/Markham--Stouffville"," 190","Markham",6,5,208,28,107,2,356,382
35054,"Markham--Stouffville/Markham--Stouffville"," 191","Markham",Merged with No./Fusionné avec le n°190,,,,,,,458
35054,"Markham--Stouffville/Markham--Stouffville"," 192","Markham",2,12,164,40,86,1,305,620
35054,"Markham--Stouffville/Markham--Stouffville"," 193","Markham",0,5,102,23,63,3,196,477
35054,"Markham--Stouffville/Markham--Stouffville"," 194","Markham",6,3,88,7,43,2,149,382
35054,"Markham--Stouffville/Markham--Stouffville"," 195","Markham",2,0,88,11,47,1,149,468
35054,"Markham--Stouffville/Markham--Stouffville"," 196","Markham",5,7,171,29,71,0,283,407
35054,"Markham--Stouffville/Markham--Stouffville"," 197","Markham",Merged with No./Fusionné avec le n°196,,,,,,,406
35054,"Markham--Stouffville/Markham--Stouffville"," 198","Markham",6,2,226,32,73,1,340,501
35054,"Markham--Stouffville/Markham--Stouffville"," 199","Markham",Merged with No./Fusionné avec le n°198,,,,,,,495
35054,"Markham--Stouffville/Markham--Stouffville"," 200","Markham",1,3,90,14,70,1,179,560
35054,"Markham--Stouffville/Markham--Stouffville"," 201","Markham",1,2,124,10,39,0,176,506
35054,"Markham--Stouffville/Markham--Stouffville"," 202","Markham",3,2,117,15,39,0,176,474
35054,"Markham--Stouffville/Markham--Stouffville"," 203","Markham",2,2,136,16,45,2,203,573
35054,"Markham--Stouffville/Markham--Stouffville"," 204","Markham",5,5,221,30,76,3,340,540
35054,"Markham--Stouffville/Markham--Stouffville"," 205","Markham",Merged with No./Fusionné avec le n°204,,,,,,,458
35054,"Markham--Stouffville/Markham--Stouffville"," 206","Markham",7,10,57,21,51,0,146,482
35054,"Markham--Stouffville/Markham--Stouffville"," 207","Markham",Merged with No./Fusionné avec le n°185,,,,,,,414
35054,"Markham--Stouffville/Markham--Stouffville"," 208","Markham",1,0,63,8,62,0,134,385
35054,"Markham--Stouffville/Markham--Stouffville"," 400","Markham",10,4,37,9,17,4,81,165
35054,"Markham--Stouffville/Markham--Stouffville"," 401","Markham",0,3,47,2,27,1,80,125
35054,"Markham--Stouffville/Markham--Stouffville"," 500","Whitchurch-Stouffville ",Merged with No./Fusionné avec le n°18,,,,,,,34
35054,"Markham--Stouffville/Markham--Stouffville"," 501","Mobile poll/Bureau itinérant",0,1,27,3,24,2,57,115
35054,"Markham--Stouffville/Markham--Stouffville"," 502","Mobile poll/Bureau itinérant",1,0,6,0,4,1,12,32
35054,"Markham--Stouffville/Markham--Stouffville"," 503","Whitchurch-Stouffville ",Merged with No./Fusionné avec le n°70,,,,,,,118
35054,"Markham--Stouffville/Markham--Stouffville"," 504","Mobile poll/Bureau itinérant",1,1,6,1,2,1,12,155
35054,"Markham--Stouffville/Markham--Stouffville"," 505","Mobile poll/Bureau itinérant",1,3,25,3,20,0,52,91
35054,"Markham--Stouffville/Markham--Stouffville"," 506","Mobile poll/Bureau itinérant",1,1,34,2,15,7,60,162
35054,"Markham--Stouffville/Markham--Stouffville"," 507","Markham",Merged with No./Fusionné avec le n°143,,,,,,,40
35054,"Markham--Stouffville/Markham--Stouffville"," 508","Markham ",Merged with No./Fusionné avec le n°148,,,,,,,60
35054,"Markham--Stouffville/Markham--Stouffville"," 600","Whitchurch-Stouffville",15,69,302,29,501,2,918,
35054,"Markham--Stouffville/Markham--Stouffville"," 601","Whitchurch-Stouffville",16,27,304,35,417,1,800,
35054,"Markham--Stouffville/Markham--Stouffville"," 602","Whitchurch-Stouffville",23,33,470,66,630,5,1227,
35054,"Markham--Stouffville/Markham--Stouffville"," 603","Whitchurch-Stouffville",26,69,762,98,655,7,1617,
35054,"Markham--Stouffville/Markham--Stouffville"," 604","Whitchurch-Stouffville",26,69,682,111,660,6,1554,
35054,"Markham--Stouffville/Markham--Stouffville"," 605","Whitchurch-Stouffville",23,73,668,91,615,6,1476,
35054,"Markham--Stouffville/Markham--Stouffville"," 606","Whitchurch-Stouffville",38,77,687,117,540,4,1463,
35054,"Markham--Stouffville/Markham--Stouffville"," 607","Markham",13,26,604,71,319,11,1044,
35054,"Markham--Stouffville/Markham--Stouffville"," 608","Markham",13,16,723,96,380,4,1232,
35054,"Markham--Stouffville/Markham--Stouffville"," 609","Markham",16,27,662,52,396,7,1160,
35054,"Markham--Stouffville/Markham--Stouffville"," 610","Markham",16,34,727,78,444,4,1303,
35054,"Markham--Stouffville/Markham--Stouffville"," 611","Markham",34,45,770,113,568,12,1542,
35054,"Markham--Stouffville/Markham--Stouffville"," 612","Markham",13,39,529,65,365,5,1016,
35054,"Markham--Stouffville/Markham--Stouffville"," 613","Markham",27,31,672,62,492,5,1289,
35054,"Markham--Stouffville/Markham--Stouffville"," 614","Markham",20,24,741,115,433,3,1336,
35054,"Markham--Stouffville/Markham--Stouffville"," 615","Markham",9,29,653,90,392,4,1177,
35054,"Markham--Stouffville/Markham--Stouffville"," 616","Markham",12,21,659,64,276,3,1035,
35054,"Markham--Stouffville/Markham--Stouffville"," 617","Markham",6,19,526,63,242,5,861,
35054,"Markham--Stouffville/Markham--Stouffville",,Group 1/Groupe 1, 9,11,262,86,106,33,507,224
35054,"Markham--Stouffville/Markham--Stouffville",,Group 2/Groupe 2, 69,65,1744,233,1026,64,3201,
