Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline-Joan Boucher,Sébastien Desautels,André Lepage,Sylvain Pariseau,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 199","Saint-Pie",50,4,32,10,18,107,17,238,449
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 200","Saint-Pie",44,3,15,9,15,95,5,186,424
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 201","Saint-Pie",38,2,22,7,20,83,11,183,452
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 202","Saint-Pie",43,6,22,8,26,90,6,201,541
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 203","Saint-Pie",36,1,31,6,23,82,4,183,420
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 204","Saint-Pie",29,2,19,10,18,89,5,172,420
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 205","Saint-Pie",30,3,37,12,19,60,6,167,437
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 206","Saint-Pie",50,0,29,6,18,111,5,219,461
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 207","Saint-Pie",44,0,29,6,21,105,3,208,431
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 208","Saint-Damase",27,5,13,7,18,80,5,155,336
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 209","Saint-Damase",21,1,18,6,8,52,6,112,248
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 210","Saint-Damase",36,3,24,12,19,96,2,192,387
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 211","Saint-Damase",22,5,13,4,24,51,2,121,279
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 212","Saint-Damase",26,2,19,2,20,79,3,151,329
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 213","Saint-Damase",36,1,16,3,15,81,3,155,361
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 400","Saint-Hyacinthe",62,1,16,1,9,20,6,115,162
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 401","Saint-Hyacinthe",36,5,10,3,4,22,7,87,315
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500","Acton Vale",Merged with No./Fusionné avec le n°32,,,,,,,,6
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 501","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,66
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502","Mobile poll/Bureau itinérant",58,7,13,4,2,25,9,118,102
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503","Mobile poll/Bureau itinérant",Results combined with no. 502/Résultats combinés au n° 502,,,,,,,,87
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 504","Mobile poll/Bureau itinérant",Results combined with no. 505/Résultats combinés au n° 505,,,,,,,,23
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505","Mobile poll/Bureau itinérant",90,2,15,0,16,24,13,160,73
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 506","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,71
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 507","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,17
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 508","Mobile poll/Bureau itinérant",Results combined with no. 505/Résultats combinés au n° 505,,,,,,,,36
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 509","Mobile poll/Bureau itinérant",109,1,17,2,32,30,9,200,101
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 510","Mobile poll/Bureau itinérant",Results combined with no. 519/Résultats combinés au n° 519,,,,,,,,18
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 511","Mobile poll/Bureau itinérant",Results combined with no. 519/Résultats combinés au n° 519,,,,,,,,13
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 512","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,127
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 513","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°150,,,,,,,,34
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 515","Mobile poll/Bureau itinérant",Results combined with no. 519/Résultats combinés au n° 519,,,,,,,,56
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°164,,,,,,,,39
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 517","Mobile poll/Bureau itinérant",Results combined with no. 519/Résultats combinés au n° 519,,,,,,,,41
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 518","Mobile poll/Bureau itinérant",Results combined with no. 505/Résultats combinés au n° 505,,,,,,,,108
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 519","Mobile poll/Bureau itinérant",37,3,21,2,9,25,9,106,75
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 520","Mobile poll/Bureau itinérant",Results combined with no. 519/Résultats combinés au n° 519,,,,,,,,12
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 600","Saint-Hugues",94,13,76,13,30,259,5,490,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 601","Sainte-Hélène-de-Bagot--Saint-Théodore-d'Acton",80,8,68,13,35,187,7,398,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 602","Acton Vale",170,15,104,21,50,367,16,743,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 603","Roxton Falls",136,22,126,11,34,233,8,570,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 604","Acton Vale",155,10,118,22,70,386,13,774,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 605","Saint-Liboire--Upton",113,15,98,17,55,346,10,654,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 606","Saint-Simon",197,15,166,17,101,526,24,1046,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 607","La Présentation",287,25,205,13,109,665,12,1316,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 608","Sainte-Madeleine",166,19,107,14,79,512,14,911,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 609","Saint-Hyacinthe",278,19,161,13,125,565,15,1176,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 610","Saint-Hyacinthe",253,24,114,15,120,424,27,977,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 611","Saint-Hyacinthe",228,17,114,14,104,433,20,930,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 612","Saint-Hyacinthe",331,19,169,7,99,534,14,1173,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 613","Saint-Hyacinthe",217,17,122,9,143,583,21,1112,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 614","Saint-Hyacinthe",164,9,69,13,81,329,11,676,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 615","Saint-Hyacinthe",216,11,106,13,98,444,18,906,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 616","Saint-Hyacinthe",278,20,163,21,103,590,21,1196,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 617","Saint-Hyacinthe",292,17,147,7,139,587,22,1211,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 618","Saint-Dominique",67,8,67,4,43,162,17,368,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 619","Saint-Pie",191,21,122,21,94,458,34,941,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 620","Saint-Damase",79,13,58,7,21,215,5,398,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 1/Groupe 1, 43,2,14,4,50,44,13,170,55
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 2/Groupe 2, 269,18,113,16,128,478,44,1066,
