Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 39B","London",Merged with No./Fusionné avec le n°41B,,,,,,,220
35052,"London North Centre/London-Centre-Nord"," 40A","London",Merged with No./Fusionné avec le n°41A,,,,,,,216
35052,"London North Centre/London-Centre-Nord"," 40B","London",Merged with No./Fusionné avec le n°41B,,,,,,,182
35052,"London North Centre/London-Centre-Nord"," 41A","London",8,30,22,3,19,0,82,216
35052,"London North Centre/London-Centre-Nord"," 41B","London",6,31,21,2,14,0,74,256
35052,"London North Centre/London-Centre-Nord"," 42","London",23,37,37,4,75,0,176,610
35052,"London North Centre/London-Centre-Nord"," 43","London",6,29,40,2,18,0,95,297
35052,"London North Centre/London-Centre-Nord"," 44A","London",10,21,17,6,26,0,80,281
35052,"London North Centre/London-Centre-Nord"," 44B","London",Merged with No./Fusionné avec le n°46B,,,,,,,189
35052,"London North Centre/London-Centre-Nord"," 45A","London",Merged with No./Fusionné avec le n°44A,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 45B","London",Merged with No./Fusionné avec le n°46B,,,,,,,155
35052,"London North Centre/London-Centre-Nord"," 46A","London",Merged with No./Fusionné avec le n°44A,,,,,,,233
35052,"London North Centre/London-Centre-Nord"," 46B","London",8,20,12,0,20,0,60,202
35052,"London North Centre/London-Centre-Nord"," 47","London",15,78,29,5,74,4,205,662
35052,"London North Centre/London-Centre-Nord"," 48A","London",Merged with No./Fusionné avec le n°49A,,,,,,,208
35052,"London North Centre/London-Centre-Nord"," 48B","London",Merged with No./Fusionné avec le n°49B,,,,,,,182
35052,"London North Centre/London-Centre-Nord"," 49A","London",8,41,32,5,34,0,120,259
35052,"London North Centre/London-Centre-Nord"," 49B","London",6,24,30,1,23,0,84,201
35052,"London North Centre/London-Centre-Nord"," 50A","London",Merged with No./Fusionné avec le n°49A,,,,,,,196
35052,"London North Centre/London-Centre-Nord"," 50B","London",Merged with No./Fusionné avec le n°49B,,,,,,,175
35052,"London North Centre/London-Centre-Nord"," 51A","London",Merged with No./Fusionné avec le n°53A,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 51B","London",Merged with No./Fusionné avec le n°53B,,,,,,,164
35052,"London North Centre/London-Centre-Nord"," 52A","London",Merged with No./Fusionné avec le n°53A,,,,,,,206
35052,"London North Centre/London-Centre-Nord"," 52B","London",Merged with No./Fusionné avec le n°53B,,,,,,,135
35052,"London North Centre/London-Centre-Nord"," 53A","London",8,32,36,2,29,2,109,226
35052,"London North Centre/London-Centre-Nord"," 53B","London",5,9,19,1,32,2,68,191
35052,"London North Centre/London-Centre-Nord"," 54A","London",Merged with No./Fusionné avec le n°56A,,,,,,,191
35052,"London North Centre/London-Centre-Nord"," 54B","London",Merged with No./Fusionné avec le n°32B,,,,,,,158
35052,"London North Centre/London-Centre-Nord"," 55A","London",Merged with No./Fusionné avec le n°56A,,,,,,,198
35052,"London North Centre/London-Centre-Nord"," 55B","London",Merged with No./Fusionné avec le n°32B,,,,,,,169
35052,"London North Centre/London-Centre-Nord"," 56A","London",7,81,65,4,42,2,201,239
35052,"London North Centre/London-Centre-Nord"," 56B","London",Merged with No./Fusionné avec le n°32B,,,,,,,156
35052,"London North Centre/London-Centre-Nord"," 57A","London",Merged with No./Fusionné avec le n°56A,,,,,,,499
35052,"London North Centre/London-Centre-Nord"," 57B","London",Merged with No./Fusionné avec le n°58,,,,,,,397
35052,"London North Centre/London-Centre-Nord"," 58","London",7,63,72,0,34,1,177,724
35052,"London North Centre/London-Centre-Nord"," 59","London",Merged with No./Fusionné avec le n°60,,,,,,,406
35052,"London North Centre/London-Centre-Nord"," 60","London",4,73,53,1,14,1,146,583
35052,"London North Centre/London-Centre-Nord"," 61","London",7,81,78,3,36,1,206,849
35052,"London North Centre/London-Centre-Nord"," 62","London",Merged with No./Fusionné avec le n°73,,,,,,,489
35052,"London North Centre/London-Centre-Nord"," 63","London",3,47,47,4,12,0,113,523
35052,"London North Centre/London-Centre-Nord"," 64A","London",12,48,53,9,45,2,169,181
35052,"London North Centre/London-Centre-Nord"," 64B","London",11,69,50,5,49,1,185,205
35052,"London North Centre/London-Centre-Nord"," 65","London",15,48,45,9,39,6,162,407
35052,"London North Centre/London-Centre-Nord"," 66A","London",Merged with No./Fusionné avec le n°64A,,,,,,,176
35052,"London North Centre/London-Centre-Nord"," 66B","London",Merged with No./Fusionné avec le n°64B,,,,,,,163
35052,"London North Centre/London-Centre-Nord"," 67A","London",Merged with No./Fusionné avec le n°64A,,,,,,,167
35052,"London North Centre/London-Centre-Nord"," 67B","London",Merged with No./Fusionné avec le n°64B,,,,,,,171
35052,"London North Centre/London-Centre-Nord"," 68","London",6,14,9,2,33,0,64,432
35052,"London North Centre/London-Centre-Nord"," 69","London",14,157,98,7,67,0,343,425
35052,"London North Centre/London-Centre-Nord"," 70","London",14,119,80,4,102,2,321,560
35052,"London North Centre/London-Centre-Nord"," 71A","London",Merged with No./Fusionné avec le n°201A,,,,,,,276
35052,"London North Centre/London-Centre-Nord"," 71B","London",Merged with No./Fusionné avec le n°201B,,,,,,,219
35052,"London North Centre/London-Centre-Nord"," 72","London",Merged with No./Fusionné avec le n°74,,,,,,,354
35052,"London North Centre/London-Centre-Nord"," 73","London",5,60,33,5,31,0,134,522
35052,"London North Centre/London-Centre-Nord"," 74","London",8,88,64,3,40,0,203,436
35052,"London North Centre/London-Centre-Nord"," 75A","London",2,42,38,2,35,1,120,207
35052,"London North Centre/London-Centre-Nord"," 75B","London",Merged with No./Fusionné avec le n°76B,,,,,,,199
35052,"London North Centre/London-Centre-Nord"," 76A","London",Merged with No./Fusionné avec le n°75A,,,,,,,192
35052,"London North Centre/London-Centre-Nord"," 76B","London",2,37,38,2,25,2,106,234
35052,"London North Centre/London-Centre-Nord"," 77A","London",Merged with No./Fusionné avec le n°75A,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 77B","London",Merged with No./Fusionné avec le n°76B,,,,,,,158
35052,"London North Centre/London-Centre-Nord"," 78","London",13,41,21,3,53,2,133,531
35052,"London North Centre/London-Centre-Nord"," 79","London",Merged with No./Fusionné avec le n°95,,,,,,,348
35052,"London North Centre/London-Centre-Nord"," 80","London",17,59,36,0,50,0,162,521
35052,"London North Centre/London-Centre-Nord"," 81","London",14,42,36,8,44,3,147,486
35052,"London North Centre/London-Centre-Nord"," 82","London",15,58,34,9,75,2,193,519
35052,"London North Centre/London-Centre-Nord"," 83","London",17,88,73,7,26,3,214,455
35052,"London North Centre/London-Centre-Nord"," 84","London",9,85,76,5,58,2,235,499
35052,"London North Centre/London-Centre-Nord"," 85","London",Merged with No./Fusionné avec le n°90,,,,,,,505
35052,"London North Centre/London-Centre-Nord"," 86","London",8,62,51,6,32,0,159,552
35052,"London North Centre/London-Centre-Nord"," 87A","London",11,35,31,2,45,2,126,267
35052,"London North Centre/London-Centre-Nord"," 87B","London",Merged with No./Fusionné avec le n°91B,,,,,,,171
