Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kyle Free,Mohamed Hammoud,Lindsay Mathyssen,Mattias Vanderley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 182","London",17,18,70,27,0,132,363
35051,"London--Fanshawe/London--Fanshawe"," 183","London",15,27,36,47,0,125,340
35051,"London--Fanshawe/London--Fanshawe"," 184","London",10,32,69,41,3,155,450
35051,"London--Fanshawe/London--Fanshawe"," 185","London",5,34,52,23,1,115,435
35051,"London--Fanshawe/London--Fanshawe"," 186","London",16,38,66,26,1,147,346
35051,"London--Fanshawe/London--Fanshawe"," 187","London",9,45,59,29,2,144,336
35051,"London--Fanshawe/London--Fanshawe"," 188","London",7,47,54,20,0,128,324
35051,"London--Fanshawe/London--Fanshawe"," 189","London",7,50,55,27,2,141,327
35051,"London--Fanshawe/London--Fanshawe"," 190","London",9,48,80,29,0,166,400
35051,"London--Fanshawe/London--Fanshawe"," 191","London",6,21,34,19,1,81,283
35051,"London--Fanshawe/London--Fanshawe"," 192","London",8,32,50,24,1,115,339
35051,"London--Fanshawe/London--Fanshawe"," 193","London",18,46,60,33,4,161,400
35051,"London--Fanshawe/London--Fanshawe"," 194","London",7,81,44,37,0,169,404
35051,"London--Fanshawe/London--Fanshawe"," 195","London",8,57,43,16,0,124,310
35051,"London--Fanshawe/London--Fanshawe"," 196","London",13,56,59,25,2,155,405
35051,"London--Fanshawe/London--Fanshawe"," 197","London",11,42,36,20,0,109,424
35051,"London--Fanshawe/London--Fanshawe"," 198","London",10,29,29,21,4,93,330
35051,"London--Fanshawe/London--Fanshawe"," 199","London",10,42,51,23,1,127,329
35051,"London--Fanshawe/London--Fanshawe"," 200","London",7,43,66,28,2,146,373
35051,"London--Fanshawe/London--Fanshawe"," 201","London",8,43,56,34,0,141,342
35051,"London--Fanshawe/London--Fanshawe"," 202","London",12,33,48,31,0,124,352
35051,"London--Fanshawe/London--Fanshawe"," 203","London",5,43,59,34,2,143,372
35051,"London--Fanshawe/London--Fanshawe"," 204","London",12,52,101,35,0,200,527
35051,"London--Fanshawe/London--Fanshawe"," 205","London",13,43,73,39,2,170,405
35051,"London--Fanshawe/London--Fanshawe"," 206","London",15,54,75,25,1,170,421
