Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 88","Toronto",64,0,1,5,29,55,8,1,163,439
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 89","Toronto",59,0,0,0,22,63,8,0,152,398
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 90","Toronto",54,0,0,3,20,54,10,0,141,451
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 91","Toronto",121,1,0,6,28,168,12,3,339,614
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 92","Toronto",64,0,0,9,39,93,14,0,219,414
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 93","Toronto",78,0,0,5,42,85,13,1,224,461
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 94","Toronto",60,0,2,8,19,96,11,13,209,396
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 95","Toronto",63,0,2,2,9,80,5,0,161,548
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 96","Toronto",43,0,0,4,16,55,6,2,126,400
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 97","Toronto",21,0,1,1,9,38,3,0,73,258
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 98","Toronto",31,0,3,2,11,39,14,3,103,411
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 99","Toronto",36,0,0,4,31,52,6,0,129,472
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 100","Toronto",44,0,2,1,34,56,12,5,154,554
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 101","Toronto",46,0,1,3,29,82,8,2,171,478
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 102","Toronto",63,0,0,2,22,86,2,0,175,485
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 103","Toronto",3,0,0,0,9,26,4,1,43,147
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 104","Toronto",53,0,1,3,17,74,11,0,159,466
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 105","Toronto",55,0,0,4,31,73,9,0,172,430
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 106","Toronto",69,0,4,3,34,75,12,2,199,578
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 107","Toronto",39,0,0,5,29,57,4,1,135,444
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 108","Toronto",37,0,0,9,20,60,10,1,137,473
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 109","Toronto",41,0,2,6,35,66,9,0,159,483
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 110","Toronto",46,0,0,8,20,97,5,0,176,501
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 111","Toronto",60,0,0,5,64,131,10,2,272,608
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 112","Toronto",52,0,0,2,30,106,9,0,199,531
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 113","Toronto",36,0,0,8,30,64,9,2,149,591
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 114","Toronto",41,0,0,6,40,103,9,0,199,531
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 115","Toronto",47,0,0,5,26,92,11,0,181,549
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 116","Toronto",39,0,1,5,28,71,4,3,151,441
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 117","Toronto",40,0,0,1,19,56,7,1,124,378
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 118","Toronto",66,0,0,2,22,44,7,0,141,319
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 119","Toronto",85,0,0,3,32,86,7,3,216,636
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 120","Toronto",47,0,0,2,13,64,6,1,133,451
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 121","Toronto",46,0,0,1,23,67,8,0,145,420
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 122","Toronto",62,0,0,3,24,49,11,1,150,416
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 123","Toronto",69,1,0,5,27,59,9,0,170,518
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 124","Toronto",58,3,0,2,24,89,7,1,184,515
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 125","Toronto",59,0,0,3,23,74,10,0,169,432
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 126","Toronto",61,2,1,4,26,105,20,1,220,548
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 127","Toronto",12,0,0,3,1,14,0,0,30,139
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 128","Toronto",35,0,0,2,15,59,6,0,117,370
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 129","Toronto",19,0,0,5,28,44,4,1,101,395
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 130","Toronto",42,0,0,1,27,46,6,3,125,428
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 131","Toronto",20,0,0,1,23,33,2,1,80,286
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 132","Toronto",50,0,0,6,55,73,11,1,196,758
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 133","Toronto",33,0,0,3,27,68,12,0,143,369
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 134","Toronto",46,1,0,4,28,59,5,0,143,489
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 135","Toronto",45,0,0,3,29,86,7,0,170,534
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 136","Toronto",46,0,1,4,42,77,2,1,173,559
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 137","Toronto",71,2,2,7,29,68,14,3,196,561
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 138","Toronto",71,1,0,4,34,88,6,1,205,545
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 139","Toronto",43,1,0,3,39,77,10,1,174,495
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 140","Toronto",48,0,0,2,30,79,12,1,172,578
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 141","Toronto",78,0,0,3,38,125,10,4,258,665
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 142","Toronto",48,0,0,6,44,74,12,0,184,530
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 143","Toronto",78,0,0,4,30,97,12,1,222,588
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 144","Etobicoke",Void/Supprimé,,,,,,,,,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 145","Toronto",88,0,2,7,21,60,6,0,184,446
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 146","Toronto",72,0,3,7,43,73,10,0,208,529
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 147","Toronto",81,0,0,5,35,85,6,2,214,440
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 148","Toronto",83,0,0,8,27,93,17,1,229,498
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 149","Toronto",65,0,0,4,27,98,12,3,209,551
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 150","Toronto",49,0,0,5,22,108,12,1,197,493
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 151","Toronto",59,1,0,2,16,71,13,1,163,429
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 152","Toronto",63,1,0,6,19,57,10,1,157,437
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 153","Toronto",48,4,0,6,33,47,12,1,151,483
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 154","Toronto",47,0,0,9,34,54,6,0,150,452
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 155","Toronto",52,1,0,3,33,55,4,0,148,445
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 156","Toronto",38,0,0,5,36,81,10,4,174,701
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 157","Toronto",70,2,5,4,81,119,18,2,301,723
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 158","Toronto",33,0,0,3,37,91,7,0,171,515
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 159","Toronto",46,2,0,5,18,54,5,1,131,309
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 160","Toronto",26,0,1,6,37,46,2,0,118,380
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 161","Toronto",28,0,0,3,37,81,9,2,160,439
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 162","Toronto",52,0,1,7,50,56,7,0,173,493
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 163","Toronto",25,0,0,4,19,33,5,0,86,421
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 164A","Toronto",65,0,0,6,33,117,10,4,235,860
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 164B","Toronto",Merged with No./Fusionné avec le n°165,,,,,,,,,165
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 165","Toronto",38,1,0,12,18,47,10,1,127,384
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 166","Toronto",27,1,0,4,28,19,11,1,91,536
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 167","Toronto",39,0,0,2,22,22,7,0,92,445
