Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Gerretsen,Waji Khan,Gary Oosterhof,Vic Sahai,Shelley Sayle-Udall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",45,6,36,78,3,4,172,623
35044,"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",42,11,26,78,3,0,160,489
35044,"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",33,5,45,69,5,0,157,451
35044,"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",42,6,17,47,1,0,113,471
35044,"Kingston and the Islands/Kingston et les Îles"," 195A","Kingston",33,7,40,62,7,4,153,187
35044,"Kingston and the Islands/Kingston et les Îles"," 195B","Kingston",89,5,36,42,4,0,176,188
35044,"Kingston and the Islands/Kingston et les Îles"," 195C","Kingston",38,3,27,11,0,0,79,136
35044,"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",53,7,26,45,1,2,134,290
35044,"Kingston and the Islands/Kingston et les Îles"," 197","Kingston",54,4,29,39,5,2,133,358
35044,"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",75,8,32,67,4,0,186,401
35044,"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",66,2,25,31,3,0,127,409
35044,"Kingston and the Islands/Kingston et les Îles"," 200","Frontenac Islands",85,4,74,40,7,2,212,350
35044,"Kingston and the Islands/Kingston et les Îles"," 201","Frontenac Islands",105,6,46,42,2,3,204,321
35044,"Kingston and the Islands/Kingston et les Îles"," 202","Frontenac Islands",107,4,63,42,8,1,225,360
35044,"Kingston and the Islands/Kingston et les Îles"," 400","Mobile poll/Bureau itinérant",53,1,25,5,1,0,85,127
35044,"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",52,2,26,15,2,0,97,179
35044,"Kingston and the Islands/Kingston et les Îles"," 402","Kingston",61,4,29,22,1,0,117,191
35044,"Kingston and the Islands/Kingston et les Îles"," 403","Kingston",71,2,22,21,4,2,122,194
35044,"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",72,3,27,30,8,0,140,234
35044,"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",73,4,45,55,0,1,178,267
35044,"Kingston and the Islands/Kingston et les Îles"," 406","Kingston",30,1,12,20,8,0,71,178
35044,"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",50,3,14,28,2,0,97,146
35044,"Kingston and the Islands/Kingston et les Îles"," 408","Kingston",32,1,4,19,4,0,60,190
35044,"Kingston and the Islands/Kingston et les Îles"," 409","Mobile poll/Bureau itinérant",14,0,10,2,2,1,29,62
35044,"Kingston and the Islands/Kingston et les Îles"," 410","Kingston",Void/Supprimé,,,,,,,
35044,"Kingston and the Islands/Kingston et les Îles"," 411","Mobile poll/Bureau itinérant",56,7,19,8,6,7,103,144
35044,"Kingston and the Islands/Kingston et les Îles"," 412","Kingston",18,3,6,21,3,0,51,120
35044,"Kingston and the Islands/Kingston et les Îles"," 413","Kingston",41,1,11,39,3,0,95,191
35044,"Kingston and the Islands/Kingston et les Îles"," 414","Kingston",23,1,7,28,5,0,64,160
35044,"Kingston and the Islands/Kingston et les Îles"," 415","Kingston",36,5,21,28,2,1,93,144
35044,"Kingston and the Islands/Kingston et les Îles"," 416","Kingston",37,1,21,31,5,0,95,159
35044,"Kingston and the Islands/Kingston et les Îles"," 417","Kingston",Void/Supprimé,,,,,,,
35044,"Kingston and the Islands/Kingston et les Îles"," 418","Kingston",36,0,8,28,3,0,75,165
35044,"Kingston and the Islands/Kingston et les Îles"," 419","Kingston",54,4,18,32,0,1,109,164
35044,"Kingston and the Islands/Kingston et les Îles"," 420","Kingston",53,2,27,14,1,1,98,177
35044,"Kingston and the Islands/Kingston et les Îles"," 421","Kingston",28,2,22,7,0,0,59,146
35044,"Kingston and the Islands/Kingston et les Îles"," 422","Mobile poll/Bureau itinérant",29,0,12,7,0,0,48,55
35044,"Kingston and the Islands/Kingston et les Îles"," 423","Kingston",10,4,31,49,5,1,100,100
35044,"Kingston and the Islands/Kingston et les Îles"," 500","Kingston",Merged with No./Fusionné avec le n°21,,,,,,,6
35044,"Kingston and the Islands/Kingston et les Îles"," 501","Mobile poll/Bureau itinérant",60,0,20,1,0,1,82,110
35044,"Kingston and the Islands/Kingston et les Îles"," 502","Kingston",Merged with No./Fusionné avec le n°88,,,,,,,5
35044,"Kingston and the Islands/Kingston et les Îles"," 503","Mobile poll/Bureau itinérant",14,0,4,3,0,2,23,47
35044,"Kingston and the Islands/Kingston et les Îles"," 504","Mobile poll/Bureau itinérant",43,2,2,0,1,3,51,56
35044,"Kingston and the Islands/Kingston et les Îles"," 505","Mobile poll/Bureau itinérant",45,4,23,2,1,0,75,96
35044,"Kingston and the Islands/Kingston et les Îles"," 506","Kingston",Merged with No./Fusionné avec le n°134,,,,,,,52
35044,"Kingston and the Islands/Kingston et les Îles"," 507","Kingston",Merged with No./Fusionné avec le n°136,,,,,,,89
35044,"Kingston and the Islands/Kingston et les Îles"," 508","Kingston",Merged with No./Fusionné avec le n°167,,,,,,,56
35044,"Kingston and the Islands/Kingston et les Îles"," 509","Kingston",Merged with No./Fusionné avec le n°172,,,,,,,79
35044,"Kingston and the Islands/Kingston et les Îles"," 510","Kingston",Merged with No./Fusionné avec le n°196,,,,,,,55
35044,"Kingston and the Islands/Kingston et les Îles"," 511","Mobile poll/Bureau itinérant",20,0,3,2,2,1,28,69
35044,"Kingston and the Islands/Kingston et les Îles"," 512","Mobile poll/Bureau itinérant",17,3,7,4,1,2,34,19
35044,"Kingston and the Islands/Kingston et les Îles"," 513","Mobile poll/Bureau itinérant",8,0,7,4,0,0,19,60
35044,"Kingston and the Islands/Kingston et les Îles"," 514","Mobile poll/Bureau itinérant",46,2,27,7,0,1,83,68
35044,"Kingston and the Islands/Kingston et les Îles"," 515","Mobile poll/Bureau itinérant",17,1,7,5,0,0,30,43
35044,"Kingston and the Islands/Kingston et les Îles"," 600","Kingston",485,25,403,200,34,3,1150,
35044,"Kingston and the Islands/Kingston et les Îles"," 601","Kingston",793,46,606,282,56,9,1792,
35044,"Kingston and the Islands/Kingston et les Îles"," 602","Kingston",389,25,251,283,69,5,1022,
35044,"Kingston and the Islands/Kingston et les Îles"," 603","Kingston",669,13,502,236,46,2,1468,
35044,"Kingston and the Islands/Kingston et les Îles"," 604","Kingston",668,29,468,300,70,3,1538,
35044,"Kingston and the Islands/Kingston et les Îles"," 605","Kingston",755,25,505,225,51,5,1566,
35044,"Kingston and the Islands/Kingston et les Îles"," 606","Kingston",680,18,374,305,51,4,1432,
35044,"Kingston and the Islands/Kingston et les Îles"," 607","Kingston",913,26,421,270,26,4,1660,
35044,"Kingston and the Islands/Kingston et les Îles"," 608","Kingston",686,23,267,310,35,4,1325,
35044,"Kingston and the Islands/Kingston et les Îles"," 609","Kingston",610,27,328,284,60,0,1309,
35044,"Kingston and the Islands/Kingston et les Îles"," 610","Kingston",569,23,286,215,69,11,1173,
35044,"Kingston and the Islands/Kingston et les Îles"," 611","Kingston",568,36,253,315,28,6,1206,
35044,"Kingston and the Islands/Kingston et les Îles"," 612","Kingston",446,21,137,236,35,2,877,
35044,"Kingston and the Islands/Kingston et les Îles"," 613","Kingston",487,23,191,252,38,4,995,
35044,"Kingston and the Islands/Kingston et les Îles"," 614","Kingston",325,10,145,198,38,1,717,
35044,"Kingston and the Islands/Kingston et les Îles"," 615","Kingston",473,31,212,471,18,4,1209,
35044,"Kingston and the Islands/Kingston et les Îles"," 616","Kingston",201,16,86,294,23,1,621,
