Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René-Paul Coly,Wayne Cyr,Michel Marc Lacroix,Marie-Christine Lamontagne,Jacques Palardy-Dion,Pierre Paul-Hus,Daniel Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 106","Québec",20,8,8,24,1,55,0,1,117,362
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 107","Québec",25,7,14,34,5,94,1,4,184,531
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 108","Québec",25,2,10,18,1,67,0,1,124,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 109","Québec",29,9,8,28,1,105,0,2,182,452
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 110","Québec",12,7,7,29,2,64,2,8,131,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 111","Québec",15,3,7,34,1,105,1,6,172,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 112","Québec",20,5,9,15,2,57,1,1,110,397
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 113","Québec",13,0,3,35,1,50,0,2,104,357
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 114","Québec",20,9,18,20,2,107,0,3,179,533
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 115","Québec",22,0,10,22,2,57,0,2,115,401
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 116","Québec",18,4,6,21,1,89,1,1,141,480
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 117","Québec",15,7,4,13,0,97,1,2,139,378
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 118","Québec",25,5,3,24,4,75,1,2,139,424
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 119","Québec",31,10,10,31,1,72,1,3,159,460
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 120","Québec",37,4,10,35,2,38,0,4,130,405
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 121","Québec",31,5,18,35,0,44,0,1,134,309
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 122","Québec",38,5,19,60,7,51,1,2,183,346
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 123","Québec",41,5,15,52,4,61,0,3,181,364
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 124","Québec",60,2,15,49,4,43,0,3,176,362
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 125","Québec",49,1,12,47,5,57,2,9,182,402
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 126","Québec",24,5,13,37,1,73,0,3,156,371
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 127","Québec",36,4,11,51,1,72,1,0,176,381
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 128","Québec",29,2,10,41,1,76,0,7,166,387
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 129","Québec",26,10,9,18,5,47,0,1,116,335
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 130","Québec",42,2,9,66,4,63,1,2,189,358
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 131","Québec",33,3,18,66,4,100,1,3,228,441
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 132","Québec",42,2,11,48,2,60,2,0,167,348
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 133","Québec",43,1,15,52,4,77,0,5,197,435
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 134","Québec",37,3,33,64,2,63,0,6,208,422
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 135","Québec",41,2,13,68,7,64,2,2,199,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 136","Québec",47,4,17,54,2,51,3,2,180,371
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 137","Québec",39,2,12,38,5,36,3,7,142,377
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 138","Québec",23,0,5,33,5,38,0,2,106,332
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 139","Québec",14,2,9,26,3,29,2,6,91,321
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 140","Québec",61,3,18,49,6,77,1,2,217,509
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 141","Québec",38,1,18,71,3,68,1,3,203,492
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 142","Québec",31,1,14,51,2,36,0,0,135,346
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 143","Québec",27,7,14,33,4,56,2,3,146,497
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 144A","Québec",29,1,5,42,3,48,0,5,133,426
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 144B","Québec",34,2,8,38,0,39,0,1,122,406
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 145","Québec",30,7,18,31,7,57,1,3,154,511
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 146","Québec",21,1,7,21,4,18,3,2,77,295
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 147","Québec",39,1,6,35,0,43,1,4,129,541
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 148","Québec",33,7,19,39,2,51,0,3,154,403
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 149","Québec",41,4,15,43,1,45,4,1,154,486
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 150","Québec",38,5,18,49,3,46,2,3,164,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 151","Québec",52,1,21,56,6,57,1,4,198,430
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 152","Québec",29,4,23,71,7,60,2,0,196,548
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 153","Québec",26,5,14,32,8,99,1,1,186,411
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 154","Québec",33,0,11,42,7,76,0,4,173,453
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 155","Québec",49,3,19,31,0,94,0,2,198,432
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 156","Québec",17,6,14,49,2,83,1,4,176,427
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 157","Québec",20,2,9,32,4,65,0,5,137,367
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 158","Québec",38,10,16,34,3,81,3,5,190,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 159","Québec",29,8,13,35,3,98,0,4,190,597
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 160","Québec",27,1,9,37,4,59,2,2,141,358
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 161","Québec",24,8,12,41,2,109,0,4,200,447
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 162","Québec",22,1,8,30,2,58,1,6,128,395
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 163","Québec",34,7,19,47,5,127,0,5,244,512
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 164","Québec",32,4,17,31,3,61,2,4,154,411
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 165","Québec",29,4,9,47,3,109,0,3,204,453
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 166","Québec",30,1,20,47,2,112,2,4,218,465
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 167","Québec",19,4,10,42,6,66,2,1,150,372
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 168","Québec",18,2,2,25,2,69,2,2,122,381
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 169","Québec",23,5,17,27,6,76,0,7,161,385
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 170","Québec",26,4,22,25,2,99,1,4,183,548
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 171","Québec",42,3,17,51,6,38,1,3,161,425
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 172","Québec",32,3,15,40,4,33,2,3,132,402
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 173","Québec",34,3,11,65,5,60,1,2,181,451
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 174","Québec",32,2,13,37,3,55,3,2,147,396
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 175","Québec",20,1,2,24,3,25,0,1,76,225
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 176","Québec",19,5,22,31,1,34,0,1,113,337
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 177","Québec",29,4,15,32,4,44,1,5,134,377
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 178","Québec",52,7,13,62,3,52,2,5,196,501
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 179","Québec",41,7,14,30,5,54,1,1,153,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 180","Québec",34,7,6,30,2,40,3,3,125,520
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 181","Québec",18,8,16,19,7,37,1,4,110,353
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 182","Québec",42,3,12,29,3,40,3,5,137,329
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 183","Québec",26,6,16,33,5,32,2,6,126,379
