Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ajay Copp,Keiran Corrigall,Nick Debrey,Shawn Duncan,Patrick King,Ron Liepert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 24","Calgary",2,8,15,17,45,86,3,176,444
48012,"Calgary Signal Hill/Calgary Signal Hill"," 25","Calgary",4,6,15,16,26,57,1,125,388
48012,"Calgary Signal Hill/Calgary Signal Hill"," 26","Calgary",0,4,13,22,41,63,1,144,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 27","Calgary",1,4,17,25,46,73,0,166,416
48012,"Calgary Signal Hill/Calgary Signal Hill"," 28","Calgary",1,6,19,29,34,51,0,140,437
48012,"Calgary Signal Hill/Calgary Signal Hill"," 29","Calgary",2,6,11,33,54,55,0,161,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 30","Calgary",4,1,12,21,41,96,0,175,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 31","Calgary",2,9,13,22,35,56,1,138,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 32","Calgary",4,6,4,29,26,68,3,140,371
48012,"Calgary Signal Hill/Calgary Signal Hill"," 33","Calgary",4,9,18,24,36,78,1,170,500
48012,"Calgary Signal Hill/Calgary Signal Hill"," 34","Calgary",0,3,12,39,61,80,2,197,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 35","Calgary",0,3,6,17,33,103,0,162,482
48012,"Calgary Signal Hill/Calgary Signal Hill"," 36","Calgary",0,1,7,22,12,82,1,125,348
48012,"Calgary Signal Hill/Calgary Signal Hill"," 37","Calgary",2,3,10,53,25,79,2,174,493
48012,"Calgary Signal Hill/Calgary Signal Hill"," 38","Calgary",1,1,10,36,32,83,0,163,527
48012,"Calgary Signal Hill/Calgary Signal Hill"," 39","Calgary",2,5,2,28,13,68,1,119,450
48012,"Calgary Signal Hill/Calgary Signal Hill"," 40","Calgary",0,3,10,21,12,90,0,136,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 41","Calgary",4,3,7,39,18,76,1,148,432
48012,"Calgary Signal Hill/Calgary Signal Hill"," 42","Calgary",0,7,13,50,29,105,0,204,572
48012,"Calgary Signal Hill/Calgary Signal Hill"," 43","Calgary",1,5,8,29,39,85,0,167,495
48012,"Calgary Signal Hill/Calgary Signal Hill"," 44","Calgary",0,2,10,29,17,92,0,150,564
48012,"Calgary Signal Hill/Calgary Signal Hill"," 45","Calgary",0,0,7,44,14,103,2,170,437
48012,"Calgary Signal Hill/Calgary Signal Hill"," 46","Calgary",0,1,5,38,28,128,0,200,580
48012,"Calgary Signal Hill/Calgary Signal Hill"," 47","Calgary",0,3,7,23,15,74,0,122,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 48A","Calgary",0,1,2,17,24,82,0,126,372
48012,"Calgary Signal Hill/Calgary Signal Hill"," 48B","Calgary",2,0,7,22,16,82,0,129,333
48012,"Calgary Signal Hill/Calgary Signal Hill"," 49","Calgary",0,4,6,39,10,88,0,147,366
48012,"Calgary Signal Hill/Calgary Signal Hill"," 50","Calgary",0,1,4,16,20,71,0,112,336
48012,"Calgary Signal Hill/Calgary Signal Hill"," 51","Calgary",1,0,8,43,30,72,0,154,457
48012,"Calgary Signal Hill/Calgary Signal Hill"," 52","Calgary",0,0,7,31,20,83,1,142,369
48012,"Calgary Signal Hill/Calgary Signal Hill"," 53","Calgary",0,1,7,29,21,60,0,118,350
48012,"Calgary Signal Hill/Calgary Signal Hill"," 54","Calgary",0,1,9,26,20,131,0,187,576
48012,"Calgary Signal Hill/Calgary Signal Hill"," 55","Calgary",2,0,11,31,23,84,1,152,432
48012,"Calgary Signal Hill/Calgary Signal Hill"," 56","Calgary",1,3,10,34,16,99,0,163,517
48012,"Calgary Signal Hill/Calgary Signal Hill"," 57","Calgary",2,1,7,17,23,88,1,139,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 58A","Calgary",1,0,4,44,16,113,5,183,562
48012,"Calgary Signal Hill/Calgary Signal Hill"," 58B","Calgary",3,3,8,19,15,102,5,155,444
48012,"Calgary Signal Hill/Calgary Signal Hill"," 59","Calgary",2,0,13,35,14,109,0,173,501
48012,"Calgary Signal Hill/Calgary Signal Hill"," 60","Calgary",1,0,1,30,11,61,0,104,333
