Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Bertrand,Jean Collette,Claude Debellefeuille,Linda Gallant,Joan Gottman,Marcel Goyette,Nicolas Thivierge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 35","Sainte-Justine-de-Newton",0,13,57,36,5,1,9,5,126,392
24071,"Salaberry--Suroît/Salaberry--Suroît"," 36","Sainte-Justine-de-Newton",2,27,93,53,23,3,18,5,224,384
24071,"Salaberry--Suroît/Salaberry--Suroît"," 37","Salaberry-de-Valleyfield",1,14,59,29,11,0,4,4,122,437
24071,"Salaberry--Suroît/Salaberry--Suroît"," 38","Salaberry-de-Valleyfield",2,13,89,34,8,0,3,0,149,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 39","Salaberry-de-Valleyfield",0,8,61,26,6,2,6,1,110,369
24071,"Salaberry--Suroît/Salaberry--Suroît"," 40","Salaberry-de-Valleyfield",2,8,56,30,16,0,10,5,127,353
24071,"Salaberry--Suroît/Salaberry--Suroît"," 41","Salaberry-de-Valleyfield",0,14,59,19,12,1,1,4,110,396
24071,"Salaberry--Suroît/Salaberry--Suroît"," 42","Salaberry-de-Valleyfield",2,12,81,42,18,2,5,1,163,466
24071,"Salaberry--Suroît/Salaberry--Suroît"," 43","Salaberry-de-Valleyfield",1,6,92,28,16,1,5,6,155,443
24071,"Salaberry--Suroît/Salaberry--Suroît"," 44","Salaberry-de-Valleyfield",0,19,60,17,11,2,6,5,120,368
24071,"Salaberry--Suroît/Salaberry--Suroît"," 45","Salaberry-de-Valleyfield",1,12,77,35,14,1,7,3,150,398
24071,"Salaberry--Suroît/Salaberry--Suroît"," 46","Salaberry-de-Valleyfield",1,7,98,32,13,2,9,5,167,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 47","Salaberry-de-Valleyfield",0,12,99,23,25,2,17,5,183,457
24071,"Salaberry--Suroît/Salaberry--Suroît"," 48","Salaberry-de-Valleyfield",0,19,81,24,12,2,10,0,148,415
24071,"Salaberry--Suroît/Salaberry--Suroît"," 49A","Salaberry-de-Valleyfield",1,24,92,33,20,0,7,5,182,441
24071,"Salaberry--Suroît/Salaberry--Suroît"," 49B","Salaberry-de-Valleyfield",0,15,65,29,17,0,5,3,134,401
24071,"Salaberry--Suroît/Salaberry--Suroît"," 50","Salaberry-de-Valleyfield",1,15,78,36,8,1,1,2,142,363
24071,"Salaberry--Suroît/Salaberry--Suroît"," 51","Salaberry-de-Valleyfield",0,13,69,22,11,2,4,2,123,346
24071,"Salaberry--Suroît/Salaberry--Suroît"," 52","Salaberry-de-Valleyfield",0,20,112,30,15,3,5,7,192,513
24071,"Salaberry--Suroît/Salaberry--Suroît"," 53","Salaberry-de-Valleyfield",0,13,71,24,6,1,2,0,117,327
24071,"Salaberry--Suroît/Salaberry--Suroît"," 54","Salaberry-de-Valleyfield",0,11,60,26,8,1,6,0,112,381
24071,"Salaberry--Suroît/Salaberry--Suroît"," 55","Coteau-du-Lac",1,17,80,43,18,1,2,0,162,339
24071,"Salaberry--Suroît/Salaberry--Suroît"," 56","Coteau-du-Lac",1,25,75,28,14,0,9,3,155,387
24071,"Salaberry--Suroît/Salaberry--Suroît"," 57","Coteau-du-Lac",0,26,53,41,17,1,5,2,145,340
24071,"Salaberry--Suroît/Salaberry--Suroît"," 58","Coteau-du-Lac",0,26,97,41,25,2,3,4,198,414
24071,"Salaberry--Suroît/Salaberry--Suroît"," 59","Coteau-du-Lac",1,34,98,75,24,3,2,7,244,547
24071,"Salaberry--Suroît/Salaberry--Suroît"," 60","Coteau-du-Lac",2,30,90,40,15,0,4,2,183,412
24071,"Salaberry--Suroît/Salaberry--Suroît"," 61","Coteau-du-Lac",0,8,63,35,15,2,10,4,137,415
24071,"Salaberry--Suroît/Salaberry--Suroît"," 62","Coteau-du-Lac",1,8,65,29,22,2,5,2,134,403
24071,"Salaberry--Suroît/Salaberry--Suroît"," 63","Coteau-du-Lac",0,21,67,44,19,0,3,3,157,425
24071,"Salaberry--Suroît/Salaberry--Suroît"," 64","Coteau-du-Lac",1,18,73,42,12,1,4,5,156,428
24071,"Salaberry--Suroît/Salaberry--Suroît"," 65","Coteau-du-Lac",1,13,101,33,17,2,4,4,175,495
24071,"Salaberry--Suroît/Salaberry--Suroît"," 66A","Coteau-du-Lac",0,11,49,26,16,3,15,5,125,322
24071,"Salaberry--Suroît/Salaberry--Suroît"," 66B","Coteau-du-Lac",0,13,65,44,16,2,9,2,151,387
24071,"Salaberry--Suroît/Salaberry--Suroît"," 67","Coteau-du-Lac",0,28,77,47,7,0,4,1,164,408
24071,"Salaberry--Suroît/Salaberry--Suroît"," 68","Saint-Louis-de-Gonzague",1,25,209,54,15,2,10,5,321,557
24071,"Salaberry--Suroît/Salaberry--Suroît"," 69","Saint-Étienne-de-Beauharnois",3,24,112,35,13,0,9,1,197,356
24071,"Salaberry--Suroît/Salaberry--Suroît"," 70","Salaberry-de-Valleyfield",0,16,79,27,15,3,2,4,146,418
24071,"Salaberry--Suroît/Salaberry--Suroît"," 71","Salaberry-de-Valleyfield",0,8,68,31,10,1,5,6,129,376
24071,"Salaberry--Suroît/Salaberry--Suroît"," 72","Salaberry-de-Valleyfield",1,8,106,30,20,0,12,2,179,488
24071,"Salaberry--Suroît/Salaberry--Suroît"," 73","Salaberry-de-Valleyfield",1,14,113,53,14,1,3,4,203,530
24071,"Salaberry--Suroît/Salaberry--Suroît"," 74","Salaberry-de-Valleyfield",1,11,69,34,8,0,3,4,130,422
24071,"Salaberry--Suroît/Salaberry--Suroît"," 75","Salaberry-de-Valleyfield",1,12,85,26,6,3,3,6,142,483
24071,"Salaberry--Suroît/Salaberry--Suroît"," 76","Salaberry-de-Valleyfield",1,10,74,28,9,0,2,1,125,406
24071,"Salaberry--Suroît/Salaberry--Suroît"," 77","Salaberry-de-Valleyfield",1,9,76,28,16,0,6,1,137,443
24071,"Salaberry--Suroît/Salaberry--Suroît"," 78","Salaberry-de-Valleyfield",2,22,82,42,8,0,4,0,160,486
24071,"Salaberry--Suroît/Salaberry--Suroît"," 79","Salaberry-de-Valleyfield",1,10,47,26,9,1,10,5,109,359
24071,"Salaberry--Suroît/Salaberry--Suroît"," 80","Salaberry-de-Valleyfield",3,14,78,18,7,4,3,4,131,388
24071,"Salaberry--Suroît/Salaberry--Suroît"," 81","Salaberry-de-Valleyfield",0,11,61,48,8,2,4,9,143,412
24071,"Salaberry--Suroît/Salaberry--Suroît"," 82","Salaberry-de-Valleyfield",0,9,68,16,7,1,3,2,106,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 83","Salaberry-de-Valleyfield",0,5,51,25,13,1,2,8,105,342
24071,"Salaberry--Suroît/Salaberry--Suroît"," 84","Salaberry-de-Valleyfield",0,10,45,38,9,0,3,2,107,349
24071,"Salaberry--Suroît/Salaberry--Suroît"," 85","Salaberry-de-Valleyfield",1,4,61,43,9,1,2,3,124,371
24071,"Salaberry--Suroît/Salaberry--Suroît"," 86","Saint-Polycarpe",3,20,57,31,23,2,8,9,153,399
24071,"Salaberry--Suroît/Salaberry--Suroît"," 87","Saint-Polycarpe",0,19,80,36,20,1,5,3,164,380
24071,"Salaberry--Suroît/Salaberry--Suroît"," 88","Saint-Polycarpe",1,18,65,28,15,0,3,5,135,347
24071,"Salaberry--Suroît/Salaberry--Suroît"," 89","Saint-Polycarpe",2,17,58,33,27,2,8,4,151,391
24071,"Salaberry--Suroît/Salaberry--Suroît"," 90","Saint-Polycarpe",2,16,65,35,9,6,4,1,138,334
24071,"Salaberry--Suroît/Salaberry--Suroît"," 91","Salaberry-de-Valleyfield",0,13,65,31,8,2,11,2,132,458
24071,"Salaberry--Suroît/Salaberry--Suroît"," 92","Salaberry-de-Valleyfield",1,15,71,37,14,3,9,3,153,461
24071,"Salaberry--Suroît/Salaberry--Suroît"," 93","Salaberry-de-Valleyfield",2,11,46,23,12,2,6,1,103,403
24071,"Salaberry--Suroît/Salaberry--Suroît"," 94","Salaberry-de-Valleyfield",1,13,48,12,4,1,5,3,87,420
24071,"Salaberry--Suroît/Salaberry--Suroît"," 95","Salaberry-de-Valleyfield",Merged with No./Fusionné avec le n°96,,,,,,,,,188
24071,"Salaberry--Suroît/Salaberry--Suroît"," 96","Salaberry-de-Valleyfield",1,10,69,34,12,3,16,5,150,369
24071,"Salaberry--Suroît/Salaberry--Suroît"," 97","Salaberry-de-Valleyfield",0,4,50,12,11,1,4,3,85,410
24071,"Salaberry--Suroît/Salaberry--Suroît"," 98A","Salaberry-de-Valleyfield",0,10,30,14,9,2,1,3,69,317
24071,"Salaberry--Suroît/Salaberry--Suroît"," 98B","Mobile poll/Bureau itinérant",0,2,15,11,1,0,0,0,29,62
24071,"Salaberry--Suroît/Salaberry--Suroît"," 99","Salaberry-de-Valleyfield",1,6,49,12,10,0,6,2,86,312
24071,"Salaberry--Suroît/Salaberry--Suroît"," 100","Salaberry-de-Valleyfield",1,7,48,17,12,2,4,1,92,314
24071,"Salaberry--Suroît/Salaberry--Suroît"," 101","Salaberry-de-Valleyfield",0,4,43,18,13,1,5,4,88,330
24071,"Salaberry--Suroît/Salaberry--Suroît"," 102","Salaberry-de-Valleyfield",0,5,53,20,11,0,6,0,95,379
24071,"Salaberry--Suroît/Salaberry--Suroît"," 103","Salaberry-de-Valleyfield",1,7,81,38,9,2,7,6,151,439
24071,"Salaberry--Suroît/Salaberry--Suroît"," 104","Salaberry-de-Valleyfield",1,10,56,38,4,3,11,7,130,403
24071,"Salaberry--Suroît/Salaberry--Suroît"," 105","Salaberry-de-Valleyfield",0,7,44,24,6,2,5,3,91,330
24071,"Salaberry--Suroît/Salaberry--Suroît"," 106","Salaberry-de-Valleyfield",2,9,55,42,9,0,3,3,123,428
24071,"Salaberry--Suroît/Salaberry--Suroît"," 107","Salaberry-de-Valleyfield",2,9,83,25,14,0,6,0,139,432
24071,"Salaberry--Suroît/Salaberry--Suroît"," 108","Salaberry-de-Valleyfield",1,8,58,24,8,0,9,0,108,386
24071,"Salaberry--Suroît/Salaberry--Suroît"," 109","Salaberry-de-Valleyfield",1,6,48,25,11,1,2,6,100,412
