Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Allan,Frank Caputo,Iain Currie,Corally Delwo,Jesse McCormick,Bob O'Brien,Bill Sundhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 88","Kamloops",0,85,2,7,43,0,55,0,192,551
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 89","Kamloops",0,27,9,10,11,0,37,0,94,411
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 90A","Kamloops",0,72,6,7,28,1,39,1,154,420
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 90B","Kamloops",0,84,4,5,25,0,38,0,156,427
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 91","Kamloops",0,53,4,10,25,1,46,0,139,463
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 92","Kamloops",Merged with No./Fusionné avec le n°93,,,,,,,,,149
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 93","Kamloops",0,41,1,8,24,0,57,1,132,407
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 94","Kamloops",0,90,3,3,24,0,57,0,177,548
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 95","Kamloops",0,85,3,4,23,1,66,0,182,466
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 96","Kamloops",1,70,6,16,19,1,58,0,171,456
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 97","Kamloops",1,49,7,6,29,1,40,1,134,393
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 98","Kamloops",0,61,4,4,13,0,60,0,142,457
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 99","Kamloops",0,53,5,9,11,0,70,1,149,469
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 100","Kamloops",1,81,2,14,42,0,48,0,188,562
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 101","Kamloops",0,86,6,15,38,0,66,2,213,570
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 102","Kamloops",0,69,6,6,35,0,78,0,194,556
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 103","Kamloops",1,50,6,11,35,0,51,1,155,483
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 104","Kamloops",1,59,4,6,18,0,45,0,133,442
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 105","Kamloops",0,55,5,5,22,0,45,0,132,376
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 106","Kamloops",0,59,5,21,17,0,68,0,170,469
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 107","Kamloops",0,40,4,9,22,2,44,0,121,472
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 108","Kamloops",0,41,1,6,22,3,41,0,114,377
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 109","Kamloops",0,65,3,10,18,0,61,0,157,461
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 110","Kamloops",1,53,7,11,31,2,49,1,155,500
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 111","Kamloops",0,42,4,6,32,0,38,0,122,429
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 112","Kamloops",0,43,4,9,43,1,45,0,145,563
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 113","Kamloops",0,38,3,5,16,4,53,0,119,368
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 114","Kamloops",2,49,4,4,44,1,61,1,166,542
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 115","Kamloops",1,37,4,5,25,1,52,2,127,447
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 116A","Kamloops",0,21,0,1,21,1,32,0,76,311
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 116B","Kamloops",0,25,2,5,16,0,43,0,91,331
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 117A","Kamloops",0,51,10,7,24,0,57,0,149,338
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 117B","Kamloops",0,59,8,1,32,2,36,0,138,383
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 118","Kamloops",0,42,11,6,22,2,53,2,138,383
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 119","Kamloops",1,41,12,3,44,0,64,3,168,534
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 120","Kamloops",1,40,8,6,22,0,54,0,131,383
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 121","Kamloops",0,47,7,9,39,0,34,0,136,371
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 122","Sun Peaks",0,93,10,10,46,1,58,1,219,422
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 123","Sun Peaks",1,79,13,12,47,0,77,0,229,406
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 124","Kamloops",0,44,1,3,23,1,29,0,101,348
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 125","Kamloops",0,32,2,3,19,1,31,1,89,401
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 126","Kamloops",1,43,5,9,15,1,36,1,111,436
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 127","Kamloops",0,47,4,6,24,0,54,0,135,500
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 128","Kamloops",0,23,5,0,17,1,27,1,74,398
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 129","Kamloops",0,50,4,3,28,0,94,0,179,593
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 130","Kamloops",0,36,9,9,21,1,61,2,139,602
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 131","Kamloops",0,33,3,6,20,0,44,0,106,471
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 132","Kamloops",1,55,6,8,25,1,54,1,151,521
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 133","Kamloops",1,48,6,9,27,0,61,0,152,398
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 134","Kamloops",1,52,6,7,23,0,56,0,145,372
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 135","Kamloops",2,42,8,9,19,1,51,0,132,418
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 136","Kamloops",0,36,9,7,21,0,56,0,129,491
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 137","Kamloops",1,43,9,9,24,3,74,0,163,496
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 138","Kamloops",1,56,4,11,33,1,69,0,175,530
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 139","Kamloops",0,45,6,13,35,0,81,0,180,511
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 140","Kamloops 1",1,27,5,2,9,0,106,0,150,514
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 141","Kamloops 1",2,59,3,10,41,1,74,0,190,553
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 142","Kamloops 1",0,101,2,3,55,1,65,1,228,714
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 143","Kamloops 1",0,55,13,10,24,1,47,1,151,392
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 144","Kamloops 1",0,65,5,5,43,0,43,1,162,433
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 145","Kamloops 1",1,66,7,5,39,0,39,0,157,482
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 146","Kamloops 1",0,72,8,11,41,0,67,0,199,663
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 147","Kamloops",0,95,4,5,55,0,55,2,216,615
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 148","Kamloops",0,59,12,5,39,1,88,0,204,496
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 149","Kamloops",0,33,6,8,29,0,62,0,138,388
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 150","Kamloops",0,39,4,5,39,0,86,0,173,465
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 151","Kamloops",0,45,8,5,29,0,55,0,142,439
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 152","Kamloops",0,56,5,7,44,0,66,1,179,517
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 153","Kamloops",0,32,6,2,19,0,50,0,109,377
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 154","Kamloops",0,58,7,2,46,0,66,0,179,437
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 155","Kamloops",0,45,7,1,17,0,51,0,121,334
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 156","Kamloops",0,19,4,4,8,0,46,1,82,385
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 157","Kamloops",0,39,19,11,27,0,99,1,196,517
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 158","Kamloops",0,42,7,7,27,0,65,0,148,506
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 159","Kamloops",0,42,9,7,28,1,78,2,167,473
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 160","Kamloops",0,41,10,5,47,0,52,0,155,416
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 161","Kamloops",1,21,4,3,15,0,48,0,92,417
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 162","Kamloops",0,41,9,2,35,1,73,0,161,447
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 163","Kamloops",0,55,13,11,37,1,70,0,187,451
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 164","Kamloops",1,43,15,5,42,0,88,1,195,474
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 165","Kamloops",2,53,14,8,45,0,85,0,207,528
