Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Steve Black,Morgan Ellerton,Stephen MacLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 28","Iroquois Falls",38,14,26,26,0,104,270
35107,"Timmins--James Bay/Timmins--Baie James"," 29","Shillington",40,16,65,32,4,157,473
35107,"Timmins--James Bay/Timmins--Baie James"," 30","Matheson",43,20,59,15,3,140,401
35107,"Timmins--James Bay/Timmins--Baie James"," 31","Matheson",30,16,49,25,1,121,380
35107,"Timmins--James Bay/Timmins--Baie James"," 32","Val Gagné",50,47,38,51,0,186,390
35107,"Timmins--James Bay/Timmins--Baie James"," 33","Timmins",41,83,52,19,1,196,487
35107,"Timmins--James Bay/Timmins--Baie James"," 34","Timmins",30,64,47,6,2,149,395
35107,"Timmins--James Bay/Timmins--Baie James"," 35","Timmins",32,53,38,21,0,144,395
35107,"Timmins--James Bay/Timmins--Baie James"," 36","Timmins",58,47,44,17,1,167,502
35107,"Timmins--James Bay/Timmins--Baie James"," 37","Timmins",54,50,66,17,0,187,431
35107,"Timmins--James Bay/Timmins--Baie James"," 38","Timmins",49,41,44,20,1,155,473
35107,"Timmins--James Bay/Timmins--Baie James"," 39","Timmins",86,60,97,46,0,289,545
35107,"Timmins--James Bay/Timmins--Baie James"," 40","Ramore",75,37,51,46,2,211,431
35107,"Timmins--James Bay/Timmins--Baie James"," 41","Timmins",54,35,70,27,5,191,515
35107,"Timmins--James Bay/Timmins--Baie James"," 42","Timmins",65,30,66,37,0,198,553
35107,"Timmins--James Bay/Timmins--Baie James"," 43","Timmins",48,37,51,29,1,166,402
35107,"Timmins--James Bay/Timmins--Baie James"," 44","Timmins",63,30,64,14,1,172,493
35107,"Timmins--James Bay/Timmins--Baie James"," 45","Timmins",40,42,51,12,0,145,398
35107,"Timmins--James Bay/Timmins--Baie James"," 46","Timmins",33,49,36,4,2,124,369
35107,"Timmins--James Bay/Timmins--Baie James"," 47","Timmins",26,22,25,18,1,92,311
35107,"Timmins--James Bay/Timmins--Baie James"," 48","Timmins",67,33,50,28,3,181,547
35107,"Timmins--James Bay/Timmins--Baie James"," 49","Timmins",41,63,47,15,2,168,341
35107,"Timmins--James Bay/Timmins--Baie James"," 50","Timmins",43,42,30,11,1,127,328
35107,"Timmins--James Bay/Timmins--Baie James"," 51","Timmins",46,82,60,21,0,209,395
35107,"Timmins--James Bay/Timmins--Baie James"," 52","Timmins",38,69,52,8,0,167,431
35107,"Timmins--James Bay/Timmins--Baie James"," 53","Timmins",56,56,56,16,1,185,401
35107,"Timmins--James Bay/Timmins--Baie James"," 54","Timmins",49,33,30,12,2,126,388
35107,"Timmins--James Bay/Timmins--Baie James"," 55","Timmins",64,33,43,13,1,154,438
35107,"Timmins--James Bay/Timmins--Baie James"," 56","Timmins",39,61,63,9,0,172,412
35107,"Timmins--James Bay/Timmins--Baie James"," 57","Timmins",25,66,56,6,1,154,331
35107,"Timmins--James Bay/Timmins--Baie James"," 58","Timmins",28,53,55,15,0,151,367
35107,"Timmins--James Bay/Timmins--Baie James"," 59","Timmins",27,58,55,4,1,145,459
35107,"Timmins--James Bay/Timmins--Baie James"," 60","Timmins",69,40,52,33,3,197,595
35107,"Timmins--James Bay/Timmins--Baie James"," 61","Timmins",34,30,38,20,0,122,368
35107,"Timmins--James Bay/Timmins--Baie James"," 62","Timmins",30,28,25,29,0,112,404
35107,"Timmins--James Bay/Timmins--Baie James"," 63","Timmins",42,66,47,13,2,170,335
35107,"Timmins--James Bay/Timmins--Baie James"," 64","Timmins",60,47,58,22,3,190,434
35107,"Timmins--James Bay/Timmins--Baie James"," 65","Timmins",27,20,32,19,3,101,359
35107,"Timmins--James Bay/Timmins--Baie James"," 66","Timmins",64,36,27,26,3,156,426
35107,"Timmins--James Bay/Timmins--Baie James"," 67","Timmins",75,67,64,27,1,234,527
35107,"Timmins--James Bay/Timmins--Baie James"," 68","Timmins",66,61,45,13,3,188,452
35107,"Timmins--James Bay/Timmins--Baie James"," 69","Timmins",31,62,55,16,1,165,447
35107,"Timmins--James Bay/Timmins--Baie James"," 70","Timmins",32,53,66,15,1,167,424
35107,"Timmins--James Bay/Timmins--Baie James"," 71","Timmins",50,49,53,18,1,171,465
35107,"Timmins--James Bay/Timmins--Baie James"," 72","Timmins",30,18,22,17,0,87,346
35107,"Timmins--James Bay/Timmins--Baie James"," 73","Timmins",55,44,38,13,1,151,346
35107,"Timmins--James Bay/Timmins--Baie James"," 74","Timmins",29,8,18,18,2,75,377
35107,"Timmins--James Bay/Timmins--Baie James"," 75","Timmins",68,51,28,17,2,166,416
35107,"Timmins--James Bay/Timmins--Baie James"," 76","Timmins",46,40,42,19,2,149,413
35107,"Timmins--James Bay/Timmins--Baie James"," 77","Timmins",49,12,31,23,0,115,413
35107,"Timmins--James Bay/Timmins--Baie James"," 78","Timmins",30,33,47,24,2,136,399
35107,"Timmins--James Bay/Timmins--Baie James"," 79","Timmins",29,35,31,6,1,102,353
35107,"Timmins--James Bay/Timmins--Baie James"," 80","Timmins",13,14,7,3,0,37,384
35107,"Timmins--James Bay/Timmins--Baie James"," 81","Timmins",34,36,41,14,0,125,341
35107,"Timmins--James Bay/Timmins--Baie James"," 82","Timmins",28,37,32,13,5,115,415
35107,"Timmins--James Bay/Timmins--Baie James"," 83","Timmins",43,27,30,16,1,117,352
35107,"Timmins--James Bay/Timmins--Baie James"," 84","Timmins",36,35,13,12,2,98,274
35107,"Timmins--James Bay/Timmins--Baie James"," 85","Timmins",46,46,31,15,2,140,318
35107,"Timmins--James Bay/Timmins--Baie James"," 86","Timmins",47,79,35,17,0,178,473
35107,"Timmins--James Bay/Timmins--Baie James"," 87","Timmins",33,20,11,13,1,78,345
35107,"Timmins--James Bay/Timmins--Baie James"," 88","Timmins",35,34,18,19,0,106,378
35107,"Timmins--James Bay/Timmins--Baie James"," 89","Timmins",39,20,25,19,1,104,407
35107,"Timmins--James Bay/Timmins--Baie James"," 90","Timmins",57,33,19,21,2,132,422
35107,"Timmins--James Bay/Timmins--Baie James"," 91","Timmins",51,46,45,30,1,173,380
35107,"Timmins--James Bay/Timmins--Baie James"," 92","Kearns",133,60,65,39,8,305,508
35107,"Timmins--James Bay/Timmins--Baie James"," 93","Timmins",60,16,28,25,1,130,368
35107,"Timmins--James Bay/Timmins--Baie James"," 94","Timmins",34,66,52,24,0,176,396
35107,"Timmins--James Bay/Timmins--Baie James"," 95","Timmins",23,69,76,18,3,189,463
35107,"Timmins--James Bay/Timmins--Baie James"," 96","Timmins",44,59,29,14,1,147,364
35107,"Timmins--James Bay/Timmins--Baie James"," 97","Timmins",27,49,20,16,2,114,374
35107,"Timmins--James Bay/Timmins--Baie James"," 98","Timmins",25,46,53,17,1,142,386
35107,"Timmins--James Bay/Timmins--Baie James"," 99","Timmins",39,45,36,13,0,133,411
35107,"Timmins--James Bay/Timmins--Baie James"," 100","Timmins",28,70,57,19,0,174,441
35107,"Timmins--James Bay/Timmins--Baie James"," 101","Timmins",33,67,54,25,0,179,541
35107,"Timmins--James Bay/Timmins--Baie James"," 102","Timmins",55,43,60,19,0,177,627
35107,"Timmins--James Bay/Timmins--Baie James"," 103","Sesekinika",36,22,37,19,0,114,222
35107,"Timmins--James Bay/Timmins--Baie James"," 104","Timmins",52,54,56,27,4,193,573
35107,"Timmins--James Bay/Timmins--Baie James"," 105","Timmins",49,54,44,28,3,178,443
35107,"Timmins--James Bay/Timmins--Baie James"," 106","Timmins",41,34,24,18,4,121,348
35107,"Timmins--James Bay/Timmins--Baie James"," 107","Timmins",61,30,47,16,5,159,448
35107,"Timmins--James Bay/Timmins--Baie James"," 108","Timmins",38,43,41,13,2,137,493
35107,"Timmins--James Bay/Timmins--Baie James"," 109","Kirkland Lake",89,32,49,8,1,179,503
35107,"Timmins--James Bay/Timmins--Baie James"," 110","Kirkland Lake",98,21,51,27,1,198,550
35107,"Timmins--James Bay/Timmins--Baie James"," 111","Kirkland Lake",43,18,13,16,0,90,410
35107,"Timmins--James Bay/Timmins--Baie James"," 112","Kirkland Lake",39,8,29,19,0,95,322
35107,"Timmins--James Bay/Timmins--Baie James"," 113","Kirkland Lake",47,7,9,17,4,84,329
35107,"Timmins--James Bay/Timmins--Baie James"," 114","Kirkland Lake",63,18,29,28,2,140,482
35107,"Timmins--James Bay/Timmins--Baie James"," 115","Kirkland Lake",63,16,37,27,1,144,466
35107,"Timmins--James Bay/Timmins--Baie James"," 116","Timmins",26,20,16,13,0,75,338
35107,"Timmins--James Bay/Timmins--Baie James"," 117","Timmins",51,42,36,19,0,148,420
35107,"Timmins--James Bay/Timmins--Baie James"," 118","Timmins",55,47,42,18,0,162,434
35107,"Timmins--James Bay/Timmins--Baie James"," 119","Timmins",66,36,48,14,0,164,413
35107,"Timmins--James Bay/Timmins--Baie James"," 120","Timmins",57,55,63,25,0,200,539
35107,"Timmins--James Bay/Timmins--Baie James"," 121","Dobie",86,19,62,45,0,212,393
35107,"Timmins--James Bay/Timmins--Baie James"," 122","Kirkland Lake",68,25,50,25,3,171,554
35107,"Timmins--James Bay/Timmins--Baie James"," 123","Larder Lake",66,34,47,33,2,182,334
35107,"Timmins--James Bay/Timmins--Baie James"," 124","Larder Lake",64,18,53,25,2,162,332
35107,"Timmins--James Bay/Timmins--Baie James"," 125","Kirkland Lake",37,18,24,20,1,100,392
35107,"Timmins--James Bay/Timmins--Baie James"," 126","Kirkland Lake",54,14,19,15,3,105,436
35107,"Timmins--James Bay/Timmins--Baie James"," 127","Kirkland Lake",45,17,20,16,0,98,371
35107,"Timmins--James Bay/Timmins--Baie James"," 128","Kirkland Lake",63,25,32,16,3,139,440
35107,"Timmins--James Bay/Timmins--Baie James"," 129","Kirkland Lake",63,17,27,20,3,130,462
35107,"Timmins--James Bay/Timmins--Baie James"," 130","Kirkland Lake",62,26,28,26,1,143,474
35107,"Timmins--James Bay/Timmins--Baie James"," 131","Matachewan",47,19,31,49,2,148,281
35107,"Timmins--James Bay/Timmins--Baie James"," 132","Kenogami Lake",57,43,78,20,0,198,375
35107,"Timmins--James Bay/Timmins--Baie James"," 133","Dane",60,14,69,44,1,188,384
35107,"Timmins--James Bay/Timmins--Baie James"," 134","Matachewan 72",20,2,2,0,0,24,26
35107,"Timmins--James Bay/Timmins--Baie James"," 135","Evanturel",48,12,41,28,1,130,357
35107,"Timmins--James Bay/Timmins--Baie James"," 136","Englehart",57,20,57,20,0,154,455
35107,"Timmins--James Bay/Timmins--Baie James"," 137","Englehart",71,11,22,66,0,170,484
35107,"Timmins--James Bay/Timmins--Baie James"," 138","Englehart",61,17,56,14,0,148,417
35107,"Timmins--James Bay/Timmins--Baie James"," 139","Chamberlain",47,9,57,13,0,126,258
35107,"Timmins--James Bay/Timmins--Baie James"," 140","Hilliard",66,21,39,27,0,153,335
35107,"Timmins--James Bay/Timmins--Baie James"," 141","Dack",54,10,62,23,0,149,331
35107,"Timmins--James Bay/Timmins--Baie James"," 142","Charlton",47,9,48,25,0,129,312
35107,"Timmins--James Bay/Timmins--Baie James"," 143","Earlton",44,19,37,20,0,120,272
35107,"Timmins--James Bay/Timmins--Baie James"," 144","Earlton",39,22,29,18,0,108,300
35107,"Timmins--James Bay/Timmins--Baie James"," 145","Earlton",40,26,35,15,1,117,340
35107,"Timmins--James Bay/Timmins--Baie James"," 146","Brethour",75,39,41,34,2,191,344
35107,"Timmins--James Bay/Timmins--Baie James"," 147","Hanbury",64,21,69,32,0,186,403
35107,"Timmins--James Bay/Timmins--Baie James"," 148","Kerns",89,21,93,46,0,249,580
35107,"Timmins--James Bay/Timmins--Baie James"," 149","Sutton Bay",73,63,72,29,0,237,400
35107,"Timmins--James Bay/Timmins--Baie James"," 150","James",88,29,87,34,5,243,388
35107,"Timmins--James Bay/Timmins--Baie James"," 151","Hillview",97,61,106,14,2,280,468
35107,"Timmins--James Bay/Timmins--Baie James"," 152","Gowganda",19,1,27,7,0,54,74
35107,"Timmins--James Bay/Timmins--Baie James"," 500","Mobile poll/Bureau itinérant",18,31,7,8,9,73,151
35107,"Timmins--James Bay/Timmins--Baie James"," 501","Mobile poll/Bureau itinérant",4,5,2,0,0,11,103
35107,"Timmins--James Bay/Timmins--Baie James"," 502","Mobile poll/Bureau itinérant",9,6,3,1,0,19,20
35107,"Timmins--James Bay/Timmins--Baie James"," 503","Mobile poll/Bureau itinérant",15,5,5,1,1,27,41
35107,"Timmins--James Bay/Timmins--Baie James"," 504","Mobile poll/Bureau itinérant",14,11,4,1,0,30,46
35107,"Timmins--James Bay/Timmins--Baie James"," 505","Mobile poll/Bureau itinérant",12,9,4,5,2,32,63
35107,"Timmins--James Bay/Timmins--Baie James"," 506","Mobile poll/Bureau itinérant",4,0,1,1,0,6,7
35107,"Timmins--James Bay/Timmins--Baie James"," 507","Mobile poll/Bureau itinérant",4,2,0,0,1,7,25
35107,"Timmins--James Bay/Timmins--Baie James"," 508","Mobile poll/Bureau itinérant",1,1,1,0,0,3,7
35107,"Timmins--James Bay/Timmins--Baie James"," 600","Moosonee",75,2,8,10,0,95,
35107,"Timmins--James Bay/Timmins--Baie James"," 601","Cochrane",390,247,208,126,6,977,
35107,"Timmins--James Bay/Timmins--Baie James"," 602","Iroquois Falls",352,209,269,190,19,1039,
35107,"Timmins--James Bay/Timmins--Baie James"," 603","Matheson",120,66,155,96,6,443,
35107,"Timmins--James Bay/Timmins--Baie James"," 604","Timmins",355,302,502,162,14,1335,
35107,"Timmins--James Bay/Timmins--Baie James"," 605","Timmins",230,313,205,90,12,850,
35107,"Timmins--James Bay/Timmins--Baie James"," 606","Timmins",281,426,289,69,1,1066,
35107,"Timmins--James Bay/Timmins--Baie James"," 607","Timmins",281,521,354,172,8,1336,
35107,"Timmins--James Bay/Timmins--Baie James"," 608","Timmins",225,258,202,122,11,818,
35107,"Timmins--James Bay/Timmins--Baie James"," 609","Kirkland Lake",341,105,160,73,5,684,
35107,"Timmins--James Bay/Timmins--Baie James"," 610","Kirkland Lake",397,166,146,107,15,831,
35107,"Timmins--James Bay/Timmins--Baie James"," 611","Englehart",263,75,271,80,2,691,
35107,"Timmins--James Bay/Timmins--Baie James"," 612","Earlton",172,89,89,49,3,402,
35107,"Timmins--James Bay/Timmins--Baie James",,Group 1/Groupe 1, 153,73,82,21,13,342,102
35107,"Timmins--James Bay/Timmins--Baie James",,Group 2/Groupe 2, 401,403,287,106,31,1228,
