Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Barnabé,Germain Dumas,Mélanie Gendron,Christel Marchand,Kristina Michaud,Louis-Éric Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 104","Amqui",8,15,3,1,52,23,2,104,322
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 105","Amqui",6,6,4,3,70,11,1,101,383
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 106","Amqui",22,5,3,2,49,5,1,87,313
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 107","Amqui",4,9,2,4,103,21,3,146,412
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 108","Amqui",1,10,3,2,78,14,1,109,323
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 109","Amqui",6,9,2,3,84,13,2,119,379
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 110","Sainte-Flavie",7,14,1,3,94,32,6,157,384
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 111","Sainte-Flavie",5,11,2,12,82,31,6,149,327
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 112","Padoue",0,7,5,7,69,20,1,109,211
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 113","Saint-Octave-de-Métis",5,13,4,7,133,31,0,193,374
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 114","Lac-au-Saumon",4,16,10,5,102,8,2,147,333
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 115","Lac-au-Saumon",3,12,6,4,101,22,3,151,331
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 116","Lac-au-Saumon",3,19,2,6,106,20,5,161,341
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 117","Saint-Moïse",0,8,4,8,46,24,2,92,209
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 118","Saint-Moïse",4,6,1,3,72,24,3,113,246
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 119","Price",2,7,4,3,70,22,3,111,330
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 120","Price",7,5,2,4,56,7,2,83,222
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 121","Price",4,12,2,4,77,16,2,117,331
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 122","Price",6,10,5,3,61,16,2,103,311
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 123","Escuminac",6,9,1,7,31,24,2,80,193
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 124","Saint-Cléophas",1,11,0,2,73,18,0,105,278
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 125","Mont-Joli",3,17,1,10,90,24,3,148,397
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 126","Mont-Joli",1,14,6,6,85,24,3,139,424
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 127","Mont-Joli",1,14,3,6,65,26,4,119,386
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 128","Mont-Joli",2,12,5,2,75,16,0,112,465
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 129","Mont-Joli",5,10,2,9,85,18,5,134,432
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 130","Mont-Joli",1,7,5,8,67,19,4,111,397
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 131","Mont-Joli",2,6,1,7,47,10,4,77,415
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 132","Mont-Joli",0,4,6,7,63,15,3,98,328
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 133","Pointe-à-la-Croix",6,10,10,3,41,38,5,113,305
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 134","Pointe-à-la-Croix",7,9,10,9,36,39,3,113,305
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 135","Pointe-à-la-Croix",9,2,10,8,23,35,3,90,251
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 136","Pointe-à-la-Croix",3,13,2,2,13,11,4,48,189
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 137","Mont-Joli",10,11,1,5,82,18,5,132,459
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 138","Mont-Joli",2,14,8,3,79,30,3,139,438
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 139","Mont-Joli",5,9,2,12,64,26,1,119,419
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 140","Mont-Joli",3,8,4,5,83,15,2,120,444
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 141","Saint-Joseph-de-Lepage",2,23,5,9,127,38,2,206,424
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 142","Sainte-Irène",8,12,0,5,110,10,4,149,287
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 143","Sainte-Angèle-de-Mérici",3,8,0,4,67,21,3,106,263
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 144","Sainte-Angèle-de-Mérici",3,6,2,5,70,13,0,99,248
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 145","Sainte-Angèle-de-Mérici",0,8,1,6,74,14,0,103,267
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 146","Albertville",13,7,3,4,65,20,1,113,199
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 147","Sainte-Luce",3,8,0,11,92,31,4,149,385
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 148","Sainte-Luce",2,10,1,7,67,19,1,107,308
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 149","Sainte-Luce",0,8,0,8,62,16,0,94,272
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 150","Sainte-Luce",4,5,4,13,67,23,1,117,327
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 151","Pointe-à-la-Garde",8,12,2,7,67,28,3,127,289
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 152","Sainte-Jeanne-d'Arc",9,10,1,6,59,11,3,99,221
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 153","Sainte-Luce",1,4,1,3,61,19,3,92,261
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 154","Sainte-Luce",1,15,1,8,90,22,1,138,326
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 155","Sainte-Luce",9,9,2,10,88,28,1,147,378
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 156","Saint-Donat",4,14,3,15,114,33,2,185,365
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 157","Saint-Donat",3,18,3,11,117,27,5,184,363
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 158","Sainte-Florence",4,6,2,4,95,20,4,135,336
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 159","Saint-Zénon-du-Lac-Humqui",5,16,7,5,93,25,6,157,300
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 160","Listuguj",1,4,3,17,3,27,0,55,256
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 161","Listuguj",1,1,2,44,0,20,0,68,481
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 162","Listuguj",2,0,0,35,3,6,0,46,327
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 163","Listuguj",0,4,1,45,0,29,0,79,440
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 164","Saint-Léon-le-Grand",9,14,3,3,122,24,1,176,349
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 165","Saint-Léon-le-Grand",8,19,2,6,95,35,5,170,419
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 166","Ristigouche-Partie-Sud-Est",11,14,2,7,18,29,1,82,218
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 167","La Rédemption",6,12,10,6,121,29,2,186,372
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 168","Saint-Gabriel-de-Rimouski",7,25,0,6,63,13,0,114,310
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 169","Saint-Gabriel-de-Rimouski",6,7,6,7,67,16,4,113,333
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 170","Saint-Gabriel",2,15,1,3,62,12,5,100,281
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 171","Saint-André-de-Restigouche",2,7,4,1,51,12,0,77,136
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 172","Les Hauteurs-de-Rimouski",9,19,3,4,122,16,4,177,390
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 173","Matapédia",9,24,6,4,62,48,2,155,271
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 174","Matapédia",6,8,4,8,44,48,3,121,242
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 175","Saint-Alexis-de-Matapédia",4,14,2,3,75,25,2,125,224
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 176","Saint-Alexis-de-Matapédia",3,21,0,5,53,32,4,118,210
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 177","Saint-François-d'Assise",1,16,5,7,119,62,8,218,384
