Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Ras,Elizabeth Robertson,Vahid Seyfaie,Sven Spengemann,Kayleigh Tahk,Sarah Walji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 135","Mississauga",13,1,7,50,0,15,1,87,332
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 136","Mississauga",38,6,2,53,0,7,0,106,328
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 137","Mississauga",49,6,1,60,0,6,0,122,369
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 138","Mississauga",57,8,6,54,0,18,1,144,409
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 139","Mississauga",48,5,7,60,0,13,0,133,395
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 140","Mississauga",24,3,0,66,0,9,0,102,321
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 141","Mississauga",60,4,2,63,0,12,0,141,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 142","Mississauga",72,5,10,75,0,33,1,196,518
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 143","Mississauga",36,2,10,67,0,15,0,130,366
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 144","Mississauga",32,0,4,37,0,9,1,83,249
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 145","Mississauga",54,5,6,59,0,14,0,138,404
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 146","Mississauga",48,2,6,68,0,20,0,144,468
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 147","Mississauga",64,2,8,51,0,13,0,138,392
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 148","Mississauga",65,2,8,76,0,15,0,166,383
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 149","Mississauga",28,5,3,62,0,19,1,118,358
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 150","Mississauga",52,4,6,59,1,11,1,134,344
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 151","Mississauga",56,4,6,89,1,36,2,194,536
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 152A","Mississauga",61,3,7,87,0,18,0,176,405
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 152B","Mobile poll/Bureau itinérant",0,1,0,10,0,0,1,12,89
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 153","Mississauga",61,4,6,86,1,24,0,182,435
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 154","Mississauga",49,5,6,79,0,23,0,162,381
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 155","Mississauga",61,1,6,78,1,29,1,177,404
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 156","Mississauga",58,1,3,72,2,20,0,156,370
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 157","Mississauga",30,5,7,43,0,8,1,94,331
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 158","Mississauga",31,3,12,61,0,21,1,129,465
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 159","Mississauga",63,6,1,44,0,4,0,118,409
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 160","Mississauga",42,2,0,50,0,5,0,99,313
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 161","Mississauga",68,7,4,59,0,16,0,154,424
