Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tony Baldinelli,Brian Barker,Melanie Holm,Andrea Kaiser,Peter Taras,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Niagara Falls/Niagara Falls"," 26","Niagara-on-the-Lake",78,9,9,63,2,0,161,496
35067,"Niagara Falls/Niagara Falls"," 27","Niagara-on-the-Lake",97,14,2,61,14,0,188,512
35067,"Niagara Falls/Niagara Falls"," 28","Niagara-on-the-Lake",105,81,6,87,20,3,302,864
35067,"Niagara Falls/Niagara Falls"," 29","Niagara Falls",Merged with No./Fusionné avec le n°30,,,,,,,283
35067,"Niagara Falls/Niagara Falls"," 30","Niagara Falls",125,28,5,103,16,4,281,559
35067,"Niagara Falls/Niagara Falls"," 31","Niagara Falls",73,48,7,53,8,0,189,510
35067,"Niagara Falls/Niagara Falls"," 32","Niagara Falls",77,27,3,62,8,2,179,546
35067,"Niagara Falls/Niagara Falls"," 33","Niagara Falls",66,35,4,60,7,0,172,571
35067,"Niagara Falls/Niagara Falls"," 34","Niagara Falls",53,42,2,41,10,2,150,395
35067,"Niagara Falls/Niagara Falls"," 35","Niagara Falls",39,40,4,34,16,3,136,471
35067,"Niagara Falls/Niagara Falls"," 36","Niagara Falls",69,39,2,70,23,1,204,489
35067,"Niagara Falls/Niagara Falls"," 37","Niagara Falls",109,40,5,81,14,1,250,605
35067,"Niagara Falls/Niagara Falls"," 38","Niagara Falls",106,50,3,131,18,2,310,716
35067,"Niagara Falls/Niagara Falls"," 39","Niagara Falls",84,39,0,77,16,1,217,570
35067,"Niagara Falls/Niagara Falls"," 40","Niagara Falls",76,53,6,71,19,1,226,601
35067,"Niagara Falls/Niagara Falls"," 41","Niagara Falls",86,51,3,63,12,1,216,600
35067,"Niagara Falls/Niagara Falls"," 42","Niagara Falls",71,35,4,69,5,0,184,478
35067,"Niagara Falls/Niagara Falls"," 43","Niagara Falls",87,51,4,65,13,1,221,540
35067,"Niagara Falls/Niagara Falls"," 44","Niagara Falls",81,56,3,62,17,0,219,570
35067,"Niagara Falls/Niagara Falls"," 45","Niagara Falls",77,54,8,78,15,1,233,617
35067,"Niagara Falls/Niagara Falls"," 46","Niagara Falls",58,53,12,87,18,3,231,615
35067,"Niagara Falls/Niagara Falls"," 47","Niagara Falls",37,38,2,45,13,0,135,425
35067,"Niagara Falls/Niagara Falls"," 48","Niagara Falls",46,49,3,41,14,1,154,555
35067,"Niagara Falls/Niagara Falls"," 49","Niagara Falls",52,70,8,62,22,2,216,679
35067,"Niagara Falls/Niagara Falls"," 50","Niagara Falls",41,43,7,50,28,4,173,464
35067,"Niagara Falls/Niagara Falls"," 51","Niagara Falls",56,36,4,58,17,0,171,460
35067,"Niagara Falls/Niagara Falls"," 52","Niagara Falls",56,38,4,37,10,0,145,390
35067,"Niagara Falls/Niagara Falls"," 53","Niagara Falls",78,44,2,70,8,5,207,591
35067,"Niagara Falls/Niagara Falls"," 54","Niagara Falls",111,24,2,57,17,1,212,462
35067,"Niagara Falls/Niagara Falls"," 55","Niagara Falls",137,31,5,97,23,2,295,470
35067,"Niagara Falls/Niagara Falls"," 56","Niagara Falls",Merged with No./Fusionné avec le n°55,,,,,,,327
35067,"Niagara Falls/Niagara Falls"," 57","Niagara Falls",67,30,6,65,11,0,179,571
35067,"Niagara Falls/Niagara Falls"," 58","Niagara Falls",57,56,4,68,11,1,197,563
35067,"Niagara Falls/Niagara Falls"," 59","Niagara Falls",62,52,8,75,19,1,217,602
35067,"Niagara Falls/Niagara Falls"," 60","Niagara Falls",84,45,1,67,9,1,207,579
35067,"Niagara Falls/Niagara Falls"," 61","Niagara Falls",21,42,6,39,17,2,127,571
35067,"Niagara Falls/Niagara Falls"," 62","Niagara Falls",64,22,6,67,9,0,168,449
35067,"Niagara Falls/Niagara Falls"," 63","Niagara Falls",72,49,3,70,6,2,202,503
35067,"Niagara Falls/Niagara Falls"," 64","Niagara Falls",40,40,1,50,19,0,150,512
35067,"Niagara Falls/Niagara Falls"," 65","Niagara Falls",44,35,8,50,33,1,171,524
35067,"Niagara Falls/Niagara Falls"," 66","Niagara Falls",100,39,7,85,13,1,245,535
35067,"Niagara Falls/Niagara Falls"," 67","Niagara Falls",82,39,6,60,14,5,206,502
35067,"Niagara Falls/Niagara Falls"," 68","Niagara Falls",74,47,2,71,20,3,217,570
35067,"Niagara Falls/Niagara Falls"," 69","Niagara Falls",59,63,0,59,10,1,192,500
35067,"Niagara Falls/Niagara Falls"," 70","Niagara Falls",24,27,0,29,10,1,91,443
35067,"Niagara Falls/Niagara Falls"," 71","Niagara Falls",51,46,5,41,29,0,172,590
35067,"Niagara Falls/Niagara Falls"," 72","Niagara Falls",45,31,1,38,13,0,128,469
35067,"Niagara Falls/Niagara Falls"," 73","Niagara Falls",51,51,2,49,15,0,168,637
35067,"Niagara Falls/Niagara Falls"," 74","Niagara Falls",68,46,7,49,28,2,200,481
35067,"Niagara Falls/Niagara Falls"," 75","Niagara Falls",82,41,5,55,18,1,202,661
35067,"Niagara Falls/Niagara Falls"," 76","Niagara Falls",68,55,13,62,28,3,229,672
35067,"Niagara Falls/Niagara Falls"," 77","Niagara Falls",52,31,1,50,21,1,156,540
35067,"Niagara Falls/Niagara Falls"," 78","Niagara Falls",55,47,2,50,4,6,164,512
35067,"Niagara Falls/Niagara Falls"," 79","Niagara Falls",108,58,10,93,17,2,288,662
35067,"Niagara Falls/Niagara Falls"," 80","Niagara Falls",96,53,1,53,18,1,222,581
35067,"Niagara Falls/Niagara Falls"," 81","Niagara Falls",77,54,2,54,14,1,202,598
35067,"Niagara Falls/Niagara Falls"," 82","Niagara Falls",87,54,5,88,13,1,248,586
35067,"Niagara Falls/Niagara Falls"," 83","Niagara Falls",56,46,3,69,13,0,187,577
35067,"Niagara Falls/Niagara Falls"," 84","Niagara Falls",62,66,9,79,25,1,242,623
35067,"Niagara Falls/Niagara Falls"," 85","Niagara Falls",84,41,5,81,6,4,221,585
35067,"Niagara Falls/Niagara Falls"," 86","Niagara Falls",69,64,3,61,19,2,218,682
35067,"Niagara Falls/Niagara Falls"," 87","Niagara Falls",71,30,5,55,14,4,179,413
35067,"Niagara Falls/Niagara Falls"," 88","Niagara Falls",34,22,2,44,13,3,118,441
35067,"Niagara Falls/Niagara Falls"," 89","Niagara Falls",30,45,2,43,14,2,136,515
35067,"Niagara Falls/Niagara Falls"," 90","Niagara Falls",63,49,1,58,15,1,187,474
35067,"Niagara Falls/Niagara Falls"," 91","Niagara Falls",63,37,7,64,20,1,192,624
35067,"Niagara Falls/Niagara Falls"," 92","Niagara Falls",98,60,7,39,22,0,226,615
35067,"Niagara Falls/Niagara Falls"," 93","Niagara Falls",92,41,4,61,6,1,205,537
35067,"Niagara Falls/Niagara Falls"," 94","Niagara Falls",69,71,3,43,16,0,202,572
35067,"Niagara Falls/Niagara Falls"," 95","Niagara Falls",56,55,6,58,23,1,199,597
35067,"Niagara Falls/Niagara Falls"," 96","Niagara Falls",75,58,10,55,17,1,216,586
35067,"Niagara Falls/Niagara Falls"," 97","Niagara Falls",45,74,9,64,17,2,211,587
35067,"Niagara Falls/Niagara Falls"," 98","Niagara Falls",41,40,5,43,9,1,139,494
35067,"Niagara Falls/Niagara Falls"," 99","Niagara Falls",59,49,9,49,24,4,194,620
35067,"Niagara Falls/Niagara Falls"," 100","Niagara Falls",37,38,4,41,13,0,133,499
35067,"Niagara Falls/Niagara Falls"," 101","Niagara Falls",75,49,7,60,18,1,210,609
35067,"Niagara Falls/Niagara Falls"," 102","Niagara Falls",62,70,6,50,21,1,210,557
35067,"Niagara Falls/Niagara Falls"," 103","Niagara Falls",48,53,7,75,19,0,202,613
35067,"Niagara Falls/Niagara Falls"," 104","Niagara Falls",94,32,3,58,21,0,208,606
35067,"Niagara Falls/Niagara Falls"," 105","Niagara Falls",65,37,5,63,12,4,186,558
35067,"Niagara Falls/Niagara Falls"," 106","Niagara Falls",51,50,11,57,11,1,181,562
35067,"Niagara Falls/Niagara Falls"," 107","Niagara Falls",92,35,3,70,11,4,215,678
35067,"Niagara Falls/Niagara Falls"," 108","Niagara Falls",83,17,0,55,9,1,165,515
35067,"Niagara Falls/Niagara Falls"," 109","Niagara Falls",70,48,7,50,16,3,194,606
35067,"Niagara Falls/Niagara Falls"," 110","Niagara Falls",52,15,1,63,3,5,139,425
35067,"Niagara Falls/Niagara Falls"," 111","Niagara Falls",79,50,4,47,13,0,193,557
35067,"Niagara Falls/Niagara Falls"," 112","Niagara Falls",74,39,6,86,15,4,224,719
35067,"Niagara Falls/Niagara Falls"," 113","Niagara Falls",87,24,1,98,20,0,230,628
35067,"Niagara Falls/Niagara Falls"," 114","Niagara Falls",57,66,7,92,25,3,250,678
35067,"Niagara Falls/Niagara Falls"," 115","Niagara Falls",60,61,7,56,22,3,209,611
35067,"Niagara Falls/Niagara Falls"," 116","Niagara Falls",44,29,3,51,14,3,144,492
35067,"Niagara Falls/Niagara Falls"," 117","Niagara Falls",41,47,6,52,12,4,162,500
35067,"Niagara Falls/Niagara Falls"," 118","Niagara Falls",39,45,7,44,20,1,156,504
35067,"Niagara Falls/Niagara Falls"," 119","Niagara Falls",118,33,3,86,15,4,259,578
35067,"Niagara Falls/Niagara Falls"," 120","Niagara Falls",59,50,4,56,26,1,196,589
35067,"Niagara Falls/Niagara Falls"," 121","Niagara Falls",79,40,3,80,10,0,212,520
35067,"Niagara Falls/Niagara Falls"," 122","Niagara Falls",31,45,1,39,8,0,124,327
35067,"Niagara Falls/Niagara Falls"," 123","Niagara Falls",53,64,3,72,21,0,213,620
35067,"Niagara Falls/Niagara Falls"," 124","Niagara Falls",29,38,9,66,18,5,165,475
35067,"Niagara Falls/Niagara Falls"," 125","Niagara Falls",50,29,2,44,17,0,142,515
35067,"Niagara Falls/Niagara Falls"," 126","Niagara Falls",62,42,8,44,21,4,181,534
35067,"Niagara Falls/Niagara Falls"," 127","Niagara Falls",63,73,7,63,30,0,236,688
35067,"Niagara Falls/Niagara Falls"," 128","Niagara Falls",64,61,6,59,18,0,208,563
35067,"Niagara Falls/Niagara Falls"," 129","Niagara Falls",48,49,4,88,16,1,206,531
35067,"Niagara Falls/Niagara Falls"," 130","Niagara Falls",46,40,3,44,17,2,152,492
35067,"Niagara Falls/Niagara Falls"," 131","Niagara Falls",23,30,5,52,15,3,128,427
35067,"Niagara Falls/Niagara Falls"," 132","Niagara Falls",56,57,5,39,28,1,186,580
35067,"Niagara Falls/Niagara Falls"," 133","Niagara Falls",64,57,2,75,33,1,232,658
35067,"Niagara Falls/Niagara Falls"," 134","Niagara Falls",57,43,5,59,9,1,174,576
35067,"Niagara Falls/Niagara Falls"," 135","Niagara Falls",45,33,1,44,25,2,150,412
35067,"Niagara Falls/Niagara Falls"," 136","Niagara Falls",64,37,6,48,6,2,163,509
35067,"Niagara Falls/Niagara Falls"," 137","Niagara Falls",53,39,1,55,11,0,159,474
35067,"Niagara Falls/Niagara Falls"," 138","Niagara Falls",Void/Supprimé,,,,,,,
35067,"Niagara Falls/Niagara Falls"," 139","Niagara Falls",81,50,5,69,20,0,225,730
35067,"Niagara Falls/Niagara Falls"," 140","Niagara Falls",84,22,5,74,19,2,206,664
35067,"Niagara Falls/Niagara Falls"," 141","Niagara Falls",93,63,10,61,26,2,255,617
35067,"Niagara Falls/Niagara Falls"," 142","Niagara Falls",83,80,8,80,24,0,275,654
35067,"Niagara Falls/Niagara Falls"," 143","Niagara Falls",59,32,2,36,9,0,138,421
35067,"Niagara Falls/Niagara Falls"," 144","Niagara Falls",83,60,10,54,16,2,225,464
35067,"Niagara Falls/Niagara Falls"," 145","Niagara Falls",63,47,9,64,20,2,205,570
35067,"Niagara Falls/Niagara Falls"," 146","Niagara Falls",65,60,2,48,28,0,203,539
35067,"Niagara Falls/Niagara Falls"," 147","Niagara Falls",91,66,4,69,20,4,254,575
35067,"Niagara Falls/Niagara Falls"," 148","Niagara Falls",92,31,2,89,12,2,228,614
35067,"Niagara Falls/Niagara Falls"," 149","Niagara Falls",63,47,5,72,12,0,199,473
35067,"Niagara Falls/Niagara Falls"," 150","Niagara Falls",97,52,3,97,13,3,265,880
35067,"Niagara Falls/Niagara Falls"," 151","Niagara Falls",51,31,3,54,8,0,147,482
35067,"Niagara Falls/Niagara Falls"," 152","Niagara Falls",42,23,7,81,27,2,182,695
35067,"Niagara Falls/Niagara Falls"," 153","Niagara Falls",83,25,6,59,19,1,193,502
35067,"Niagara Falls/Niagara Falls"," 154A","Niagara Falls",74,25,1,65,8,0,173,524
35067,"Niagara Falls/Niagara Falls"," 154B","Niagara Falls",90,32,2,66,18,0,208,541
35067,"Niagara Falls/Niagara Falls"," 155","Niagara Falls",128,41,1,42,32,3,247,645
35067,"Niagara Falls/Niagara Falls"," 156","Niagara Falls",102,30,4,54,12,0,202,379
35067,"Niagara Falls/Niagara Falls"," 157","Niagara Falls",93,28,2,38,16,3,180,439
35067,"Niagara Falls/Niagara Falls"," 158","Niagara Falls",Merged with No./Fusionné avec le n°170,,,,,,,362
35067,"Niagara Falls/Niagara Falls"," 159","Fort Erie",111,54,8,74,37,0,284,543
35067,"Niagara Falls/Niagara Falls"," 160","Fort Erie",82,20,3,39,17,0,161,366
35067,"Niagara Falls/Niagara Falls"," 161","Fort Erie",85,37,8,56,23,2,211,658
35067,"Niagara Falls/Niagara Falls"," 162","Fort Erie",54,60,2,57,27,1,201,573
35067,"Niagara Falls/Niagara Falls"," 163","Fort Erie",58,49,5,47,23,2,184,545
35067,"Niagara Falls/Niagara Falls"," 164","Fort Erie",43,17,1,16,16,0,93,394
35067,"Niagara Falls/Niagara Falls"," 165","Fort Erie",67,51,4,57,37,2,218,748
35067,"Niagara Falls/Niagara Falls"," 166","Fort Erie",68,58,5,45,19,2,197,637
35067,"Niagara Falls/Niagara Falls"," 167","Fort Erie",65,47,4,36,21,1,174,542
35067,"Niagara Falls/Niagara Falls"," 168","Fort Erie",76,47,3,54,15,3,198,625
35067,"Niagara Falls/Niagara Falls"," 169","Fort Erie",71,33,10,24,19,0,157,410
35067,"Niagara Falls/Niagara Falls"," 170","Fort Erie",117,67,7,92,28,1,312,389
35067,"Niagara Falls/Niagara Falls"," 171","Fort Erie",101,58,10,52,14,0,235,681
35067,"Niagara Falls/Niagara Falls"," 172","Fort Erie",101,33,6,42,33,0,215,515
35067,"Niagara Falls/Niagara Falls"," 173","Fort Erie",61,25,5,36,33,0,160,418
35067,"Niagara Falls/Niagara Falls"," 174","Fort Erie",75,65,5,39,30,2,216,612
35067,"Niagara Falls/Niagara Falls"," 175","Fort Erie",50,53,3,47,9,0,162,551
35067,"Niagara Falls/Niagara Falls"," 176","Fort Erie",65,36,2,39,25,1,168,498
35067,"Niagara Falls/Niagara Falls"," 177","Fort Erie",71,41,6,38,27,3,186,585
35067,"Niagara Falls/Niagara Falls"," 178","Fort Erie",122,45,6,69,25,5,272,640
35067,"Niagara Falls/Niagara Falls"," 179","Fort Erie",87,53,4,67,12,1,224,627
35067,"Niagara Falls/Niagara Falls"," 180","Fort Erie",72,43,3,51,14,2,185,556
35067,"Niagara Falls/Niagara Falls"," 181","Fort Erie",98,40,1,44,36,4,223,595
35067,"Niagara Falls/Niagara Falls"," 182","Fort Erie",93,64,10,48,27,1,243,584
35067,"Niagara Falls/Niagara Falls"," 183","Fort Erie",67,60,2,78,24,0,231,639
35067,"Niagara Falls/Niagara Falls"," 184","Fort Erie",132,70,5,83,38,0,328,873
35067,"Niagara Falls/Niagara Falls"," 185","Fort Erie",57,35,1,47,12,2,154,432
35067,"Niagara Falls/Niagara Falls"," 186","Fort Erie",79,50,2,52,10,0,193,549
35067,"Niagara Falls/Niagara Falls"," 187","Fort Erie",81,62,3,64,24,3,237,672
35067,"Niagara Falls/Niagara Falls"," 188","Fort Erie",71,44,2,28,11,3,159,461
35067,"Niagara Falls/Niagara Falls"," 189","Fort Erie",86,54,3,36,16,1,196,506
35067,"Niagara Falls/Niagara Falls"," 190","Fort Erie",103,43,4,54,33,0,237,592
35067,"Niagara Falls/Niagara Falls"," 191","Fort Erie",94,38,1,59,18,3,213,636
35067,"Niagara Falls/Niagara Falls"," 192","Fort Erie",49,65,6,42,24,0,186,617
35067,"Niagara Falls/Niagara Falls"," 193","Fort Erie",43,40,3,51,17,0,154,531
35067,"Niagara Falls/Niagara Falls"," 194","Fort Erie",103,68,2,89,36,2,300,889
35067,"Niagara Falls/Niagara Falls"," 195","Fort Erie",73,40,8,39,30,0,190,589
35067,"Niagara Falls/Niagara Falls"," 196","Fort Erie",97,44,4,71,27,3,246,679
35067,"Niagara Falls/Niagara Falls"," 197","Fort Erie",76,41,3,73,33,2,228,637
35067,"Niagara Falls/Niagara Falls"," 198","Fort Erie",78,37,2,41,13,0,171,594
35067,"Niagara Falls/Niagara Falls"," 199","Fort Erie",91,37,6,70,27,0,231,693
35067,"Niagara Falls/Niagara Falls"," 200","Fort Erie",86,31,2,75,9,0,203,666
35067,"Niagara Falls/Niagara Falls"," 201","Fort Erie",72,39,4,70,11,1,197,671
35067,"Niagara Falls/Niagara Falls"," 202","Fort Erie",66,36,4,48,18,4,176,565
35067,"Niagara Falls/Niagara Falls"," 400","Niagara Falls",11,13,4,39,8,1,76,197
35067,"Niagara Falls/Niagara Falls"," 401","Fort Erie",106,57,5,139,11,3,321,636
35067,"Niagara Falls/Niagara Falls"," 402","Fort Erie",Merged with No./Fusionné avec le n°178,,,,,,,131
35067,"Niagara Falls/Niagara Falls"," 500","Mobile poll/Bureau itinérant",5,7,1,13,1,5,32,50
35067,"Niagara Falls/Niagara Falls"," 501","Mobile poll/Bureau itinérant",2,2,1,3,0,1,9,38
35067,"Niagara Falls/Niagara Falls"," 502","Mobile poll/Bureau itinérant",7,3,0,2,0,3,15,32
35067,"Niagara Falls/Niagara Falls"," 503","Mobile poll/Bureau itinérant",66,8,0,25,8,0,107,174
35067,"Niagara Falls/Niagara Falls"," 504","Mobile poll/Bureau itinérant",24,11,1,47,1,5,89,113
35067,"Niagara Falls/Niagara Falls"," 505","Mobile poll/Bureau itinérant",14,5,0,17,0,3,39,69
35067,"Niagara Falls/Niagara Falls"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,46
35067,"Niagara Falls/Niagara Falls"," 507","Mobile poll/Bureau itinérant",4,2,0,13,2,1,22,34
35067,"Niagara Falls/Niagara Falls"," 508","Mobile poll/Bureau itinérant",5,0,0,13,0,1,19,52
35067,"Niagara Falls/Niagara Falls"," 509","Mobile poll/Bureau itinérant",16,6,0,20,0,1,43,60
35067,"Niagara Falls/Niagara Falls"," 510","Mobile poll/Bureau itinérant",4,4,1,5,3,0,17,43
35067,"Niagara Falls/Niagara Falls"," 511","Mobile poll/Bureau itinérant",24,6,5,14,1,3,53,68
35067,"Niagara Falls/Niagara Falls"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,,73
35067,"Niagara Falls/Niagara Falls"," 513","Mobile poll/Bureau itinérant",8,10,1,17,3,2,41,73
35067,"Niagara Falls/Niagara Falls"," 514","Mobile poll/Bureau itinérant",11,4,3,8,1,2,29,70
35067,"Niagara Falls/Niagara Falls"," 515","Mobile poll/Bureau itinérant",5,2,0,10,0,1,18,47
35067,"Niagara Falls/Niagara Falls"," 516","Mobile poll/Bureau itinérant",8,3,0,7,0,0,18,32
35067,"Niagara Falls/Niagara Falls"," 517","Mobile poll/Bureau itinérant",13,6,0,15,2,2,38,76
35067,"Niagara Falls/Niagara Falls"," 518","Mobile poll/Bureau itinérant",5,4,1,2,0,0,12,26
35067,"Niagara Falls/Niagara Falls"," 519","Mobile poll/Bureau itinérant",3,2,3,4,1,0,13,36
35067,"Niagara Falls/Niagara Falls"," 520","Mobile poll/Bureau itinérant",5,4,0,11,2,0,22,48
35067,"Niagara Falls/Niagara Falls"," 521","Mobile poll/Bureau itinérant",12,3,0,16,0,2,33,74
35067,"Niagara Falls/Niagara Falls"," 522","Mobile poll/Bureau itinérant",7,0,0,9,1,5,22,27
35067,"Niagara Falls/Niagara Falls"," 600","Niagara-on-the-Lake",1081,178,30,1269,86,25,2669,
35067,"Niagara Falls/Niagara Falls"," 601","Niagara-on-the-Lake",673,127,17,537,98,9,1461,
35067,"Niagara Falls/Niagara Falls"," 602","Niagara-on-the-Lake",758,130,23,549,87,10,1557,
35067,"Niagara Falls/Niagara Falls"," 603","Niagara Falls",691,180,22,674,115,15,1697,
35067,"Niagara Falls/Niagara Falls"," 604","Niagara Falls",661,158,21,592,87,11,1530,
35067,"Niagara Falls/Niagara Falls"," 605","Niagara Falls",373,163,18,364,101,8,1027,
35067,"Niagara Falls/Niagara Falls"," 606","Niagara Falls",255,211,19,312,126,6,929,
35067,"Niagara Falls/Niagara Falls"," 607","Niagara Falls",236,133,18,237,72,5,701,
35067,"Niagara Falls/Niagara Falls"," 608","Niagara Falls",352,193,12,340,75,12,984,
35067,"Niagara Falls/Niagara Falls"," 609","Niagara Falls",415,186,24,432,72,9,1138,
35067,"Niagara Falls/Niagara Falls"," 610","Niagara Falls",506,201,20,421,87,6,1241,
35067,"Niagara Falls/Niagara Falls"," 611","Niagara Falls",483,173,12,457,91,10,1226,
35067,"Niagara Falls/Niagara Falls"," 612","Niagara Falls",366,113,11,348,72,6,916,
35067,"Niagara Falls/Niagara Falls"," 613","Niagara Falls",458,250,21,476,146,14,1365,
35067,"Niagara Falls/Niagara Falls"," 614","Niagara Falls",393,189,16,420,107,6,1131,
35067,"Niagara Falls/Niagara Falls"," 615","Niagara Falls",630,181,24,450,135,6,1426,
35067,"Niagara Falls/Niagara Falls"," 616","Niagara Falls",544,147,16,253,160,1,1121,
35067,"Niagara Falls/Niagara Falls"," 617","Fort Erie",345,167,21,257,104,4,898,
35067,"Niagara Falls/Niagara Falls"," 618","Fort Erie",412,151,14,283,113,15,988,
35067,"Niagara Falls/Niagara Falls"," 619","Fort Erie",601,187,24,361,164,10,1347,
35067,"Niagara Falls/Niagara Falls"," 620","Fort Erie",551,215,22,420,155,9,1372,
35067,"Niagara Falls/Niagara Falls"," 621","Fort Erie",452,208,20,402,145,5,1232,
35067,"Niagara Falls/Niagara Falls",,Group 1/Groupe 1, 117,107,17,175,18,23,457,247
35067,"Niagara Falls/Niagara Falls",,Group 2/Groupe 2, 866,434,30,1202,120,101,2753,
