Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Owen Bradley,Kevin Dupuis,Carlene Hawley,Tim Louis,Narine Dat Sookram,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 183","New Hamburg",7,4,41,65,14,0,131,255
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 184","New Hamburg",5,7,63,89,16,0,180,346
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 185","New Hamburg",1,3,25,45,5,0,79,350
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 186","New Hamburg",3,0,80,69,9,0,161,634
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 187","New Hamburg",4,6,56,40,20,2,128,420
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 188","New Hamburg",7,9,60,46,16,2,140,413
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 189","New Hamburg",5,17,60,41,18,0,141,429
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 190","Wilmot",11,10,75,54,23,0,173,344
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 191","Haysville",8,10,52,45,22,1,138,316
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Mobile poll/Bureau itinérant",0,4,17,34,2,2,59,103
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 401","Mobile poll/Bureau itinérant",5,2,8,29,12,0,56,81
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",1,2,6,3,2,0,14,21
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",1,0,11,12,0,0,24,29
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 502","Mobile poll/Bureau itinérant",1,3,15,15,4,0,38,53
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 503","Mobile poll/Bureau itinérant",0,1,5,5,3,1,15,25
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 504","Mobile poll/Bureau itinérant",3,0,10,6,1,0,20,26
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 505","Mobile poll/Bureau itinérant",0,4,28,14,2,0,48,88
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Woolwich",31,83,444,361,92,1,1012,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Woolwich",27,85,429,281,57,2,881,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Elmira",30,130,654,459,113,4,1390,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Elmira",48,73,574,467,118,1,1281,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","Woolwich",19,52,391,343,69,2,876,
