Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Francey,Michael Manchen,Todd Muir,Guillaume Roy,Sheila Schumacher,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 35","Yates",0,15,0,3,5,74,0,97,286
48034,"Yellowhead/Yellowhead"," 36","Edson",1,18,5,20,11,72,0,127,374
48034,"Yellowhead/Yellowhead"," 37","Edson",0,13,5,8,4,85,0,115,384
48034,"Yellowhead/Yellowhead"," 38","Edson",0,19,5,9,7,78,2,120,350
48034,"Yellowhead/Yellowhead"," 39","Edson",1,20,0,15,11,74,0,121,328
48034,"Yellowhead/Yellowhead"," 40","Edson",0,19,3,14,8,99,0,143,463
48034,"Yellowhead/Yellowhead"," 41","Edson",0,9,8,13,10,79,0,119,368
48034,"Yellowhead/Yellowhead"," 42","Edson",0,17,1,15,6,63,1,103,372
48034,"Yellowhead/Yellowhead"," 43","Edson",0,10,1,15,7,68,0,101,372
48034,"Yellowhead/Yellowhead"," 44","Edson",1,15,2,31,5,108,0,162,484
48034,"Yellowhead/Yellowhead"," 45","Edson",0,8,1,2,1,24,0,36,195
48034,"Yellowhead/Yellowhead"," 46","Edson",0,11,1,10,5,64,0,91,281
48034,"Yellowhead/Yellowhead"," 47","Edson",0,28,3,21,9,91,0,152,391
48034,"Yellowhead/Yellowhead"," 48","Edson",0,7,1,13,3,52,0,76,248
48034,"Yellowhead/Yellowhead"," 49","Edson",1,8,2,3,4,59,2,79,269
48034,"Yellowhead/Yellowhead"," 50","Edson",0,9,5,13,4,86,1,118,376
48034,"Yellowhead/Yellowhead"," 51","Edson",2,19,8,11,5,99,2,146,378
48034,"Yellowhead/Yellowhead"," 52","Bickerdike",1,13,5,9,4,92,1,125,316
48034,"Yellowhead/Yellowhead"," 53","Haddock",0,21,13,8,1,80,0,123,311
48034,"Yellowhead/Yellowhead"," 54","McLeod Valley",0,19,1,15,0,140,0,175,426
48034,"Yellowhead/Yellowhead"," 55","Peers",1,31,1,11,4,107,0,155,380
48034,"Yellowhead/Yellowhead"," 56","Green Court",1,13,9,11,4,97,0,135,328
48034,"Yellowhead/Yellowhead"," 57","Connor Creek",0,24,5,10,6,123,0,168,378
48034,"Yellowhead/Yellowhead"," 58","Mayerthorpe",0,10,6,11,2,51,0,80,238
48034,"Yellowhead/Yellowhead"," 59","Mayerthorpe",2,17,4,15,5,87,1,131,394
48034,"Yellowhead/Yellowhead"," 60","Mayerthorpe",1,15,2,12,3,78,0,111,304
48034,"Yellowhead/Yellowhead"," 61","Rochfort Bridge",1,23,8,10,2,102,0,146,391
48034,"Yellowhead/Yellowhead"," 62","Sangudo",0,34,7,15,6,171,1,234,429
48034,"Yellowhead/Yellowhead"," 63","Sangudo",0,23,8,26,11,150,2,220,405
48034,"Yellowhead/Yellowhead"," 64","Niton Junction",0,26,4,6,2,115,0,153,250
48034,"Yellowhead/Yellowhead"," 65","Cherhill",1,21,4,19,10,131,0,186,282
48034,"Yellowhead/Yellowhead"," 66","Glenevis",0,13,3,12,4,34,1,67,132
48034,"Yellowhead/Yellowhead"," 67","Alexis 133",0,5,0,33,14,3,0,55,319
48034,"Yellowhead/Yellowhead"," 68","Wolf Creek",1,20,2,9,4,74,0,110,312
48034,"Yellowhead/Yellowhead"," 69","Pinedale",0,16,4,7,1,120,0,148,264
48034,"Yellowhead/Yellowhead"," 70","Yellowhead County",0,16,6,5,3,80,1,111,213
48034,"Yellowhead/Yellowhead"," 71","Edson",0,13,1,8,3,48,0,73,232
48034,"Yellowhead/Yellowhead"," 72","Stanger",0,21,1,6,9,72,0,109,178
48034,"Yellowhead/Yellowhead"," 73","Carrot Creek",0,31,6,27,6,118,3,191,365
48034,"Yellowhead/Yellowhead"," 74","Balm",0,11,2,3,2,31,0,49,280
48034,"Yellowhead/Yellowhead"," 75","Styal",0,33,9,6,2,105,0,155,350
48034,"Yellowhead/Yellowhead"," 76","Wildwood",0,18,3,9,2,45,0,77,237
48034,"Yellowhead/Yellowhead"," 77","Wildwood",0,47,6,13,3,96,0,165,427
48034,"Yellowhead/Yellowhead"," 78","Lobstick",0,13,3,3,3,49,0,71,225
48034,"Yellowhead/Yellowhead"," 79","MacKay",0,39,8,13,2,112,0,174,371
48034,"Yellowhead/Yellowhead"," 80","Evansburg",0,30,13,24,16,184,0,267,444
48034,"Yellowhead/Yellowhead"," 81","Entwistle",0,36,7,25,13,140,0,221,434
48034,"Yellowhead/Yellowhead"," 82","Evansburg",1,20,7,12,10,83,0,133,311
48034,"Yellowhead/Yellowhead"," 83","Entwistle",2,30,11,18,12,140,2,215,350
48034,"Yellowhead/Yellowhead"," 84","Ross Haven",0,6,4,17,9,83,0,119,348
48034,"Yellowhead/Yellowhead"," 85","Darwell",1,36,9,22,13,175,0,256,382
48034,"Yellowhead/Yellowhead"," 86","West Cove",0,35,11,39,24,197,0,306,572
48034,"Yellowhead/Yellowhead"," 87","Jasper",1,14,2,81,42,42,0,182,440
48034,"Yellowhead/Yellowhead"," 88","Jasper",1,6,2,130,76,50,0,265,701
48034,"Yellowhead/Yellowhead"," 89","Jasper",0,4,1,58,40,18,0,121,348
48034,"Yellowhead/Yellowhead"," 90","Jasper",0,5,1,63,45,27,1,142,330
48034,"Yellowhead/Yellowhead"," 91","Jasper",1,7,1,65,41,29,0,144,307
48034,"Yellowhead/Yellowhead"," 92","Jasper",1,8,0,79,40,19,0,147,373
48034,"Yellowhead/Yellowhead"," 93","Jasper",0,4,1,85,27,34,2,153,435
48034,"Yellowhead/Yellowhead"," 94","Jasper",0,5,0,59,36,46,2,148,361
48034,"Yellowhead/Yellowhead"," 95","Gainford",0,20,3,24,19,92,2,160,317
48034,"Yellowhead/Yellowhead"," 96","Fallis",0,17,13,27,15,84,1,157,288
48034,"Yellowhead/Yellowhead"," 97","Lac Ste. Anne",0,12,3,18,8,71,0,112,337
48034,"Yellowhead/Yellowhead"," 98","Sunset Point",1,16,5,31,20,141,0,214,536
48034,"Yellowhead/Yellowhead"," 99","Alberta Beach",0,17,4,27,6,90,0,144,281
48034,"Yellowhead/Yellowhead"," 100","Alberta Beach",0,15,1,12,5,72,0,105,337
48034,"Yellowhead/Yellowhead"," 101","Alberta Beach",Merged with No./Fusionné avec le n°99,,,,,,,,242
48034,"Yellowhead/Yellowhead"," 102","Lac Ste. Anne County",Merged with No./Fusionné avec le n°103,,,,,,,,177
48034,"Yellowhead/Yellowhead"," 103","Alberta Beach",1,20,14,30,4,111,0,180,285
48034,"Yellowhead/Yellowhead"," 104","Lac Ste. Anne County",0,27,4,18,8,132,0,189,447
48034,"Yellowhead/Yellowhead"," 105","Kapasiwin",0,8,3,6,9,35,0,61,272
48034,"Yellowhead/Yellowhead"," 106","Seba Beach",1,12,9,38,14,152,0,226,438
48034,"Yellowhead/Yellowhead"," 107","Horen",0,23,1,6,3,107,1,141,271
48034,"Yellowhead/Yellowhead"," 108","Moon Lake",0,54,12,12,4,193,1,276,441
48034,"Yellowhead/Yellowhead"," 109","Manly Corner",0,45,4,37,10,127,2,225,550
48034,"Yellowhead/Yellowhead"," 110","Manly Corner",0,29,6,36,20,135,0,226,482
48034,"Yellowhead/Yellowhead"," 111","Parkland County",0,21,3,43,11,124,0,202,417
48034,"Yellowhead/Yellowhead"," 112","Carvel",0,23,3,41,13,91,0,171,312
48034,"Yellowhead/Yellowhead"," 113","Parkland County",0,25,4,45,13,114,0,201,405
48034,"Yellowhead/Yellowhead"," 114","Parkland County",0,18,2,31,9,69,0,129,228
48034,"Yellowhead/Yellowhead"," 115","Wabamun 133A",1,5,0,61,32,13,0,112,390
48034,"Yellowhead/Yellowhead"," 116","Duffield",0,30,3,19,16,113,0,181,471
48034,"Yellowhead/Yellowhead"," 117","Parkland County",0,21,10,20,12,113,0,176,366
48034,"Yellowhead/Yellowhead"," 118","Robb",0,3,3,7,6,65,0,84,171
48034,"Yellowhead/Yellowhead"," 119","Wabamun",0,14,2,11,7,68,0,102,266
48034,"Yellowhead/Yellowhead"," 120","Smithfield",1,23,3,26,5,85,1,144,394
48034,"Yellowhead/Yellowhead"," 121","Wabamun",1,13,8,23,17,60,0,122,306
48034,"Yellowhead/Yellowhead"," 122","Smithfield",0,21,8,25,8,108,0,170,390
48034,"Yellowhead/Yellowhead"," 123","Keephills",0,4,5,10,2,44,0,65,213
48034,"Yellowhead/Yellowhead"," 124","Tomahawk",2,36,6,5,4,169,0,222,381
48034,"Yellowhead/Yellowhead"," 125","Brazeau County",0,19,8,5,2,72,2,108,243
48034,"Yellowhead/Yellowhead"," 126","Rocky Rapids",1,18,5,13,0,83,2,122,331
48034,"Yellowhead/Yellowhead"," 127","Brightbank",1,26,6,15,6,126,1,181,292
48034,"Yellowhead/Yellowhead"," 128","Brightbank",1,33,1,39,14,116,0,204,350
48034,"Yellowhead/Yellowhead"," 129","Easyford",0,10,2,5,0,60,0,77,267
48034,"Yellowhead/Yellowhead"," 130","Easyford",0,22,1,11,3,64,1,102,310
48034,"Yellowhead/Yellowhead"," 131","Drayton Valley",0,23,4,2,5,73,0,107,296
48034,"Yellowhead/Yellowhead"," 132","Drayton Valley",0,13,7,9,4,85,0,118,305
48034,"Yellowhead/Yellowhead"," 133","Drayton Valley",0,13,1,12,2,91,1,120,361
48034,"Yellowhead/Yellowhead"," 134","Drayton Valley",0,12,5,5,3,114,0,139,445
48034,"Yellowhead/Yellowhead"," 135","Drayton Valley",Merged with No./Fusionné avec le n°136,,,,,,,,284
48034,"Yellowhead/Yellowhead"," 136","Drayton Valley",2,19,2,12,7,113,2,157,292
48034,"Yellowhead/Yellowhead"," 137","Drayton Valley",0,18,2,16,5,83,3,127,381
48034,"Yellowhead/Yellowhead"," 138","Drayton Valley",0,20,16,10,7,88,1,142,391
48034,"Yellowhead/Yellowhead"," 139","Drayton Valley",1,18,13,12,4,106,2,156,448
48034,"Yellowhead/Yellowhead"," 140","Drayton Valley",1,24,6,6,4,43,0,84,295
48034,"Yellowhead/Yellowhead"," 141","Drayton Valley",0,14,2,8,3,51,1,79,342
48034,"Yellowhead/Yellowhead"," 142","Drayton Valley",0,14,4,6,5,61,3,93,274
48034,"Yellowhead/Yellowhead"," 143","Drayton Valley",0,11,10,2,4,50,0,77,275
48034,"Yellowhead/Yellowhead"," 144","Drayton Valley",0,12,4,5,2,57,0,80,310
48034,"Yellowhead/Yellowhead"," 145","Drayton Valley",1,13,15,6,0,87,0,122,380
48034,"Yellowhead/Yellowhead"," 146","Drayton Valley",0,17,3,18,4,85,0,127,375
48034,"Yellowhead/Yellowhead"," 147","Drayton Valley",0,11,7,16,2,89,1,126,330
48034,"Yellowhead/Yellowhead"," 148","Drayton Valley",3,8,6,6,10,108,0,141,451
48034,"Yellowhead/Yellowhead"," 149","Drayton Valley",5,21,9,15,2,93,0,145,424
48034,"Yellowhead/Yellowhead"," 150","Drayton Valley",0,21,1,7,4,49,0,82,270
48034,"Yellowhead/Yellowhead"," 151","Buck Creek",2,19,3,11,0,83,0,118,353
48034,"Yellowhead/Yellowhead"," 152","Lodgepole",0,22,3,12,1,104,1,143,360
48034,"Yellowhead/Yellowhead"," 153","Berrymoor",0,36,8,1,8,109,0,162,331
48034,"Yellowhead/Yellowhead"," 154","Lindale",0,26,7,15,2,138,2,190,369
48034,"Yellowhead/Yellowhead"," 155","Genesee",0,20,2,3,5,77,1,108,226
48034,"Yellowhead/Yellowhead"," 156","Violet Grove",0,22,5,5,3,111,0,146,303
48034,"Yellowhead/Yellowhead"," 157","Pembina",0,12,8,2,1,83,0,106,256
48034,"Yellowhead/Yellowhead"," 158","Alsike",0,14,3,9,3,84,0,113,276
48034,"Yellowhead/Yellowhead"," 159","Carnwood",1,27,7,12,12,144,1,204,395
48034,"Yellowhead/Yellowhead"," 160","Breton",2,16,10,12,2,96,0,138,258
48034,"Yellowhead/Yellowhead"," 161","Breton",1,24,9,19,4,142,2,201,354
48034,"Yellowhead/Yellowhead"," 162","Breton",0,18,3,17,2,71,1,112,218
48034,"Yellowhead/Yellowhead"," 163","Telfordville",0,16,4,8,9,124,0,161,287
48034,"Yellowhead/Yellowhead"," 164","Thorsby",1,17,3,22,4,118,0,165,280
48034,"Yellowhead/Yellowhead"," 165","Thorsby",1,38,14,49,6,148,0,256,473
48034,"Yellowhead/Yellowhead"," 166","Thorsby",1,27,10,40,10,125,0,213,372
48034,"Yellowhead/Yellowhead"," 167","Leduc County",0,14,3,11,7,59,1,95,147
48034,"Yellowhead/Yellowhead"," 168","Warburg",2,25,4,19,1,104,0,155,411
48034,"Yellowhead/Yellowhead"," 169","Sunnybrook",0,20,7,7,4,77,1,116,275
48034,"Yellowhead/Yellowhead"," 170","Warburg",0,14,4,19,8,103,2,150,363
48034,"Yellowhead/Yellowhead"," 171","Fern Creek",1,13,3,13,4,84,1,119,250
48034,"Yellowhead/Yellowhead"," 172","O'Chiese 203",0,2,1,41,17,7,4,72,349
48034,"Yellowhead/Yellowhead"," 173","Sunchild 202",0,1,0,52,35,7,2,97,326
48034,"Yellowhead/Yellowhead"," 174","Big Horn 144A",Merged with No./Fusionné avec le n°175,,,,,,,,40
48034,"Yellowhead/Yellowhead"," 175","Nordegg",0,13,6,9,19,77,0,124,223
48034,"Yellowhead/Yellowhead"," 176","Clearwater County",0,9,0,0,0,13,0,22,105
48034,"Yellowhead/Yellowhead"," 177","Crimson Lake",0,8,6,5,6,48,0,73,219
48034,"Yellowhead/Yellowhead"," 178","Clearwater County",0,25,7,10,3,97,0,142,397
48034,"Yellowhead/Yellowhead"," 179","Clearwater County",0,16,4,6,0,74,1,101,283
48034,"Yellowhead/Yellowhead"," 180","Rocky Mountain House",1,24,7,12,11,131,0,186,297
48034,"Yellowhead/Yellowhead"," 181","Ferrier",0,15,4,7,0,75,0,101,375
48034,"Yellowhead/Yellowhead"," 182","Rocky Mountain House",1,18,3,30,11,85,0,148,449
48034,"Yellowhead/Yellowhead"," 183","Rocky Mountain House",0,12,4,9,4,71,0,100,383
48034,"Yellowhead/Yellowhead"," 184","Rocky Mountain House",0,8,0,11,3,90,0,112,348
48034,"Yellowhead/Yellowhead"," 185","Clearwater County",0,15,6,8,6,110,0,145,387
48034,"Yellowhead/Yellowhead"," 186","Rocky Mountain House",Merged with No./Fusionné avec le n°180,,,,,,,,274
48034,"Yellowhead/Yellowhead"," 187","Rocky Mountain House",0,22,4,8,2,70,0,106,323
48034,"Yellowhead/Yellowhead"," 188","Clearwater County",1,11,3,5,3,69,0,92,281
48034,"Yellowhead/Yellowhead"," 189","Rocky Mountain House",2,13,5,17,5,58,0,100,376
48034,"Yellowhead/Yellowhead"," 190","Rocky Mountain House",0,10,7,10,4,60,0,91,336
48034,"Yellowhead/Yellowhead"," 191","Rocky Mountain House",0,18,3,30,6,114,0,171,290
48034,"Yellowhead/Yellowhead"," 192","Rocky Mountain House",0,22,5,10,7,58,0,102,356
48034,"Yellowhead/Yellowhead"," 193","Rocky Mountain House",0,17,4,14,2,69,0,106,363
48034,"Yellowhead/Yellowhead"," 194","Rocky Mountain House",0,16,2,20,3,79,0,120,434
48034,"Yellowhead/Yellowhead"," 195","Rocky Mountain House",0,16,1,27,7,65,2,118,434
48034,"Yellowhead/Yellowhead"," 196","Rocky Mountain House",1,19,4,13,3,102,0,142,497
48034,"Yellowhead/Yellowhead"," 197","Rocky Mountain House",Merged with No./Fusionné avec le n°191,,,,,,,,265
48034,"Yellowhead/Yellowhead"," 198","Clearwater County",1,18,3,11,1,99,0,133,371
48034,"Yellowhead/Yellowhead"," 199","Clearwater County",0,13,4,7,3,88,0,115,372
48034,"Yellowhead/Yellowhead"," 200","Clearwater County",0,16,8,6,1,84,0,115,338
48034,"Yellowhead/Yellowhead"," 201","Carlos",0,36,7,6,7,134,0,190,388
48034,"Yellowhead/Yellowhead"," 202","Clearwater County",0,37,4,10,6,141,0,198,360
48034,"Yellowhead/Yellowhead"," 203","Alhambra",Merged with No./Fusionné avec le n°204,,,,,,,,257
48034,"Yellowhead/Yellowhead"," 204","Leslieville",1,39,9,13,5,209,0,276,272
48034,"Yellowhead/Yellowhead"," 205","Strachan",0,11,6,17,4,120,0,158,328
48034,"Yellowhead/Yellowhead"," 206","Clearwater County",0,14,6,4,0,90,0,114,256
48034,"Yellowhead/Yellowhead"," 207","Clearwater County",0,14,5,3,2,64,0,88,227
48034,"Yellowhead/Yellowhead"," 208","Clearwater County",0,15,4,2,2,92,1,116,258
48034,"Yellowhead/Yellowhead"," 209","Condor",0,42,1,4,2,100,0,149,338
48034,"Yellowhead/Yellowhead"," 210","Evergreen",1,55,11,13,5,160,4,249,387
48034,"Yellowhead/Yellowhead"," 211","Ricinus",0,21,4,8,5,97,0,135,361
48034,"Yellowhead/Yellowhead"," 212","Chedderville",0,24,6,6,0,82,0,118,271
48034,"Yellowhead/Yellowhead"," 213","Stauffer",0,15,3,4,2,107,0,131,305
48034,"Yellowhead/Yellowhead"," 214","Caroline",1,14,1,11,11,136,0,174,457
48034,"Yellowhead/Yellowhead"," 215","Stauffer",2,39,5,8,2,128,2,186,412
48034,"Yellowhead/Yellowhead"," 216","Caroline",1,32,3,5,3,85,1,130,351
48034,"Yellowhead/Yellowhead"," 217","Crammond",1,30,2,12,5,107,2,159,343
48034,"Yellowhead/Yellowhead"," 218","Crammond",0,27,3,7,6,91,2,136,366
48034,"Yellowhead/Yellowhead"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,25
48034,"Yellowhead/Yellowhead"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,,31
48034,"Yellowhead/Yellowhead"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°14,,,,,,,,7
48034,"Yellowhead/Yellowhead"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,,27
48034,"Yellowhead/Yellowhead"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,,110
48034,"Yellowhead/Yellowhead"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°47,,,,,,,,17
48034,"Yellowhead/Yellowhead"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,,38
48034,"Yellowhead/Yellowhead"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,,1
48034,"Yellowhead/Yellowhead"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,8
48034,"Yellowhead/Yellowhead"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°61,,,,,,,,13
48034,"Yellowhead/Yellowhead"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°61,,,,,,,,5
48034,"Yellowhead/Yellowhead"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,,70
48034,"Yellowhead/Yellowhead"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,2
48034,"Yellowhead/Yellowhead"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,16
48034,"Yellowhead/Yellowhead"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°148,,,,,,,,54
48034,"Yellowhead/Yellowhead"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°160,,,,,,,,10
48034,"Yellowhead/Yellowhead"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°170,,,,,,,,23
48034,"Yellowhead/Yellowhead"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°189,,,,,,,,27
48034,"Yellowhead/Yellowhead"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°191,,,,,,,,76
48034,"Yellowhead/Yellowhead"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°192,,,,,,,,33
48034,"Yellowhead/Yellowhead"," 600","Grande Cache",2,50,42,84,61,383,3,625,
48034,"Yellowhead/Yellowhead"," 601","Jasper",3,27,7,364,207,226,2,836,
48034,"Yellowhead/Yellowhead"," 602","Hinton",1,77,31,131,36,448,3,727,
48034,"Yellowhead/Yellowhead"," 603","Hinton",3,64,15,113,59,421,14,689,
48034,"Yellowhead/Yellowhead"," 604","Hinton",1,49,13,81,41,394,6,585,
48034,"Yellowhead/Yellowhead"," 605","Edson",2,206,42,103,47,1090,3,1493,
48034,"Yellowhead/Yellowhead"," 606","Edson",5,128,38,131,62,916,9,1289,
48034,"Yellowhead/Yellowhead"," 607","Carrot Creek",1,93,19,31,11,397,0,552,
48034,"Yellowhead/Yellowhead"," 608","Wildwood",1,129,30,45,15,526,2,748,
48034,"Yellowhead/Yellowhead"," 609","Mayerthorpe",1,60,12,39,24,364,4,504,
48034,"Yellowhead/Yellowhead"," 610","Mayerthorpe",2,54,30,35,10,315,1,447,
48034,"Yellowhead/Yellowhead"," 611","Alberta Beach",1,104,34,105,48,707,4,1003,
48034,"Yellowhead/Yellowhead"," 612","Wabamun",4,128,42,115,49,659,0,997,
48034,"Yellowhead/Yellowhead"," 613","Carvel",0,99,19,61,34,382,0,595,
48034,"Yellowhead/Yellowhead"," 614","Warburg",1,78,23,41,12,334,1,490,
48034,"Yellowhead/Yellowhead"," 615","Warburg",2,101,15,24,13,364,2,521,
48034,"Yellowhead/Yellowhead"," 616","Drayton Valley",1,128,69,73,39,780,5,1095,
48034,"Yellowhead/Yellowhead"," 617","Drayton Valley",5,127,42,45,27,762,4,1012,
48034,"Yellowhead/Yellowhead"," 618","Drayton Valley",4,146,48,46,22,890,2,1158,
48034,"Yellowhead/Yellowhead"," 619","Rocky Mountain House--Sunchild 202",0,141,33,44,33,800,0,1051,
48034,"Yellowhead/Yellowhead"," 620","Rocky Mountain House",1,77,27,78,44,634,2,863,
48034,"Yellowhead/Yellowhead"," 621","Rocky Mountain House",1,81,22,55,29,540,2,730,
48034,"Yellowhead/Yellowhead"," 622","Rocky Mountain House--Leslieville",0,114,45,38,27,648,4,876,
48034,"Yellowhead/Yellowhead"," 623","Caroline",1,171,50,34,19,560,5,840,
48034,"Yellowhead/Yellowhead",,Group 1/Groupe 1, 2,92,32,95,60,528,46,855,101
48034,"Yellowhead/Yellowhead",,Group 2/Groupe 2, 10,153,54,185,116,943,43,1504,
