Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katerina Anastasiadis,Kimberly Brundell,Laura Dupont,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 45","Coquitlam",50,3,30,55,1,139,455
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 46","Coquitlam",47,6,57,86,0,196,488
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 47","Coquitlam",41,4,29,48,0,122,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 48","Coquitlam",66,4,46,97,2,215,717
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 49","Coquitlam",47,5,51,59,1,163,471
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 50","Coquitlam",48,7,49,81,1,186,615
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 51","Coquitlam",64,7,48,88,1,208,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 52","Coquitlam",41,2,34,78,2,157,514
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 53","Coquitlam",35,2,34,59,0,130,548
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 54","Coquitlam",45,1,55,74,1,176,515
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 55","Coquitlam",32,5,34,53,0,124,455
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 56","Coquitlam",24,4,38,61,0,127,425
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 57","Coquitlam",23,5,34,44,0,106,434
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 58","Coquitlam",21,6,37,35,1,100,403
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 59","Coquitlam",73,5,43,116,4,241,565
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 60","Coquitlam",70,8,50,52,2,182,526
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 61","Coquitlam",70,7,38,84,0,199,602
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 62","Coquitlam",77,7,51,101,1,237,554
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 63","Coquitlam",Merged with No./Fusionné avec le n°65,,,,,,334
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 64","Coquitlam",86,3,52,108,0,249,808
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 65","Coquitlam",75,2,41,86,3,207,306
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 66","Coquitlam",103,11,69,137,0,320,955
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 67","Coquitlam",59,8,29,56,0,152,467
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 68","Coquitlam",50,2,44,66,1,163,455
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 69","Coquitlam",60,7,47,85,1,200,507
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 70","Coquitlam",53,15,63,83,0,214,452
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 71","Coquitlam",63,4,47,60,0,174,400
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 72","Coquitlam",37,7,38,69,0,151,360
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 73","Coquitlam",16,2,22,28,0,68,253
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 74","Coquitlam",20,3,35,32,0,90,438
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 75","Coquitlam",27,7,30,43,0,107,437
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 76","Coquitlam",33,12,31,46,0,122,454
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 77","Coquitlam",46,10,58,76,0,190,528
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 78","Coquitlam",43,9,59,67,0,178,587
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 79","Coquitlam",48,6,39,45,2,140,399
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 80","Coquitlam",39,9,44,39,0,131,476
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 81","Coquitlam",31,5,25,40,1,102,390
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 82","Coquitlam",25,7,41,51,0,124,500
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 83","Coquitlam",22,8,21,25,1,77,374
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 84","Coquitlam",39,6,42,60,1,148,585
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 85","Coquitlam",37,5,32,51,0,125,560
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 86","Coquitlam",18,3,36,60,0,117,557
