Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hamish Graham,Estelle Hjertaas,Randy Hoback,Ken MacDougall,Joseph McCrea,Heather Schmitt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 77","Prince Albert",3,49,126,36,17,1,1,233,591
47006,"Prince Albert/Prince Albert"," 78","Prince Albert",4,16,36,27,4,1,0,88,472
47006,"Prince Albert/Prince Albert"," 79","Prince Albert",1,20,52,30,10,0,1,114,420
47006,"Prince Albert/Prince Albert"," 80","Prince Albert",1,17,49,16,1,1,0,85,340
47006,"Prince Albert/Prince Albert"," 81","Prince Albert",0,10,65,17,9,0,0,101,335
47006,"Prince Albert/Prince Albert"," 82","Prince Albert",0,17,68,36,4,0,0,125,397
47006,"Prince Albert/Prince Albert"," 83","Prince Albert",2,22,40,37,12,0,0,113,449
47006,"Prince Albert/Prince Albert"," 84","Prince Albert",1,12,36,23,4,1,0,77,395
47006,"Prince Albert/Prince Albert"," 85","Prince Albert",3,29,40,42,6,1,0,121,538
47006,"Prince Albert/Prince Albert"," 86A","Prince Albert",2,18,93,42,9,1,0,165,516
47006,"Prince Albert/Prince Albert"," 86B","Mobile poll/Bureau itinérant",0,9,1,0,0,0,1,11,13
47006,"Prince Albert/Prince Albert"," 87","Prince Albert",2,19,98,31,11,1,2,164,521
47006,"Prince Albert/Prince Albert"," 88","Prince Albert",0,21,62,28,7,2,0,120,333
47006,"Prince Albert/Prince Albert"," 89","Prince Albert",0,19,63,19,2,0,0,103,343
47006,"Prince Albert/Prince Albert"," 90","Prince Albert",1,10,95,23,3,0,0,132,365
47006,"Prince Albert/Prince Albert"," 91","Prince Albert",3,28,113,26,5,0,1,176,446
47006,"Prince Albert/Prince Albert"," 92","Prince Albert",2,16,52,17,3,0,0,90,262
47006,"Prince Albert/Prince Albert"," 93","Miller's Hill",2,6,96,18,18,1,1,142,361
47006,"Prince Albert/Prince Albert"," 94","Birson",1,7,95,17,9,3,0,132,327
47006,"Prince Albert/Prince Albert"," 95","Petaigan",3,3,77,9,11,5,0,108,296
47006,"Prince Albert/Prince Albert"," 96","Carrot River",3,18,102,15,9,3,0,150,410
47006,"Prince Albert/Prince Albert"," 97","Carrot River",0,1,72,8,5,4,0,90,290
47006,"Prince Albert/Prince Albert"," 98","Moose Range",0,6,64,6,11,4,0,91,231
47006,"Prince Albert/Prince Albert"," 99","Smoky Burn",0,5,96,10,3,10,0,124,264
47006,"Prince Albert/Prince Albert"," 100","Macdowall",4,10,128,19,21,13,1,196,406
47006,"Prince Albert/Prince Albert"," 101","Clouston",0,7,108,13,18,3,0,149,352
47006,"Prince Albert/Prince Albert"," 102","Codette",0,1,50,10,14,0,0,75,183
47006,"Prince Albert/Prince Albert"," 103","Codette",2,1,126,16,19,4,0,168,346
47006,"Prince Albert/Prince Albert"," 104","Muskoday First Nation",2,45,18,73,7,0,0,145,511
47006,"Prince Albert/Prince Albert"," 105","Red Deer Hill",2,12,129,18,14,1,0,176,395
47006,"Prince Albert/Prince Albert"," 106","Weldon",1,7,143,18,24,3,0,196,347
47006,"Prince Albert/Prince Albert"," 107","James Smith 100",1,82,5,52,0,0,0,140,344
47006,"Prince Albert/Prince Albert"," 108","Brancepeth",2,4,62,8,4,2,0,82,217
47006,"Prince Albert/Prince Albert"," 109","Birch Hills",1,8,67,21,6,1,0,104,279
47006,"Prince Albert/Prince Albert"," 110","Birch Hills",3,6,43,17,6,0,0,75,245
47006,"Prince Albert/Prince Albert"," 111","Birch Hills",3,11,98,34,12,0,1,159,520
47006,"Prince Albert/Prince Albert"," 112","Aylsham",0,4,72,4,8,4,1,93,159
47006,"Prince Albert/Prince Albert"," 113","Gronlid",3,3,137,21,24,5,1,194,337
47006,"Prince Albert/Prince Albert"," 114","Brockington",0,2,80,9,13,2,0,106,232
47006,"Prince Albert/Prince Albert"," 115","St. Louis",3,15,114,50,11,0,0,193,342
47006,"Prince Albert/Prince Albert"," 116","Hoey",0,7,70,16,7,1,2,103,231
47006,"Prince Albert/Prince Albert"," 117","Ridgedale",2,6,122,12,19,4,0,165,284
47006,"Prince Albert/Prince Albert"," 118","St-Laurent-Grandin",1,17,104,15,5,3,0,145,271
47006,"Prince Albert/Prince Albert"," 119","Kinistino",1,11,73,9,8,0,1,103,328
47006,"Prince Albert/Prince Albert"," 120","Kinistino",2,3,51,3,6,2,1,68,119
47006,"Prince Albert/Prince Albert"," 121","Kinistino",1,3,136,11,20,2,1,174,267
47006,"Prince Albert/Prince Albert"," 122","Zenon Park",0,22,90,14,16,6,3,151,226
47006,"Prince Albert/Prince Albert"," 123","Beatty",0,3,114,8,18,2,0,145,284
47006,"Prince Albert/Prince Albert"," 124","One Arrow 95",2,29,10,41,2,0,0,84,228
47006,"Prince Albert/Prince Albert"," 125","Domremy",0,5,78,15,3,0,0,101,256
47006,"Prince Albert/Prince Albert"," 126","Arborfield",3,4,130,9,13,6,0,165,262
47006,"Prince Albert/Prince Albert"," 127","Arborfield",0,3,110,2,8,8,0,131,204
47006,"Prince Albert/Prince Albert"," 128","Waitville",1,8,69,11,4,0,0,93,156
47006,"Prince Albert/Prince Albert"," 129","Crystal Springs",0,9,111,23,12,1,1,157,271
47006,"Prince Albert/Prince Albert"," 130","Melfort",1,7,81,16,11,4,1,121,409
47006,"Prince Albert/Prince Albert"," 131","Melfort",1,8,113,14,12,5,0,153,526
47006,"Prince Albert/Prince Albert"," 132","Melfort",1,15,96,17,7,1,1,138,538
47006,"Prince Albert/Prince Albert"," 133","Melfort",0,6,124,23,10,4,0,167,405
47006,"Prince Albert/Prince Albert"," 134","Melfort",0,8,102,23,12,0,0,145,528
47006,"Prince Albert/Prince Albert"," 135","Melfort",4,11,108,33,11,3,0,170,465
47006,"Prince Albert/Prince Albert"," 136","Melfort",0,8,87,8,9,2,0,114,366
47006,"Prince Albert/Prince Albert"," 137","Melfort",0,11,131,20,8,2,0,172,499
47006,"Prince Albert/Prince Albert"," 138","Melfort",2,9,173,28,20,2,1,235,538
47006,"Prince Albert/Prince Albert"," 139","Melfort",1,2,88,16,12,0,0,119,305
47006,"Prince Albert/Prince Albert"," 140","Flett Springs",0,2,109,5,6,4,0,126,305
47006,"Prince Albert/Prince Albert"," 141","Tisdale",2,2,62,3,7,3,0,79,203
47006,"Prince Albert/Prince Albert"," 142","Tisdale",1,3,115,9,6,1,0,135,356
47006,"Prince Albert/Prince Albert"," 143","Star City",2,8,161,20,17,7,1,216,374
47006,"Prince Albert/Prince Albert"," 144","Star City",7,7,125,8,16,1,0,164,324
47006,"Prince Albert/Prince Albert"," 145","Tisdale",1,2,147,20,10,2,0,182,504
47006,"Prince Albert/Prince Albert"," 146","Tisdale",0,3,77,13,11,2,0,106,316
47006,"Prince Albert/Prince Albert"," 147","Tisdale",2,1,80,10,8,3,1,105,316
47006,"Prince Albert/Prince Albert"," 148","Tisdale",2,6,52,9,7,0,0,76,313
47006,"Prince Albert/Prince Albert"," 149","Tisdale",0,7,62,14,4,1,0,88,236
47006,"Prince Albert/Prince Albert"," 150","Tisdale",0,11,70,10,11,2,0,104,241
47006,"Prince Albert/Prince Albert"," 151","Tisdale",1,3,62,5,3,1,0,75,191
47006,"Prince Albert/Prince Albert"," 152","Sylvania",1,4,110,6,15,3,0,139,248
47006,"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",0,2,6,2,0,0,1,11,38
47006,"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",0,6,18,7,3,1,2,37,69
47006,"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",1,18,21,12,6,1,6,65,82
47006,"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",2,2,2,1,0,0,0,7,9
47006,"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",0,4,4,3,1,0,0,12,14
47006,"Prince Albert/Prince Albert"," 505","Mobile poll/Bureau itinérant",1,6,14,8,2,0,2,33,126
47006,"Prince Albert/Prince Albert"," 506","Mobile poll/Bureau itinérant",0,2,1,4,1,0,0,8,11
47006,"Prince Albert/Prince Albert"," 507","Mobile poll/Bureau itinérant",0,6,10,3,0,0,2,21,46
47006,"Prince Albert/Prince Albert"," 508","Mobile poll/Bureau itinérant",2,8,25,6,0,0,1,42,60
47006,"Prince Albert/Prince Albert"," 509","Mobile poll/Bureau itinérant",2,5,8,1,1,0,0,17,25
47006,"Prince Albert/Prince Albert"," 510","Mobile poll/Bureau itinérant",0,3,5,1,1,0,0,10,18
47006,"Prince Albert/Prince Albert"," 511","Mobile poll/Bureau itinérant",0,6,44,8,0,0,0,58,75
47006,"Prince Albert/Prince Albert"," 512","Mobile poll/Bureau itinérant",0,0,6,7,0,0,1,14,17
47006,"Prince Albert/Prince Albert"," 513","Mobile poll/Bureau itinérant",1,7,17,10,1,1,0,37,92
47006,"Prince Albert/Prince Albert"," 514","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,37
47006,"Prince Albert/Prince Albert"," 515","Mobile poll/Bureau itinérant",0,1,13,3,0,0,0,17,21
47006,"Prince Albert/Prince Albert"," 516","Mobile poll/Bureau itinérant",0,2,9,2,0,0,0,13,32
47006,"Prince Albert/Prince Albert"," 517","Mobile poll/Bureau itinérant",0,2,16,9,0,0,0,27,69
47006,"Prince Albert/Prince Albert"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,,108
47006,"Prince Albert/Prince Albert"," 519","Mobile poll/Bureau itinérant",1,0,9,7,0,0,0,17,25
47006,"Prince Albert/Prince Albert"," 520","Mobile poll/Bureau itinérant",0,5,4,4,0,0,1,14,19
47006,"Prince Albert/Prince Albert"," 521","Mobile poll/Bureau itinérant",0,1,6,2,0,0,0,9,30
47006,"Prince Albert/Prince Albert"," 522","Mobile poll/Bureau itinérant",0,0,3,3,1,0,1,8,11
47006,"Prince Albert/Prince Albert"," 523","Mobile poll/Bureau itinérant",0,0,6,5,1,0,0,12,16
47006,"Prince Albert/Prince Albert"," 524","Mobile poll/Bureau itinérant",1,1,10,2,0,0,0,14,19
47006,"Prince Albert/Prince Albert"," 600","Shellbrook",7,34,549,73,25,8,1,697,
47006,"Prince Albert/Prince Albert"," 601","Birson",4,41,368,29,40,11,0,493,
47006,"Prince Albert/Prince Albert"," 602","Prince Albert",7,83,390,102,38,2,4,626,
47006,"Prince Albert/Prince Albert"," 603","Prince Albert",3,101,380,87,32,8,2,613,
47006,"Prince Albert/Prince Albert"," 604","Prince Albert",6,146,786,154,38,9,2,1141,
47006,"Prince Albert/Prince Albert"," 605","Prince Albert",12,100,453,93,43,9,1,711,
47006,"Prince Albert/Prince Albert"," 606","Prince Albert",3,78,247,81,27,7,1,444,
47006,"Prince Albert/Prince Albert"," 607","Prince Albert",4,122,569,127,70,8,3,903,
47006,"Prince Albert/Prince Albert"," 608","Buckland",9,43,443,57,68,15,2,637,
47006,"Prince Albert/Prince Albert"," 609","Smeaton",1,14,214,21,21,7,1,279,
47006,"Prince Albert/Prince Albert"," 610","Nipawin",15,48,843,89,106,17,0,1118,
47006,"Prince Albert/Prince Albert"," 611","Carrot River",2,21,356,27,31,25,0,462,
47006,"Prince Albert/Prince Albert"," 612","Tisdale",6,52,855,96,73,14,2,1098,
47006,"Prince Albert/Prince Albert"," 613","Melfort",6,51,697,73,56,5,5,893,
47006,"Prince Albert/Prince Albert"," 614","Birch Hills",8,26,399,73,33,8,1,548,
47006,"Prince Albert/Prince Albert"," 615","Invergordon",5,14,181,28,10,3,1,242,
47006,"Prince Albert/Prince Albert"," 616","Melfort",8,56,569,92,63,8,7,803,
47006,"Prince Albert/Prince Albert",,Group 1/Groupe 1, 11,83,129,79,20,5,22,349,185
47006,"Prince Albert/Prince Albert",,Group 2/Groupe 2, 16,249,783,279,43,23,32,1425,
