Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Travis Calliou,Hugo Charles,Mike Lake,Ron Thiering,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 46","Edmonton",10,1,39,63,61,3,177,513
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 47","Edmonton",11,0,44,83,54,0,192,448
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 48","Edmonton",8,0,56,78,64,4,210,602
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 49","Edmonton",8,1,63,117,67,3,259,673
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 50","Edmonton",10,0,31,62,32,0,135,456
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 51","Edmonton",Merged with No./Fusionné avec le n°52,,,,,,,458
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 52","Edmonton",16,1,115,193,61,3,389,493
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 53","Edmonton",14,0,58,56,41,0,169,410
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 54","Edmonton",13,2,42,55,41,2,155,465
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 55","Edmonton",19,3,131,209,89,6,457,550
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 56","Edmonton",Merged with No./Fusionné avec le n°55,,,,,,,527
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 57","Edmonton",3,1,39,50,46,1,140,477
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 58","Edmonton",18,1,77,89,44,0,229,575
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 59","Edmonton",3,0,32,48,53,0,136,555
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 60","Edmonton",4,0,33,34,50,4,125,435
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 61","Edmonton",19,0,66,56,34,1,176,565
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 62","Edmonton",48,3,207,230,177,4,669,1445
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 63","Edmonton",15,0,62,62,36,0,175,593
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 64","Edmonton",9,0,44,59,32,2,146,623
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 65","Edmonton",10,0,39,61,33,2,145,442
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 66","Edmonton",16,0,48,112,69,1,246,647
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 67","Edmonton",20,0,85,138,67,0,310,691
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 68","Edmonton",11,0,76,112,55,0,254,625
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 69","Edmonton",15,0,85,152,105,0,357,886
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 70A","Edmonton",12,1,57,94,106,3,273,611
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 70B","Edmonton",12,1,60,125,77,2,277,639
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 71","Edmonton",18,1,75,109,50,1,254,515
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 72","Edmonton",13,0,79,111,73,2,278,568
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 73","Edmonton",10,1,95,142,115,0,363,546
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 74","Edmonton",Merged with No./Fusionné avec le n°73,,,,,,,296
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 75","Edmonton",12,0,59,85,60,5,221,488
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 76","Edmonton",17,0,71,81,37,0,206,513
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 77","Edmonton",4,2,58,86,54,4,208,472
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 78A","Edmonton",12,0,47,97,58,2,216,566
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 78B","Edmonton",8,0,57,80,51,3,199,478
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 79","Edmonton",17,1,72,104,108,7,309,670
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 80","Devon",32,2,19,94,14,3,164,444
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 81","Devon",31,2,36,87,15,1,172,355
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 82","Devon",19,1,45,93,9,0,167,401
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 83","Edmonton",11,0,49,117,69,0,246,663
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 84","Edmonton",7,1,71,121,47,1,248,659
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 85","Edmonton",10,0,56,68,27,0,161,435
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 86","Edmonton",12,1,56,121,41,2,233,729
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 87","Edmonton",15,0,45,116,37,0,213,581
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 88","Edmonton",14,0,52,77,38,1,182,513
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 89","Edmonton",12,0,67,114,80,4,277,793
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 90","Edmonton",Merged with No./Fusionné avec le n°91,,,,,,,445
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 91","Edmonton",17,0,98,154,69,1,339,477
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 92","Devon",11,5,30,85,10,0,141,392
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 93","Devon",30,0,48,102,23,3,206,543
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 94","Devon",23,1,30,60,18,0,132,351
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 95","Devon",17,2,34,81,14,2,150,464
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 96","Devon",37,4,48,143,26,0,258,422
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 97","Devon",Merged with No./Fusionné avec le n°96,,,,,,,405
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 98","Devon",Merged with No./Fusionné avec le n°99,,,,,,,350
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 99","Devon",36,2,77,145,15,0,275,380
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 100","Devon",42,2,52,207,15,0,318,512
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 101","Edmonton",Merged with No./Fusionné avec le n°100,,,,,,,270
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 102","Edmonton",7,1,65,75,53,3,204,467
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 103","Edmonton",3,1,49,57,47,2,159,448
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 104","Edmonton",13,0,81,79,66,1,240,616
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 105A","Edmonton",20,0,99,144,83,1,347,870
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 105B","Edmonton",11,0,76,115,79,8,289,762
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 106A","Edmonton",10,0,75,72,83,1,241,534
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 106B","Edmonton",11,1,75,79,56,7,229,554
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 107A","Edmonton",15,0,54,44,68,1,182,534
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 107B","Edmonton",9,1,39,68,63,1,181,531
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 108","Beaumont",Merged with No./Fusionné avec le n°109,,,,,,,381
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 109","Beaumont",28,0,79,172,34,1,314,452
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 110","Beaumont",16,1,40,149,14,0,220,399
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 111","Beaumont",9,1,46,95,12,1,164,391
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 112","Beaumont",26,1,48,118,20,0,213,465
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 113","Beaumont",Merged with No./Fusionné avec le n°116,,,,,,,375
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 114","Beaumont",18,0,27,71,10,1,127,333
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 115","Beaumont",15,2,24,105,11,1,158,403
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 116","Beaumont",50,1,84,166,28,0,329,390
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 117","Nisku",26,1,52,151,60,0,290,703
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 118","Beaumont",16,0,53,130,24,0,223,560
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 119","Beaumont",36,0,99,199,40,1,375,760
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 120","Beaumont",27,1,65,139,33,0,265,616
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 121","Beaumont",21,0,43,86,15,1,166,398
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 122","Beaumont",31,1,81,188,43,1,345,724
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 123","Beaumont",17,1,54,92,14,0,178,426
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 124","Beaumont",13,0,40,139,23,0,215,512
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 125","Beaumont",9,0,37,96,19,0,161,385
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 126","Beaumont",23,2,74,181,48,3,331,743
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 127","Calmar",23,0,19,121,7,1,171,388
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 128","Calmar",19,0,11,132,11,0,173,398
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 129","Calmar",17,0,19,98,7,0,141,333
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 130","Calmar",41,4,64,223,17,0,349,435
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 131","Calmar",Merged with No./Fusionné avec le n°130,,,,,,,427
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 132","Calmar",35,2,31,124,21,0,213,481
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 133","Beaumont",Merged with No./Fusionné avec le n°134,,,,,,,455
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 134","Beaumont",17,1,49,249,50,1,367,613
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 135","Beaumont",20,2,37,114,28,0,201,476
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 136","Beaumont",23,0,51,96,18,0,188,462
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 137","Beaumont",27,0,62,151,26,0,266,716
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 138","Beaumont",26,0,36,106,23,0,191,537
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 139","Leduc County",13,0,18,96,6,0,133,375
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 140","Leduc",44,0,65,207,33,0,349,979
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 141","Leduc",19,0,37,89,14,0,159,402
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 142","Leduc",20,1,49,103,12,3,188,499
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 143","Leduc",29,0,26,126,15,0,196,523
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 144","Leduc",18,0,51,164,18,0,251,532
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 145","Leduc",38,2,59,148,17,0,264,675
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 146","Leduc",8,1,24,85,11,0,129,400
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 147","Leduc",21,0,43,110,15,0,189,507
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 148","Beaumont",18,0,51,141,31,2,243,536
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 149","Beaumont",38,0,68,145,23,0,274,528
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 150","Beaumont",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 151","Beaumont",70,3,139,378,83,5,678,1503
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 152","Leduc",Merged with No./Fusionné avec le n°153,,,,,,,431
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 153","Leduc County",38,4,63,220,29,0,354,479
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 154","Leduc",29,0,32,89,4,1,155,403
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 155","Leduc",24,1,38,67,11,0,141,354
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 156","Looma",37,1,35,150,18,1,242,608
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 157","Looma",23,0,23,103,27,0,176,425
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 158","Leduc",25,3,57,143,20,3,251,748
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 159","Leduc",30,0,40,139,8,1,218,541
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 160","Leduc",Merged with No./Fusionné avec le n°161,,,,,,,274
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 161","Leduc",25,2,42,158,21,1,249,428
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 162","Leduc",Merged with No./Fusionné avec le n°163,,,,,,,361
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 163","Leduc",22,1,50,210,19,0,302,405
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 164","Leduc",13,1,50,130,7,3,204,464
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 165","Leduc",16,0,37,141,3,0,197,428
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 166","Leduc",13,1,32,147,8,1,202,529
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 167","Leduc",21,0,35,178,23,0,257,620
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 168","Leduc",39,0,40,151,19,3,252,390
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 169","Leduc",Merged with No./Fusionné avec le n°168,,,,,,,389
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 170","Alder Flats",64,1,20,188,5,1,279,471
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 171","Leduc",12,3,26,93,11,0,145,537
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 172","Leduc",11,0,22,65,5,2,105,351
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 173","Leduc",24,3,27,80,16,0,150,423
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 174","Leduc County",16,1,16,132,8,1,174,434
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 175","Leduc",24,0,51,183,14,4,276,411
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 176","Leduc",Merged with No./Fusionné avec le n°175,,,,,,,350
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 177","Leduc",21,1,50,100,11,0,183,395
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 178","Leduc",16,0,33,112,5,1,167,373
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 179","Leduc",35,1,51,183,9,0,279,357
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 180","Leduc",Merged with No./Fusionné avec le n°179,,,,,,,342
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 181","Leduc",23,0,71,109,10,0,213,452
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 182","Leduc",25,2,33,97,5,1,163,377
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 183","Leduc",28,4,82,171,21,0,306,767
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 184","Leduc",18,1,21,100,10,0,150,390
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 185","Leduc",4,2,61,117,19,0,203,573
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 186","Leduc",26,0,52,141,17,0,236,589
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 187","Buck Lake",43,4,29,262,13,0,351,549
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 188","Glen Park",29,3,20,231,3,1,287,556
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 189","Leduc County",33,1,22,146,12,0,214,406
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 190","Leduc",36,3,67,185,15,1,307,443
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 191","Leduc",Merged with No./Fusionné avec le n°190,,,,,,,345
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 192","Leduc",36,5,60,135,25,2,263,395
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 193","Leduc",Merged with No./Fusionné avec le n°192,,,,,,,350
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 194","Leduc",35,1,45,221,13,3,318,880
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 195","Leduc",19,1,25,86,8,0,139,376
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 196","Leduc",26,0,35,131,10,0,202,476
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 197","Leduc",20,0,48,119,5,2,194,437
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 198","Leduc",15,0,37,156,21,1,230,457
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 199","Leduc",30,1,52,140,11,0,234,563
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 200","Leduc",33,3,80,260,17,1,394,789
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 201","Leduc",16,0,38,145,6,3,208,430
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 202","Leduc",42,2,54,227,24,2,351,727
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 203","Rolly View",Merged with No./Fusionné avec le n°204,,,,,,,533
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 204","Rolly View",68,3,49,289,20,0,429,541
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 205","Winfield ",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 206","Yeoford",32,1,24,216,19,3,295,703
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 207","Winfield",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 208","Winfield",30,1,19,167,9,0,226,617
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 209","Mulhurst",32,0,15,180,12,1,240,479
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 210","Mulhurst",31,1,30,156,13,0,231,445
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 211","Mulhurst ",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 212","Pipestone",37,2,29,202,6,1,277,564
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 213","Millet",Merged with No./Fusionné avec le n°214,,,,,,,346
