Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Massimo Anania,Mario Beaulieu,Jonathan Desclin,Jonas Fadeu,Agnès Falquet,Charles Phillippe Gervais,Genevieve Royer,Alexandre Vallerand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 506","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,,,22
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 507","Montréal",Merged with No./Fusionné avec le n°32,,,,,,,,,,6
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 508","Mobile poll/Bureau itinérant",Results combined with no. 528/Résultats combinés au n° 528,,,,,,,,,,27
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 509","Mobile poll/Bureau itinérant",1,10,0,18,4,0,2,1,1,37,82
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 510","Mobile poll/Bureau itinérant",16,45,4,61,3,3,0,1,13,146,136
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 511","Mobile poll/Bureau itinérant",Results combined with no. 521/Résultats combinés au n° 521,,,,,,,,,,8
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 512","Mobile poll/Bureau itinérant",Results combined with no. 528/Résultats combinés au n° 528,,,,,,,,,,46
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 513","Mobile poll/Bureau itinérant",Results combined with no. 528/Résultats combinés au n° 528,,,,,,,,,,21
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 514","Montréal",Merged with No./Fusionné avec le n°83,,,,,,,,,,43
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 515","Mobile poll/Bureau itinérant",Results combined with no. 521/Résultats combinés au n° 521,,,,,,,,,,31
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 516","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,,,53
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 517","Montréal-Est",Merged with No./Fusionné avec le n°101,,,,,,,,,,17
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 518","Mobile poll/Bureau itinérant",Results combined with no. 510/Résultats combinés au n° 510,,,,,,,,,,90
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 519","Mobile poll/Bureau itinérant",Results combined with no. 510/Résultats combinés au n° 510,,,,,,,,,,12
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 520","Mobile poll/Bureau itinérant",Results combined with no. 529/Résultats combinés au n° 529,,,,,,,,,,67
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 521","Mobile poll/Bureau itinérant",2,17,0,27,5,2,1,4,5,63,233
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 522","Mobile poll/Bureau itinérant",Results combined with no. 528/Résultats combinés au n° 528,,,,,,,,,,102
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 523","Mobile poll/Bureau itinérant",Results combined with no. 510/Résultats combinés au n° 510,,,,,,,,,,178
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°194,,,,,,,,,,2
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 525","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,,,14
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 526","Mobile poll/Bureau itinérant",Results combined with no. 529/Résultats combinés au n° 529,,,,,,,,,,23
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 527","Mobile poll/Bureau itinérant",Results combined with no. 528/Résultats combinés au n° 528,,,,,,,,,,255
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 528","Mobile poll/Bureau itinérant",21,74,7,116,9,5,1,9,18,260,279
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 529","Mobile poll/Bureau itinérant",11,68,3,59,3,0,1,1,9,155,50
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 530","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,48
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 531","Montréal",Merged with No./Fusionné avec le n°6,,,,,,,,,,54
