Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bianca Boutin,Daniel Brisson,Tommy Bureau,Jean-Yves Duclos,Patrick Kerr,Louis Sansfaçon,Karine Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 55","Québec",10,1,57,39,3,34,1,0,145,342
24059,"Québec/Québec"," 56","Québec",12,1,34,47,12,20,0,1,127,296
24059,"Québec/Québec"," 57","Québec",12,4,15,63,5,27,1,0,127,362
24059,"Québec/Québec"," 58","Notre-Dame-des-Anges",9,2,27,28,5,31,1,3,106,336
24059,"Québec/Québec"," 59","Québec",26,2,52,76,14,56,3,4,233,362
24059,"Québec/Québec"," 60","Québec",13,0,42,47,7,41,0,5,155,328
24059,"Québec/Québec"," 61","Québec",15,3,47,50,14,39,1,4,173,370
24059,"Québec/Québec"," 62","Québec",23,2,39,54,14,42,4,0,178,395
24059,"Québec/Québec"," 63","Québec",9,2,50,46,8,27,1,1,144,383
24059,"Québec/Québec"," 64","Québec",22,2,53,68,8,45,2,11,211,497
24059,"Québec/Québec"," 65","Québec",14,2,63,57,7,41,1,5,190,428
24059,"Québec/Québec"," 66","Québec",20,1,48,58,8,34,1,1,171,364
24059,"Québec/Québec"," 67","Québec",12,1,52,40,4,30,2,1,142,419
24059,"Québec/Québec"," 68","Québec",20,2,78,59,7,56,1,7,230,394
24059,"Québec/Québec"," 69","Québec",11,4,58,48,8,42,3,7,181,460
24059,"Québec/Québec"," 70","Québec",13,2,53,45,4,37,0,3,157,407
24059,"Québec/Québec"," 71","Québec",33,7,49,64,11,45,4,2,215,436
24059,"Québec/Québec"," 72","Québec",16,4,46,60,6,38,2,4,176,385
24059,"Québec/Québec"," 73","Québec",18,5,52,51,3,38,2,2,171,382
24059,"Québec/Québec"," 74","Québec",13,2,24,21,7,21,0,5,93,279
24059,"Québec/Québec"," 75","Québec",17,2,35,43,6,41,1,5,150,356
24059,"Québec/Québec"," 76","Québec",14,5,53,63,2,33,1,1,172,381
24059,"Québec/Québec"," 77","Québec",19,2,23,29,4,36,1,0,114,315
24059,"Québec/Québec"," 78","Québec",16,3,30,35,3,33,0,5,125,365
24059,"Québec/Québec"," 79","Québec",23,7,51,34,5,45,0,4,169,375
24059,"Québec/Québec"," 80","Québec",14,2,33,42,2,33,0,3,129,378
24059,"Québec/Québec"," 81","Québec",32,2,17,75,3,63,1,0,193,483
24059,"Québec/Québec"," 82","Québec",35,1,8,84,0,75,1,0,204,469
24059,"Québec/Québec"," 83","Québec",8,0,21,49,4,44,0,1,127,430
24059,"Québec/Québec"," 84","Québec",28,2,18,64,4,54,0,4,174,527
24059,"Québec/Québec"," 85","Québec",16,1,12,64,3,39,1,3,139,463
24059,"Québec/Québec"," 86","Québec",15,2,19,42,7,51,0,1,137,476
24059,"Québec/Québec"," 87","Québec",8,2,61,58,9,57,1,3,199,416
24059,"Québec/Québec"," 88","Québec",20,5,64,61,8,47,1,4,210,476
24059,"Québec/Québec"," 89","Québec",12,2,32,68,11,41,0,1,167,389
24059,"Québec/Québec"," 90","Québec",7,1,31,39,5,52,0,5,140,372
24059,"Québec/Québec"," 91","Québec",27,4,40,64,6,67,1,1,210,462
24059,"Québec/Québec"," 92","Québec",18,3,48,68,7,52,0,1,197,439
24059,"Québec/Québec"," 93","Québec",18,2,31,58,6,40,0,1,156,368
24059,"Québec/Québec"," 94","Québec",8,1,8,40,5,39,0,2,103,406
24059,"Québec/Québec"," 95","Québec",8,2,15,56,4,44,1,1,131,390
24059,"Québec/Québec"," 96","Québec",10,2,43,52,5,70,0,5,187,396
24059,"Québec/Québec"," 97","Québec",26,3,13,14,3,15,0,0,74,344
24059,"Québec/Québec"," 98","Québec",15,5,12,57,0,19,1,4,113,362
24059,"Québec/Québec"," 99","Québec",27,4,13,30,4,24,1,4,107,382
24059,"Québec/Québec"," 100","Québec",29,2,10,23,0,28,2,3,97,364
24059,"Québec/Québec"," 101","Québec",41,2,11,35,3,26,1,5,124,510
24059,"Québec/Québec"," 102","Québec",32,1,8,47,1,14,2,2,107,371
24059,"Québec/Québec"," 103","Québec",23,1,51,42,1,30,3,12,163,396
24059,"Québec/Québec"," 104","Québec",25,3,27,38,9,37,3,5,147,379
24059,"Québec/Québec"," 105","Québec",28,6,24,37,3,29,1,7,135,326
24059,"Québec/Québec"," 106","Québec",18,5,33,56,3,35,1,0,151,422
24059,"Québec/Québec"," 107","Québec",20,5,47,41,3,43,0,0,159,437
24059,"Québec/Québec"," 108","Québec",67,3,20,64,3,34,1,4,196,465
24059,"Québec/Québec"," 109","Québec",57,4,13,58,5,48,0,3,188,448
24059,"Québec/Québec"," 110","Québec",64,3,19,46,2,55,1,9,199,489
24059,"Québec/Québec"," 111","Québec",85,6,18,54,4,36,4,6,213,486
24059,"Québec/Québec"," 112","Québec",44,6,13,35,0,18,1,4,121,354
24059,"Québec/Québec"," 113","Québec",37,3,12,17,5,28,0,2,104,392
24059,"Québec/Québec"," 114","Québec",49,4,23,34,3,47,3,0,163,409
24059,"Québec/Québec"," 115","Québec",16,2,40,63,3,49,1,3,177,442
24059,"Québec/Québec"," 116","Québec",11,4,7,55,4,30,1,0,112,349
24059,"Québec/Québec"," 117","Québec",16,3,23,82,6,31,0,3,164,398
24059,"Québec/Québec"," 118","Québec",7,5,26,74,2,46,0,4,164,394
24059,"Québec/Québec"," 119","Québec",9,0,30,76,3,70,1,2,191,430
24059,"Québec/Québec"," 120","Québec",15,0,32,53,7,41,0,4,152,350
24059,"Québec/Québec"," 121","Québec",9,2,20,53,4,32,0,4,124,365
24059,"Québec/Québec"," 122A","Québec",42,4,12,38,3,33,1,3,136,333
24059,"Québec/Québec"," 122B","Québec",57,8,6,31,2,28,0,3,135,339
24059,"Québec/Québec"," 123","Québec",81,3,12,47,1,44,1,1,190,388
24059,"Québec/Québec"," 124","Québec",66,7,19,48,3,43,3,4,193,452
24059,"Québec/Québec"," 125","Québec",69,8,26,57,6,46,1,5,218,401
24059,"Québec/Québec"," 126","Québec",71,3,16,43,0,47,1,3,184,426
24059,"Québec/Québec"," 127","Québec",74,2,17,44,4,60,0,6,207,435
24059,"Québec/Québec"," 128","Québec",47,1,18,56,4,34,1,3,164,341
24059,"Québec/Québec"," 129","Québec",89,12,24,96,8,70,3,5,307,767
24059,"Québec/Québec"," 130","Québec",49,1,13,33,2,41,3,5,147,365
24059,"Québec/Québec"," 131","Québec",46,3,13,45,3,52,0,4,166,408
24059,"Québec/Québec"," 132","Québec",58,2,12,29,2,40,0,0,143,315
24059,"Québec/Québec"," 133","Québec",34,5,12,28,4,20,0,0,103,294
24059,"Québec/Québec"," 134","Québec",27,4,15,30,2,28,3,3,112,387
24059,"Québec/Québec"," 135","Québec",25,4,28,24,4,33,1,2,121,320
24059,"Québec/Québec"," 136","Québec",28,3,14,43,0,38,0,3,129,385
24059,"Québec/Québec"," 137","Québec",17,3,54,76,10,64,1,5,230,452
24059,"Québec/Québec"," 138","Québec",14,1,19,69,4,45,0,0,152,355
24059,"Québec/Québec"," 139","Québec",5,2,47,37,4,22,1,0,118,315
24059,"Québec/Québec"," 140","Québec",26,7,52,97,8,63,0,0,253,579
24059,"Québec/Québec"," 141","Québec",17,0,27,67,2,44,2,4,163,391
24059,"Québec/Québec"," 142","Québec",18,1,45,49,4,38,1,2,158,353
24059,"Québec/Québec"," 143","Québec",21,0,31,54,4,48,0,3,161,349
24059,"Québec/Québec"," 144","Québec",16,3,9,43,0,22,1,1,95,362
24059,"Québec/Québec"," 145","Québec",8,4,20,67,4,39,1,0,143,376
24059,"Québec/Québec"," 146","Québec",9,1,17,62,2,44,0,2,137,359
24059,"Québec/Québec"," 147","Québec",11,0,22,65,3,50,0,1,152,346
24059,"Québec/Québec"," 148","Québec",15,1,1,22,1,15,0,3,58,306
24059,"Québec/Québec"," 149","Québec",20,4,1,46,0,38,0,1,110,428
24059,"Québec/Québec"," 150","Québec",16,4,4,41,2,39,0,2,108,375
24059,"Québec/Québec"," 151","Québec",17,0,12,68,2,64,0,4,167,499
24059,"Québec/Québec"," 152","Québec",31,5,14,48,3,50,1,5,157,337
24059,"Québec/Québec"," 153","Québec",37,6,30,72,8,67,0,6,226,447
24059,"Québec/Québec"," 154","Québec",34,7,38,54,9,51,4,8,205,489
24059,"Québec/Québec"," 155","Québec",41,4,12,24,1,34,1,3,120,418
24059,"Québec/Québec"," 156","Québec",8,0,32,45,5,47,1,3,141,409
24059,"Québec/Québec"," 157","Québec",17,3,49,62,10,49,1,7,198,512
24059,"Québec/Québec"," 158","Québec",19,0,5,70,2,28,0,1,125,520
24059,"Québec/Québec"," 159","Québec",20,3,18,48,1,58,1,1,150,487
24059,"Québec/Québec"," 160","Québec",26,3,28,74,6,54,0,7,198,515
24059,"Québec/Québec"," 161","Québec",24,2,21,75,5,55,0,3,185,419
24059,"Québec/Québec"," 162","Québec",19,1,37,68,10,74,1,3,213,420
24059,"Québec/Québec"," 163","Québec",14,1,38,80,7,42,3,1,186,354
24059,"Québec/Québec"," 164","Québec",18,3,24,109,7,59,2,4,226,462
24059,"Québec/Québec"," 165","Québec",22,1,26,91,4,54,0,2,200,414
24059,"Québec/Québec"," 166","Québec",22,6,44,83,4,63,0,1,223,459
24059,"Québec/Québec"," 167","Québec",17,1,26,77,3,63,1,2,190,432
24059,"Québec/Québec"," 168","Québec",13,3,21,79,5,41,0,1,163,434
24059,"Québec/Québec"," 169","Québec",11,1,8,52,2,44,0,1,119,354
24059,"Québec/Québec"," 170","Québec",38,3,18,159,9,56,2,7,292,469
24059,"Québec/Québec"," 171","Québec",53,4,13,41,5,29,2,6,153,394
24059,"Québec/Québec"," 172","Québec",63,7,15,32,3,37,1,3,161,425
24059,"Québec/Québec"," 173","Québec",54,1,16,46,3,36,4,7,167,408
24059,"Québec/Québec"," 174","Québec",34,3,15,43,1,51,1,3,151,396
24059,"Québec/Québec"," 175","Québec",37,4,14,21,7,32,4,3,122,392
24059,"Québec/Québec"," 176","Québec",36,0,11,42,2,30,1,1,123,324
24059,"Québec/Québec"," 177","Québec",52,4,22,42,1,36,1,0,158,341
24059,"Québec/Québec"," 178","Québec",34,4,18,41,2,29,2,0,130,348
24059,"Québec/Québec"," 179","Québec",55,3,11,26,2,38,2,2,139,325
24059,"Québec/Québec"," 180","Québec",49,2,9,51,2,45,0,5,163,427
24059,"Québec/Québec"," 181","Québec",44,2,11,22,1,41,0,1,122,349
24059,"Québec/Québec"," 182","Québec",36,7,10,28,2,41,0,3,127,336
24059,"Québec/Québec"," 183","Québec",39,4,13,36,3,56,1,4,156,399
24059,"Québec/Québec"," 184","Québec",58,2,11,39,0,42,2,4,158,357
24059,"Québec/Québec"," 185","Québec",78,3,19,37,2,40,0,2,181,420
24059,"Québec/Québec"," 186","Québec",57,8,17,57,2,48,4,6,199,436
24059,"Québec/Québec"," 400","Notre-Dame-des-Anges",7,1,1,47,0,7,0,5,68,239
24059,"Québec/Québec"," 401","Québec",0,1,1,10,1,2,0,2,17,118
24059,"Québec/Québec"," 402","Québec",20,2,4,120,1,39,1,9,196,162
24059,"Québec/Québec"," 403","Québec",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,,,177
24059,"Québec/Québec"," 404","Québec",32,3,1,151,0,32,2,17,238,176
24059,"Québec/Québec"," 405","Québec",Results combined with no. 404/Résultats combinés au n° 404,,,,,,,,,165
24059,"Québec/Québec"," 406","Québec",32,1,2,94,1,26,0,13,169,229
24059,"Québec/Québec"," 407","Québec",23,1,3,155,0,57,0,10,249,304
24059,"Québec/Québec"," 500","Québec",Merged with No./Fusionné avec le n°176,,,,,,,,,2
24059,"Québec/Québec"," 501","Mobile poll/Bureau itinérant",6,0,0,7,0,6,1,0,20,31
24059,"Québec/Québec"," 502","Mobile poll/Bureau itinérant",0,0,0,11,0,7,0,1,19,114
24059,"Québec/Québec"," 503","Mobile poll/Bureau itinérant",8,0,3,38,0,15,5,9,78,155
24059,"Québec/Québec"," 504","Mobile poll/Bureau itinérant",1,0,0,9,0,4,0,2,16,24
24059,"Québec/Québec"," 505","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,77
24059,"Québec/Québec"," 506","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,45
24059,"Québec/Québec"," 507","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,,61
24059,"Québec/Québec"," 508","Mobile poll/Bureau itinérant",22,2,1,95,1,22,2,22,167,137
24059,"Québec/Québec"," 509","Mobile poll/Bureau itinérant",2,1,2,10,0,2,1,1,19,54
24059,"Québec/Québec"," 510","Mobile poll/Bureau itinérant",14,1,1,43,0,13,0,4,76,124
24059,"Québec/Québec"," 511","Mobile poll/Bureau itinérant",0,0,0,4,0,2,0,0,6,34
24059,"Québec/Québec"," 512","Mobile poll/Bureau itinérant",6,0,0,17,0,13,0,1,37,47
24059,"Québec/Québec"," 513","Mobile poll/Bureau itinérant",3,1,2,8,0,1,1,2,18,36
24059,"Québec/Québec"," 514","Notre-Dame-des-Anges",Merged with No./Fusionné avec le n°58,,,,,,,,,113
24059,"Québec/Québec"," 515","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24059,"Québec/Québec"," 516","Mobile poll/Bureau itinérant",0,0,1,2,0,3,0,0,6,33
24059,"Québec/Québec"," 517","Mobile poll/Bureau itinérant",5,0,2,33,2,10,0,2,54,26
24059,"Québec/Québec"," 518","Mobile poll/Bureau itinérant",Results combined with no. 517/Résultats combinés au n° 517,,,,,,,,,75
24059,"Québec/Québec"," 519","Mobile poll/Bureau itinérant",0,1,0,6,0,1,0,0,8,32
24059,"Québec/Québec"," 520","Québec",Merged with No./Fusionné avec le n°121,,,,,,,,,2
24059,"Québec/Québec"," 521","Mobile poll/Bureau itinérant",17,2,4,97,3,21,1,2,147,121
24059,"Québec/Québec"," 522","Mobile poll/Bureau itinérant",4,0,2,47,0,17,1,3,74,104
24059,"Québec/Québec"," 523","Mobile poll/Bureau itinérant",Results combined with no. 521/Résultats combinés au n° 521,,,,,,,,,91
24059,"Québec/Québec"," 524","Mobile poll/Bureau itinérant",5,0,1,40,0,7,1,9,63,100
24059,"Québec/Québec"," 525","Mobile poll/Bureau itinérant",1,1,0,7,0,1,0,0,10,21
24059,"Québec/Québec"," 526","Mobile poll/Bureau itinérant",10,3,1,15,0,4,0,6,39,66
24059,"Québec/Québec"," 527","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24059,"Québec/Québec"," 528","Mobile poll/Bureau itinérant",5,0,0,34,0,6,0,2,47,58
24059,"Québec/Québec"," 529","Mobile poll/Bureau itinérant",1,0,1,29,1,0,0,1,33,38
24059,"Québec/Québec"," 600","Québec",422,14,66,378,25,350,8,15,1278,
24059,"Québec/Québec"," 601","Québec",409,26,73,463,14,365,10,17,1377,
24059,"Québec/Québec"," 602","Québec",343,22,65,309,8,305,2,10,1064,
24059,"Québec/Québec"," 603","Québec",320,22,49,428,13,374,8,29,1243,
24059,"Québec/Québec"," 604","Québec",126,19,73,203,17,189,1,12,640,
24059,"Québec/Québec"," 605","Québec",159,17,112,369,26,354,7,26,1070,
24059,"Québec/Québec"," 606","Québec",108,7,92,260,17,264,4,14,766,
24059,"Québec/Québec"," 607","Québec",55,8,113,248,17,301,4,11,757,
24059,"Québec/Québec"," 608","Québec",165,8,67,298,8,296,2,12,856,
24059,"Québec/Québec"," 609","Québec",245,10,52,795,20,626,2,23,1773,
24059,"Québec/Québec"," 610","Québec",162,18,93,581,19,573,3,5,1454,
24059,"Québec/Québec"," 611","Québec",128,5,138,468,26,468,5,14,1252,
24059,"Québec/Québec"," 612","Québec",110,13,161,254,26,222,3,11,800,
24059,"Québec/Québec"," 613","Québec",202,8,152,604,21,532,2,12,1533,
24059,"Québec/Québec"," 614","Québec",161,8,86,600,15,495,5,22,1392,
24059,"Québec/Québec"," 615","Québec",287,29,47,318,10,246,15,35,987,
24059,"Québec/Québec"," 616","Québec",434,28,48,308,11,347,8,25,1209,
24059,"Québec/Québec"," 617","Québec",Results combined with no. 609/Résultats combinés au n° 609,,,,,,,,,
24059,"Québec/Québec"," 618","Québec",Results combined with no. 614/Résultats combinés au n° 614,,,,,,,,,
24059,"Québec/Québec",,Group 1/Groupe 1, 109,4,69,207,19,114,3,28,553,192
24059,"Québec/Québec",,Group 2/Groupe 2, 147,11,130,501,14,425,8,42,1278,
