Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anandasangaree,Zia Choudhary,Kingsley Arnold Kwok,Asad Rehman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 20","Toronto",145,35,39,3,4,226,472
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 21","Toronto",126,14,26,2,2,170,422
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 22","Toronto",210,28,30,5,2,275,458
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 23","Toronto",145,19,30,2,1,197,428
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 24","Toronto",228,27,29,6,0,290,476
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 25","Toronto",194,28,29,5,3,259,423
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 26","Toronto",140,21,34,5,1,201,466
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 27","Toronto",164,21,22,1,0,208,385
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 28","Toronto",167,29,19,4,1,220,445
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 29","Toronto",146,28,16,2,0,192,351
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 30","Toronto",90,25,20,7,0,142,469
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 31","Toronto",156,27,18,2,2,205,465
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 32","Toronto",105,30,26,0,1,162,416
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 33","Toronto",111,25,14,8,1,159,419
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 34","Toronto",183,31,23,4,0,241,538
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 35","Toronto",216,25,28,1,6,276,517
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 36","Toronto",155,19,20,4,1,199,422
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 37","Toronto",76,19,22,2,0,119,354
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 38","Toronto",96,17,31,2,1,147,386
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 39","Toronto",93,14,16,9,2,134,340
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 40","Toronto",126,32,22,8,1,189,449
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 41","Toronto",118,13,20,6,1,158,359
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 42","Toronto",140,20,11,2,2,175,415
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 43","Toronto",116,30,23,6,0,175,419
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 44","Toronto",134,16,18,2,5,175,432
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 45","Toronto",101,14,20,2,5,142,473
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 46","Toronto",125,23,18,7,5,178,423
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 47","Toronto",131,27,33,8,2,201,533
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 48","Toronto",97,16,16,2,1,132,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 49","Toronto",101,27,24,1,1,154,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 50","Toronto",109,29,19,1,1,159,379
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 51","Toronto",68,13,5,2,0,88,337
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 52","Toronto",83,10,25,5,0,123,419
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 53","Toronto",139,23,36,0,0,198,684
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 54","Toronto",112,32,35,5,0,184,611
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 55","Toronto",66,12,21,4,0,103,332
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 56","Toronto",86,27,17,4,0,134,326
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 57","Toronto",141,40,18,7,1,207,450
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 58","Toronto",108,34,32,6,1,181,379
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 59","Toronto",98,44,42,11,0,195,415
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 60","Toronto",119,26,21,14,0,180,477
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 61","Toronto",78,15,14,4,1,112,386
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 62","Toronto",114,35,32,5,1,187,522
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 63","Toronto",102,35,17,6,1,161,460
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 64","Toronto",97,39,15,5,3,159,462
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 65","Toronto",162,39,31,8,4,244,544
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 66","Toronto",122,15,20,5,1,163,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 67","Toronto",107,17,28,7,1,160,425
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 68","Toronto",81,23,10,10,4,128,358
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 69","Toronto",104,31,26,6,0,167,452
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 70","Toronto",70,46,17,3,0,136,392
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 71","Toronto",77,64,32,10,1,184,476
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 72","Toronto",57,33,36,7,1,134,323
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 73","Toronto",77,45,18,7,1,148,399
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 74","Toronto",60,24,23,6,0,113,323
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 75","Toronto",64,39,16,2,0,121,312
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 76","Toronto",63,34,16,1,0,114,350
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 77","Toronto",76,35,17,3,0,131,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 78","Toronto",71,33,13,3,1,121,352
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 79","Toronto",84,29,29,2,0,144,373
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 80","Toronto",99,70,34,3,1,207,484
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 81","Toronto",97,45,21,6,2,171,443
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 82","Toronto",119,39,43,6,0,207,484
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 83","Toronto",71,42,28,8,1,150,370
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 84","Toronto",66,36,12,5,0,119,398
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 85","Toronto",134,45,35,7,3,224,655
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 86","Toronto",125,35,33,11,3,207,455
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 87","Toronto",125,31,32,4,0,192,522
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 88","Toronto",132,31,29,6,2,200,548
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 89","Toronto",143,34,24,11,0,212,501
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 90","Toronto",151,46,33,12,1,243,517
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 91","Toronto",111,46,29,3,0,189,421
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 92","Toronto",114,26,15,8,0,163,348
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 93","Toronto",129,33,37,3,1,203,473
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 94","Toronto",94,26,21,1,1,143,389
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 95","Toronto",80,35,28,13,0,156,370
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 96","Toronto",122,18,13,1,3,157,390
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 97","Toronto",107,35,25,15,2,184,553
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 98","Toronto",63,25,36,6,0,130,389
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 99","Toronto",104,35,32,7,0,178,420
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 100","Toronto",81,27,19,2,0,129,370
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 101","Toronto",109,51,31,3,0,194,444
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 102","Toronto",159,28,22,6,0,215,531
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 103","Toronto",106,33,27,4,0,170,332
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 104","Toronto",108,21,21,5,0,155,314
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 105","Toronto",134,20,14,5,1,174,437
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 106","Toronto",152,19,16,2,0,189,371
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 107","Toronto",119,33,28,4,2,186,435
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 108","Toronto",176,31,31,4,2,244,526
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 109","Toronto",92,34,15,4,0,145,392
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 110","Toronto",99,27,9,5,0,140,415
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 111","Toronto",80,62,25,1,1,169,428
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 112","Toronto",72,37,21,7,1,138,322
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 113","Toronto",94,61,27,14,3,199,513
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 114","Toronto",54,49,19,9,0,131,423
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 115","Toronto",71,30,20,8,1,130,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 116","Toronto",85,54,20,7,0,166,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 117","Toronto",64,49,14,2,0,129,409
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 118","Toronto",69,41,19,4,0,133,330
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 119","Toronto",81,55,22,8,3,169,544
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 120","Toronto",71,28,34,5,0,138,406
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 121","Toronto",70,38,25,5,1,139,429
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 122","Toronto",64,51,33,6,3,157,483
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 123","Toronto",73,36,31,11,5,156,457
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 124","Toronto",80,46,32,7,1,166,498
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 125","Toronto",103,42,23,5,2,175,442
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 126","Toronto",109,40,31,6,0,186,515
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 127","Toronto",79,42,21,3,0,145,424
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 128","Toronto",79,49,28,4,0,160,499
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 129","Toronto",63,29,15,2,0,109,301
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 130","Toronto",91,40,11,6,3,151,483
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 131","Toronto",87,41,21,8,2,159,425
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 132","Toronto",74,23,18,1,0,116,315
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 133","Toronto",81,33,10,9,3,136,307
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 134","Toronto",100,57,21,14,0,192,442
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 135","Toronto",109,55,54,9,1,228,510
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 136","Toronto",74,32,26,6,1,139,428
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 137","Toronto",85,43,20,8,0,156,463
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 138","Toronto",68,35,29,2,0,134,413
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 139","Toronto",64,35,22,13,0,134,327
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 140","Toronto",65,43,23,3,1,135,352
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 141","Toronto",60,64,21,4,0,149,412
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 142","Toronto",59,51,11,6,1,128,407
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 143","Toronto",60,59,24,10,0,153,383
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 144","Toronto",67,41,41,4,0,153,410
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 145","Toronto",101,46,45,8,2,202,448
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 146","Toronto",85,49,40,5,1,180,528
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 147","Toronto",117,49,25,2,4,197,564
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 148","Toronto",88,51,28,4,0,171,417
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 149","Toronto",67,46,34,9,1,157,455
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 150","Toronto",50,51,25,5,0,131,368
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 151","Toronto",108,45,48,10,3,214,451
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 152","Toronto",63,49,23,12,1,148,406
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 153","Toronto",82,42,28,4,1,157,437
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 154","Toronto",120,23,29,4,0,176,516
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 155","Toronto",85,23,24,4,1,137,395
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 156","Toronto",90,24,29,4,1,148,486
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 157","Toronto",74,27,42,3,1,147,472
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 158","Toronto",66,5,6,2,4,83,391
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 159","Toronto",87,33,25,3,0,148,480
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 160","Toronto",146,38,48,13,1,246,720
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 161","Toronto",76,20,27,4,1,128,439
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 162","Toronto",35,11,12,3,0,61,351
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 163","Toronto",39,24,7,6,1,77,228
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 164","Toronto",102,54,24,7,1,188,579
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 165","Toronto",109,59,24,5,2,199,640
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 166","Toronto",66,53,43,12,2,176,467
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 400","Toronto",87,19,15,4,0,125,341
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 401","Toronto",65,17,13,2,0,97,208
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 402","Toronto",159,29,25,1,2,216,443
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 403","Toronto",104,24,17,4,1,150,353
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 404","Toronto",117,25,17,1,1,161,354
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 405","Toronto",30,12,7,0,1,50,187
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 406","Toronto",83,27,19,10,1,140,391
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 407","Toronto",52,36,15,1,2,106,296
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 408","Toronto",69,17,8,2,2,98,297
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 409","Toronto",59,18,4,0,1,82,195
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 410","Toronto",82,3,9,0,0,94,141
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 411","Toronto",65,24,10,1,0,100,357
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 500","Mobile poll/Bureau itinérant",11,4,5,0,1,21,85
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 501","Mobile poll/Bureau itinérant",9,5,4,1,1,20,65
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 502","Mobile poll/Bureau itinérant",22,26,10,4,0,62,138
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 503","Mobile poll/Bureau itinérant",14,16,0,3,0,33,88
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 600","Toronto",403,58,50,3,5,519,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 601","Toronto",762,122,101,21,1,1007,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 602","Toronto",849,146,102,21,5,1123,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 603","Toronto",310,134,61,6,0,511,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 604","Toronto",369,59,46,12,1,487,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 605","Toronto",830,209,163,30,12,1244,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 606","Toronto",529,166,81,20,4,800,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 607","Toronto",757,215,88,31,2,1093,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 608","Toronto",480,205,64,22,7,778,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 609","Toronto",856,608,142,40,23,1669,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 610","Toronto",904,502,186,49,9,1650,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 611","Toronto",1087,522,221,51,16,1897,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 612","Toronto",401,220,92,26,4,743,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 613","Toronto",1011,374,222,62,19,1688,
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park",,Group 1/Groupe 1, 156,43,58,9,18,284,185
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park",,Group 2/Groupe 2, 1043,312,233,18,39,1645,
