Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Boulerice,Gisèle Desrochers,Nancy Drolet,Franco Fiori,Surelys Perez Hernandez,Shophika Vaithyanathasarma,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",75,1,35,6,15,19,3,154,348
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",92,1,52,9,7,37,3,201,420
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20A","Montréal",53,2,26,1,6,22,1,111,313
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20B","Montréal",43,2,35,4,6,25,0,115,301
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",31,1,35,2,3,17,3,92,362
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",44,0,73,3,7,11,2,140,396
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23","Montréal",61,0,39,4,8,21,5,138,344
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",91,1,39,1,9,49,1,191,439
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",74,0,41,6,5,32,4,162,403
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",56,1,37,2,4,32,3,135,367
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",89,1,43,2,14,33,4,186,506
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",65,1,53,2,6,22,1,150,400
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",79,0,33,3,7,43,4,169,445
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",98,1,35,7,4,52,2,199,449
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31","Montréal",62,0,43,2,7,41,4,159,316
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",112,2,33,2,1,63,5,218,403
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",79,1,34,4,8,52,1,179,337
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34","Montréal",31,1,40,2,5,17,2,98,482
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",54,0,52,3,10,24,2,145,467
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",107,1,64,4,16,37,9,238,497
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37","Montréal",86,1,38,3,8,37,1,174,427
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",91,1,56,4,8,72,6,238,503
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",106,1,47,9,3,42,1,209,480
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",66,1,22,3,4,32,1,129,353
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",65,1,43,4,9,14,7,143,304
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",67,1,44,1,12,56,4,185,364
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",47,1,48,6,12,37,4,155,446
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",73,0,24,6,9,34,1,147,375
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",60,1,74,3,8,35,0,181,547
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",69,0,64,1,6,36,5,181,404
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",129,0,61,5,10,45,2,252,480
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48","Montréal",89,1,62,10,8,26,7,203,446
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",119,0,25,4,4,58,3,213,453
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",107,1,36,7,6,63,5,225,430
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",111,1,48,1,12,44,10,227,462
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",110,1,33,3,8,44,5,204,530
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",76,1,33,6,7,35,4,162,460
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",60,1,18,2,6,23,2,112,327
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",85,1,31,7,7,29,2,162,341
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",80,0,21,3,4,24,3,135,307
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",83,0,37,7,6,32,3,168,402
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58","Montréal",57,1,34,5,3,32,2,134,372
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",72,2,32,6,4,40,4,160,404
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60","Montréal",52,3,46,1,3,23,7,135,402
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",51,0,39,7,6,20,2,125,381
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",68,0,56,8,7,48,2,189,505
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",73,0,55,1,6,51,5,191,430
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",61,1,45,4,10,31,1,153,361
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65","Montréal",37,0,33,2,8,35,4,119,303
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66","Montréal",90,1,44,8,9,53,3,208,503
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",100,1,42,3,8,46,5,205,491
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68","Montréal",84,1,25,3,6,30,5,154,316
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",94,1,10,2,5,30,0,142,306
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",108,0,33,5,7,36,1,190,400
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",105,0,21,6,10,35,3,180,401
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72","Montréal",39,0,31,2,9,26,0,107,391
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73","Montréal",79,1,28,3,2,31,0,144,324
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",58,0,25,4,5,32,0,124,366
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",101,0,33,6,7,40,1,188,437
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76","Montréal",129,3,36,5,9,42,10,234,489
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 77","Montréal",95,0,25,3,6,58,5,192,447
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 78","Montréal",106,0,42,4,6,33,0,191,389
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 79","Montréal",145,0,39,7,5,50,3,249,431
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 80","Montréal",95,1,36,5,5,51,3,196,351
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 81","Montréal",61,1,28,5,6,29,2,132,284
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82","Montréal",142,0,35,11,6,54,3,251,485
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83","Montréal",90,0,29,6,5,30,2,162,341
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 84","Montréal",76,2,23,6,4,34,3,148,332
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85","Montréal",162,2,36,6,2,59,6,273,509
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 86","Montréal",46,0,49,2,7,22,3,129,380
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87","Montréal",59,1,22,3,5,20,1,111,301
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 88","Montréal",103,0,96,7,8,50,7,271,556
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 89","Montréal",106,1,38,17,7,41,5,215,455
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 90","Montréal",129,0,21,10,3,56,2,221,494
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 91","Montréal",79,0,41,5,5,42,5,177,513
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 92","Montréal",89,2,37,8,5,45,2,188,389
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93A","Montréal",49,1,52,4,7,22,2,137,421
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93B","Montréal",33,0,47,2,7,19,2,110,358
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 94","Montréal",94,1,62,4,12,44,2,219,552
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95","Montréal",46,0,46,1,6,23,3,125,413
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96A","Montréal",253,0,174,15,35,103,5,585,1372
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96B","Montréal",Merged with No./Fusionné avec le n°403,,,,,,,,194
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96C","Montréal",18,0,14,1,2,15,1,51,94
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96D","Montréal",17,0,19,0,1,14,0,51,91
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97","Montréal",97,0,35,2,8,28,2,172,399
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98","Montréal",49,0,47,5,4,34,1,140,342
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99","Montréal",81,3,31,7,6,43,3,174,410
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100","Montréal",39,2,36,4,3,20,3,107,345
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 101","Montréal",97,2,37,4,1,28,4,173,391
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 102","Montréal",123,1,31,5,13,58,6,237,514
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103","Montréal",93,1,23,2,0,56,2,177,395
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 104","Montréal",111,0,28,3,8,45,1,196,430
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 105","Montréal",102,2,31,7,4,48,2,196,381
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 106","Montréal",131,1,30,5,4,50,2,223,490
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 107","Montréal",132,3,47,6,9,52,4,253,435
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 108","Montréal",83,1,24,6,0,30,1,145,317
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 109","Montréal",103,0,17,3,3,32,0,158,358
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 110","Montréal",82,1,44,4,8,31,2,172,363
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 111","Montréal",80,1,37,6,6,37,0,167,343
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 112","Montréal",77,1,35,7,8,18,1,147,328
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 113","Montréal",125,0,46,4,1,37,5,218,398
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 114","Montréal",94,0,43,6,7,35,4,189,388
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 115","Montréal",75,0,50,4,9,21,5,164,327
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 116","Montréal",60,3,48,2,10,26,5,154,454
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 117","Montréal",95,1,39,3,4,40,5,187,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 118","Montréal",113,1,33,4,6,31,8,196,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 119","Montréal",106,3,36,6,8,34,8,201,522
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 120","Montréal",60,0,33,5,5,26,2,131,367
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 121","Montréal",110,1,28,3,2,42,3,189,450
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 122","Montréal",58,2,28,5,4,28,3,128,339
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 123","Montréal",125,3,37,4,5,44,1,219,542
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 124","Montréal",73,2,54,1,13,18,2,163,467
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 125","Montréal",86,1,39,10,4,49,2,191,439
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 126","Montréal",98,1,62,5,8,28,2,204,435
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 127","Montréal",62,0,32,5,3,17,5,124,308
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 128","Montréal",98,0,13,4,4,30,2,151,352
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 129","Montréal",99,2,23,7,11,38,7,187,462
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 130","Montréal",112,3,36,6,4,32,4,197,457
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 131","Montréal",115,1,28,7,5,25,2,183,437
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 132","Montréal",84,1,45,5,9,38,3,185,369
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 133","Montréal",81,1,40,1,2,41,1,167,332
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 134","Montréal",98,6,68,10,7,30,0,219,492
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 135","Montréal",102,0,24,5,3,23,2,159,380
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 136","Montréal",93,0,13,4,5,35,1,151,287
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 137","Montréal",107,0,44,4,6,30,4,195,509
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 138","Montréal",55,0,15,3,5,23,1,102,229
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 139","Montréal",107,0,25,5,9,41,1,188,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 140","Montréal",79,1,21,1,2,31,1,136,311
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 141","Montréal",86,1,26,7,5,36,2,163,387
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 142","Montréal",86,3,21,2,3,25,4,144,310
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 143","Montréal",91,2,16,5,4,14,6,138,273
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 144","Montréal",83,1,21,3,5,15,1,129,282
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 145","Montréal",79,1,27,4,3,31,1,146,339
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 146","Montréal",80,1,27,5,2,19,3,137,294
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 147","Montréal",74,1,17,3,9,24,0,128,323
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 148","Montréal",112,2,40,8,3,25,2,192,416
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 149","Montréal",95,1,32,4,2,31,6,171,391
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 150","Montréal",81,0,24,6,2,21,2,136,304
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 151","Montréal",101,0,17,10,8,33,1,170,367
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 152","Montréal",106,3,46,4,6,18,8,191,417
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 153","Montréal",129,1,110,8,20,56,8,332,616
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 154","Montréal",70,0,26,3,5,17,1,122,313
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 155","Montréal",77,0,25,8,4,19,8,141,327
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156","Montréal",98,1,37,4,17,35,3,195,389
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 157","Montréal",73,0,20,2,6,23,1,125,286
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 158","Montréal",72,0,22,4,5,26,2,131,307
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 159","Montréal",72,1,35,3,6,24,2,143,299
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 160","Montréal",97,0,37,13,6,44,2,199,409
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 161","Montréal",92,4,39,6,6,23,2,172,407
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 162","Montréal",71,1,37,5,4,30,5,153,373
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 163","Montréal",49,0,12,0,4,15,1,81,179
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 164","Montréal",71,3,48,11,5,28,2,168,330
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 165","Montréal",83,5,47,2,6,39,2,184,344
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 166","Montréal",92,2,35,9,5,32,4,179,385
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 167","Montréal",96,0,22,9,6,22,0,155,345
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 168","Montréal",156,1,39,4,5,34,3,242,506
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 169","Montréal",92,0,37,14,5,33,2,183,433
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 170","Montréal",111,3,50,5,8,30,4,211,491
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 171","Montréal",108,0,39,13,7,33,3,203,467
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 172","Montréal",130,1,40,3,5,35,2,216,477
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173A","Montréal",52,0,31,5,5,21,0,114,338
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173B","Montréal",52,1,30,5,4,17,2,111,346
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 174","Montréal",81,0,27,6,8,23,2,147,290
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 175","Montréal",94,2,32,5,5,18,2,158,371
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 176","Montréal",63,0,26,1,5,22,3,120,381
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 177","Montréal",127,0,35,4,11,18,3,198,415
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 178","Montréal",74,0,22,8,6,20,2,132,333
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 179","Montréal",54,0,61,2,0,13,2,132,429
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 180","Montréal",103,1,41,4,11,22,1,183,378
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 181","Montréal",68,1,35,4,6,26,1,141,334
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 182","Montréal",108,0,45,4,11,25,1,194,381
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 183","Montréal",99,2,53,5,3,10,2,174,302
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 184","Montréal",76,2,46,5,11,22,0,162,355
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 185","Montréal",109,0,22,4,4,24,3,166,338
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 186","Montréal",101,1,46,6,11,14,3,182,396
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 187","Montréal",108,1,52,10,13,24,2,210,442
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 188","Montréal",103,1,55,12,14,25,14,224,457
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 189","Montréal",89,2,60,6,3,14,4,178,363
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 190","Montréal",114,3,53,4,3,23,3,203,387
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 191","Montréal",84,0,27,4,4,28,6,153,398
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 192","Montréal",97,2,33,6,15,21,1,175,315
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 193","Montréal",98,0,33,2,5,17,2,157,325
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 194","Montréal",84,0,27,1,7,18,3,140,328
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 195","Montréal",98,1,49,5,16,12,2,183,361
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 196","Montréal",108,0,50,5,5,19,1,188,404
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 400","Montréal",Void/Supprimé,,,,,,,,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 401","Montréal",56,1,111,2,8,92,15,285,428
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 402","Montréal",36,3,48,2,5,48,6,148,201
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 403","Montréal",105,0,63,3,8,71,1,251,216
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500","Montréal",Merged with No./Fusionné avec le n°72,,,,,,,,22
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 501","Mobile poll/Bureau itinérant",6,2,44,1,2,14,0,69,121
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502","Montréal",Merged with No./Fusionné avec le n°10,,,,,,,,2
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 503","Mobile poll/Bureau itinérant",3,2,18,2,4,8,0,37,56
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 504","Mobile poll/Bureau itinérant",1,1,19,0,4,0,1,26,51
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 505","Montréal",Merged with No./Fusionné avec le n°7,,,,,,,,9
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,,15
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 507","Mobile poll/Bureau itinérant",3,2,33,3,3,9,2,55,116
