Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugo Beaumont Tremblay,Valérie Bergeron,Jacques Bouchard,Jacynthe Bruneau,François-Philippe Champagne,Dji-Pé Frazer,Marie-Claude Gaudet,Alain Magnan,Marie Gabrielle Rouleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 606","Saint-Narcisse--Saint-Stanislas",3,11,83,125,187,4,3,0,5,5,426,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 607","Saint-Tite",1,15,124,141,316,4,5,0,4,10,620,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 608","Grandes-Piles--Saint-Tite",1,6,47,127,133,0,6,2,1,6,329,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 609","Shawinigan",2,24,110,255,483,1,13,2,14,20,924,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 610","Shawinigan",2,16,120,259,398,1,6,1,19,21,843,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 611","Shawinigan",3,27,60,186,294,3,11,2,4,14,604,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 612","Shawinigan",2,32,105,242,412,4,5,8,8,29,847,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 613","Shawinigan",1,11,126,322,443,3,9,6,12,8,941,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 614","Shawinigan",4,24,107,278,575,1,8,1,7,23,1028,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 615","Shawinigan",2,22,88,244,430,1,6,2,9,25,829,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 616","Shawinigan",6,27,188,376,582,4,8,6,15,18,1230,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 617","Shawinigan",5,37,119,249,493,3,10,1,7,26,950,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 618","Shawinigan",0,25,111,245,480,8,9,1,1,16,896,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 619","Shawinigan",0,32,111,293,515,8,7,2,14,14,996,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 620","Notre-Dame-du-Mont-Carmel",2,13,118,166,243,2,3,3,9,12,571,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 621","Trois-Rivières",4,39,252,289,305,0,12,5,8,11,925,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 622","Trois-Rivières",2,31,189,274,289,1,9,1,8,14,818,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 623","Saint-Maurice",0,13,67,85,111,1,3,0,6,9,295,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 624","Trois-Rivières",3,30,191,262,244,3,7,3,13,3,759,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 625","Trois-Rivières",3,44,190,306,335,2,12,3,13,17,925,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 626","Notre-Dame-du-Mont-Carmel",9,32,138,229,246,2,5,1,19,19,700,
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain",,Group 1/Groupe 1, 1,29,42,53,79,1,8,1,4,14,232,68
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain",,Group 2/Groupe 2, 4,66,202,469,984,13,10,5,22,102,1877,
