Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Jim Carr,Douglas Hemmerling,Julia Riddell,Cam Scott,Chase Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 31","Winnipeg",46,92,7,47,1,3,1,197,397
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 32","Winnipeg",60,96,4,28,0,6,0,194,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33","Winnipeg",38,111,11,37,2,1,0,200,347
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 34","Winnipeg",50,100,1,33,0,6,2,192,427
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 35","Winnipeg",47,86,12,39,0,10,1,195,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36","Winnipeg",37,65,2,32,0,8,2,146,365
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37","Winnipeg",37,65,6,25,1,2,0,136,340
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 38","Winnipeg",20,48,6,42,3,3,0,122,332
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 39","Winnipeg",74,74,6,34,0,3,1,192,486
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 40","Winnipeg",84,64,3,3,0,4,1,159,410
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 41","Winnipeg",29,25,3,20,0,5,0,82,298
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 42","Winnipeg",62,62,4,16,1,3,0,148,375
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 43","Winnipeg",21,32,3,74,1,4,0,135,326
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 44","Winnipeg",16,38,0,54,1,7,0,116,379
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 45","Winnipeg",36,93,8,71,5,5,0,218,522
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 46","Winnipeg",41,84,3,85,4,6,0,223,433
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 47","Winnipeg",20,62,2,44,0,3,0,131,337
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 48","Winnipeg",44,89,1,37,2,1,1,175,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 49","Winnipeg",27,75,7,39,0,5,0,153,429
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 50","Winnipeg",39,110,6,43,1,7,1,207,444
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 51","Winnipeg",32,78,2,22,0,1,0,135,322
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 52","Winnipeg",32,66,7,36,0,6,0,147,388
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 53","Winnipeg",41,100,8,28,0,2,2,181,391
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 54","Winnipeg",13,52,3,55,1,2,3,129,370
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55","Winnipeg",15,53,5,65,0,3,1,142,396
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 56","Winnipeg",26,66,10,57,1,10,0,170,368
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 57","Winnipeg",23,61,9,65,5,1,1,165,395
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 58","Winnipeg",27,65,10,54,4,8,0,168,385
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 59","Winnipeg",31,58,5,46,0,9,1,150,478
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 60","Winnipeg",27,70,17,48,2,1,0,165,417
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 61","Winnipeg",31,55,8,26,2,10,1,133,385
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 62","Winnipeg",43,95,7,36,0,5,0,186,397
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 63","Winnipeg",40,102,9,45,0,4,3,203,447
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 64","Winnipeg",38,86,5,27,3,9,2,170,404
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 65","Winnipeg",27,49,8,35,1,7,1,128,357
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 66","Winnipeg",21,51,6,56,1,6,1,142,395
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 67","Winnipeg",22,48,5,43,2,8,1,129,363
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 68","Winnipeg",40,66,11,47,2,3,1,170,526
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 69","Winnipeg",35,86,5,62,2,2,1,193,508
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 70","Winnipeg",59,75,4,9,0,3,0,150,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 71","Winnipeg",52,46,3,7,0,0,1,109,328
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 72","Winnipeg",65,46,1,6,0,3,0,121,351
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 73","Winnipeg",33,34,4,35,1,6,3,116,415
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 74","Winnipeg",43,77,5,52,1,6,1,185,455
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 75","Winnipeg",17,58,3,26,0,8,1,113,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 76","Winnipeg",35,83,4,41,0,5,1,169,442
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 77","Winnipeg",41,52,5,30,3,2,2,135,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 78","Winnipeg",16,45,6,48,1,5,2,123,367
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 79","Winnipeg",42,84,15,65,1,8,1,216,632
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 80","Winnipeg",23,59,7,61,0,4,0,154,382
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 81","Winnipeg",31,62,13,86,3,14,6,215,482
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 82","Winnipeg",16,41,10,45,2,6,0,120,347
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 83","Winnipeg",29,50,9,36,0,4,0,128,366
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 84","Winnipeg",27,54,5,30,2,2,0,120,348
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 85","Winnipeg",23,76,9,41,0,4,0,153,427
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 86","Winnipeg",26,58,3,35,1,5,0,128,367
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 87","Winnipeg",17,56,5,41,0,8,1,128,408
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 88","Winnipeg",18,57,4,64,0,5,0,148,506
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 89","Winnipeg",42,43,1,45,2,9,1,143,390
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90A","Winnipeg",22,46,1,31,0,13,3,116,394
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90B","Winnipeg",46,76,1,7,0,2,3,135,168
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 91","Winnipeg",33,103,7,32,1,6,1,183,456
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 92","Winnipeg",28,60,12,25,0,3,1,129,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 93","Winnipeg",43,86,5,36,1,2,0,173,411
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 94","Winnipeg",41,75,5,22,0,1,1,145,394
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 95","Winnipeg",33,56,3,80,2,4,0,178,453
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 96","Winnipeg",20,50,6,60,2,2,1,141,410
