Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Waseem Ahmed,Frank Chilelli,Mark Davidson,Iqwinder Gaheer,Clyde Roach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 136","Mississauga",28,0,1,65,25,2,121,441
35062,"Mississauga--Malton/Mississauga--Malton"," 137","Mississauga",18,1,0,91,41,0,151,385
35062,"Mississauga--Malton/Mississauga--Malton"," 138","Mississauga",17,0,4,56,43,1,121,368
35062,"Mississauga--Malton/Mississauga--Malton"," 139","Mississauga",26,3,3,145,81,4,262,522
35062,"Mississauga--Malton/Mississauga--Malton"," 140","Mississauga",39,1,1,103,54,0,198,589
35062,"Mississauga--Malton/Mississauga--Malton"," 141","Mississauga",36,0,2,122,67,1,228,536
35062,"Mississauga--Malton/Mississauga--Malton"," 142","Mississauga",32,1,6,102,92,3,236,546
35062,"Mississauga--Malton/Mississauga--Malton"," 143","Mississauga",37,3,3,97,61,0,201,530
35062,"Mississauga--Malton/Mississauga--Malton"," 144","Mississauga",27,0,1,113,45,0,186,436
35062,"Mississauga--Malton/Mississauga--Malton"," 145","Mississauga",21,0,2,80,43,0,146,383
35062,"Mississauga--Malton/Mississauga--Malton"," 146","Mississauga",38,3,4,98,60,0,203,485
35062,"Mississauga--Malton/Mississauga--Malton"," 147","Mississauga",18,0,3,43,24,0,88,336
35062,"Mississauga--Malton/Mississauga--Malton"," 148","Mississauga",12,0,0,45,39,0,96,381
35062,"Mississauga--Malton/Mississauga--Malton"," 149","Mississauga",36,0,1,118,23,0,178,527
35062,"Mississauga--Malton/Mississauga--Malton"," 150","Mississauga",28,0,1,67,37,0,133,457
35062,"Mississauga--Malton/Mississauga--Malton"," 151","Mississauga",34,1,1,143,70,1,250,549
35062,"Mississauga--Malton/Mississauga--Malton"," 152","Mississauga",23,1,0,98,55,0,177,556
35062,"Mississauga--Malton/Mississauga--Malton"," 153","Mississauga",30,0,3,102,42,3,180,453
35062,"Mississauga--Malton/Mississauga--Malton"," 154","Mississauga",33,1,8,129,62,0,233,574
35062,"Mississauga--Malton/Mississauga--Malton"," 155","Mississauga",28,2,1,66,20,0,117,351
35062,"Mississauga--Malton/Mississauga--Malton"," 156","Mississauga",20,0,4,55,69,1,149,530
35062,"Mississauga--Malton/Mississauga--Malton"," 157","Mississauga",6,1,4,30,22,0,63,167
35062,"Mississauga--Malton/Mississauga--Malton"," 158","Mississauga",30,0,4,128,84,1,247,519
35062,"Mississauga--Malton/Mississauga--Malton"," 159","Mississauga",15,1,2,70,34,0,122,528
35062,"Mississauga--Malton/Mississauga--Malton"," 160","Mississauga",42,0,4,144,66,1,257,903
35062,"Mississauga--Malton/Mississauga--Malton"," 161","Mississauga",46,0,6,99,62,2,215,649
35062,"Mississauga--Malton/Mississauga--Malton"," 162","Mississauga",18,4,4,90,52,6,174,519
35062,"Mississauga--Malton/Mississauga--Malton"," 163","Mississauga",20,4,1,105,83,3,216,511
35062,"Mississauga--Malton/Mississauga--Malton"," 164","Mississauga",35,1,11,120,75,0,242,529
35062,"Mississauga--Malton/Mississauga--Malton"," 165","Mississauga",19,3,2,118,64,0,206,471
35062,"Mississauga--Malton/Mississauga--Malton"," 166","Mississauga",13,4,5,60,53,1,136,356
35062,"Mississauga--Malton/Mississauga--Malton"," 167","Mississauga",16,0,3,56,40,0,115,303
35062,"Mississauga--Malton/Mississauga--Malton"," 168","Mississauga",30,0,4,118,58,2,212,539
35062,"Mississauga--Malton/Mississauga--Malton"," 400","Mississauga",19,2,5,33,23,3,85,334
35062,"Mississauga--Malton/Mississauga--Malton"," 401","Mississauga",9,0,2,50,11,1,73,331
35062,"Mississauga--Malton/Mississauga--Malton"," 402","Mississauga",8,0,1,23,22,0,54,270
35062,"Mississauga--Malton/Mississauga--Malton"," 403","Mississauga",16,0,2,23,11,3,55,205
35062,"Mississauga--Malton/Mississauga--Malton"," 404","Mississauga",0,0,0,0,0,0,0,69
35062,"Mississauga--Malton/Mississauga--Malton"," 405","Mississauga",9,0,3,39,31,0,82,370
35062,"Mississauga--Malton/Mississauga--Malton"," 406","Mississauga",3,0,1,13,13,0,30,151
35062,"Mississauga--Malton/Mississauga--Malton"," 600","Mississauga",129,6,22,807,271,7,1242,
35062,"Mississauga--Malton/Mississauga--Malton"," 601","Mississauga",141,12,25,745,254,7,1184,
35062,"Mississauga--Malton/Mississauga--Malton"," 602","Mississauga",111,9,14,513,234,20,901,
35062,"Mississauga--Malton/Mississauga--Malton"," 603","Mississauga",34,1,10,142,90,1,278,
35062,"Mississauga--Malton/Mississauga--Malton"," 604","Mississauga",70,2,8,290,156,2,528,
35062,"Mississauga--Malton/Mississauga--Malton"," 605","Mississauga",63,3,8,232,187,0,493,
35062,"Mississauga--Malton/Mississauga--Malton"," 606","Mississauga",92,8,8,364,334,5,811,
35062,"Mississauga--Malton/Mississauga--Malton"," 607","Mississauga",117,10,23,577,507,4,1238,
35062,"Mississauga--Malton/Mississauga--Malton"," 608","Mississauga",85,2,16,366,322,1,792,
35062,"Mississauga--Malton/Mississauga--Malton"," 609","Mississauga",126,11,24,455,282,3,901,
35062,"Mississauga--Malton/Mississauga--Malton"," 610","Mississauga",134,10,25,581,397,9,1156,
35062,"Mississauga--Malton/Mississauga--Malton"," 611","Mississauga",119,14,6,441,352,8,940,
35062,"Mississauga--Malton/Mississauga--Malton"," 612","Mississauga",113,5,10,366,266,2,762,
35062,"Mississauga--Malton/Mississauga--Malton"," 613","Mississauga",124,3,8,521,302,6,964,
35062,"Mississauga--Malton/Mississauga--Malton"," 614","Mississauga",131,3,14,419,299,7,873,
35062,"Mississauga--Malton/Mississauga--Malton",,Group 1/Groupe 1, 59,1,7,115,78,9,269,166
35062,"Mississauga--Malton/Mississauga--Malton",,Group 2/Groupe 2, 234,3,30,814,590,63,1734,
