Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monika Dean,Hong Yan Pan,Carla Qualtrough,Garry Shearer,Jeremy Smith,Paul Tarasenko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 23","Delta",26,3,68,53,7,2,1,160,398
59011,"Delta/Delta"," 24","Delta",35,0,63,26,3,10,2,139,382
59011,"Delta/Delta"," 25","Delta",Merged with No./Fusionné avec le n°12,,,,,,,,383
59011,"Delta/Delta"," 26","Delta",45,4,95,36,1,2,0,183,491
59011,"Delta/Delta"," 27","Delta",47,3,93,36,7,6,0,192,437
59011,"Delta/Delta"," 28","Delta",41,1,124,57,3,3,3,232,549
59011,"Delta/Delta"," 29","Delta",64,1,111,42,10,5,1,234,600
59011,"Delta/Delta"," 30","Delta",33,2,92,49,5,7,3,191,470
59011,"Delta/Delta"," 31","Delta",52,0,67,35,2,0,1,157,401
59011,"Delta/Delta"," 32","Delta",45,3,90,27,6,9,0,180,408
59011,"Delta/Delta"," 33","Delta",40,3,53,40,1,12,0,149,397
59011,"Delta/Delta"," 34","Delta",26,0,49,20,6,4,1,106,396
59011,"Delta/Delta"," 35","Delta",49,0,81,60,8,5,0,203,507
59011,"Delta/Delta"," 36","Delta",24,6,66,47,0,2,0,145,472
59011,"Delta/Delta"," 37","Delta",29,2,89,44,4,3,0,171,478
59011,"Delta/Delta"," 38","Delta",Merged with No./Fusionné avec le n°41,,,,,,,,395
59011,"Delta/Delta"," 39","Delta",36,0,71,44,2,1,0,154,391
59011,"Delta/Delta"," 40","Delta",51,2,114,63,3,4,0,237,536
59011,"Delta/Delta"," 41","Delta",57,1,97,67,3,10,2,237,392
59011,"Delta/Delta"," 42","Delta",32,1,76,51,4,1,0,165,422
59011,"Delta/Delta"," 43","Delta",56,3,109,47,10,9,0,234,519
59011,"Delta/Delta"," 44","Delta",40,1,98,36,4,3,0,182,423
59011,"Delta/Delta"," 45","Delta",46,1,116,50,5,2,1,221,549
59011,"Delta/Delta"," 46","Delta",33,3,86,75,3,3,0,203,426
59011,"Delta/Delta"," 47","Delta",33,0,72,83,4,3,0,195,442
59011,"Delta/Delta"," 48","Delta",46,1,81,65,5,3,1,202,476
59011,"Delta/Delta"," 49","Delta",29,1,83,62,9,1,0,185,481
59011,"Delta/Delta"," 50","Delta",43,2,71,67,6,4,0,193,398
59011,"Delta/Delta"," 51","Delta",28,0,70,39,10,1,0,148,419
59011,"Delta/Delta"," 52","Delta",39,2,61,84,12,8,0,206,465
59011,"Delta/Delta"," 53","Delta",47,1,97,65,2,2,0,214,463
59011,"Delta/Delta"," 54","Delta",54,1,63,52,5,7,2,184,425
59011,"Delta/Delta"," 55","Delta",48,0,78,31,5,5,0,167,478
59011,"Delta/Delta"," 56","Delta",33,2,104,46,4,2,1,192,468
59011,"Delta/Delta"," 57","Delta",50,2,71,42,3,4,2,174,481
59011,"Delta/Delta"," 58","Delta",Merged with No./Fusionné avec le n°60,,,,,,,,378
59011,"Delta/Delta"," 59","Delta",33,1,90,35,3,4,1,167,471
59011,"Delta/Delta"," 60","Delta",91,0,128,60,3,14,4,300,462
59011,"Delta/Delta"," 61","Delta",35,0,83,66,4,4,0,192,458
59011,"Delta/Delta"," 62","Delta",31,1,85,43,3,5,1,169,398
59011,"Delta/Delta"," 63","Delta",58,8,112,41,4,6,0,229,446
59011,"Delta/Delta"," 64","Delta",44,0,73,42,5,2,0,166,420
59011,"Delta/Delta"," 65","Delta",12,0,52,32,1,2,1,100,319
59011,"Delta/Delta"," 66","Delta",34,1,61,40,3,0,0,139,424
59011,"Delta/Delta"," 67","Delta",40,1,66,53,2,1,2,165,412
59011,"Delta/Delta"," 68","Delta",38,0,67,77,2,7,1,192,469
59011,"Delta/Delta"," 69","Delta",40,1,69,57,9,8,1,185,553
59011,"Delta/Delta"," 70","Delta",36,1,69,46,10,2,0,164,496
59011,"Delta/Delta"," 71","Delta",29,0,54,32,3,10,0,128,446
59011,"Delta/Delta"," 72","Delta",45,1,109,78,5,5,1,244,521
59011,"Delta/Delta"," 73","Delta",56,1,84,90,2,10,2,245,510
59011,"Delta/Delta"," 74","Delta",56,1,104,25,4,2,0,192,495
59011,"Delta/Delta"," 75","Delta",38,1,69,26,3,0,0,137,395
59011,"Delta/Delta"," 76","Delta",30,1,68,53,2,2,4,160,422
59011,"Delta/Delta"," 77","Delta",53,2,86,44,3,7,1,196,501
59011,"Delta/Delta"," 78","Delta",87,2,137,85,9,7,6,333,488
59011,"Delta/Delta"," 79","Delta",Merged with No./Fusionné avec le n°78,,,,,,,,342
59011,"Delta/Delta"," 80","Delta",Merged with No./Fusionné avec le n°82,,,,,,,,356
59011,"Delta/Delta"," 81","Delta",36,3,96,70,5,3,0,213,588
59011,"Delta/Delta"," 82","Delta",70,3,182,69,6,3,1,334,459
59011,"Delta/Delta"," 83","Delta",36,2,75,31,3,1,0,148,284
59011,"Delta/Delta"," 84","Delta",49,2,89,45,3,2,0,190,471
59011,"Delta/Delta"," 85","Delta",38,2,53,25,3,3,1,125,376
59011,"Delta/Delta"," 86","Delta",28,8,65,39,3,4,2,149,522
59011,"Delta/Delta"," 87","Delta",40,2,65,26,1,3,1,138,373
59011,"Delta/Delta"," 88","Delta",27,0,46,26,4,4,1,108,345
59011,"Delta/Delta"," 89","Delta",37,0,54,19,3,5,1,119,399
59011,"Delta/Delta"," 90","Delta",44,0,106,46,8,8,0,212,619
59011,"Delta/Delta"," 91","Delta",41,0,77,18,3,1,3,143,363
59011,"Delta/Delta"," 92","Delta",32,1,80,30,2,2,1,148,431
59011,"Delta/Delta"," 93","Delta",41,3,83,42,2,3,1,175,518
59011,"Delta/Delta"," 94","Delta",38,1,63,40,1,6,4,153,355
59011,"Delta/Delta"," 95","Delta",47,5,111,32,2,9,1,207,444
59011,"Delta/Delta"," 96","Delta",31,2,125,37,3,6,2,206,527
59011,"Delta/Delta"," 97","Delta",56,3,79,97,6,3,1,245,459
59011,"Delta/Delta"," 98","Delta",44,0,50,52,2,0,1,149,436
59011,"Delta/Delta"," 99","Delta",51,0,77,65,6,8,0,207,547
59011,"Delta/Delta"," 100","Delta",44,2,56,72,7,11,0,192,470
59011,"Delta/Delta"," 101","Delta",51,2,91,89,6,2,2,243,550
59011,"Delta/Delta"," 102","Delta",48,1,98,60,7,5,1,220,449
59011,"Delta/Delta"," 103","Delta",41,1,78,67,6,7,0,200,452
59011,"Delta/Delta"," 104","Delta",33,2,49,70,4,3,1,162,435
59011,"Delta/Delta"," 105","Delta",31,4,78,33,5,5,0,156,450
59011,"Delta/Delta"," 106","Delta",17,1,71,42,3,6,0,140,453
59011,"Delta/Delta"," 107","Delta",33,1,70,61,5,6,0,176,551
59011,"Delta/Delta"," 108","Delta",45,4,70,79,1,8,0,207,542
59011,"Delta/Delta"," 109","Delta",24,2,81,51,5,4,1,168,433
59011,"Delta/Delta"," 110","Delta",38,1,62,78,6,4,0,189,452
59011,"Delta/Delta"," 111","Delta",22,11,58,63,4,4,0,162,478
59011,"Delta/Delta"," 112","Delta",19,8,46,64,4,3,0,144,526
59011,"Delta/Delta"," 113","Delta",40,8,51,28,3,1,0,131,345
59011,"Delta/Delta"," 114","Delta",16,5,41,51,6,3,0,122,458
59011,"Delta/Delta"," 115","Delta",35,5,59,53,6,2,1,161,458
59011,"Delta/Delta"," 116","Delta",44,0,87,45,3,6,0,185,602
59011,"Delta/Delta"," 117","Tsawwassen",46,0,86,80,12,5,0,229,718
59011,"Delta/Delta"," 118","Delta",15,0,81,72,2,8,2,180,472
59011,"Delta/Delta"," 119","Delta",53,1,88,61,2,5,0,210,477
59011,"Delta/Delta"," 120","Delta",31,0,90,85,3,8,0,217,474
59011,"Delta/Delta"," 121","Delta",84,1,158,142,8,6,0,399,480
59011,"Delta/Delta"," 122","Delta",Merged with No./Fusionné avec le n°121,,,,,,,,427
59011,"Delta/Delta"," 123","Delta",77,1,187,158,6,2,0,431,435
59011,"Delta/Delta"," 124","Delta",Merged with No./Fusionné avec le n°123,,,,,,,,421
59011,"Delta/Delta"," 125","Delta",61,2,140,134,14,3,2,356,473
59011,"Delta/Delta"," 126","Delta",Merged with No./Fusionné avec le n°125,,,,,,,,358
59011,"Delta/Delta"," 127","Delta",11,0,58,57,3,1,0,130,421
59011,"Delta/Delta"," 128","Delta",15,1,97,94,5,7,0,219,717
59011,"Delta/Delta"," 129","Delta",28,0,63,57,4,3,0,155,464
59011,"Delta/Delta"," 130","Delta",19,4,68,63,5,2,0,161,445
59011,"Delta/Delta"," 131","Delta",23,1,75,78,3,8,0,188,442
59011,"Delta/Delta"," 132","Delta",29,0,73,52,4,6,0,164,451
59011,"Delta/Delta"," 133","Delta",19,1,81,89,6,9,1,206,453
59011,"Delta/Delta"," 134","Delta",30,0,66,58,7,13,1,175,414
59011,"Delta/Delta"," 135","Delta",32,1,94,74,5,8,0,214,466
59011,"Delta/Delta"," 136","Delta",44,0,69,52,7,10,0,182,619
59011,"Delta/Delta"," 137","Delta",42,1,127,81,8,1,0,260,521
59011,"Delta/Delta"," 138","Delta",19,1,58,45,4,4,2,133,526
59011,"Delta/Delta"," 139","Delta",32,0,39,41,7,7,2,128,243
59011,"Delta/Delta"," 140","Delta",40,1,99,75,10,4,0,229,462
59011,"Delta/Delta"," 141","Delta",24,0,86,76,7,2,0,195,466
59011,"Delta/Delta"," 142","Delta",Merged with No./Fusionné avec le n°144,,,,,,,,443
59011,"Delta/Delta"," 143","Delta",Merged with No./Fusionné avec le n°145,,,,,,,,326
59011,"Delta/Delta"," 144","Delta",94,8,157,133,14,6,3,415,470
59011,"Delta/Delta"," 145","Delta",60,6,156,115,9,12,5,363,471
59011,"Delta/Delta"," 146","Delta",30,1,53,44,2,8,3,141,506
59011,"Delta/Delta"," 147","Delta",21,0,45,38,7,0,0,111,507
59011,"Delta/Delta"," 148","Delta",28,0,72,64,7,3,1,175,510
59011,"Delta/Delta"," 149","Delta",40,1,70,41,11,5,3,171,443
59011,"Delta/Delta"," 150","Delta",Merged with No./Fusionné avec le n°151,,,,,,,,445
59011,"Delta/Delta"," 151","Delta",49,1,127,121,11,13,0,322,446
59011,"Delta/Delta"," 152","Delta",19,0,70,90,7,4,0,190,448
59011,"Delta/Delta"," 153","Delta",20,3,75,87,2,9,0,196,436
59011,"Delta/Delta"," 154","Delta",22,0,65,100,2,1,0,190,378
59011,"Delta/Delta"," 155","Delta",21,1,63,64,2,3,0,154,390
59011,"Delta/Delta"," 156","Delta",27,2,69,76,3,0,2,179,440
59011,"Delta/Delta"," 157","Delta",45,0,112,81,9,4,0,251,585
59011,"Delta/Delta"," 158","Delta",33,1,97,116,14,12,0,273,554
59011,"Delta/Delta"," 159","Delta",27,1,79,93,6,1,1,208,459
59011,"Delta/Delta"," 160","Delta",24,1,67,68,4,5,0,169,492
59011,"Delta/Delta"," 161","Delta",29,1,72,60,2,3,0,167,487
59011,"Delta/Delta"," 162","Delta",32,2,89,51,7,3,0,184,432
59011,"Delta/Delta"," 163","Delta",32,2,81,78,5,9,0,207,441
59011,"Delta/Delta"," 164","Delta",35,2,80,95,2,5,0,219,437
59011,"Delta/Delta"," 165","Delta",27,0,95,88,6,3,0,219,451
59011,"Delta/Delta"," 166","Delta",18,4,65,82,4,0,0,173,431
59011,"Delta/Delta"," 167","Delta",36,2,112,98,10,2,0,260,484
59011,"Delta/Delta"," 168","Delta",39,0,99,62,9,6,1,216,446
59011,"Delta/Delta"," 400","Delta",22,0,36,13,1,3,0,75,288
59011,"Delta/Delta"," 500","Mobile poll/Bureau itinérant",3,1,13,6,3,0,0,26,33
59011,"Delta/Delta"," 501","Mobile poll/Bureau itinérant",12,0,15,4,1,0,0,32,50
59011,"Delta/Delta"," 502","Mobile poll/Bureau itinérant",14,1,33,20,3,1,2,74,63
59011,"Delta/Delta"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
59011,"Delta/Delta"," 504","Mobile poll/Bureau itinérant",11,0,12,7,2,0,2,34,24
59011,"Delta/Delta"," 505","Mobile poll/Bureau itinérant",5,1,52,22,3,1,2,86,118
59011,"Delta/Delta"," 506","Mobile poll/Bureau itinérant",1,0,17,18,0,1,3,40,52
59011,"Delta/Delta"," 507","Mobile poll/Bureau itinérant",9,0,39,25,2,1,1,77,104
59011,"Delta/Delta"," 508","Mobile poll/Bureau itinérant",6,1,16,6,1,1,2,33,50
59011,"Delta/Delta"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,46
59011,"Delta/Delta"," 600","Delta",190,5,469,360,20,35,2,1081,
59011,"Delta/Delta"," 601","Delta",184,6,388,294,26,25,9,932,
59011,"Delta/Delta"," 602","Delta",224,4,465,306,25,31,12,1067,
59011,"Delta/Delta"," 603","Delta",168,1,495,230,13,18,2,927,
59011,"Delta/Delta"," 604","Delta",173,5,511,225,11,19,4,948,
59011,"Delta/Delta"," 605","Delta",180,6,424,268,14,30,5,927,
59011,"Delta/Delta"," 606","Delta",201,31,444,452,23,28,4,1183,
59011,"Delta/Delta"," 607","Delta",158,5,327,410,29,35,2,966,
59011,"Delta/Delta"," 608","Delta",126,3,365,441,13,22,4,974,
59011,"Delta/Delta"," 609","Delta",159,8,542,579,24,18,5,1335,
59011,"Delta/Delta"," 610","Delta",189,3,470,400,26,26,3,1117,
59011,"Delta/Delta"," 611","Delta",198,6,478,444,35,51,6,1218,
59011,"Delta/Delta"," 612","Delta",112,7,448,586,22,35,7,1217,
59011,"Delta/Delta"," 613","Delta",166,2,529,520,17,41,3,1278,
59011,"Delta/Delta"," 614","Delta",127,6,470,591,29,26,6,1255,
59011,"Delta/Delta"," 615","Delta",102,2,392,543,28,23,3,1093,
59011,"Delta/Delta",,Group 1/Groupe 1, 96,0,181,138,16,13,16,460,216
59011,"Delta/Delta",,Group 2/Groupe 2, 549,24,1521,1126,55,46,76,3397,
