Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Heide,Rozina Jaffer,Peter Julian,David Macdonald,Paige Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 77","New Westminster",3,40,73,9,23,0,148,417
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 78","New Westminster",5,31,83,10,45,1,175,395
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 79","New Westminster",6,30,104,4,40,2,186,399
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 80","New Westminster",9,29,86,11,29,1,165,386
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 81","New Westminster",4,43,110,14,47,1,219,556
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 82","New Westminster",11,68,86,7,48,2,222,541
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 83","New Westminster",9,60,172,22,66,0,329,463
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 84","New Westminster",Merged with No./Fusionné avec le n°83,,,,,,,390
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 85","New Westminster",12,42,93,11,42,0,200,462
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 86","New Westminster",7,18,70,5,30,0,130,373
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 87","New Westminster",8,45,99,12,38,0,202,510
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 88","New Westminster",7,69,90,16,33,1,216,611
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 89","New Westminster",5,27,79,17,70,2,200,396
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 90","New Westminster",2,60,94,16,41,0,213,403
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 91","New Westminster",5,45,116,12,18,0,196,429
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 92","New Westminster",12,27,86,10,23,0,158,391
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 93","New Westminster",5,28,53,5,22,1,114,401
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 94","New Westminster",1,56,73,7,22,0,159,472
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 95","New Westminster",8,75,159,10,69,1,322,982
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 96","New Westminster",5,44,89,15,35,0,188,551
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 97","New Westminster",27,66,198,20,65,2,378,408
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 98","New Westminster",Merged with No./Fusionné avec le n°97,,,,,,,488
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 99","New Westminster",11,46,121,11,42,1,232,473
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 100","New Westminster",14,30,67,8,28,0,147,425
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 101","New Westminster",4,20,59,4,19,0,106,407
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 102","New Westminster",12,49,58,4,38,3,164,528
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 103","New Westminster",6,23,51,1,16,0,97,363
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 104","New Westminster",12,48,82,4,22,0,168,378
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 105","New Westminster",3,44,66,5,34,1,153,396
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 106","New Westminster",7,36,71,7,34,0,155,467
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 107","New Westminster",9,32,63,6,18,0,128,503
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 108","New Westminster",6,36,92,8,22,1,165,503
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 109","New Westminster",5,29,81,10,40,1,166,431
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 110","New Westminster",4,43,97,4,31,1,180,401
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 111","New Westminster",12,30,88,9,27,0,166,424
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 112","New Westminster",7,55,81,4,39,0,186,434
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 113","New Westminster",11,34,74,6,22,1,148,411
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 114","New Westminster",8,40,86,10,25,0,169,434
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 115","New Westminster",8,43,88,14,14,1,168,407
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 116","New Westminster",4,39,94,12,30,1,180,441
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 117","New Westminster",3,37,94,10,32,1,177,539
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 118","New Westminster",5,32,86,7,26,0,156,445
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 119","New Westminster",12,39,110,9,24,1,195,508
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 120","New Westminster",8,51,101,10,16,2,188,565
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 121","New Westminster",8,35,84,8,23,0,158,443
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 122","New Westminster",14,33,98,9,23,1,178,451
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 123","New Westminster",Merged with No./Fusionné avec le n°124,,,,,,,432
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 124","New Westminster",16,65,143,21,41,1,287,500
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 125","New Westminster",6,30,66,5,20,0,127,481
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 126","New Westminster",5,32,36,10,41,1,125,342
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 127","New Westminster",8,51,93,14,54,0,220,712
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 128","New Westminster",6,51,94,6,22,2,181,525
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 129","New Westminster",10,32,60,2,38,0,142,533
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 130","New Westminster",6,50,93,7,18,0,174,491
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 131","New Westminster",10,53,104,9,59,1,236,660
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 132","New Westminster",10,66,121,10,54,2,263,559
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 133","New Westminster",6,38,76,22,36,1,179,498
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 134","New Westminster",8,25,68,4,20,0,125,405
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 135","New Westminster",9,29,108,13,26,1,186,502
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 136","New Westminster",8,33,99,16,58,0,214,429
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 137","New Westminster",12,24,85,11,12,1,145,424
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 138","New Westminster",13,56,115,13,41,1,239,486
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 139","New Westminster",9,37,83,10,21,1,161,475
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 140","New Westminster",10,46,140,16,45,1,258,374
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 141","New Westminster",Merged with No./Fusionné avec le n°140,,,,,,,309
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 142","New Westminster",7,35,103,4,25,3,177,454
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 143","New Westminster",5,28,73,6,28,0,140,341
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 144","New Westminster",3,32,62,7,19,0,123,367
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 145","New Westminster",7,42,85,8,29,0,171,571
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 146","New Westminster",5,31,71,9,28,0,144,520
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 147","New Westminster",6,33,95,21,37,1,193,476
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 148","New Westminster",5,24,57,5,23,0,114,369
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 149","New Westminster",8,35,126,10,33,0,212,557
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 150","New Westminster",10,40,140,11,26,0,227,598
