Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Chiang,Elvin Kao,Aftab Qureshi,Bob Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Unionville/Markham--Unionville"," 53","Markham",Merged with No./Fusionné avec le n°54,,,,,,353
35056,"Markham--Unionville/Markham--Unionville"," 54","Markham",92,6,16,71,1,186,412
35056,"Markham--Unionville/Markham--Unionville"," 55","Markham",Merged with No./Fusionné avec le n°56,,,,,,374
35056,"Markham--Unionville/Markham--Unionville"," 56","Markham",104,4,19,60,0,187,426
35056,"Markham--Unionville/Markham--Unionville"," 57","Markham",48,0,13,34,0,95,435
35056,"Markham--Unionville/Markham--Unionville"," 58","Markham",72,2,4,42,1,121,472
35056,"Markham--Unionville/Markham--Unionville"," 59","Markham",59,3,6,60,0,128,482
35056,"Markham--Unionville/Markham--Unionville"," 60","Markham",73,10,7,67,0,157,557
35056,"Markham--Unionville/Markham--Unionville"," 61","Markham",89,3,8,64,0,164,526
35056,"Markham--Unionville/Markham--Unionville"," 62","Markham",75,7,12,65,0,159,505
35056,"Markham--Unionville/Markham--Unionville"," 63","Markham",79,11,6,55,1,152,653
35056,"Markham--Unionville/Markham--Unionville"," 64","Markham",45,3,13,50,0,111,448
35056,"Markham--Unionville/Markham--Unionville"," 65","Markham",98,2,6,48,1,155,562
35056,"Markham--Unionville/Markham--Unionville"," 66","Markham",92,4,9,60,2,167,583
35056,"Markham--Unionville/Markham--Unionville"," 67","Markham",78,1,6,70,1,156,588
35056,"Markham--Unionville/Markham--Unionville"," 68","Markham",75,1,18,34,0,128,571
35056,"Markham--Unionville/Markham--Unionville"," 69","Markham",82,7,3,58,1,151,646
35056,"Markham--Unionville/Markham--Unionville"," 70","Markham",81,4,11,60,0,156,567
35056,"Markham--Unionville/Markham--Unionville"," 71","Markham",96,11,18,65,2,192,765
35056,"Markham--Unionville/Markham--Unionville"," 72","Markham",124,7,18,94,1,244,449
35056,"Markham--Unionville/Markham--Unionville"," 73","Markham",49,5,23,52,1,130,446
35056,"Markham--Unionville/Markham--Unionville"," 74","Markham",66,9,13,64,2,154,541
35056,"Markham--Unionville/Markham--Unionville"," 75","Markham",73,6,6,75,2,162,595
35056,"Markham--Unionville/Markham--Unionville"," 76","Markham",Merged with No./Fusionné avec le n°72,,,,,,404
35056,"Markham--Unionville/Markham--Unionville"," 77","Markham",Merged with No./Fusionné avec le n°78,,,,,,388
35056,"Markham--Unionville/Markham--Unionville"," 78","Markham",124,5,18,98,1,246,429
35056,"Markham--Unionville/Markham--Unionville"," 79","Markham",Merged with No./Fusionné avec le n°81,,,,,,372
35056,"Markham--Unionville/Markham--Unionville"," 80","Markham",57,2,8,52,0,119,468
35056,"Markham--Unionville/Markham--Unionville"," 81","Markham",92,8,9,84,3,196,430
35056,"Markham--Unionville/Markham--Unionville"," 82","Markham",47,3,14,57,4,125,483
35056,"Markham--Unionville/Markham--Unionville"," 83","Markham",76,2,11,87,2,178,540
35056,"Markham--Unionville/Markham--Unionville"," 84","Markham",50,6,7,62,3,128,480
35056,"Markham--Unionville/Markham--Unionville"," 85","Markham",65,4,7,72,4,152,514
35056,"Markham--Unionville/Markham--Unionville"," 86","Markham",70,3,4,51,2,130,454
35056,"Markham--Unionville/Markham--Unionville"," 87","Markham",52,1,6,86,1,146,559
35056,"Markham--Unionville/Markham--Unionville"," 88","Markham",133,8,12,86,0,239,544
35056,"Markham--Unionville/Markham--Unionville"," 89","Markham",Merged with No./Fusionné avec le n°88,,,,,,337
35056,"Markham--Unionville/Markham--Unionville"," 90","Markham",133,3,12,109,0,257,504
35056,"Markham--Unionville/Markham--Unionville"," 91","Markham",Merged with No./Fusionné avec le n°90,,,,,,446
35056,"Markham--Unionville/Markham--Unionville"," 92","Markham",80,1,11,49,1,142,544
35056,"Markham--Unionville/Markham--Unionville"," 93","Markham",71,2,13,53,3,142,524
35056,"Markham--Unionville/Markham--Unionville"," 94","Markham",61,4,10,51,0,126,544
35056,"Markham--Unionville/Markham--Unionville"," 95","Markham",102,7,23,71,3,206,758
35056,"Markham--Unionville/Markham--Unionville"," 96","Markham",146,7,24,84,1,262,494
35056,"Markham--Unionville/Markham--Unionville"," 97","Markham",Merged with No./Fusionné avec le n°96,,,,,,441
35056,"Markham--Unionville/Markham--Unionville"," 98","Markham",69,7,8,77,3,164,363
35056,"Markham--Unionville/Markham--Unionville"," 99","Markham",97,4,4,86,2,193,392
35056,"Markham--Unionville/Markham--Unionville"," 100","Markham",Merged with No./Fusionné avec le n°99,,,,,,357
35056,"Markham--Unionville/Markham--Unionville"," 101","Markham",85,3,11,57,1,157,334
35056,"Markham--Unionville/Markham--Unionville"," 102","Markham",Merged with No./Fusionné avec le n°101,,,,,,309
35056,"Markham--Unionville/Markham--Unionville"," 103","Markham",57,5,8,40,0,110,454
35056,"Markham--Unionville/Markham--Unionville"," 104","Markham",80,9,28,74,2,193,374
35056,"Markham--Unionville/Markham--Unionville"," 105","Markham",Merged with No./Fusionné avec le n°104,,,,,,350
35056,"Markham--Unionville/Markham--Unionville"," 106","Markham",48,8,15,52,3,126,360
35056,"Markham--Unionville/Markham--Unionville"," 107","Markham",61,6,12,47,4,130,478
35056,"Markham--Unionville/Markham--Unionville"," 108","Markham",60,1,8,36,0,105,428
35056,"Markham--Unionville/Markham--Unionville"," 109","Markham",Merged with No./Fusionné avec le n°110,,,,,,321
35056,"Markham--Unionville/Markham--Unionville"," 110","Markham",71,5,7,84,0,167,336
35056,"Markham--Unionville/Markham--Unionville"," 111","Markham",70,9,10,70,4,163,552
35056,"Markham--Unionville/Markham--Unionville"," 112","Markham",Merged with No./Fusionné avec le n°98,,,,,,320
35056,"Markham--Unionville/Markham--Unionville"," 113","Markham",76,4,13,64,0,157,526
35056,"Markham--Unionville/Markham--Unionville"," 114","Markham",72,10,13,100,0,195,531
35056,"Markham--Unionville/Markham--Unionville"," 115","Markham",65,4,9,63,1,142,559
35056,"Markham--Unionville/Markham--Unionville"," 116","Markham",36,3,9,66,1,115,425
35056,"Markham--Unionville/Markham--Unionville"," 117","Markham",95,8,15,85,3,206,378
35056,"Markham--Unionville/Markham--Unionville"," 118","Markham",Merged with No./Fusionné avec le n°117,,,,,,360
35056,"Markham--Unionville/Markham--Unionville"," 119","Markham",52,7,4,60,0,123,471
35056,"Markham--Unionville/Markham--Unionville"," 120","Markham",128,11,11,80,4,234,385
35056,"Markham--Unionville/Markham--Unionville"," 121","Markham",Merged with No./Fusionné avec le n°120,,,,,,357
35056,"Markham--Unionville/Markham--Unionville"," 122","Markham",99,5,14,95,4,217,416
35056,"Markham--Unionville/Markham--Unionville"," 123","Markham",Merged with No./Fusionné avec le n°122,,,,,,351
35056,"Markham--Unionville/Markham--Unionville"," 124","Markham",95,6,22,94,7,224,378
35056,"Markham--Unionville/Markham--Unionville"," 125","Markham",Merged with No./Fusionné avec le n°163,,,,,,399
35056,"Markham--Unionville/Markham--Unionville"," 126","Markham",72,7,5,48,3,135,384
35056,"Markham--Unionville/Markham--Unionville"," 127","Markham",70,3,7,44,0,124,341
35056,"Markham--Unionville/Markham--Unionville"," 128","Markham",Merged with No./Fusionné avec le n°124,,,,,,368
35056,"Markham--Unionville/Markham--Unionville"," 129","Markham",64,5,10,64,3,146,324
35056,"Markham--Unionville/Markham--Unionville"," 130","Markham",121,7,18,95,1,242,430
35056,"Markham--Unionville/Markham--Unionville"," 131","Markham",Merged with No./Fusionné avec le n°130,,,,,,359
35056,"Markham--Unionville/Markham--Unionville"," 132","Markham",Merged with No./Fusionné avec le n°143,,,,,,196
35056,"Markham--Unionville/Markham--Unionville"," 133","Markham",98,8,13,58,2,179,581
35056,"Markham--Unionville/Markham--Unionville"," 134A","Markham",54,2,12,68,2,138,502
35056,"Markham--Unionville/Markham--Unionville"," 134B","Mobile poll/Bureau itinérant",3,0,1,15,0,19,22
35056,"Markham--Unionville/Markham--Unionville"," 135","Markham",130,9,22,96,4,261,511
35056,"Markham--Unionville/Markham--Unionville"," 136","Markham",83,6,15,35,1,140,567
35056,"Markham--Unionville/Markham--Unionville"," 137","Markham",87,4,9,39,4,143,544
35056,"Markham--Unionville/Markham--Unionville"," 138","Markham",Merged with No./Fusionné avec le n°135,,,,,,490
35056,"Markham--Unionville/Markham--Unionville"," 139","Markham",89,7,15,43,3,157,600
35056,"Markham--Unionville/Markham--Unionville"," 140","Markham",134,3,19,88,3,247,524
35056,"Markham--Unionville/Markham--Unionville"," 141","Markham",97,3,11,59,2,172,578
35056,"Markham--Unionville/Markham--Unionville"," 142","Markham",126,5,12,63,1,207,560
35056,"Markham--Unionville/Markham--Unionville"," 143","Markham",77,11,12,87,3,190,556
35056,"Markham--Unionville/Markham--Unionville"," 144","Markham",97,2,11,98,4,212,665
35056,"Markham--Unionville/Markham--Unionville"," 145","Markham",44,5,4,54,0,107,481
35056,"Markham--Unionville/Markham--Unionville"," 146","Markham",108,6,27,98,3,242,899
35056,"Markham--Unionville/Markham--Unionville"," 147","Markham",102,6,21,76,0,205,819
35056,"Markham--Unionville/Markham--Unionville"," 148","Markham",Merged with No./Fusionné avec le n°140,,,,,,461
35056,"Markham--Unionville/Markham--Unionville"," 149","Markham",52,4,5,67,2,130,396
35056,"Markham--Unionville/Markham--Unionville"," 150","Markham",96,8,8,68,1,181,373
35056,"Markham--Unionville/Markham--Unionville"," 151","Markham",Merged with No./Fusionné avec le n°150,,,,,,337
35056,"Markham--Unionville/Markham--Unionville"," 152","Markham",86,13,20,81,1,201,553
35056,"Markham--Unionville/Markham--Unionville"," 153","Markham",Merged with No./Fusionné avec le n°152,,,,,,415
35056,"Markham--Unionville/Markham--Unionville"," 154","Markham",59,8,6,55,1,129,420
35056,"Markham--Unionville/Markham--Unionville"," 155","Markham",78,4,6,41,0,129,413
35056,"Markham--Unionville/Markham--Unionville"," 156","Markham",91,5,13,91,3,203,383
35056,"Markham--Unionville/Markham--Unionville"," 157","Markham",Merged with No./Fusionné avec le n°156,,,,,,351
35056,"Markham--Unionville/Markham--Unionville"," 158","Markham",Merged with No./Fusionné avec le n°159,,,,,,347
35056,"Markham--Unionville/Markham--Unionville"," 159","Markham",121,4,8,91,1,225,480
35056,"Markham--Unionville/Markham--Unionville"," 160","Markham",Merged with No./Fusionné avec le n°161,,,,,,373
35056,"Markham--Unionville/Markham--Unionville"," 161","Markham",110,6,15,89,5,225,397
35056,"Markham--Unionville/Markham--Unionville"," 162","Markham",106,5,21,55,3,190,413
35056,"Markham--Unionville/Markham--Unionville"," 163","Markham",93,10,24,92,2,221,404
35056,"Markham--Unionville/Markham--Unionville"," 164","Markham",134,8,26,86,4,258,960
35056,"Markham--Unionville/Markham--Unionville"," 165","Markham",62,4,12,61,0,139,251
35056,"Markham--Unionville/Markham--Unionville"," 166","Markham",61,3,8,35,0,107,207
35056,"Markham--Unionville/Markham--Unionville"," 167","Markham",Merged with No./Fusionné avec le n°168,,,,,,318
35056,"Markham--Unionville/Markham--Unionville"," 168","Markham",72,7,14,70,1,164,484
35056,"Markham--Unionville/Markham--Unionville"," 400","Markham",76,5,14,38,0,133,244
35056,"Markham--Unionville/Markham--Unionville"," 401","Markham",82,3,9,52,0,146,255
35056,"Markham--Unionville/Markham--Unionville"," 402","Markham",53,5,8,31,3,100,190
35056,"Markham--Unionville/Markham--Unionville"," 403","Markham",72,2,7,65,1,147,222
35056,"Markham--Unionville/Markham--Unionville"," 404","Markham",88,1,10,52,4,155,217
35056,"Markham--Unionville/Markham--Unionville"," 405","Markham",156,7,3,107,1,274,384
35056,"Markham--Unionville/Markham--Unionville"," 406","Markham",33,2,8,24,1,68,201
35056,"Markham--Unionville/Markham--Unionville"," 407","Markham",Merged with No./Fusionné avec le n°408,,,,,,153
35056,"Markham--Unionville/Markham--Unionville"," 408","Markham",79,9,19,71,5,183,229
35056,"Markham--Unionville/Markham--Unionville"," 409","Markham",76,3,7,54,0,140,173
35056,"Markham--Unionville/Markham--Unionville"," 410","Markham",Merged with No./Fusionné avec le n°409,,,,,,162
35056,"Markham--Unionville/Markham--Unionville"," 411","Markham",53,1,5,27,0,86,188
35056,"Markham--Unionville/Markham--Unionville"," 412","Markham",98,4,16,88,4,210,489
35056,"Markham--Unionville/Markham--Unionville"," 413","Markham",112,8,11,97,1,229,505
35056,"Markham--Unionville/Markham--Unionville"," 414","Markham",23,1,2,34,5,65,167
35056,"Markham--Unionville/Markham--Unionville"," 415","Markham",24,2,8,17,0,51,114
35056,"Markham--Unionville/Markham--Unionville"," 416","Markham",46,2,7,34,2,91,164
35056,"Markham--Unionville/Markham--Unionville"," 417","Markham",Merged with No./Fusionné avec le n°418,,,,,,109
35056,"Markham--Unionville/Markham--Unionville"," 418","Markham",69,1,9,40,0,119,158
35056,"Markham--Unionville/Markham--Unionville"," 419","Markham",29,0,14,28,2,73,202
35056,"Markham--Unionville/Markham--Unionville"," 420","Markham",35,2,5,22,4,68,149
35056,"Markham--Unionville/Markham--Unionville"," 421","Markham",54,1,4,41,2,102,150
35056,"Markham--Unionville/Markham--Unionville"," 422","Markham",Merged with No./Fusionné avec le n°421,,,,,,124
35056,"Markham--Unionville/Markham--Unionville"," 423","Markham",67,0,15,35,0,117,141
35056,"Markham--Unionville/Markham--Unionville"," 424","Markham",Merged with No./Fusionné avec le n°423,,,,,,123
35056,"Markham--Unionville/Markham--Unionville"," 425","Markham",52,6,11,45,0,114,275
35056,"Markham--Unionville/Markham--Unionville"," 426","Markham",66,7,8,34,4,119,321
35056,"Markham--Unionville/Markham--Unionville"," 500","Mobile poll/Bureau itinérant",17,2,5,11,0,35,45
35056,"Markham--Unionville/Markham--Unionville"," 501","Mobile poll/Bureau itinérant",7,2,2,14,3,28,32
35056,"Markham--Unionville/Markham--Unionville"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,35
35056,"Markham--Unionville/Markham--Unionville"," 503","Mobile poll/Bureau itinérant",24,1,1,16,3,45,81
35056,"Markham--Unionville/Markham--Unionville"," 504","Mobile poll/Bureau itinérant",42,2,5,15,3,67,110
35056,"Markham--Unionville/Markham--Unionville"," 600","Markham",561,23,53,681,10,1328,
35056,"Markham--Unionville/Markham--Unionville"," 601","Markham",581,32,63,718,9,1403,
35056,"Markham--Unionville/Markham--Unionville"," 602","Markham",417,31,27,489,1,965,
35056,"Markham--Unionville/Markham--Unionville"," 603","Markham",465,41,59,479,8,1052,
35056,"Markham--Unionville/Markham--Unionville"," 604","Markham",590,31,63,556,3,1243,
35056,"Markham--Unionville/Markham--Unionville"," 605","Markham",234,13,44,202,6,499,
35056,"Markham--Unionville/Markham--Unionville"," 606","Markham",542,29,50,498,8,1127,
35056,"Markham--Unionville/Markham--Unionville"," 607","Markham",625,36,75,607,7,1350,
35056,"Markham--Unionville/Markham--Unionville"," 608","Markham",363,13,39,288,5,708,
35056,"Markham--Unionville/Markham--Unionville"," 609","Markham",338,18,40,285,3,684,
35056,"Markham--Unionville/Markham--Unionville"," 610","Markham",421,26,45,462,4,958,
35056,"Markham--Unionville/Markham--Unionville"," 611","Markham",437,30,56,452,6,981,
35056,"Markham--Unionville/Markham--Unionville"," 612","Markham",524,22,65,534,8,1153,
35056,"Markham--Unionville/Markham--Unionville"," 613","Markham",507,22,71,478,7,1085,
35056,"Markham--Unionville/Markham--Unionville"," 614","Markham",466,16,43,392,1,918,
35056,"Markham--Unionville/Markham--Unionville"," 615","Markham",528,21,51,455,9,1064,
35056,"Markham--Unionville/Markham--Unionville",,Group 1/Groupe 1, 257,24,70,173,23,547,347
35056,"Markham--Unionville/Markham--Unionville",,Group 2/Groupe 2, 1280,66,175,1228,70,2819,
