Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chapman,Carolyn Davis,Ken McDonald,Lainie Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 150","Freshwater",33,9,42,2,0,86,185
10001,"Avalon/Avalon"," 151","Jerseyside",32,14,35,2,0,83,267
10001,"Avalon/Avalon"," 152","Placentia",33,17,70,0,2,122,438
10001,"Avalon/Avalon"," 153","Placentia",46,14,46,2,4,112,359
10001,"Avalon/Avalon"," 154","Southeast Placentia",107,23,104,1,5,240,614
10001,"Avalon/Avalon"," 155","St. Bride's",31,3,43,1,1,79,333
10001,"Avalon/Avalon"," 156","Point Lance",11,0,34,0,0,45,82
10001,"Avalon/Avalon"," 157","Branch",35,3,69,1,0,108,178
10001,"Avalon/Avalon"," 158","Brigus Junction",36,11,46,0,0,93,252
10001,"Avalon/Avalon"," 159","St. Catherine's",24,9,38,1,1,73,273
10001,"Avalon/Avalon"," 160","Mount Carmel",36,10,74,2,0,122,304
10001,"Avalon/Avalon"," 161","Colinet",21,4,35,6,3,69,145
10001,"Avalon/Avalon"," 162","North Harbour",7,1,42,1,3,54,64
10001,"Avalon/Avalon"," 163","Riverhead",23,2,54,1,0,80,158
10001,"Avalon/Avalon"," 164","St. Joseph's",31,3,54,1,2,91,162
10001,"Avalon/Avalon"," 165","Admirals Beach",14,1,35,0,0,50,109
10001,"Avalon/Avalon"," 166","St. Mary's",42,4,79,1,1,127,424
10001,"Avalon/Avalon"," 167","Gaskiers-Point La Haye",24,0,48,1,0,73,143
10001,"Avalon/Avalon"," 168","St. Vincent's-St. Stephen's-Peter's River",28,6,101,2,4,141,275
10001,"Avalon/Avalon"," 169","St. Shotts",15,2,20,1,0,38,60
10001,"Avalon/Avalon"," 170","Mobile",46,11,47,7,0,111,270
10001,"Avalon/Avalon"," 171","Tors Cove",64,38,60,2,3,167,348
10001,"Avalon/Avalon"," 172","Bauline East",42,14,49,4,1,110,207
10001,"Avalon/Avalon"," 173","Cape Broyle",33,15,30,2,4,84,223
10001,"Avalon/Avalon"," 174","Cape Broyle",69,8,86,5,8,176,443
10001,"Avalon/Avalon"," 175","Calvert",27,13,50,0,1,91,185
10001,"Avalon/Avalon"," 176","Ferryland",51,10,64,2,3,130,392
10001,"Avalon/Avalon"," 177","Fermeuse--Port Kirwan",52,19,73,2,1,147,332
10001,"Avalon/Avalon"," 178","Renews",66,7,56,3,0,132,286
10001,"Avalon/Avalon"," 179","Portugal Cove South",10,1,22,1,3,37,98
10001,"Avalon/Avalon"," 180","Trepassey",28,5,40,2,0,75,241
10001,"Avalon/Avalon"," 181","Trepassey",15,8,34,1,2,60,216
10001,"Avalon/Avalon"," 400","Mobile poll/Bureau itinérant",34,9,98,9,0,150,74
10001,"Avalon/Avalon"," 500","Mobile poll/Bureau itinérant",36,9,82,3,3,133,71
10001,"Avalon/Avalon"," 501","Mobile poll/Bureau itinérant",28,11,94,5,2,140,81
10001,"Avalon/Avalon"," 502","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,14
10001,"Avalon/Avalon"," 503","Mobile poll/Bureau itinérant",20,13,38,6,2,79,15
10001,"Avalon/Avalon"," 504","Mobile poll/Bureau itinérant",7,3,22,2,1,35,14
10001,"Avalon/Avalon"," 505","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,12
10001,"Avalon/Avalon"," 506","Mobile poll/Bureau itinérant",Results combined with no. 501/Résultats combinés au n° 501,,,,,,13
10001,"Avalon/Avalon"," 507","Mobile poll/Bureau itinérant",Results combined with no. 501/Résultats combinés au n° 501,,,,,,16
10001,"Avalon/Avalon"," 508","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,14
10001,"Avalon/Avalon"," 509","Mobile poll/Bureau itinérant",Results combined with no. 501/Résultats combinés au n° 501,,,,,,12
10001,"Avalon/Avalon"," 510","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
