Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 56","Pembroke",17,47,0,1,19,40,0,124,389
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 57","Pembroke",23,79,0,6,22,58,0,188,392
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 58","Laurentian Valley",11,59,0,3,14,24,0,111,342
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 59","Laurentian Valley",10,45,0,2,26,25,1,109,285
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 60","Brumsfield",6,42,0,1,20,42,1,112,332
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 61","Hampelsfield",18,74,0,0,39,39,1,171,433
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 62","Pembroke",16,60,0,1,19,49,0,145,392
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 63","Pembroke",15,64,2,2,16,44,1,144,412
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 64","Pembroke",4,69,0,0,28,27,0,128,422
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 65","Pembroke",24,71,1,1,30,29,2,158,448
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 66","Pembroke",12,61,1,0,32,40,0,146,437
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 67","Pembroke",26,74,2,1,36,42,1,182,518
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 68","Pembroke",16,39,1,1,28,49,1,135,433
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 69","Pembroke",4,60,1,2,41,29,1,138,506
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 70","Pembroke",11,44,1,2,27,40,1,126,390
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 71","Pembroke",10,61,2,1,38,55,0,167,437
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 72","Pembroke",3,52,0,2,41,48,1,147,405
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 73","Pembroke",14,84,1,3,34,39,3,178,425
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 74","Pembroke",7,51,2,1,34,56,1,152,395
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 75","Pleasant View",3,41,2,4,30,44,0,124,356
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 76","Pembroke",13,34,1,4,23,57,0,132,393
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 77","Cotnam Island--Pleasant View",16,42,2,1,22,32,1,116,357
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 78","Pleasant View",5,80,1,2,38,47,1,174,430
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 79","Cotnam Island",9,50,2,3,30,31,2,127,350
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 80","Pembroke",18,60,2,1,30,42,0,153,408
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 81","Perretton",2,67,2,2,14,26,1,114,302
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 82","Kathmae Siding",6,78,1,0,38,42,0,165,416
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 83","The Glen",10,92,0,2,16,43,1,164,434
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 84","Rocher Fendu",8,91,1,0,27,48,0,175,370
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 85","Beachburg",11,87,3,3,20,57,2,183,489
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 86","Laurentian Valley",7,78,1,0,10,28,0,124,303
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 87","Stonebrook",9,76,0,0,15,29,1,130,271
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 88","Laurentian Valley",11,93,1,5,28,42,6,186,357
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 89","Laurentian Valley",24,115,1,1,33,45,0,219,381
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 90","Davis Mills",11,84,1,0,25,25,0,146,291
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 91","Nipissing",13,88,0,4,14,35,1,155,336
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 92","Alice",19,119,0,2,29,27,0,196,353
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 93","Alice",15,120,0,2,20,38,3,198,360
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 94","Foresters Falls",6,126,0,2,25,43,0,202,405
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 95","Whitewater Region",16,84,1,2,28,40,0,171,400
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 96","Ross",9,80,0,0,17,30,2,138,292
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 97","Snake River",22,73,0,1,20,28,1,145,360
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 98","Cobden",23,71,3,3,15,36,0,151,379
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 99","Cobden",12,70,1,3,18,45,1,150,354
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 100","Osceola",12,71,1,1,23,15,2,125,312
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 101","French Settlement",12,74,1,3,15,28,3,136,267
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 102","Micksburg",20,80,1,3,27,19,3,153,268
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 103","Slabtown",28,131,0,3,23,49,2,236,427
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 104","Lake Doré",27,116,2,4,32,53,0,234,475
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 105","McLarens Settlement",14,119,0,7,21,48,0,209,369
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 106","Haley Station",22,133,1,1,34,44,2,237,399
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 107","Castleford",6,106,4,0,44,33,1,194,335
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 108","Fergusons Beach",9,140,1,10,26,51,3,240,377
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 109","Horton",12,119,1,2,21,28,1,184,354
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 110","Mayhew",12,88,0,0,22,24,1,147,296
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 111","Pine Valley",11,79,0,1,15,15,0,121,222
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 112","Rosebank",10,85,1,3,24,15,0,138,247
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 113","Tramore",17,106,1,0,34,34,3,195,351
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 114","Round Lake Centre",15,120,0,1,33,34,4,207,348
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 115","Round Lake Centre",28,86,0,0,23,24,0,161,269
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 116","Cotieville",13,82,3,0,29,20,0,147,431
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 117","Renfrew",7,98,1,7,41,33,2,189,584
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 118","Renfrew",23,71,1,3,19,29,1,147,402
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 119","Renfrew",12,52,1,1,23,48,1,138,438
