Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Campbell,Donovan Eckstrom,Shawn McLean,Ambrose Ralph,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 104","Grande Prairie",6,0,4,0,14,21,0,45,188
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 105","Grande Prairie",13,1,15,8,27,102,3,169,342
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 106","Grande Prairie",6,0,13,11,26,91,0,147,432
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 107","Grande Prairie",9,1,14,11,32,94,1,162,406
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 108","Grande Prairie",12,2,9,2,14,78,0,117,254
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 109","Grande Prairie",6,0,15,7,16,77,0,121,319
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 110","Grande Prairie",5,2,9,11,20,74,0,121,350
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 111","Grande Prairie",2,0,18,1,17,60,1,99,354
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 112","Grande Prairie",8,0,17,8,26,40,0,99,386
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 113","Grande Prairie",4,1,6,5,22,54,1,93,383
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 114","Grande Prairie",12,0,17,3,26,70,1,129,449
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 115","Grande Prairie",14,2,17,1,26,56,1,117,527
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 116","Grande Prairie",3,0,14,7,24,81,0,129,359
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 117","Grande Prairie",7,0,13,8,16,84,2,130,420
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 118","Grande Prairie",6,2,21,3,26,49,0,107,347
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 119","Grande Prairie",11,2,10,5,24,46,0,98,357
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 120","Grande Prairie",10,1,15,3,19,119,0,167,424
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 121","Grande Prairie",5,0,15,4,25,134,0,183,471
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 122","Grande Prairie",17,2,21,8,42,172,0,262,565
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 123","Grande Prairie",12,1,27,3,35,120,1,199,441
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 124","Grande Prairie",12,1,12,17,28,121,0,191,418
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 125","Grande Prairie",10,0,15,6,22,118,2,173,351
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 126","Grande Prairie",8,0,13,10,25,92,2,150,406
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 127","Grande Prairie",4,1,6,4,8,86,2,111,344
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 128","Grande Prairie",3,3,18,7,20,88,0,139,357
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 129","Grande Prairie",6,0,15,7,18,90,2,138,384
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 130","Dimsdale",12,4,29,17,32,317,0,411,726
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 131","Grande Prairie",4,3,13,4,24,73,2,123,410
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 132","Grande Prairie",8,4,21,8,23,138,1,203,581
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 133","Grande Prairie",13,3,12,9,30,77,1,145,420
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 134","Grande Prairie",10,0,9,2,28,145,1,195,506
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 135","Grande Prairie",9,0,16,5,24,138,1,193,435
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 136","Grande Prairie",9,1,28,5,51,160,1,255,647
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 137","Grande Prairie",7,1,21,5,25,79,1,139,394
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 138","Grande Prairie",5,1,17,2,17,82,1,125,348
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 139","Grande Prairie",11,0,19,2,25,111,0,168,398
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 140","Grande Prairie",13,0,25,5,18,60,3,124,273
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 141","Grande Prairie",7,1,23,5,20,115,3,174,557
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 142","Grande Prairie",6,2,15,6,20,74,4,127,391
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 143","Grande Prairie",4,1,19,5,24,106,0,159,478
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 144","Grande Prairie",11,0,4,5,23,30,0,73,254
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 145","Grande Prairie",19,0,13,2,12,73,2,121,415
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 146","Grande Prairie",11,0,19,7,22,85,0,144,476
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 147","Grande Prairie",8,3,26,3,35,112,1,188,517
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 148","Grande Prairie",10,0,27,11,49,129,1,227,686
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 149","Grande Prairie",17,2,32,9,31,151,0,242,743
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 150","Grande Prairie",17,1,24,5,41,176,3,267,721
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 151","Grande Prairie",11,0,14,6,29,130,0,190,505
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 152","Grande Prairie",10,0,18,6,26,86,0,146,450
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 153","Grande Prairie",11,5,35,6,47,200,1,305,877
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 154","Grande Prairie",17,1,27,5,23,72,3,148,386
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 155","Grande Prairie",5,2,9,3,13,38,0,70,265
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 156","Grande Prairie",3,2,17,2,15,125,1,165,398
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 157","Grande Prairie",5,3,16,6,45,169,0,244,536
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 158","Grande Prairie",12,2,13,6,28,183,1,245,529
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 159","Grande Prairie",10,0,14,7,36,167,0,234,537
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 160","Grande Prairie",11,2,23,9,28,108,0,181,391
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 161","Grande Prairie",3,3,9,5,24,88,1,133,335
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 162","Grande Prairie",12,2,27,7,32,109,0,189,476
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 163","Grande Prairie",6,2,26,9,31,120,1,195,475
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 164","Grande Prairie",12,0,14,2,46,146,1,221,440
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 165","Grande Prairie",6,3,13,6,25,74,4,131,417
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 166","Grande Prairie",8,3,12,2,42,102,0,169,450
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 167","Grande Prairie",19,3,26,1,63,136,0,248,535
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 168","Grande Prairie",15,2,10,2,25,96,0,150,456
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 169","Grande Prairie",17,3,34,8,24,166,2,254,617
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 170","Grande Prairie",11,2,15,5,25,91,0,149,387
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 171","Grande Prairie",5,1,26,13,28,137,0,210,475
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 172","Grande Prairie",8,0,13,3,33,72,1,130,400
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 173","Grande Prairie",11,1,17,6,46,128,0,209,499
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 174","Grande Prairie",5,0,19,8,27,108,1,168,442
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 175","Grande Prairie",6,1,19,6,22,120,0,174,482
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 176","Grande Prairie",7,4,24,5,29,153,0,222,524
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 177","Flyingshot Lake Settlement",14,0,43,15,31,300,0,403,879
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 178","Grande Prairie",5,0,22,5,25,100,1,158,404
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 179","Grande Prairie",11,4,25,9,35,215,1,300,689
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 180","Grande Prairie",6,2,18,7,43,134,0,210,531
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 181","Grande Prairie",9,1,13,3,31,98,0,155,345
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 182","Grande Prairie",6,2,13,8,29,147,0,205,472
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 183","Grande Prairie",12,2,24,2,35,106,1,182,517
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 184","Grande Prairie",8,1,20,9,30,140,0,208,470
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 185","Kleskun Hill",5,0,24,9,10,176,0,224,480
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 186","Bezanson",4,1,39,22,20,261,2,349,573
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 187","Grande Prairie",14,1,27,7,39,149,0,237,560
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 188","Grande Prairie",8,6,22,0,42,131,0,209,408
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 189","Grande Prairie",2,3,22,3,29,109,0,168,439
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 190","Grande Prairie",15,1,12,5,22,93,0,148,401
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 191","Grande Prairie County No. 1",2,0,6,1,13,63,0,85,259
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 192","Grande Prairie County No. 1",3,1,6,8,9,99,0,126,329
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 193","Grande Prairie County No. 1",15,0,21,9,28,271,3,347,783
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 194","Grande Prairie County No. 1",7,0,5,1,2,62,0,77,178
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 195","Grande Prairie County No. 1",6,0,16,6,20,174,1,223,435
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 196","Grande Prairie County No. 1",8,1,35,8,40,302,0,394,682
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 197","Wapiti",8,2,61,9,24,211,2,317,453
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 198","Grovedale",13,2,74,14,29,236,4,372,591
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 199","DeBolt",1,1,7,8,12,107,1,137,262
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 200","Crooked Creek",2,1,12,5,10,99,0,129,411
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 201","Sturgeon Heights",4,0,17,13,21,133,3,191,207
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 202","Sturgeon Lake 154",27,0,7,9,125,26,2,196,756
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 203","Goodwin",0,0,12,14,5,66,1,98,166
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 400","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°101B,,,,,,,,28
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 500","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,4
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 501","Mobile poll/Bureau itinérant",1,0,1,0,2,11,0,15,21
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 502","Mobile poll/Bureau itinérant",3,0,0,0,1,5,0,9,14
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 503","Mobile poll/Bureau itinérant",2,0,1,0,2,21,2,28,28
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,10
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,42
