Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lena Metlege Diab,Eleanor Humphries,Jonathan Keith Roberts,Kevin Schulthies,Julie Scott,Richard Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 164","Halifax",32,19,23,0,2,0,0,76,302
12006,"Halifax West/Halifax-Ouest"," 165A","Halifax",49,15,24,0,3,4,1,96,310
12006,"Halifax West/Halifax-Ouest"," 165B","Halifax",60,17,16,0,1,3,0,97,146
12006,"Halifax West/Halifax-Ouest"," 166A","Halifax",53,21,30,0,2,2,1,109,359
12006,"Halifax West/Halifax-Ouest"," 166B","Halifax",55,12,26,0,2,1,0,96,293
12006,"Halifax West/Halifax-Ouest"," 167A","Halifax",21,2,14,0,1,0,0,38,126
12006,"Halifax West/Halifax-Ouest"," 167B","Halifax",26,7,12,0,3,1,1,50,131
12006,"Halifax West/Halifax-Ouest"," 167C","Halifax",38,25,15,0,7,2,1,88,141
12006,"Halifax West/Halifax-Ouest"," 168","Halifax",59,17,29,1,4,0,0,110,176
12006,"Halifax West/Halifax-Ouest"," 169","Halifax",115,51,64,0,5,2,0,237,546
12006,"Halifax West/Halifax-Ouest"," 170A","Halifax",9,4,10,0,2,0,0,25,64
12006,"Halifax West/Halifax-Ouest"," 170B","Halifax",85,30,27,0,4,0,0,146,277
12006,"Halifax West/Halifax-Ouest"," 171","Halifax",50,29,36,0,4,2,0,121,353
12006,"Halifax West/Halifax-Ouest"," 172","Halifax",75,30,76,0,17,6,1,205,501
12006,"Halifax West/Halifax-Ouest"," 173","Halifax",65,34,52,0,7,8,0,166,465
12006,"Halifax West/Halifax-Ouest"," 174","Halifax",79,39,50,2,9,4,0,183,446
12006,"Halifax West/Halifax-Ouest"," 175A","Halifax",61,40,63,0,3,8,0,175,358
12006,"Halifax West/Halifax-Ouest"," 175B","Halifax",60,25,34,0,3,1,0,123,256
12006,"Halifax West/Halifax-Ouest"," 176","Halifax",73,39,52,1,5,3,0,173,430
12006,"Halifax West/Halifax-Ouest"," 177","Halifax",86,27,67,0,5,3,0,188,487
12006,"Halifax West/Halifax-Ouest"," 178","Halifax",55,15,38,0,5,2,2,117,399
12006,"Halifax West/Halifax-Ouest"," 179","Halifax",72,41,42,1,7,8,0,171,442
12006,"Halifax West/Halifax-Ouest"," 180","Halifax",119,45,44,0,4,5,0,217,459
12006,"Halifax West/Halifax-Ouest"," 181","Halifax",50,21,46,0,9,5,0,131,415
12006,"Halifax West/Halifax-Ouest"," 182","Halifax",57,21,45,0,5,3,0,131,388
12006,"Halifax West/Halifax-Ouest"," 183","Halifax",66,27,39,0,1,9,1,143,366
12006,"Halifax West/Halifax-Ouest"," 184","Halifax",45,16,33,0,4,3,0,101,441
12006,"Halifax West/Halifax-Ouest"," 185A","Halifax",77,37,31,0,4,1,1,151,397
12006,"Halifax West/Halifax-Ouest"," 185B","Halifax",48,49,30,0,3,3,0,133,352
12006,"Halifax West/Halifax-Ouest"," 185C","Halifax",12,12,9,0,1,2,2,38,55
12006,"Halifax West/Halifax-Ouest"," 186","Halifax",111,41,41,0,8,2,1,204,431
12006,"Halifax West/Halifax-Ouest"," 187","Halifax",56,22,38,0,10,2,1,129,379
12006,"Halifax West/Halifax-Ouest"," 188","Halifax",114,44,10,3,1,6,2,180,279
12006,"Halifax West/Halifax-Ouest"," 400","Halifax",37,16,12,1,2,2,1,71,153
12006,"Halifax West/Halifax-Ouest"," 401","Halifax",54,19,8,0,3,0,1,85,161
12006,"Halifax West/Halifax-Ouest"," 402","Halifax",29,16,12,0,0,0,0,57,99
12006,"Halifax West/Halifax-Ouest"," 403","Halifax",41,15,6,0,1,2,0,65,132
12006,"Halifax West/Halifax-Ouest"," 404","Halifax",59,29,10,2,2,2,1,105,157
12006,"Halifax West/Halifax-Ouest"," 405","Halifax",Void/Supprimé,,,,,,,,
12006,"Halifax West/Halifax-Ouest"," 406","Halifax",21,18,2,2,1,3,4,51,206
12006,"Halifax West/Halifax-Ouest"," 407","Halifax",Void/Supprimé,,,,,,,,
12006,"Halifax West/Halifax-Ouest"," 408A","Halifax",Merged with No./Fusionné avec le n°104A,,,,,,,,66
12006,"Halifax West/Halifax-Ouest"," 408B","Halifax",Merged with No./Fusionné avec le n°104B,,,,,,,,81
12006,"Halifax West/Halifax-Ouest"," 500","Mobile poll/Bureau itinérant",8,1,4,0,0,0,0,13,29
12006,"Halifax West/Halifax-Ouest"," 501","Mobile poll/Bureau itinérant",22,9,4,0,3,3,0,41,62
12006,"Halifax West/Halifax-Ouest"," 502","Mobile poll/Bureau itinérant",5,3,0,0,0,0,0,8,14
12006,"Halifax West/Halifax-Ouest"," 503","Mobile poll/Bureau itinérant",7,7,2,0,2,0,0,18,55
12006,"Halifax West/Halifax-Ouest"," 504","Mobile poll/Bureau itinérant",4,1,0,0,1,0,0,6,9
12006,"Halifax West/Halifax-Ouest"," 505","Mobile poll/Bureau itinérant",42,7,3,0,0,3,0,55,85
12006,"Halifax West/Halifax-Ouest"," 506","Mobile poll/Bureau itinérant",18,3,5,0,1,2,0,29,52
12006,"Halifax West/Halifax-Ouest"," 507","Mobile poll/Bureau itinérant",23,4,2,0,1,0,0,30,46
12006,"Halifax West/Halifax-Ouest"," 508","Mobile poll/Bureau itinérant",10,9,3,1,3,3,0,29,82
12006,"Halifax West/Halifax-Ouest"," 509","Mobile poll/Bureau itinérant",7,1,1,0,0,0,0,9,12
12006,"Halifax West/Halifax-Ouest"," 600","Halifax",460,205,140,2,23,22,0,852,
12006,"Halifax West/Halifax-Ouest"," 601","Halifax",400,197,122,1,16,9,2,747,
12006,"Halifax West/Halifax-Ouest"," 602","Pockwock",380,317,150,0,15,12,0,874,
12006,"Halifax West/Halifax-Ouest"," 603","Halifax",587,355,150,2,22,26,2,1144,
12006,"Halifax West/Halifax-Ouest"," 604","Halifax",528,201,175,1,19,11,4,939,
12006,"Halifax West/Halifax-Ouest"," 605","Halifax",719,410,225,2,29,36,2,1423,
12006,"Halifax West/Halifax-Ouest"," 606","Halifax",975,321,277,2,42,33,3,1653,
12006,"Halifax West/Halifax-Ouest"," 607","Halifax",848,384,222,2,31,38,3,1528,
12006,"Halifax West/Halifax-Ouest"," 608","Halifax",518,168,232,3,31,18,3,973,
12006,"Halifax West/Halifax-Ouest"," 609","Halifax",447,167,238,0,16,10,0,878,
12006,"Halifax West/Halifax-Ouest"," 610","Halifax",505,145,304,2,29,19,2,1006,
12006,"Halifax West/Halifax-Ouest"," 611","Halifax",302,111,139,2,23,10,2,589,
12006,"Halifax West/Halifax-Ouest"," 612","Halifax",341,140,152,0,19,18,1,671,
12006,"Halifax West/Halifax-Ouest"," 613","Halifax",437,141,208,1,26,21,1,835,
12006,"Halifax West/Halifax-Ouest"," 614","Halifax",382,178,96,0,14,12,2,684,
12006,"Halifax West/Halifax-Ouest"," 615","Halifax",390,175,101,0,19,8,1,694,
12006,"Halifax West/Halifax-Ouest"," 616","English Corner",390,199,131,0,17,25,1,763,
12006,"Halifax West/Halifax-Ouest"," 617","Halifax",339,134,115,0,5,7,2,602,
12006,"Halifax West/Halifax-Ouest"," 618","Halifax",481,189,184,1,40,21,3,919,
12006,"Halifax West/Halifax-Ouest",,Group 1/Groupe 1, 375,256,188,2,28,22,55,926,185
12006,"Halifax West/Halifax-Ouest",,Group 2/Groupe 2, 1207,363,356,6,26,31,31,2020,
