Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Xavier Barsalou-Duval,Alexandre Blais,Carole Boisvert,Louis-Gabriel Girard,Martin Leprohon,Jérôme Painchaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 78","Saint-Amable",64,6,0,29,10,11,1,121,287
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 79","Saint-Amable",84,6,6,69,14,20,5,204,397
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 80","Varennes",76,1,2,38,17,12,0,146,425
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 81","Varennes",80,4,0,20,11,6,4,125,393
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 82","Varennes",64,3,2,36,12,12,7,136,366
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 83","Varennes",76,2,1,38,18,13,0,148,428
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 84","Varennes",106,0,5,36,15,11,2,175,451
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 85","Varennes",111,3,3,28,19,8,1,173,509
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 86","Varennes",73,2,3,22,14,11,3,128,375
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 87","Saint-Amable",56,6,0,24,6,8,3,103,317
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 88","Saint-Amable",43,1,2,20,3,8,3,80,300
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 89","Saint-Amable",39,3,5,20,4,9,2,82,296
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 90","Saint-Amable",87,5,2,19,10,7,6,136,447
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 91","Saint-Amable",59,1,2,42,21,18,3,146,470
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 92","Saint-Amable",141,12,6,48,17,29,10,263,649
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 93","Saint-Amable",50,5,1,21,12,13,5,107,270
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 94A","Saint-Amable",92,12,1,35,15,16,3,174,415
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 94B","Saint-Amable",75,4,0,46,13,8,3,149,402
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 95","Saint-Amable",68,7,3,34,12,7,6,137,305
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 96","Saint-Amable",49,4,1,25,3,4,2,88,238
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 97","Saint-Amable",65,1,5,19,8,9,5,112,354
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 98","Saint-Amable",75,7,6,28,11,11,4,142,357
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 99","Varennes",84,2,3,36,15,5,0,145,442
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 100","Varennes",76,2,0,27,6,24,1,136,430
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 101","Varennes",91,3,2,25,21,11,1,154,486
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 102","Varennes",84,3,2,40,18,7,1,155,418
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 103","Varennes",97,6,2,48,26,8,1,188,517
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 104","Varennes",100,2,1,54,19,17,3,196,369
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 105","Varennes",89,3,2,37,16,10,0,157,417
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 106","Varennes",77,3,3,25,10,20,2,140,537
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 107","Varennes",81,6,0,54,13,14,3,171,414
