Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Coteau,Peter De Marco,Simon Topp,Penelope Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 30A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,108
35019,"Don Valley East/Don Valley-Est"," 30B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,96
35019,"Don Valley East/Don Valley-Est"," 30C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 30D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,123
35019,"Don Valley East/Don Valley-Est"," 30E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,105
35019,"Don Valley East/Don Valley-Est"," 31A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,69
35019,"Don Valley East/Don Valley-Est"," 31B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,87
35019,"Don Valley East/Don Valley-Est"," 31C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,53
35019,"Don Valley East/Don Valley-Est"," 31D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,108
35019,"Don Valley East/Don Valley-Est"," 31E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,138
35019,"Don Valley East/Don Valley-Est"," 32","Toronto",Merged with No./Fusionné avec le n°26,,,,,,289
35019,"Don Valley East/Don Valley-Est"," 33","Toronto",114,12,48,52,1,227,316
35019,"Don Valley East/Don Valley-Est"," 34","Toronto",71,10,11,45,0,137,373
35019,"Don Valley East/Don Valley-Est"," 35","Toronto",Merged with No./Fusionné avec le n°33,,,,,,408
35019,"Don Valley East/Don Valley-Est"," 36","Toronto",66,6,14,38,0,124,343
35019,"Don Valley East/Don Valley-Est"," 37","Toronto",71,3,16,53,2,145,372
35019,"Don Valley East/Don Valley-Est"," 38A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,99
35019,"Don Valley East/Don Valley-Est"," 38B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,81
35019,"Don Valley East/Don Valley-Est"," 38C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 38D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,118
35019,"Don Valley East/Don Valley-Est"," 38E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,97
35019,"Don Valley East/Don Valley-Est"," 39A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,106
35019,"Don Valley East/Don Valley-Est"," 39B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,109
35019,"Don Valley East/Don Valley-Est"," 39C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,59
35019,"Don Valley East/Don Valley-Est"," 39D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,90
35019,"Don Valley East/Don Valley-Est"," 39E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,103
35019,"Don Valley East/Don Valley-Est"," 40A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,66
35019,"Don Valley East/Don Valley-Est"," 40B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 40C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,74
35019,"Don Valley East/Don Valley-Est"," 40D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,109
35019,"Don Valley East/Don Valley-Est"," 40E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,94
35019,"Don Valley East/Don Valley-Est"," 41A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,53
35019,"Don Valley East/Don Valley-Est"," 41B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,59
35019,"Don Valley East/Don Valley-Est"," 41C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,62
35019,"Don Valley East/Don Valley-Est"," 41D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 41E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,99
35019,"Don Valley East/Don Valley-Est"," 42A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,59
35019,"Don Valley East/Don Valley-Est"," 42B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,86
35019,"Don Valley East/Don Valley-Est"," 42C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,98
35019,"Don Valley East/Don Valley-Est"," 42D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,76
35019,"Don Valley East/Don Valley-Est"," 43A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,82
35019,"Don Valley East/Don Valley-Est"," 43B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 43C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,98
35019,"Don Valley East/Don Valley-Est"," 43D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,101
35019,"Don Valley East/Don Valley-Est"," 44A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,87
35019,"Don Valley East/Don Valley-Est"," 44B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,83
35019,"Don Valley East/Don Valley-Est"," 44C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,110
35019,"Don Valley East/Don Valley-Est"," 44D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,99
35019,"Don Valley East/Don Valley-Est"," 45A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,98
35019,"Don Valley East/Don Valley-Est"," 45B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,60
35019,"Don Valley East/Don Valley-Est"," 45C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,88
35019,"Don Valley East/Don Valley-Est"," 45D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,55
35019,"Don Valley East/Don Valley-Est"," 46A","Toronto",50,4,9,46,3,112,80
35019,"Don Valley East/Don Valley-Est"," 46B","Toronto",100,11,11,95,2,219,156
35019,"Don Valley East/Don Valley-Est"," 46C","Toronto",47,4,20,54,1,126,72
35019,"Don Valley East/Don Valley-Est"," 46D","Toronto",96,12,12,71,4,195,117
35019,"Don Valley East/Don Valley-Est"," 47A","Toronto",Merged with No./Fusionné avec le n°46A,,,,,,71
35019,"Don Valley East/Don Valley-Est"," 47B","Toronto",Merged with No./Fusionné avec le n°46B,,,,,,163
35019,"Don Valley East/Don Valley-Est"," 47C","Toronto",Merged with No./Fusionné avec le n°46C,,,,,,95
35019,"Don Valley East/Don Valley-Est"," 47D","Toronto",Merged with No./Fusionné avec le n°46D,,,,,,144
35019,"Don Valley East/Don Valley-Est"," 48A","Toronto",Merged with No./Fusionné avec le n°46A,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 48B","Toronto",Merged with No./Fusionné avec le n°46B,,,,,,136
35019,"Don Valley East/Don Valley-Est"," 48C","Toronto",Merged with No./Fusionné avec le n°46C,,,,,,83
35019,"Don Valley East/Don Valley-Est"," 48D","Toronto",Merged with No./Fusionné avec le n°46D,,,,,,104
35019,"Don Valley East/Don Valley-Est"," 49A","Toronto",Merged with No./Fusionné avec le n°46A,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 49B","Toronto",Merged with No./Fusionné avec le n°46B,,,,,,138
35019,"Don Valley East/Don Valley-Est"," 49C","Toronto",Merged with No./Fusionné avec le n°46C,,,,,,77
35019,"Don Valley East/Don Valley-Est"," 49D","Toronto",Merged with No./Fusionné avec le n°46D,,,,,,122
35019,"Don Valley East/Don Valley-Est"," 50A","Toronto",Merged with No./Fusionné avec le n°46A,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 50B","Toronto",Merged with No./Fusionné avec le n°46B,,,,,,145
35019,"Don Valley East/Don Valley-Est"," 50C","Toronto",Merged with No./Fusionné avec le n°46C,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 50D","Toronto",Merged with No./Fusionné avec le n°46D,,,,,,93
35019,"Don Valley East/Don Valley-Est"," 51A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,106
35019,"Don Valley East/Don Valley-Est"," 51B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,105
35019,"Don Valley East/Don Valley-Est"," 51C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,60
35019,"Don Valley East/Don Valley-Est"," 51D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,133
35019,"Don Valley East/Don Valley-Est"," 51E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 52A","Toronto",103,7,32,61,0,203,104
35019,"Don Valley East/Don Valley-Est"," 52B","Toronto",98,13,33,56,1,201,83
35019,"Don Valley East/Don Valley-Est"," 52C","Toronto",112,18,42,70,1,243,127
35019,"Don Valley East/Don Valley-Est"," 52D","Toronto",89,9,25,63,0,186,67
35019,"Don Valley East/Don Valley-Est"," 53A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,107
35019,"Don Valley East/Don Valley-Est"," 53B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,83
35019,"Don Valley East/Don Valley-Est"," 53C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,98
35019,"Don Valley East/Don Valley-Est"," 53D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,77
35019,"Don Valley East/Don Valley-Est"," 54A","Toronto",Merged with No./Fusionné avec le n°52A,,,,,,135
35019,"Don Valley East/Don Valley-Est"," 54B","Toronto",Merged with No./Fusionné avec le n°52B,,,,,,115
35019,"Don Valley East/Don Valley-Est"," 54C","Toronto",Merged with No./Fusionné avec le n°52C,,,,,,105
35019,"Don Valley East/Don Valley-Est"," 54D","Toronto",Merged with No./Fusionné avec le n°52D,,,,,,110
35019,"Don Valley East/Don Valley-Est"," 55A","Toronto",Merged with No./Fusionné avec le n°29A,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 55B","Toronto",Merged with No./Fusionné avec le n°29B,,,,,,71
35019,"Don Valley East/Don Valley-Est"," 55C","Toronto",Merged with No./Fusionné avec le n°29C,,,,,,43
35019,"Don Valley East/Don Valley-Est"," 55D","Toronto",Merged with No./Fusionné avec le n°29D,,,,,,81
35019,"Don Valley East/Don Valley-Est"," 55E","Toronto",Merged with No./Fusionné avec le n°29E,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 56A","Toronto",111,1,17,20,5,154,159
35019,"Don Valley East/Don Valley-Est"," 56B","Toronto",107,11,15,31,3,167,120
35019,"Don Valley East/Don Valley-Est"," 56C","Toronto",91,3,26,29,1,150,89
35019,"Don Valley East/Don Valley-Est"," 56D","Toronto",46,2,22,35,0,105,79
35019,"Don Valley East/Don Valley-Est"," 57A","Toronto",Merged with No./Fusionné avec le n°56A,,,,,,97
35019,"Don Valley East/Don Valley-Est"," 57B","Toronto",Merged with No./Fusionné avec le n°56B,,,,,,85
35019,"Don Valley East/Don Valley-Est"," 57C","Toronto",Merged with No./Fusionné avec le n°56C,,,,,,113
35019,"Don Valley East/Don Valley-Est"," 57D","Toronto",Merged with No./Fusionné avec le n°56D,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 58A","Toronto",Merged with No./Fusionné avec le n°56A,,,,,,97
35019,"Don Valley East/Don Valley-Est"," 58B","Toronto",Merged with No./Fusionné avec le n°56B,,,,,,95
35019,"Don Valley East/Don Valley-Est"," 58C","Toronto",Merged with No./Fusionné avec le n°56C,,,,,,115
35019,"Don Valley East/Don Valley-Est"," 58D","Toronto",Merged with No./Fusionné avec le n°56D,,,,,,118
35019,"Don Valley East/Don Valley-Est"," 59","Toronto",94,2,8,71,1,176,487
35019,"Don Valley East/Don Valley-Est"," 60","Toronto",86,4,47,59,0,196,559
35019,"Don Valley East/Don Valley-Est"," 61","Toronto",105,15,17,35,2,174,488
35019,"Don Valley East/Don Valley-Est"," 62","Toronto",105,12,19,55,4,195,438
35019,"Don Valley East/Don Valley-Est"," 63","Toronto",88,5,21,43,0,157,407
35019,"Don Valley East/Don Valley-Est"," 64","Toronto",67,1,15,59,1,143,426
35019,"Don Valley East/Don Valley-Est"," 65","Toronto",55,5,16,31,1,108,342
35019,"Don Valley East/Don Valley-Est"," 66","Toronto",62,7,9,33,1,112,559
35019,"Don Valley East/Don Valley-Est"," 67","Toronto",Merged with No./Fusionné avec le n°65,,,,,,356
35019,"Don Valley East/Don Valley-Est"," 68","Toronto",72,7,22,52,0,153,468
35019,"Don Valley East/Don Valley-Est"," 69A","Toronto",73,11,24,58,0,166,86
35019,"Don Valley East/Don Valley-Est"," 69B","Toronto",86,9,29,40,2,166,117
35019,"Don Valley East/Don Valley-Est"," 69C","Toronto",118,12,24,68,3,225,136
35019,"Don Valley East/Don Valley-Est"," 69D","Toronto",97,14,26,83,3,223,114
35019,"Don Valley East/Don Valley-Est"," 69E","Toronto",57,9,13,38,0,117,106
35019,"Don Valley East/Don Valley-Est"," 70","Toronto",158,19,49,68,3,297,466
35019,"Don Valley East/Don Valley-Est"," 71","Toronto",Merged with No./Fusionné avec le n°70,,,,,,225
35019,"Don Valley East/Don Valley-Est"," 72","Toronto",119,6,25,47,3,200,439
35019,"Don Valley East/Don Valley-Est"," 73","Toronto",63,5,28,50,0,146,423
35019,"Don Valley East/Don Valley-Est"," 74","Toronto",96,1,31,14,4,146,387
35019,"Don Valley East/Don Valley-Est"," 75","Toronto",142,3,19,58,8,230,413
35019,"Don Valley East/Don Valley-Est"," 76","Toronto",106,10,34,58,0,208,402
35019,"Don Valley East/Don Valley-Est"," 77","Toronto",Merged with No./Fusionné avec le n°78,,,,,,374
35019,"Don Valley East/Don Valley-Est"," 78","Toronto",73,9,22,61,0,165,262
35019,"Don Valley East/Don Valley-Est"," 79A","Toronto",72,7,29,19,3,130,90
35019,"Don Valley East/Don Valley-Est"," 79B","Toronto",70,3,27,19,0,119,100
35019,"Don Valley East/Don Valley-Est"," 79C","Toronto",102,10,32,39,2,185,110
35019,"Don Valley East/Don Valley-Est"," 79D","Toronto",35,4,8,6,0,53,93
35019,"Don Valley East/Don Valley-Est"," 79E","Toronto",79,4,28,19,1,131,36
35019,"Don Valley East/Don Valley-Est"," 80A","Toronto",Merged with No./Fusionné avec le n°79A,,,,,,77
35019,"Don Valley East/Don Valley-Est"," 80B","Toronto",Merged with No./Fusionné avec le n°79B,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 80C","Toronto",Merged with No./Fusionné avec le n°79C,,,,,,89
35019,"Don Valley East/Don Valley-Est"," 80D","Toronto",Merged with No./Fusionné avec le n°79D,,,,,,70
35019,"Don Valley East/Don Valley-Est"," 80E","Toronto",Merged with No./Fusionné avec le n°79E,,,,,,39
35019,"Don Valley East/Don Valley-Est"," 81","Toronto",91,10,22,35,2,160,353
35019,"Don Valley East/Don Valley-Est"," 82A","Toronto",Merged with No./Fusionné avec le n°79A,,,,,,155
35019,"Don Valley East/Don Valley-Est"," 82B","Toronto",Merged with No./Fusionné avec le n°79B,,,,,,162
35019,"Don Valley East/Don Valley-Est"," 82C","Toronto",Merged with No./Fusionné avec le n°79C,,,,,,170
35019,"Don Valley East/Don Valley-Est"," 82D","Toronto",Merged with No./Fusionné avec le n°79D,,,,,,181
35019,"Don Valley East/Don Valley-Est"," 82E","Toronto",Merged with No./Fusionné avec le n°79E,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 83","Toronto",126,5,30,71,0,232,284
35019,"Don Valley East/Don Valley-Est"," 84","Toronto",97,15,25,34,4,175,451
35019,"Don Valley East/Don Valley-Est"," 85","Toronto",Merged with No./Fusionné avec le n°83,,,,,,312
35019,"Don Valley East/Don Valley-Est"," 86","Toronto",120,6,28,54,0,208,521
35019,"Don Valley East/Don Valley-Est"," 87","Toronto",198,4,20,88,2,312,497
35019,"Don Valley East/Don Valley-Est"," 88","Toronto",59,7,15,31,0,112,323
35019,"Don Valley East/Don Valley-Est"," 89A","Toronto",Merged with No./Fusionné avec le n°69A,,,,,,90
35019,"Don Valley East/Don Valley-Est"," 89B","Toronto",Merged with No./Fusionné avec le n°69B,,,,,,94
35019,"Don Valley East/Don Valley-Est"," 89C","Toronto",Merged with No./Fusionné avec le n°69C,,,,,,122
35019,"Don Valley East/Don Valley-Est"," 89D","Toronto",Merged with No./Fusionné avec le n°69D,,,,,,135
35019,"Don Valley East/Don Valley-Est"," 89E","Toronto",Merged with No./Fusionné avec le n°69E,,,,,,75
35019,"Don Valley East/Don Valley-Est"," 90A","Toronto",Merged with No./Fusionné avec le n°69A,,,,,,117
35019,"Don Valley East/Don Valley-Est"," 90B","Toronto",Merged with No./Fusionné avec le n°69B,,,,,,94
35019,"Don Valley East/Don Valley-Est"," 90C","Toronto",Merged with No./Fusionné avec le n°69C,,,,,,111
35019,"Don Valley East/Don Valley-Est"," 90D","Toronto",Merged with No./Fusionné avec le n°69D,,,,,,101
35019,"Don Valley East/Don Valley-Est"," 90E","Toronto",Merged with No./Fusionné avec le n°69E,,,,,,60
35019,"Don Valley East/Don Valley-Est"," 91A","Toronto",Merged with No./Fusionné avec le n°69A,,,,,,75
35019,"Don Valley East/Don Valley-Est"," 91B","Toronto",Merged with No./Fusionné avec le n°69B,,,,,,93
35019,"Don Valley East/Don Valley-Est"," 91C","Toronto",Merged with No./Fusionné avec le n°69C,,,,,,97
35019,"Don Valley East/Don Valley-Est"," 91D","Toronto",Merged with No./Fusionné avec le n°69D,,,,,,112
35019,"Don Valley East/Don Valley-Est"," 91E","Toronto",Merged with No./Fusionné avec le n°69E,,,,,,59
35019,"Don Valley East/Don Valley-Est"," 92A","Toronto",Merged with No./Fusionné avec le n°69A,,,,,,91
35019,"Don Valley East/Don Valley-Est"," 92B","Toronto",Merged with No./Fusionné avec le n°69B,,,,,,94
35019,"Don Valley East/Don Valley-Est"," 92C","Toronto",Merged with No./Fusionné avec le n°69C,,,,,,110
35019,"Don Valley East/Don Valley-Est"," 92D","Toronto",Merged with No./Fusionné avec le n°69D,,,,,,113
35019,"Don Valley East/Don Valley-Est"," 92E","Toronto",Merged with No./Fusionné avec le n°69E,,,,,,64
35019,"Don Valley East/Don Valley-Est"," 93A","Toronto",Merged with No./Fusionné avec le n°69A,,,,,,74
35019,"Don Valley East/Don Valley-Est"," 93B","Toronto",Merged with No./Fusionné avec le n°69B,,,,,,58
35019,"Don Valley East/Don Valley-Est"," 93C","Toronto",Merged with No./Fusionné avec le n°69C,,,,,,77
35019,"Don Valley East/Don Valley-Est"," 93D","Toronto",Merged with No./Fusionné avec le n°69D,,,,,,62
35019,"Don Valley East/Don Valley-Est"," 93E","Toronto",Merged with No./Fusionné avec le n°69E,,,,,,29
35019,"Don Valley East/Don Valley-Est"," 94A","Toronto",Merged with No./Fusionné avec le n°96A,,,,,,128
35019,"Don Valley East/Don Valley-Est"," 94B","Toronto",Merged with No./Fusionné avec le n°96B,,,,,,113
35019,"Don Valley East/Don Valley-Est"," 94C","Toronto",Merged with No./Fusionné avec le n°96C,,,,,,116
35019,"Don Valley East/Don Valley-Est"," 95A","Toronto",Merged with No./Fusionné avec le n°96A,,,,,,133
35019,"Don Valley East/Don Valley-Est"," 95B","Toronto",Merged with No./Fusionné avec le n°96B,,,,,,130
35019,"Don Valley East/Don Valley-Est"," 95C","Toronto",Merged with No./Fusionné avec le n°96C,,,,,,144
35019,"Don Valley East/Don Valley-Est"," 96A","Toronto",138,5,33,27,2,205,181
35019,"Don Valley East/Don Valley-Est"," 96B","Toronto",124,5,33,32,0,194,167
35019,"Don Valley East/Don Valley-Est"," 96C","Toronto",126,2,33,33,1,195,149
35019,"Don Valley East/Don Valley-Est"," 97A","Toronto",Merged with No./Fusionné avec le n°96A,,,,,,120
35019,"Don Valley East/Don Valley-Est"," 97B","Toronto",Merged with No./Fusionné avec le n°96B,,,,,,143
35019,"Don Valley East/Don Valley-Est"," 97C","Toronto",Merged with No./Fusionné avec le n°96C,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 98A","Toronto",Merged with No./Fusionné avec le n°79A,,,,,,85
35019,"Don Valley East/Don Valley-Est"," 98B","Toronto",Merged with No./Fusionné avec le n°79B,,,,,,80
35019,"Don Valley East/Don Valley-Est"," 98C","Toronto",Merged with No./Fusionné avec le n°79C,,,,,,135
