Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Peggy Askin,Jessica Dale-Walker,Stephen J Garvey,Judson Hansell,Larry R. Heather,Michelle Rempel Garner,Kyle Scott,Vanessa Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 21","Calgary",15,0,43,0,2,0,47,2,0,0,109,417
48009,"Calgary Nose Hill/Calgary Nose Hill"," 22","Calgary",25,0,45,0,0,0,68,3,0,0,141,535
48009,"Calgary Nose Hill/Calgary Nose Hill"," 23","Calgary",65,0,81,0,4,3,112,7,0,2,274,449
48009,"Calgary Nose Hill/Calgary Nose Hill"," 24","Calgary",Merged with No./Fusionné avec le n°23,,,,,,,,,,,392
48009,"Calgary Nose Hill/Calgary Nose Hill"," 25","Calgary",50,3,80,0,4,0,124,7,1,1,270,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 26","Calgary",Merged with No./Fusionné avec le n°12,,,,,,,,,,,451
48009,"Calgary Nose Hill/Calgary Nose Hill"," 27","Calgary",41,0,36,0,3,1,125,13,1,1,221,470
48009,"Calgary Nose Hill/Calgary Nose Hill"," 28","Calgary",66,0,75,0,1,1,192,12,3,1,351,457
48009,"Calgary Nose Hill/Calgary Nose Hill"," 29","Calgary",Merged with No./Fusionné avec le n°28,,,,,,,,,,,430
48009,"Calgary Nose Hill/Calgary Nose Hill"," 30","Calgary",52,0,54,2,5,0,114,10,1,2,240,422
48009,"Calgary Nose Hill/Calgary Nose Hill"," 31","Calgary",17,0,43,0,0,0,93,1,2,0,156,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 32","Calgary",13,0,21,1,0,0,42,3,0,0,80,362
48009,"Calgary Nose Hill/Calgary Nose Hill"," 33","Calgary",21,0,39,0,1,2,63,6,0,0,132,462
48009,"Calgary Nose Hill/Calgary Nose Hill"," 34","Calgary",20,1,40,0,5,1,58,2,2,1,130,441
48009,"Calgary Nose Hill/Calgary Nose Hill"," 35","Calgary",7,0,24,0,0,1,43,3,4,1,83,370
48009,"Calgary Nose Hill/Calgary Nose Hill"," 36","Calgary",14,0,20,1,1,0,45,2,0,1,84,319
48009,"Calgary Nose Hill/Calgary Nose Hill"," 37","Calgary",30,0,33,0,3,1,87,18,2,0,174,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 38","Calgary",42,1,55,0,3,0,120,11,0,0,232,520
48009,"Calgary Nose Hill/Calgary Nose Hill"," 39","Calgary",56,0,33,1,0,0,105,7,1,0,203,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 40","Calgary",36,1,27,0,3,1,103,6,2,1,180,432
48009,"Calgary Nose Hill/Calgary Nose Hill"," 41","Calgary",37,0,29,1,4,2,92,8,1,1,175,404
48009,"Calgary Nose Hill/Calgary Nose Hill"," 42","Calgary",19,0,33,0,0,1,98,3,2,1,157,511
48009,"Calgary Nose Hill/Calgary Nose Hill"," 43","Calgary",20,0,29,0,0,0,59,5,1,0,114,463
48009,"Calgary Nose Hill/Calgary Nose Hill"," 44","Calgary",12,0,24,0,0,0,70,0,0,1,107,356
48009,"Calgary Nose Hill/Calgary Nose Hill"," 45","Calgary",15,0,36,0,1,1,65,7,1,0,126,506
48009,"Calgary Nose Hill/Calgary Nose Hill"," 46","Calgary",20,0,24,0,1,0,70,0,1,3,119,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 47","Calgary",27,0,26,1,0,0,52,0,0,1,107,357
48009,"Calgary Nose Hill/Calgary Nose Hill"," 48","Calgary",20,0,30,0,0,1,62,2,2,1,118,434
48009,"Calgary Nose Hill/Calgary Nose Hill"," 49","Calgary",21,0,44,0,2,0,79,4,3,1,154,508
48009,"Calgary Nose Hill/Calgary Nose Hill"," 50","Calgary",8,2,25,0,0,0,51,7,1,1,95,358
48009,"Calgary Nose Hill/Calgary Nose Hill"," 51","Calgary",18,1,40,0,0,0,52,4,0,0,115,478
48009,"Calgary Nose Hill/Calgary Nose Hill"," 52","Calgary",49,0,50,0,5,0,94,15,2,0,215,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 53","Calgary",58,1,40,0,3,0,103,5,0,1,211,493
48009,"Calgary Nose Hill/Calgary Nose Hill"," 54","Calgary",36,3,46,1,3,0,103,10,0,1,203,471
48009,"Calgary Nose Hill/Calgary Nose Hill"," 55","Calgary",35,0,24,0,5,1,77,11,0,0,153,434
48009,"Calgary Nose Hill/Calgary Nose Hill"," 56","Calgary",42,1,38,0,0,0,89,8,0,1,179,432
48009,"Calgary Nose Hill/Calgary Nose Hill"," 57","Calgary",17,0,34,1,5,1,65,1,1,0,125,371
48009,"Calgary Nose Hill/Calgary Nose Hill"," 58","Calgary",47,0,45,1,7,1,117,9,0,0,227,465
48009,"Calgary Nose Hill/Calgary Nose Hill"," 59","Calgary",39,0,24,0,5,3,118,7,0,0,196,419
48009,"Calgary Nose Hill/Calgary Nose Hill"," 60","Calgary",26,1,30,0,0,1,87,7,1,1,154,450
48009,"Calgary Nose Hill/Calgary Nose Hill"," 61","Calgary",27,1,30,0,2,1,77,11,1,0,150,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 62","Calgary",20,0,44,0,1,0,54,3,2,0,124,335
48009,"Calgary Nose Hill/Calgary Nose Hill"," 63","Calgary",27,1,60,1,0,0,64,6,0,1,160,461
48009,"Calgary Nose Hill/Calgary Nose Hill"," 64","Calgary",21,0,37,0,2,0,77,5,0,2,144,443
48009,"Calgary Nose Hill/Calgary Nose Hill"," 65","Calgary",Merged with No./Fusionné avec le n°25,,,,,,,,,,,423
48009,"Calgary Nose Hill/Calgary Nose Hill"," 66","Calgary",54,0,90,2,2,0,109,9,2,1,269,470
48009,"Calgary Nose Hill/Calgary Nose Hill"," 67","Calgary",22,0,40,0,1,1,89,2,0,1,156,490
48009,"Calgary Nose Hill/Calgary Nose Hill"," 68","Calgary",Merged with No./Fusionné avec le n°30,,,,,,,,,,,383
48009,"Calgary Nose Hill/Calgary Nose Hill"," 69","Calgary",37,0,43,2,1,0,80,14,0,0,177,537
48009,"Calgary Nose Hill/Calgary Nose Hill"," 70","Calgary",Merged with No./Fusionné avec le n°66,,,,,,,,,,,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 71","Calgary",19,0,31,0,0,0,83,7,0,1,141,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 72","Calgary",9,0,37,0,1,0,56,1,0,2,106,383
48009,"Calgary Nose Hill/Calgary Nose Hill"," 73","Calgary",18,1,23,1,1,1,62,1,1,1,110,390
48009,"Calgary Nose Hill/Calgary Nose Hill"," 74","Calgary",20,0,43,0,1,1,41,1,0,0,107,430
48009,"Calgary Nose Hill/Calgary Nose Hill"," 75","Calgary",21,0,25,0,0,1,62,6,2,1,118,458
48009,"Calgary Nose Hill/Calgary Nose Hill"," 76","Calgary",23,1,69,0,1,1,76,2,0,0,173,591
48009,"Calgary Nose Hill/Calgary Nose Hill"," 77","Calgary",18,0,29,0,1,0,79,5,1,2,135,484
48009,"Calgary Nose Hill/Calgary Nose Hill"," 78","Calgary",18,0,47,1,3,3,64,7,0,0,143,466
48009,"Calgary Nose Hill/Calgary Nose Hill"," 79","Calgary",27,0,55,0,7,0,58,5,2,0,154,521
48009,"Calgary Nose Hill/Calgary Nose Hill"," 80","Calgary",27,0,43,0,2,1,92,10,0,2,177,540
48009,"Calgary Nose Hill/Calgary Nose Hill"," 81","Calgary",27,0,38,0,2,0,53,1,0,2,123,443
48009,"Calgary Nose Hill/Calgary Nose Hill"," 82","Calgary",18,0,28,0,5,0,59,8,2,0,120,331
48009,"Calgary Nose Hill/Calgary Nose Hill"," 83","Calgary",26,0,43,0,2,0,50,8,1,0,130,447
48009,"Calgary Nose Hill/Calgary Nose Hill"," 84","Calgary",43,0,41,0,4,0,58,5,1,0,152,431
48009,"Calgary Nose Hill/Calgary Nose Hill"," 85","Calgary",33,0,44,1,0,0,79,4,0,0,161,551
48009,"Calgary Nose Hill/Calgary Nose Hill"," 86","Calgary",18,1,40,0,5,0,87,6,1,0,158,476
48009,"Calgary Nose Hill/Calgary Nose Hill"," 87","Calgary",12,0,24,0,1,0,57,5,0,0,99,360
48009,"Calgary Nose Hill/Calgary Nose Hill"," 88","Calgary",15,0,30,1,2,1,81,3,1,0,134,465
48009,"Calgary Nose Hill/Calgary Nose Hill"," 89","Calgary",20,0,47,0,1,1,39,6,3,0,117,428
48009,"Calgary Nose Hill/Calgary Nose Hill"," 90","Calgary",31,0,38,0,3,0,76,9,0,1,158,482
48009,"Calgary Nose Hill/Calgary Nose Hill"," 91","Calgary",26,0,31,0,3,1,78,8,1,3,151,395
48009,"Calgary Nose Hill/Calgary Nose Hill"," 92","Calgary",36,0,32,0,3,2,120,11,1,0,205,444
48009,"Calgary Nose Hill/Calgary Nose Hill"," 93","Calgary",37,0,39,0,1,1,134,10,2,1,225,516
48009,"Calgary Nose Hill/Calgary Nose Hill"," 94","Calgary",17,0,34,0,2,1,78,5,0,0,137,396
48009,"Calgary Nose Hill/Calgary Nose Hill"," 95","Calgary",41,1,38,0,6,0,76,7,0,0,169,446
48009,"Calgary Nose Hill/Calgary Nose Hill"," 96","Calgary",14,0,35,0,0,0,117,10,0,0,176,471
48009,"Calgary Nose Hill/Calgary Nose Hill"," 97","Calgary",24,0,29,0,3,0,56,5,1,0,118,435
48009,"Calgary Nose Hill/Calgary Nose Hill"," 98","Calgary",49,0,38,0,2,0,69,8,1,1,168,451
48009,"Calgary Nose Hill/Calgary Nose Hill"," 99","Calgary",24,0,42,0,4,1,67,10,0,0,148,446
48009,"Calgary Nose Hill/Calgary Nose Hill"," 100","Calgary",41,0,26,0,2,0,61,13,0,1,144,446
48009,"Calgary Nose Hill/Calgary Nose Hill"," 101","Calgary",37,0,25,0,1,0,71,6,0,0,140,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 102","Calgary",29,0,32,0,1,0,65,7,0,2,136,470
48009,"Calgary Nose Hill/Calgary Nose Hill"," 103","Calgary",Merged with No./Fusionné avec le n°104,,,,,,,,,,,425
48009,"Calgary Nose Hill/Calgary Nose Hill"," 104","Calgary",46,2,69,0,3,3,113,5,3,0,244,433
48009,"Calgary Nose Hill/Calgary Nose Hill"," 105","Calgary",41,0,40,0,4,4,113,11,1,0,214,408
48009,"Calgary Nose Hill/Calgary Nose Hill"," 106","Calgary",29,0,20,0,1,2,62,4,0,3,121,462
48009,"Calgary Nose Hill/Calgary Nose Hill"," 107","Calgary",33,1,55,0,0,1,93,9,3,3,198,372
48009,"Calgary Nose Hill/Calgary Nose Hill"," 108","Calgary",Merged with No./Fusionné avec le n°105,,,,,,,,,,,321
48009,"Calgary Nose Hill/Calgary Nose Hill"," 109","Calgary",Merged with No./Fusionné avec le n°107,,,,,,,,,,,354
48009,"Calgary Nose Hill/Calgary Nose Hill"," 110","Calgary",31,2,37,0,2,0,91,2,0,2,167,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 111","Calgary",25,1,28,0,1,0,79,11,1,0,146,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 112","Calgary",23,0,35,1,3,1,98,2,3,1,167,524
48009,"Calgary Nose Hill/Calgary Nose Hill"," 113","Calgary",26,0,21,0,1,2,72,10,3,1,136,396
48009,"Calgary Nose Hill/Calgary Nose Hill"," 114","Calgary",23,0,41,0,1,0,102,6,3,0,176,506
48009,"Calgary Nose Hill/Calgary Nose Hill"," 115","Calgary",21,1,24,0,0,0,71,2,1,0,120,396
48009,"Calgary Nose Hill/Calgary Nose Hill"," 116","Calgary",26,0,29,0,2,1,80,7,0,1,146,401
48009,"Calgary Nose Hill/Calgary Nose Hill"," 117","Calgary",59,0,50,1,7,4,136,16,6,2,281,383
48009,"Calgary Nose Hill/Calgary Nose Hill"," 118","Calgary",Merged with No./Fusionné avec le n°117,,,,,,,,,,,298
48009,"Calgary Nose Hill/Calgary Nose Hill"," 119","Calgary",47,1,21,0,5,0,71,16,1,0,162,478
48009,"Calgary Nose Hill/Calgary Nose Hill"," 120","Calgary",66,1,36,0,0,1,61,27,0,0,192,540
48009,"Calgary Nose Hill/Calgary Nose Hill"," 121","Calgary",53,0,57,1,1,0,180,29,3,3,327,524
48009,"Calgary Nose Hill/Calgary Nose Hill"," 122","Calgary",30,0,36,0,9,1,111,18,2,2,209,530
48009,"Calgary Nose Hill/Calgary Nose Hill"," 123","Calgary",Merged with No./Fusionné avec le n°121,,,,,,,,,,,367
48009,"Calgary Nose Hill/Calgary Nose Hill"," 124","Calgary",29,0,34,0,2,0,68,11,1,0,145,467
48009,"Calgary Nose Hill/Calgary Nose Hill"," 125","Calgary",44,0,28,0,3,0,52,13,0,1,141,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 126","Calgary",37,0,33,0,6,1,80,10,1,0,168,489
48009,"Calgary Nose Hill/Calgary Nose Hill"," 127","Calgary",43,0,48,0,2,1,84,11,0,1,190,561
48009,"Calgary Nose Hill/Calgary Nose Hill"," 128","Calgary",31,0,31,0,6,0,63,20,1,0,152,504
48009,"Calgary Nose Hill/Calgary Nose Hill"," 129","Calgary",33,1,39,0,4,2,86,16,0,0,181,483
48009,"Calgary Nose Hill/Calgary Nose Hill"," 130","Calgary",28,1,23,0,0,1,67,3,0,1,124,411
48009,"Calgary Nose Hill/Calgary Nose Hill"," 131","Calgary",23,1,31,0,3,0,76,6,1,0,141,411
48009,"Calgary Nose Hill/Calgary Nose Hill"," 132","Calgary",28,0,28,1,2,1,86,8,1,0,155,410
48009,"Calgary Nose Hill/Calgary Nose Hill"," 133","Calgary",38,0,14,0,3,0,58,9,1,0,123,340
48009,"Calgary Nose Hill/Calgary Nose Hill"," 134","Calgary",21,0,23,1,5,0,78,5,1,1,135,362
48009,"Calgary Nose Hill/Calgary Nose Hill"," 135","Calgary",35,0,22,0,5,0,105,10,2,0,179,486
48009,"Calgary Nose Hill/Calgary Nose Hill"," 136","Calgary",Merged with No./Fusionné avec le n°137,,,,,,,,,,,322
48009,"Calgary Nose Hill/Calgary Nose Hill"," 137","Calgary",47,1,31,0,7,0,104,15,3,1,209,372
48009,"Calgary Nose Hill/Calgary Nose Hill"," 138","Calgary",Merged with No./Fusionné avec le n°139,,,,,,,,,,,375
48009,"Calgary Nose Hill/Calgary Nose Hill"," 139","Calgary",53,1,44,0,3,0,102,17,2,3,225,425
48009,"Calgary Nose Hill/Calgary Nose Hill"," 140","Calgary",26,0,25,0,5,0,58,15,0,1,130,419
48009,"Calgary Nose Hill/Calgary Nose Hill"," 141","Calgary",51,0,47,2,4,0,185,16,2,2,309,511
48009,"Calgary Nose Hill/Calgary Nose Hill"," 142","Calgary",Merged with No./Fusionné avec le n°141,,,,,,,,,,,450
48009,"Calgary Nose Hill/Calgary Nose Hill"," 143","Calgary",86,0,63,0,4,2,150,15,3,1,324,485
48009,"Calgary Nose Hill/Calgary Nose Hill"," 144","Calgary",Merged with No./Fusionné avec le n°143,,,,,,,,,,,473
48009,"Calgary Nose Hill/Calgary Nose Hill"," 145","Calgary",Merged with No./Fusionné avec le n°146,,,,,,,,,,,445
48009,"Calgary Nose Hill/Calgary Nose Hill"," 146","Calgary",64,0,56,1,5,1,210,24,5,0,366,513
48009,"Calgary Nose Hill/Calgary Nose Hill"," 147","Calgary",33,0,36,0,3,2,88,8,0,2,172,553
48009,"Calgary Nose Hill/Calgary Nose Hill"," 148","Calgary",51,0,38,0,4,0,111,9,0,0,213,525
48009,"Calgary Nose Hill/Calgary Nose Hill"," 149","Calgary",35,1,26,0,5,0,92,14,1,2,176,425
48009,"Calgary Nose Hill/Calgary Nose Hill"," 150","Calgary",26,0,29,1,1,1,78,13,1,1,151,504
48009,"Calgary Nose Hill/Calgary Nose Hill"," 151","Calgary",19,0,17,0,2,0,84,18,1,2,143,386
48009,"Calgary Nose Hill/Calgary Nose Hill"," 152","Calgary",30,0,23,0,3,1,77,25,0,3,162,441
48009,"Calgary Nose Hill/Calgary Nose Hill"," 153","Calgary",21,1,15,0,1,0,58,13,0,1,110,325
48009,"Calgary Nose Hill/Calgary Nose Hill"," 154","Calgary",34,0,25,0,1,3,57,7,0,0,127,377
48009,"Calgary Nose Hill/Calgary Nose Hill"," 155","Calgary",39,0,27,3,4,0,76,15,4,0,168,533
48009,"Calgary Nose Hill/Calgary Nose Hill"," 156","Calgary",35,1,24,0,1,1,63,7,0,0,132,443
48009,"Calgary Nose Hill/Calgary Nose Hill"," 157","Calgary",34,0,25,0,5,1,75,7,1,1,149,500
48009,"Calgary Nose Hill/Calgary Nose Hill"," 158","Calgary",28,1,25,1,4,1,55,7,1,0,123,436
48009,"Calgary Nose Hill/Calgary Nose Hill"," 159","Calgary",41,0,24,0,4,0,86,11,2,2,170,482
48009,"Calgary Nose Hill/Calgary Nose Hill"," 160","Calgary",25,0,17,0,3,0,91,3,2,2,143,353
48009,"Calgary Nose Hill/Calgary Nose Hill"," 161","Calgary",22,0,21,0,1,0,86,9,0,0,139,369
48009,"Calgary Nose Hill/Calgary Nose Hill"," 162","Calgary",36,0,49,0,0,2,69,11,0,2,169,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 163","Calgary",43,3,35,0,1,0,56,11,0,2,151,377
48009,"Calgary Nose Hill/Calgary Nose Hill"," 164","Calgary",24,0,25,0,2,1,75,9,1,0,137,356
48009,"Calgary Nose Hill/Calgary Nose Hill"," 165","Calgary",23,0,21,0,2,2,42,7,0,1,98,386
48009,"Calgary Nose Hill/Calgary Nose Hill"," 166","Calgary",27,0,24,0,7,0,108,7,0,0,173,458
48009,"Calgary Nose Hill/Calgary Nose Hill"," 167","Calgary",38,0,11,0,8,0,85,14,2,2,160,407
48009,"Calgary Nose Hill/Calgary Nose Hill"," 168","Calgary",42,0,26,0,8,2,68,3,0,1,150,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 169","Calgary",21,2,19,0,4,0,93,2,0,2,143,414
48009,"Calgary Nose Hill/Calgary Nose Hill"," 170","Calgary",30,1,30,0,4,0,97,5,4,0,171,452
48009,"Calgary Nose Hill/Calgary Nose Hill"," 171","Calgary",44,0,44,1,6,3,108,10,3,0,219,410
48009,"Calgary Nose Hill/Calgary Nose Hill"," 172","Calgary",41,1,33,0,7,0,118,4,0,0,204,472
48009,"Calgary Nose Hill/Calgary Nose Hill"," 173","Calgary",44,0,28,0,6,0,108,7,3,0,196,455
48009,"Calgary Nose Hill/Calgary Nose Hill"," 174","Calgary",20,0,29,0,1,1,62,10,0,1,124,444
48009,"Calgary Nose Hill/Calgary Nose Hill"," 175","Calgary",50,2,22,1,2,0,100,10,4,1,192,492
48009,"Calgary Nose Hill/Calgary Nose Hill"," 176","Calgary",28,0,24,0,7,1,112,17,1,0,190,430
48009,"Calgary Nose Hill/Calgary Nose Hill"," 177","Calgary",27,0,37,0,4,1,103,21,0,4,197,537
48009,"Calgary Nose Hill/Calgary Nose Hill"," 178","Calgary",40,1,44,1,3,1,28,7,0,2,127,386
48009,"Calgary Nose Hill/Calgary Nose Hill"," 179","Calgary",31,0,28,1,4,1,70,10,3,3,151,427
48009,"Calgary Nose Hill/Calgary Nose Hill"," 180","Calgary",30,0,24,0,4,1,88,9,0,2,158,408
48009,"Calgary Nose Hill/Calgary Nose Hill"," 181","Calgary",31,1,26,0,2,0,67,14,0,1,142,518
48009,"Calgary Nose Hill/Calgary Nose Hill"," 182","Calgary",41,0,31,0,10,2,139,24,5,0,252,601
48009,"Calgary Nose Hill/Calgary Nose Hill"," 183","Calgary",41,0,39,0,5,3,76,24,1,0,189,543
48009,"Calgary Nose Hill/Calgary Nose Hill"," 500","Mobile poll/Bureau itinérant",5,0,7,1,1,2,33,0,0,5,54,67
48009,"Calgary Nose Hill/Calgary Nose Hill"," 501","Mobile poll/Bureau itinérant",2,0,11,0,0,1,62,0,0,6,82,107
48009,"Calgary Nose Hill/Calgary Nose Hill"," 502","Mobile poll/Bureau itinérant",5,1,15,0,1,0,43,2,2,3,72,129
48009,"Calgary Nose Hill/Calgary Nose Hill"," 503","Mobile poll/Bureau itinérant",1,0,4,0,0,0,19,0,0,4,28,54
48009,"Calgary Nose Hill/Calgary Nose Hill"," 600","Calgary",171,2,294,0,5,4,565,36,9,2,1088,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 601","Calgary",146,2,218,2,13,4,598,32,1,1,1017,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 602","Calgary",146,3,184,4,8,1,613,27,3,0,989,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 603","Calgary",114,2,248,0,2,3,686,41,1,4,1101,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 604","Calgary",162,2,151,1,3,1,664,56,2,5,1047,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 605","Calgary",107,1,248,2,7,2,994,38,3,5,1407,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 606","Calgary",122,2,231,0,3,0,758,25,8,4,1153,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 607","Calgary",115,0,225,1,14,2,877,39,9,2,1284,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 608","Calgary",142,2,257,1,14,5,919,47,9,4,1400,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 609","Calgary",168,3,183,0,8,3,891,68,9,4,1337,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 610","Calgary",180,4,257,4,10,2,979,59,2,1,1498,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 611","Calgary",105,0,130,0,7,3,474,50,5,1,775,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 612","Calgary",183,4,127,1,9,2,579,47,8,1,961,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 613","Calgary",156,1,119,0,14,5,673,64,6,10,1048,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 614","Calgary",110,0,106,2,8,5,484,43,4,1,763,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 615","Calgary",169,4,113,0,13,3,556,50,7,0,915,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 616","Calgary",186,7,211,1,26,4,769,60,7,0,1271,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 617","Calgary",125,4,112,0,6,1,395,47,5,4,699,
48009,"Calgary Nose Hill/Calgary Nose Hill",,Group 1/Groupe 1, 139,1,91,0,6,1,306,31,1,33,609,269
48009,"Calgary Nose Hill/Calgary Nose Hill",,Group 2/Groupe 2, 409,3,486,1,21,4,1067,41,18,78,2128,
