Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kasper Makowski,Marie Morin-Strom,Terry Sheehan,Sonny Spina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",8,36,92,48,0,184,355
35092,"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",12,36,41,39,1,129,347
35092,"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",6,38,70,71,0,185,393
35092,"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",7,25,40,47,0,119,260
35092,"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",4,40,55,57,1,157,344
35092,"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",15,47,55,68,3,188,455
35092,"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",24,55,41,68,0,188,383
35092,"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",5,35,46,55,1,142,347
35092,"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",5,66,48,42,2,163,457
35092,"Sault Ste. Marie/Sault Ste. Marie"," 87","Sault Ste. Marie",12,40,49,63,0,164,458
35092,"Sault Ste. Marie/Sault Ste. Marie"," 88","Sault Ste. Marie",7,31,41,31,0,110,329
35092,"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",8,54,104,77,3,246,544
35092,"Sault Ste. Marie/Sault Ste. Marie"," 90","Sault Ste. Marie",5,42,45,47,0,139,350
35092,"Sault Ste. Marie/Sault Ste. Marie"," 91","Sault Ste. Marie",1,44,36,30,0,111,273
35092,"Sault Ste. Marie/Sault Ste. Marie"," 92","Sault Ste. Marie",4,30,79,58,0,171,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 93","Sault Ste. Marie",14,56,66,84,1,221,449
35092,"Sault Ste. Marie/Sault Ste. Marie"," 94","Sault Ste. Marie",6,39,87,77,3,212,448
35092,"Sault Ste. Marie/Sault Ste. Marie"," 95","Sault Ste. Marie",11,67,73,67,2,220,430
35092,"Sault Ste. Marie/Sault Ste. Marie"," 96","Sault Ste. Marie",12,53,58,69,0,192,440
35092,"Sault Ste. Marie/Sault Ste. Marie"," 97","Sault Ste. Marie",8,38,79,73,1,199,409
35092,"Sault Ste. Marie/Sault Ste. Marie"," 98","Sault Ste. Marie",5,30,53,29,0,117,294
35092,"Sault Ste. Marie/Sault Ste. Marie"," 99","Sault Ste. Marie",4,55,98,104,2,263,481
35092,"Sault Ste. Marie/Sault Ste. Marie"," 100","Sault Ste. Marie",12,39,43,32,0,126,407
35092,"Sault Ste. Marie/Sault Ste. Marie"," 101","Sault Ste. Marie",8,32,86,54,0,180,375
35092,"Sault Ste. Marie/Sault Ste. Marie"," 102","Sault Ste. Marie",11,40,63,54,2,170,391
35092,"Sault Ste. Marie/Sault Ste. Marie"," 103","Sault Ste. Marie",11,53,50,61,1,176,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 104","Sault Ste. Marie",10,56,56,49,0,171,544
35092,"Sault Ste. Marie/Sault Ste. Marie"," 105","Sault Ste. Marie",3,27,44,52,0,126,401
35092,"Sault Ste. Marie/Sault Ste. Marie"," 106","Sault Ste. Marie",4,26,47,37,1,115,290
35092,"Sault Ste. Marie/Sault Ste. Marie"," 107","Sault Ste. Marie",8,41,35,38,1,123,355
35092,"Sault Ste. Marie/Sault Ste. Marie"," 108","Sault Ste. Marie",12,30,30,39,0,111,383
35092,"Sault Ste. Marie/Sault Ste. Marie"," 109","Sault Ste. Marie",7,31,29,29,0,96,320
35092,"Sault Ste. Marie/Sault Ste. Marie"," 110","Sault Ste. Marie",2,26,42,31,0,101,317
35092,"Sault Ste. Marie/Sault Ste. Marie"," 111","Sault Ste. Marie",8,47,40,45,0,140,329
35092,"Sault Ste. Marie/Sault Ste. Marie"," 112","Sault Ste. Marie",6,29,84,70,0,189,366
35092,"Sault Ste. Marie/Sault Ste. Marie"," 113","Sault Ste. Marie",9,39,55,44,1,148,367
35092,"Sault Ste. Marie/Sault Ste. Marie"," 114","Sault Ste. Marie",6,19,61,37,2,125,321
