Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Beaudry,Robert Bellerose,Gisèle Desroches,Oulai B. Goué,Mathieu Goyette,Javeria Qureshi,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 99","Saint-Lin--Laurentides",7,3,10,12,6,27,76,0,141,429
24050,"Montcalm/Montcalm"," 100","Saint-Lin--Laurentides",11,2,26,18,5,32,74,3,171,533
24050,"Montcalm/Montcalm"," 101","Saint-Lin--Laurentides",6,1,15,9,7,13,49,5,105,399
24050,"Montcalm/Montcalm"," 102","Saint-Lin--Laurentides",6,2,16,6,2,24,56,4,116,351
24050,"Montcalm/Montcalm"," 103","Saint-Lin--Laurentides",7,2,18,9,3,19,71,2,131,482
24050,"Montcalm/Montcalm"," 104","Saint-Lin--Laurentides",5,2,18,14,5,27,118,0,189,554
24050,"Montcalm/Montcalm"," 105","Saint-Lin--Laurentides",2,0,8,3,0,3,16,4,36,360
24050,"Montcalm/Montcalm"," 106","Saint-Lin--Laurentides",15,3,33,18,4,52,109,5,239,633
24050,"Montcalm/Montcalm"," 107","Saint-Lin--Laurentides",9,4,23,14,4,20,50,5,129,443
24050,"Montcalm/Montcalm"," 108","Saint-Lin--Laurentides",7,7,11,3,1,21,67,2,119,421
24050,"Montcalm/Montcalm"," 109","Saint-Lin--Laurentides",8,3,17,10,5,29,64,1,137,406
24050,"Montcalm/Montcalm"," 110","Saint-Lin--Laurentides",21,3,26,19,2,26,86,8,191,590
24050,"Montcalm/Montcalm"," 111","Saint-Lin--Laurentides",13,8,12,17,4,32,70,8,164,583
24050,"Montcalm/Montcalm"," 112","Saint-Lin--Laurentides",17,1,24,11,3,29,79,3,167,516
24050,"Montcalm/Montcalm"," 113","Saint-Lin--Laurentides",16,3,34,8,3,31,89,4,188,518
24050,"Montcalm/Montcalm"," 114","Saint-Lin--Laurentides",23,0,16,8,3,25,89,2,166,478
24050,"Montcalm/Montcalm"," 115","Saint-Lin--Laurentides",17,7,20,14,5,63,89,7,222,736
24050,"Montcalm/Montcalm"," 116","Saint-Lin--Laurentides",14,4,21,8,8,21,89,4,169,499
24050,"Montcalm/Montcalm"," 117","Saint-Lin--Laurentides",29,3,30,17,5,39,144,8,275,708
24050,"Montcalm/Montcalm"," 118","Saint-Lin--Laurentides",16,6,24,18,8,27,122,10,231,639
24050,"Montcalm/Montcalm"," 119","Saint-Lin--Laurentides",14,5,27,10,6,21,100,5,188,545
24050,"Montcalm/Montcalm"," 120","Saint-Lin--Laurentides",15,1,20,6,3,26,81,1,153,491
24050,"Montcalm/Montcalm"," 121","Saint-Lin--Laurentides",12,3,14,9,3,34,87,2,164,578
24050,"Montcalm/Montcalm"," 122","Saint-Lin--Laurentides",19,2,42,8,3,25,104,9,212,530
24050,"Montcalm/Montcalm"," 123","Saint-Lin--Laurentides",20,9,36,14,6,36,155,8,284,840
24050,"Montcalm/Montcalm"," 124","Saint-Lin--Laurentides",17,4,33,16,1,40,70,7,188,531
24050,"Montcalm/Montcalm"," 125","Saint-Lin--Laurentides",17,5,45,24,7,36,127,11,272,708
24050,"Montcalm/Montcalm"," 126","Mascouche",17,3,18,9,9,17,76,4,153,444
24050,"Montcalm/Montcalm"," 127","Mascouche",8,4,28,6,7,28,102,3,186,459
24050,"Montcalm/Montcalm"," 128","Mascouche",4,1,14,16,8,36,99,3,181,449
24050,"Montcalm/Montcalm"," 129","Mascouche",9,2,17,19,2,44,90,3,186,371
24050,"Montcalm/Montcalm"," 130","Mascouche",3,5,23,11,5,25,91,2,165,393
24050,"Montcalm/Montcalm"," 131","Mascouche",9,2,15,19,2,48,89,0,184,366
24050,"Montcalm/Montcalm"," 132","Mascouche",6,2,15,8,2,22,83,1,139,342
24050,"Montcalm/Montcalm"," 133","Mascouche",3,3,19,13,3,36,113,4,194,452
24050,"Montcalm/Montcalm"," 134","Mascouche",6,3,17,7,3,34,96,3,169,328
24050,"Montcalm/Montcalm"," 135","Mascouche",2,4,12,10,3,37,51,6,125,359
24050,"Montcalm/Montcalm"," 136","Mascouche",7,1,22,8,6,39,119,8,210,453
24050,"Montcalm/Montcalm"," 137","Mascouche",7,1,8,8,3,46,83,3,159,472
24050,"Montcalm/Montcalm"," 138","Mascouche",9,0,17,4,3,22,74,7,136,277
24050,"Montcalm/Montcalm"," 139","Mascouche",7,4,16,10,2,32,68,8,147,386
24050,"Montcalm/Montcalm"," 140","Mascouche",10,3,8,16,5,13,69,1,125,429
24050,"Montcalm/Montcalm"," 141","Mascouche",17,0,9,11,6,20,60,3,126,337
24050,"Montcalm/Montcalm"," 142","Mascouche",4,1,15,16,2,32,60,4,134,374
24050,"Montcalm/Montcalm"," 143A","Mascouche",6,4,38,29,9,72,125,5,288,724
24050,"Montcalm/Montcalm"," 143B","Mascouche",16,14,46,28,11,120,206,0,441,1119
24050,"Montcalm/Montcalm"," 144","Mascouche",7,5,37,16,1,70,121,3,260,565
24050,"Montcalm/Montcalm"," 145","Mascouche",19,4,33,12,5,50,102,6,231,526
24050,"Montcalm/Montcalm"," 146","Mascouche",11,3,19,12,5,29,76,3,158,378
24050,"Montcalm/Montcalm"," 147","Mascouche",4,2,33,14,5,55,113,2,228,428
24050,"Montcalm/Montcalm"," 148","Mascouche",3,6,17,12,3,39,108,4,192,465
24050,"Montcalm/Montcalm"," 149","Mascouche",15,4,29,17,5,47,86,6,209,514
24050,"Montcalm/Montcalm"," 150","Mascouche",7,1,20,11,5,34,69,3,150,364
24050,"Montcalm/Montcalm"," 151","Mascouche",9,1,10,19,4,31,102,6,182,462
24050,"Montcalm/Montcalm"," 152","Mascouche",3,1,16,11,3,38,70,5,147,373
24050,"Montcalm/Montcalm"," 153","Mascouche",4,2,13,15,7,45,82,3,171,430
24050,"Montcalm/Montcalm"," 154","Mascouche",13,1,11,20,6,35,86,4,176,428
